Column1,Block,NR/2024/23640/A/40825,NR/2024/23639/A/40826,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,NR/2024/23648/A/40822,GNA/NR/2024/10/01/3642,NR/2024/23382/A/40948,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23670/C,GNA/NR/2024/10/16/2350,NR/30092023/31122025/SH-07,NR/2024/23384/A/40797,GNA/NR/2024/10/01/8106,NR/2024/23383/A/40782,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/6101,NR/30092023/26122029/SH-06,NR/2024/23672/C,Total
10,02:15-02:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,24.08,6.75,12.42,0.48,0,37.24,24.08,0,523.11

11,02:30-02:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,24.08,6.75,12.42,0.48,0,37.24,24.08,0,523.11

12,02:45-03:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,24.08,6.75,12.42,0.48,0,37.24,24.08,0,523.11

13,03:00-03:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.43,0,37.24,24.08,0,522.96

14,03:15-03:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.43,0,37.24,24.08,0,522.96

15,03:30-03:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.43,0,37.24,24.08,0,522.96

16,03:45-04:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.43,0,37.24,24.08,0,522.96

17,04:00-04:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.43,0,37.24,24.08,0,522.96

18,04:15-04:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.43,0,37.24,24.08,0,522.96

19,04:30-04:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,33,6.75,12.42,0.43,0,37.24,33,0,540.8

20,04:45-05:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,33,6.75,12.42,0.43,0,37.24,33,0,540.8

21,05:00-05:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,33,6.75,12.42,0.48,0,37.24,33,0,540.85

22,05:15-05:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,33,6.75,12.42,0.48,0,37.24,33,0,540.85

23,05:30-05:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.48,0,37.24,24.08,0,523.01

24,05:45-06:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.61,175.45,30.57,24.08,6.75,12.42,0.48,0,37.24,24.08,0,523.01

25,06:00-06:15,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.53,0,37.24,24.08,0,400.78

26,06:15-06:30,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.53,0,37.24,24.08,0,400.78

27,06:30-06:45,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.53,0,37.24,24.08,0.08,400.85999999999996

28,06:45-07:00,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.53,0,37.24,24.08,0.29,401.07

29,07:00-07:15,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.58,0,37.24,24.08,0.81,401.64

30,07:15-07:30,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.58,0,37.24,24.08,1.36,402.19

31,07:30-07:45,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.58,0,37.24,24.08,1.32,402.15

32,07:45-08:00,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.58,0,37.24,24.08,2.42,403.25

33,08:00-08:15,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.96,0,37.24,24.08,3.08,404.28999999999996

34,08:15-08:30,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.96,0,37.24,24.08,4.08,405.28999999999996

35,08:30-08:45,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.96,0,37.24,24.08,5.22,406.43

36,08:45-09:00,0,0,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.96,0,37.24,24.08,2.66,403.87

37,09:00-09:15,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,5.13,459.27

38,09:15-09:30,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,5.19,459.33

39,09:30-09:45,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,6.83,460.96999999999997

40,09:45-10:00,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,6.09,460.22999999999996

41,10:00-10:15,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,5.22,459.27000000000004

42,10:15-10:30,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,4.91,458.96000000000004

43,10:30-10:45,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,3.94,457.99

44,10:45-11:00,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,6.03,460.08

45,11:00-11:15,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,6.87,460.92

46,11:15-11:30,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,6,460.05

47,11:30-11:45,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,6.41,460.46000000000004

48,11:45-12:00,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,7.1,461.15000000000003

49,12:00-12:15,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,7.27,461.32

50,12:15-12:30,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,24.08,6.75,12.42,0.87,0,37.24,24.08,7.9,461.95

51,12:30-12:45,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,26.87,6.75,12.42,0.87,0,37.24,26.87,6.39,466.02000000000004

52,12:45-13:00,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,26.87,6.75,12.42,0.87,0,37.24,26.87,8.41,468.0400000000001

53,13:00-13:15,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,26.87,6.75,12.42,0.77,0,37.24,26.87,8.43,467.96000000000004

54,13:15-13:30,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,26.87,6.75,12.42,0.77,0,37.24,26.87,7.34,466.87

55,13:30-13:45,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,26.87,6.75,12.42,0.77,0,37.24,26.87,6.7,466.23

56,13:45-14:00,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.52,175.45,0,26.87,6.75,12.42,0.77,0,37.24,26.87,7.3,466.83000000000004

57,14:00-14:15,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,8.26,468.03000000000003

58,14:15-14:30,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,7.28,467.05

59,14:30-14:45,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,6.07,465.84000000000003

60,14:45-15:00,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.61,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,7.5,467.27000000000004

61,15:00-15:15,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,6,465.87

62,15:15-15:30,10.6,42.42,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,6.34,466.21

63,15:30-15:45,5.98,42.42,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,4.13,459.38000000000005

64,15:45-16:00,6.17,42.42,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,26.87,6.75,12.42,0.92,0,37.24,26.87,5.15,460.59000000000003

65,16:00-16:15,2.6,36.92,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,26.87,6.75,12.42,0.77,0,37.24,26.87,3.12,449.34000000000003

66,16:15-16:30,3.18,31.23,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,26.87,6.75,12.42,0.77,0,37.24,26.87,1.73,442.84000000000003

67,16:30-16:45,4.24,25.64,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,24.08,6.75,12.42,0.77,0,37.24,24.08,2.49,433.48999999999995

68,16:45-17:00,5.4,20.24,12.42,0,2.89,37.24,24.83,37.24,5.71,175.45,0,24.08,6.75,12.42,0.77,0,37.24,24.08,1.95,428.7099999999999

69,17:00-17:15,0,0,12.42,0,2.89,37.24,29.21,37.24,5.79,175.45,0,18.98,6.75,12.42,0.72,0,39.52,18.98,1.36,398.9700000000001

70,17:15-17:30,0,0,12.42,0,2.89,37.24,29.21,37.24,5.79,175.45,0,18.98,6.75,12.42,0.72,0,39.52,18.98,0.94,398.55000000000007

71,17:30-17:45,0,0,12.42,0,2.89,37.24,29.21,37.24,5.79,175.45,0,18.98,6.75,12.42,0.72,0,39.52,18.98,0.54,398.1500000000001

72,17:45-18:00,0,0,12.42,0,2.89,37.24,29.21,37.24,5.79,175.45,0,18.98,6.75,12.42,0.72,0,39.52,18.98,0.17,397.7800000000001

73,18:00-18:15,0,0,12.42,0,2.89,37.24,29.21,37.24,5.89,175.45,0,18.98,6.75,12.42,0.72,120.5,39.52,18.98,0.07,518.2800000000001

74,18:15-18:30,0,0,12.42,0,2.89,37.24,29.21,37.24,5.89,175.45,0,18.98,6.75,12.42,0.72,120.5,39.52,18.98,0.03,518.24

75,18:30-18:45,0,0,12.42,0,2.89,37.24,29.21,37.24,5.89,175.45,0,18.98,6.75,12.42,0.72,120.5,39.52,18.98,0,518.21

76,18:45-19:00,0,0,12.42,0,2.89,37.24,29.21,37.24,5.89,175.45,0,18.98,6.75,12.42,0.72,120.5,39.52,18.98,0,518.21

77,19:00-19:15,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,8.98,6.75,12.42,0.67,120.5,39.52,8.98,0,498.26000000000005

78,19:15-19:30,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,0,6.75,12.42,0.67,120.5,39.52,0,0,480.3

79,19:30-19:45,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,0,6.75,12.42,0.67,120.5,39.52,0,0,480.3

80,19:45-20:00,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,0,6.75,12.42,0.67,120.5,39.52,0,0,480.3

81,20:00-20:15,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,0,6.75,12.42,0.67,192.8,39.52,0,0,552.6

82,20:15-20:30,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,0,6.75,12.42,0.67,192.8,39.52,0,0,552.6

83,20:30-20:45,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,0,6.75,12.42,0.67,192.8,39.52,0,0,552.6

84,20:45-21:00,0,0,12.42,0,2.89,37.24,29.21,37.24,5.99,175.45,0,0,6.75,12.42,0.67,192.8,39.52,0,0,552.6

85,21:00-21:15,0,0,12.42,0,2.89,37.24,24.83,37.24,5.89,175.45,0,0,6.75,12.42,0.72,192.8,37.24,0,0,545.89

86,21:15-21:30,0,0,12.42,0,2.89,37.24,24.83,37.24,5.89,175.45,0,0,6.75,12.42,0.72,192.8,37.24,0,0,545.89

87,21:30-21:45,0,0,12.42,0,2.89,37.24,24.83,37.24,5.89,175.45,0,0,6.75,12.42,0.72,192.8,37.24,0,0,545.89

88,21:45-22:00,0,0,12.42,0,2.89,37.24,24.83,37.24,5.89,175.45,0,0,6.75,12.42,0.72,192.8,37.24,0,0,545.89

89,22:00-22:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.79,175.45,30.57,0,6.75,12.42,0.67,192.8,37.24,0,0,668.02

90,22:15-22:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.79,175.45,30.57,0,6.75,12.42,0.67,192.8,37.24,0,0,668.02

91,22:30-22:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.79,175.45,30.57,0,6.75,12.42,0.67,192.8,37.24,0,0,668.02

92,22:45-23:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.79,175.45,30.57,0,6.75,12.42,0.67,192.8,37.24,0,0,668.02

93,23:00-23:15,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,0,6.75,12.42,0.58,192.8,37.24,0,0,667.85

94,23:15-23:30,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,0,6.75,12.42,0.58,192.8,37.24,0,0,667.85

95,23:30-23:45,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,0,6.75,12.42,0.58,192.8,37.24,0,0,667.85

96,23:45-24:00,0,0,12.42,91.71,2.89,37.24,24.83,37.24,5.71,175.45,30.57,0,6.75,12.42,0.58,192.8,37.24,0,0,667.85

