Column1,Block,GNA/NR/2025/01/01/6528,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/24507/A/48004,GNA/NR/2025/01/01/6775,NER/2024/2820/A/47965,NR/2024/24508/A/48003,NR/2024/24614/A/48002,NR/2024/24435/A/47761,NR/2024/24418/A/47771,NR/2025/24674/C,NR/2024/24566/A/47749,NR/2024/24434/A/47765,NR/2025/24665/C,NR/2025/24666/C,WR/2024/25501/A/47971,NR/2025/24673/C,NR/2025/24672/C,NR/2025/24664/C,NR/30092023/26122029/SH-06,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/3945,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3925,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/8738,GNA/NR/2025/01/01/3514,Total
4,00:45-01:00,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

5,01:00-01:15,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

6,01:15-01:30,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

7,01:30-01:45,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

8,01:45-02:00,8.65,1.65,17.29,25.94,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,25.94,0,48.04,0,20.18,26.9,25.94,48.04,19.22,369.13

9,02:00-02:15,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

10,02:15-02:30,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

11,02:30-02:45,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

12,02:45-03:00,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

13,03:00-03:15,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

14,03:15-03:30,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

15,03:30-03:45,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

16,03:45-04:00,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

17,04:00-04:15,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

18,04:15-04:30,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

19,04:30-04:45,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

20,04:45-05:00,8.65,1.65,17.29,24.98,0,8.73,0,9.61,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,366.25

21,05:00-05:15,8.65,1.65,17.29,24.98,38.43,8.73,0,16.33,0.43,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,411.45000000000005

22,05:15-05:30,8.65,1.65,17.29,24.98,38.43,8.73,0,16.33,0.43,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,411.45000000000005

23,05:30-05:45,8.65,1.65,17.29,24.98,38.43,8.73,0,16.33,0.43,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,411.45000000000005

24,05:45-06:00,8.65,1.65,17.29,24.98,38.43,8.73,0,16.33,0.43,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,411.45000000000005

25,06:00-06:15,8.65,1.65,17.29,28.82,38.43,8.73,0,16.33,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,28.82,0,48.04,0,20.18,26.9,28.82,48.04,19.22,422.91999999999996

26,06:15-06:30,8.65,1.65,17.29,28.82,38.43,8.73,0,16.33,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,28.82,0,48.04,0,20.18,26.9,28.82,48.04,19.22,422.91999999999996

27,06:30-06:45,8.65,1.65,17.29,31.71,38.43,8.73,0,16.33,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,31.71,0,48.04,0,20.18,26.9,31.71,48.04,19.22,431.5899999999999

28,06:45-07:00,8.65,1.65,17.29,31.71,38.43,8.73,0,16.33,0.38,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,31.71,0,48.04,0,20.18,26.9,31.71,48.04,19.22,431.5899999999999

29,07:00-07:15,14.41,1.65,17.29,31.71,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,31.71,50,48.04,0,20.18,26.9,31.71,48.04,19.22,487.83000000000004

30,07:15-07:30,14.41,1.65,17.29,31.71,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,31.71,50,48.04,0,20.18,26.9,31.71,48.04,19.22,487.83000000000004

31,07:30-07:45,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,36.51,50,48.04,0,20.18,26.9,36.51,48.04,19.22,502.23

32,07:45-08:00,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,36.51,50,48.04,0,20.18,26.9,36.51,48.04,19.22,502.23

33,08:00-08:15,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,508.96000000000004

34,08:15-08:30,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,508.96000000000004

35,08:30-08:45,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,508.96000000000004

36,08:45-09:00,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.86,0,5.76,0,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,508.96000000000004

37,09:00-09:15,14.41,1.65,0,24.98,0,0,0,16.33,0.86,5.28,5.76,3.84,17.29,8.73,0,7.59,11.72,30.75,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,438.39

38,09:15-09:30,14.41,1.65,0,24.98,0,0,0,16.33,0.86,5.28,5.76,3.84,17.29,8.73,0,9.03,14.03,30.75,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,442.14

39,09:30-09:45,14.41,1.65,0,24.98,0,0,0,16.33,0.86,5.28,5.76,3.84,17.29,8.73,0,10.18,17.29,78.79,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,494.59000000000003

40,09:45-10:00,14.41,1.65,0,24.98,0,0,0,16.33,0.86,5.28,5.76,3.84,17.29,8.73,0,7.59,19.98,78.79,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,494.69000000000005

41,10:00-10:15,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,4.8,0,0,0,4.52,23.35,78.79,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,495.95000000000005

42,10:15-10:30,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,4.8,0,0,0,1.92,27,78.79,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,497.0000000000001

43,10:30-10:45,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,4.8,0,0,0,0.58,33.15,98,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,521.0200000000001

44,10:45-11:00,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,4.8,0,0,0,4.71,33.63,98,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,525.6300000000001

45,11:00-11:15,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,9.03,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,433.88

46,11:15-11:30,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,12.59,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,437.44000000000005

47,11:30-11:45,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,12.78,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,437.63

48,11:45-12:00,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,12.87,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,437.72

49,12:00-12:15,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,11.72,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,436.57000000000005

50,12:15-12:30,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,11.72,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,436.57000000000005

51,12:30-12:45,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,11.82,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,436.66999999999996

52,12:45-13:00,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.86,5.28,5.76,6.73,0,0,0,11.82,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,436.66999999999996

53,13:00-13:15,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,5.76,0,0,0,11.82,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,429.85

54,13:15-13:30,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,5.76,0,0,0,11.82,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,429.85

55,13:30-13:45,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,5.76,0,0,0,11.63,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,429.65999999999997

56,13:45-14:00,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,5.76,0,0,0,11.53,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,429.56000000000006

57,14:00-14:15,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,4.8,0,0,0,11.43,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,428.5

58,14:15-14:30,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,4.8,0,0,0,11.34,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,428.40999999999997

59,14:30-14:45,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,4.8,0,0,0,11.24,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,428.30999999999995

60,14:45-15:00,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.77,5.28,5.76,4.8,0,0,0,11.05,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,428.12

61,15:00-15:15,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.67,5.28,5.76,4.8,0,0,0,10.95,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,427.91999999999996

62,15:15-15:30,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.67,5.28,5.76,4.8,0,0,0,10.66,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,427.63

63,15:30-15:45,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.67,5.28,5.76,4.8,0,0,0,10.18,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,427.15

64,15:45-16:00,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.67,5.28,5.76,4.8,0,0,0,9.51,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,426.48

65,16:00-16:15,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.48,5.28,5.76,2.88,0,0,0,8.74,33.63,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,423.6

66,16:15-16:30,8.65,1.65,17.29,24.98,0,8.73,0,16.33,0.48,5.28,5.76,2.88,0,0,0,9.7,31.03,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,421.96000000000004

67,16:30-16:45,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.48,5.28,5.76,2.88,0,0,0,9.7,22.67,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,419.36

68,16:45-17:00,14.41,1.65,17.29,24.98,0,8.73,0,16.33,0.48,5.28,5.76,2.88,0,0,0,5.96,15.28,0,0,0,0,28.82,48.04,24.98,0,48.04,0,20.18,26.9,24.98,48.04,19.22,408.23

69,17:00-17:15,14.41,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0.96,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,0,48.04,0,20.18,26.9,36.51,48.04,19.22,421.11

70,17:15-17:30,14.41,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0.96,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,0,48.04,0,20.18,26.9,36.51,48.04,19.22,421.11

71,17:30-17:45,14.41,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0.96,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,0,48.04,0,20.18,26.9,36.51,48.04,19.22,421.11

72,17:45-18:00,14.41,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0.96,0,0,0,0,0,0,0,0,0,28.82,48.04,43.24,0,48.04,0,20.18,26.9,36.51,48.04,19.22,421.11

73,18:00-18:15,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,627.01

74,18:15-18:30,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,627.01

75,18:30-18:45,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,627.01

76,18:45-19:00,14.41,1.65,17.29,36.51,38.43,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,627.01

77,19:00-19:15,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

78,19:15-19:30,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

79,19:30-19:45,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

80,19:45-20:00,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

81,20:00-20:15,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

82,20:15-20:30,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

83,20:30-20:45,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

84,20:45-21:00,8.65,1.65,17.29,36.51,38.43,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,43.24,50,48.04,0,20.18,26.9,36.51,48.04,19.22,621.35

85,21:00-21:15,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,50,48.04,0,20.18,26.9,36.51,48.04,19.22,576.19

86,21:15-21:30,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,50,48.04,0,20.18,26.9,36.51,48.04,19.22,576.19

87,21:30-21:45,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,50,48.04,0,20.18,26.9,36.51,48.04,19.22,576.19

88,21:45-22:00,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.58,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,50,48.04,0,20.18,26.9,36.51,48.04,19.22,576.19

89,22:00-22:15,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,0,48.04,0,20.18,26.9,36.51,48.04,19.22,526.09

90,22:15-22:30,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,0,48.04,0,20.18,26.9,36.51,48.04,19.22,526.09

91,22:30-22:45,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,0,48.04,0,20.18,26.9,36.51,48.04,19.22,526.09

92,22:45-23:00,8.65,1.65,17.29,36.51,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,36.51,0,48.04,0,20.18,26.9,36.51,48.04,19.22,526.09

93,23:00-23:15,8.65,1.65,17.29,28.82,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,28.82,0,48.04,0,20.18,26.9,28.82,48.04,19.22,503.02

94,23:15-23:30,8.65,1.65,17.29,28.82,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,28.82,0,48.04,0,20.18,26.9,28.82,48.04,19.22,503.02

95,23:30-23:45,8.65,1.65,17.29,28.82,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,28.82,0,48.04,0,20.18,26.9,28.82,48.04,19.22,503.02

96,23:45-24:00,8.65,1.65,17.29,28.82,0,8.73,0,16.33,0.48,0,5.76,0,0,0,38.43,0,0,0,0,30,50,28.82,48.04,28.82,0,48.04,0,20.18,26.9,28.82,48.04,19.22,503.02

