Column1,Block,NR/2024/23764/C,NR/2024/23639/A/41760,NR/2024/23640/A/41757,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/16/2350,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/01/6101,GNA/WR/2024/10/15/7089,NR/2024/23382/A/41875,NR/2024/23694/A/41759,NR/2024/23383/A/41727,NR/2024/23384/A/41722,Total
3,00:30-00:45,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

4,00:45-01:00,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

5,01:00-01:15,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.53,6.76,533.4799999999999

6,01:15-01:30,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.53,6.76,533.4799999999999

7,01:30-01:45,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.53,6.76,533.4799999999999

8,01:45-02:00,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.53,6.76,533.4799999999999

9,02:00-02:15,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.15

10,02:15-02:30,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.15

11,02:30-02:45,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.15

12,02:45-03:00,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.15

13,03:00-03:15,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

14,03:15-03:30,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

15,03:30-03:45,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

16,03:45-04:00,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

17,04:00-04:15,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

18,04:15-04:30,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

19,04:30-04:45,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

20,04:45-05:00,0,0,0,26.33,4.34,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.43,6.76,380.09999999999997

21,05:00-05:15,0,0,0,26.33,4.24,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.04999999999995

22,05:15-05:30,0,0,0,26.33,4.24,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.04999999999995

23,05:30-05:45,0,0,0,26.33,4.24,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.04999999999995

24,05:45-06:00,0,0,0,26.33,4.24,47.56,23.36,26.33,12.42,12.42,23.36,142.69,26.33,0,24.87,2.9,0.48,6.76,380.04999999999995

25,06:00-06:15,0,0,0,26.33,4.24,0,26.91,26.33,12.42,12.42,26.91,0,26.33,0,24.87,2.9,0.53,6.76,196.95

26,06:15-06:30,0,0,0,26.33,4.24,0,26.91,26.33,12.42,12.42,26.91,0,26.33,0,24.87,2.9,0.53,6.76,196.95

27,06:30-06:45,0,0,0,26.33,4.24,0,26.91,26.33,12.42,12.42,26.91,0,26.33,0,24.87,2.9,0.53,6.76,196.95

28,06:45-07:00,0.37,0,0,26.33,4.24,0,26.91,26.33,12.42,12.42,26.91,0,26.33,0,24.87,2.9,0.53,6.76,197.32

29,07:00-07:15,0.89,0,0,26.33,4.24,0,26.91,26.33,12.42,12.42,26.91,0,26.33,0,24.87,2.9,0.58,6.76,197.89000000000004

30,07:15-07:30,1.35,0,0,26.33,4.24,0,26.91,26.33,12.42,12.42,26.91,0,26.33,0,24.87,2.9,0.58,6.76,198.35000000000002

31,07:30-07:45,1.98,0,0,26.33,4.24,0,26.91,26.33,12.42,12.42,26.91,0,26.33,0,24.87,2.9,0.58,6.76,198.98000000000002

32,07:45-08:00,2.57,0,0,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.58,6.76,232.48000000000002

33,08:00-08:15,3.09,0,0,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.97,6.76,233.39

34,08:15-08:30,3.61,0,0,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.97,6.76,233.90999999999997

35,08:30-08:45,4.13,0,0,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.97,6.76,234.43

36,08:45-09:00,4.74,0,0,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.97,6.76,235.03999999999996

37,09:00-09:15,5.23,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,288.5299999999999

38,09:15-09:30,5.78,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,289.0799999999999

39,09:30-09:45,6.33,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,289.62999999999994

40,09:45-10:00,6.83,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,290.12999999999994

41,10:00-10:15,7.11,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,290.4099999999999

42,10:15-10:30,7.38,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,290.67999999999995

43,10:30-10:45,7.48,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,290.7799999999999

44,10:45-11:00,3.7,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,286.99999999999994

45,11:00-11:15,5.45,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,288.74999999999994

46,11:15-11:30,6.24,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,289.5399999999999

47,11:30-11:45,6.41,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,289.7099999999999

48,11:45-12:00,5.19,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,288.4899999999999

49,12:00-12:15,8.65,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,291.94999999999993

50,12:15-12:30,5.44,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,288.7399999999999

51,12:30-12:45,7.24,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,290.5399999999999

52,12:45-13:00,8.4,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.87,6.76,291.69999999999993

53,13:00-13:15,8.32,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,291.5199999999999

54,13:15-13:30,7.22,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,290.4199999999999

55,13:30-13:45,7.11,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,290.3099999999999

56,13:45-14:00,7.7,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,290.8999999999999

57,14:00-14:15,4.05,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,287.3999999999999

58,14:15-14:30,7.25,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,290.5999999999999

59,14:30-14:45,6.45,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,289.79999999999995

60,14:45-15:00,5.92,42.48,10.62,37.3,4.24,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,289.2699999999999

61,15:00-15:15,4.92,42.48,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,288.17999999999995

62,15:15-15:30,4.11,42.48,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,287.36999999999995

63,15:30-15:45,5.21,42.48,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,288.4699999999999

64,15:45-16:00,3.83,39.3,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.92,6.76,283.9099999999999

65,16:00-16:15,3.28,33.99,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,277.8999999999999

66,16:15-16:30,2.74,27.61,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,270.9799999999999

67,16:30-16:45,2.22,24.62,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,267.4699999999999

68,16:45-17:00,1.64,17.57,10.62,37.3,4.15,0,26.91,37.3,12.42,12.42,26.91,0,37.3,0,24.87,2.9,0.77,6.76,259.84

69,17:00-17:15,1.14,0,0,37.3,4.15,0,23.36,37.3,12.42,12.42,23.36,0,43.88,0,29.25,2.9,0.72,6.76,234.95999999999998

70,17:15-17:30,0.58,0,0,37.3,4.15,0,18.98,37.3,12.42,12.42,18.98,0,43.88,0,29.25,2.9,0.72,6.76,225.64

71,17:30-17:45,0.26,0,0,37.3,4.15,0,9.17,37.3,12.42,12.42,9.17,0,43.88,0,29.25,2.9,0.72,6.76,205.7

72,17:45-18:00,0,0,0,37.3,4.15,0,9.17,37.3,12.42,12.42,9.17,0,43.88,0,29.25,2.9,0.72,6.76,205.44

73,18:00-18:15,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,43.88,125,29.25,2.9,0.72,6.76,375.18999999999994

74,18:15-18:30,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,43.88,125,29.25,2.9,0.72,6.76,375.18999999999994

75,18:30-18:45,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,43.88,125,29.25,2.9,0.72,6.76,375.18999999999994

76,18:45-19:00,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,43.88,125,29.25,2.9,0.72,6.76,375.18999999999994

77,19:00-19:15,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,37.3,125,29.25,2.9,0.68,6.76,368.56999999999994

78,19:15-19:30,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,37.3,125,29.25,2.9,0.68,6.76,368.56999999999994

79,19:30-19:45,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,37.3,125,29.25,2.9,0.68,6.76,368.56999999999994

80,19:45-20:00,0,0,0,37.3,4.24,0,31.5,37.3,12.42,12.42,31.5,0,37.3,125,29.25,2.9,0.68,6.76,368.56999999999994

81,20:00-20:15,0,0,0,37.3,4.34,0,31.5,37.3,12.42,0,31.5,0,37.3,200,29.25,2.9,0.68,6.76,431.25

82,20:15-20:30,0,0,0,37.3,4.34,0,31.5,37.3,12.42,0,31.5,0,37.3,200,29.25,2.9,0.68,6.76,431.25

83,20:30-20:45,0,0,0,37.3,4.34,0,31.5,37.3,12.42,0,31.5,0,37.3,200,29.25,2.9,0.68,6.76,431.25

84,20:45-21:00,0,0,0,26.33,4.34,0,31.5,26.33,12.42,0,31.5,0,37.3,200,29.25,2.9,0.68,6.76,409.31

85,21:00-21:15,0,0,0,26.33,4.34,0,31.5,26.33,12.42,0,31.5,0,26.33,200,24.87,2.9,0.72,6.76,394

86,21:15-21:30,0,0,0,26.33,4.34,0,31.5,26.33,12.42,0,31.5,0,26.33,200,24.87,2.9,0.72,6.76,394

87,21:30-21:45,0,0,0,26.33,4.34,0,32,26.33,12.42,0,0,0,26.33,200,24.87,2.9,0.72,6.76,363

88,21:45-22:00,0,0,0,26.33,4.34,0,32,26.33,12.42,0,0,0,26.33,200,24.87,2.9,0.72,6.76,363

89,22:00-22:15,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.68,6.76,533.6299999999999

90,22:15-22:30,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.68,6.76,533.6299999999999

91,22:30-22:45,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.68,6.76,533.6299999999999

92,22:45-23:00,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.68,6.76,533.6299999999999

93,23:00-23:15,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

94,23:15-23:30,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

95,23:30-23:45,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

96,23:45-24:00,0,0,0,26.33,4.34,47.56,0,26.33,12.42,12.42,0,142.69,26.33,200,24.87,2.9,0.58,6.76,533.53

