Column1,Block,GNA/NR/2024/10/03/7360,GNA/NR/2024/10/03/4066,GNA/NR/2024/10/03/4296,GNA/NR/2024/10/03/1276,NR/2024/23382/A/39902,NR/2024/23446/A/39900,GNA/NR/2024/10/01/4083,NR/2024/23215/A/39894,NR/30092023/26122029/SH-06,NR/2024/23384/A/39760,GNA/NR/2024/10/01/9072,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/01/3642,NR/2024/23466/C,NR/2024/23397/A/39774,NR/30092023/31122025/SH-07,NR/2024/23479/C,NR/2024/23383/A/39827,NR/2024/23414/A/39759,GNA/NR/2024/10/01/8106,NR/2024/23475/C,NR/2024/23476/C,GNA/NR/2024/10/01/6101,NR/2024/23488/C,NR/2024/23487/C,NR/2024/23389/A/39877,NR/2024/23356/A/39798,NR/2024/23474/C,Total
3,00:30-00:45,299.58,50.25,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.57,12.45,37.33,173.95,2.9,16.78,35.76,0.58,0,12.45,0,81.18,37.33,0,0,0,0,0,926.3500000000003

4,00:45-01:00,299.58,52.19,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.57,12.45,37.33,173.95,2.9,16.78,35.76,0.58,0,12.45,0,81.18,37.33,0,0,0,0,0,928.2900000000001

5,01:00-01:15,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.47,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,459.42999999999995

6,01:15-01:30,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.47,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,459.42999999999995

7,01:30-01:45,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.47,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,459.42999999999995

8,01:45-02:00,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.47,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,459.42999999999995

9,02:00-02:15,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.38,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.28999999999996

10,02:15-02:30,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.38,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.28999999999996

11,02:30-02:45,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.38,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.28999999999996

12,02:45-03:00,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.38,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.28999999999996

13,03:00-03:15,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.29,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.1499999999999

14,03:15-03:30,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.29,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.1499999999999

15,03:30-03:45,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.29,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.1499999999999

16,03:45-04:00,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.29,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.1499999999999

17,04:00-04:15,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.0599999999999

18,04:15-04:30,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.0599999999999

19,04:30-04:45,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.0599999999999

20,04:45-05:00,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.43,0,12.45,0,0,37.33,0,0,0,0,0,459.0599999999999

21,05:00-05:15,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.1099999999999

22,05:15-05:30,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.1099999999999

23,05:30-05:45,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.1099999999999

24,05:45-06:00,0,0,0,0,24.89,0,54.36,18.12,16.78,6.76,37.33,7.2,12.45,37.33,173.95,2.9,16.78,0,0.48,0,12.45,0,0,37.33,0,0,0,0,0,459.1099999999999

25,06:00-06:15,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,386.5799999999999

26,06:15-06:30,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,386.5799999999999

27,06:30-06:45,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,386.5799999999999

28,06:45-07:00,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.53,0,12.45,0,0,37.33,0,0,0,0,0,386.5799999999999

29,07:00-07:15,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.58,0,12.45,0,0,37.33,0,0,0,0,0.08,386.7099999999999

30,07:15-07:30,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.58,0,12.45,0,0,37.33,0,0,0,0,0.52,387.1499999999999

31,07:30-07:45,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.58,0,12.45,0,0,37.33,0,0,0,0,0.87,387.49999999999994

32,07:45-08:00,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,173.95,2.9,16.78,0,0.58,0,12.45,0,0,37.33,0,0,0,0,1.1,387.72999999999996

33,08:00-08:15,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,222.27,2.9,16.78,0,0.97,0,12.45,0,0,37.33,0,0,0,0,1.18,436.5199999999999

34,08:15-08:30,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,222.27,2.9,16.78,0,0.97,0,12.45,0,0,37.33,0,0,0,0,1.26,436.5999999999999

35,08:30-08:45,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,222.27,2.9,16.78,0,0.97,0,12.45,0,0,37.33,0,0,0,0,1.36,436.69999999999993

36,08:45-09:00,0,0,0,0,24.89,0,0,0,16.78,6.76,37.33,7.1,12.45,37.33,222.27,2.9,16.78,0,0.97,0,12.45,0,0,37.33,0,0,0,0,1.46,436.7999999999999

37,09:00-09:15,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,2.28,490.5899999999999

38,09:15-09:30,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,2.71,491.0199999999999

39,09:30-09:45,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,3.31,491.61999999999995

40,09:45-10:00,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,3.55,491.85999999999996

41,10:00-10:15,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,3.7,492.00999999999993

42,10:15-10:30,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,3.88,492.18999999999994

43,10:30-10:45,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,3.96,492.2699999999999

44,10:45-11:00,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,4.1,492.40999999999997

45,11:00-11:15,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,4.31,492.61999999999995

46,11:15-11:30,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,5.32,493.62999999999994

47,11:30-11:45,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,5.61,493.91999999999996

48,11:45-12:00,0,0,0,0,0,24.89,0,0,16.78,0,37.33,7.02,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,5.8,494.10999999999996

49,12:00-12:15,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,6.12,494.3299999999999

50,12:15-12:30,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,6.76,494.9699999999999

51,12:30-12:45,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,7.54,495.74999999999994

52,12:45-13:00,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.87,6.76,12.45,0,0,37.33,0,0,42.52,10.63,7.92,496.12999999999994

53,13:00-13:15,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.77,6.76,12.45,0,0,37.33,0,0,42.52,10.63,8.5,496.6099999999999

54,13:15-13:30,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.77,6.76,12.45,0,0,37.33,0,0,42.52,10.63,9.18,497.2899999999999

55,13:30-13:45,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.77,6.76,12.45,0,0,37.33,0,0,42.52,10.63,8.7,496.8099999999999

56,13:45-14:00,0,0,0,0,0,24.89,0,0,16.78,0,37.33,6.92,12.45,37.33,222.27,2.9,16.78,0,0.77,6.76,12.45,0,0,37.33,0,0,42.52,10.63,8.21,496.3199999999999

57,14:00-14:15,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.02,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,7.92,503.1499999999999

58,14:15-14:30,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.02,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,7.54,502.7699999999999

59,14:30-14:45,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.02,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,7.25,502.4799999999999

60,14:45-15:00,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.02,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,6.96,502.1899999999999

61,15:00-15:15,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.29,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,6.38,501.88

62,15:15-15:30,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.29,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,5.8,501.3

63,15:30-15:45,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.29,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,5.61,501.11

64,15:45-16:00,0,0,0,0,0,24.89,0,0,16.78,0,39.62,7.29,12.45,39.62,222.27,2.9,16.78,0,0.92,6.76,12.45,0,0,39.62,0,0,42.52,10.63,5.22,500.72

65,16:00-16:15,0,0,0,0,24.89,0,0,0,16.78,6.76,39.62,7.57,12.45,39.62,222.27,2.9,16.78,0,0.77,0,12.45,0,0,39.62,0,0,42.52,10.63,4.35,499.97999999999996

66,16:15-16:30,0,0,0,0,24.89,0,0,0,16.78,6.76,39.62,7.57,12.45,39.62,222.27,2.9,16.78,0,0.77,0,12.45,0,0,39.62,0,0,42.52,10.63,3.38,499.00999999999993

67,16:30-16:45,0,0,0,0,24.89,0,0,0,16.78,6.76,39.62,7.57,12.45,39.62,222.27,2.9,16.78,0,0.77,0,12.45,0,0,39.62,0,0,42.52,10.63,2.32,497.94999999999993

68,16:45-17:00,0,0,0,0,24.89,0,0,0,16.78,6.76,39.62,7.57,12.45,39.62,222.27,2.9,16.78,0,0.77,0,12.45,0,0,39.62,0,0,39.14,10.63,1.16,493.40999999999997

69,17:00-17:15,0,0,0,0,29.28,0,0,0,16.78,6.76,39.62,7.84,12.45,39.62,222.27,2.9,16.78,0,0.72,0,12.45,0,0,39.62,0,0,0,0,0.48,447.57

70,17:15-17:30,0,0,0,0,29.28,0,0,0,16.78,6.76,39.62,7.84,12.45,39.62,222.27,2.9,16.78,0,0.72,0,12.45,0,0,39.62,0,0,0,0,0.19,447.28

71,17:30-17:45,0,0,154.43,193.28,29.28,0,0,0,16.78,6.76,39.62,7.84,12.45,39.62,222.27,2.9,16.78,35.76,0.72,0,12.45,19.33,81.18,39.62,0,0,0,0,0,931.07

72,17:45-18:00,0,0,154.43,193.28,29.28,0,0,0,16.78,6.76,39.62,7.84,12.45,39.62,222.27,2.9,16.78,35.76,0.72,0,12.45,19.33,81.18,39.62,0,0,0,0,0,931.07

73,18:00-18:15,57.02,0,154.43,193.28,29.28,0,0,0,1.57,6.76,39.62,8.03,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,81.18,39.62,48.32,0,0,0,0,1036.6100000000001

74,18:15-18:30,58.95,0,154.43,193.28,29.28,0,0,0,1.57,6.76,39.62,8.03,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,81.18,39.62,48.32,48.32,0,0,0,1086.86

75,18:30-18:45,64.75,0,154.43,193.28,29.28,0,0,0,1.57,6.76,39.62,8.03,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,81.18,39.62,48.32,48.32,0,0,0,1092.66

76,18:45-19:00,68.61,0,154.43,193.28,29.28,0,0,0,1.57,6.76,39.62,8.03,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,81.18,39.62,48.32,48.32,0,0,0,1096.52

77,19:00-19:15,204.88,0,154.43,193.28,29.28,0,0,0,1.57,6.76,39.62,7.93,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1176.6

78,19:15-19:30,209.71,0,154.43,193.28,29.28,0,0,0,1.57,6.76,39.62,7.93,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1181.4299999999998

79,19:30-19:45,213.57,0,154.43,193.28,29.28,0,0,0,32,6.76,39.62,7.29,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1215.0799999999997

80,19:45-20:00,218.41,0,154.43,193.28,29.28,0,0,0,32,6.76,39.62,7.29,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1219.9199999999998

81,20:00-20:15,229.04,0,154.43,193.28,29.28,0,0,0,32,6.76,39.62,7.1,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1230.36

82,20:15-20:30,233.87,0,154.43,193.28,29.28,0,0,0,32,6.76,39.62,7.1,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1235.19

83,20:30-20:45,239.67,0,154.43,193.28,29.28,0,0,0,32,6.76,39.62,7.1,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1240.99

84,20:45-21:00,241.6,0,154.43,193.28,29.28,0,0,0,32,6.76,39.62,7.1,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1242.9199999999998

85,21:00-21:15,236.77,0,154.43,193.28,24.89,0,0,0,32,6.76,39.62,6.92,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1233.56

86,21:15-21:30,242.57,0,154.43,193.28,24.89,0,0,0,32,6.76,39.62,6.92,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1239.36

87,21:30-21:45,235.8,0,154.43,193.28,24.89,0,0,0,32,6.76,39.62,6.92,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1232.59

88,21:45-22:00,240.63,0,154.43,193.28,24.89,0,0,0,32,6.76,39.62,6.92,12.45,39.62,222.27,2.9,32,35.76,0.72,0,12.45,19.33,73.45,39.62,48.32,0,0,0,0,1237.4199999999998

89,22:00-22:15,248.36,0,154.43,193.28,24.89,0,54.36,18.12,1.57,6.76,39.62,6.82,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1335.38

90,22:15-22:30,241.6,0,154.43,193.28,24.89,0,54.36,18.12,1.57,6.76,39.62,6.82,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1328.62

91,22:30-22:45,243.53,0,154.43,193.28,24.89,0,54.36,18.12,1.57,6.76,39.62,6.82,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1330.55

92,22:45-23:00,246.43,0,154.43,193.28,24.89,0,54.36,18.12,1.57,6.76,39.62,6.82,12.45,39.62,222.27,2.9,32,35.76,0.68,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1333.4499999999998

93,23:00-23:15,241.6,0,154.43,193.28,24.89,0,54.36,18.12,1.57,6.76,39.62,6.64,12.45,39.62,222.27,2.9,32,35.76,0.58,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1328.3399999999997

94,23:15-23:30,235.8,0,154.43,193.28,24.89,0,54.36,18.12,1.57,6.76,39.62,6.64,12.45,39.62,222.27,2.9,32,35.76,0.58,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1322.5399999999997

95,23:30-23:45,230.97,0,154.43,193.28,24.89,0,54.36,18.12,16.78,6.76,39.62,6.64,12.45,39.62,222.27,2.9,16.78,35.76,0.58,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1317.6999999999996

96,23:45-24:00,226.14,0,154.43,193.28,24.89,0,54.36,18.12,16.78,6.76,39.62,6.64,12.45,39.62,222.27,2.9,16.78,35.76,0.58,0,12.45,19.33,73.45,39.62,48.32,48.32,0,0,0,1312.8699999999997

