Column1,Block,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/WR/2024/11/01/4200,NR/2025/24704/C,NR/2024/24434/A/47991,NR/2025/24705/C,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/6528,NR/2024/24566/A/47979,GNA/WR/2025/01/01/8625,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/24698/C,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/8058,NR/2024/24508/A/48218,GNA/NR/2025/01/02/1250,NR/2024/24614/A/48219,NR/2024/24435/A/47993,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/7459,NER/2024/2820/A/48208,NR/2025/24706/C,GNA/NR/2025/01/01/3925,NR/2025/24699/C,NR/2024/24418/A/47972,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3514,NR/2024/24507/A/48217,WR/2024/25501/A/48215,SR/2024/15456/A/47977,Total
21,05:00-05:15,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,25.81,26.77,8.69,47.8,0,16.25,25.81,25.81,38.24,0,47.8,0,0.43,28.68,19.12,14.08,0,0,409.05

22,05:15-05:30,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,25.81,26.77,8.69,47.8,0,16.25,25.81,25.81,38.24,0,47.8,0,0.43,28.68,19.12,14.08,0,0,409.05

23,05:30-05:45,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,28.68,26.77,8.69,47.8,0,16.25,28.68,28.68,38.24,0,47.8,0,0.43,28.68,19.12,14.08,0,0,417.66

24,05:45-06:00,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.55,0,28.68,26.77,8.69,47.8,0,16.25,28.68,28.68,38.24,0,47.8,0,0.43,28.68,19.12,14.08,0,0,417.66

25,06:00-06:15,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,31.54,26.77,8.69,47.8,0,16.25,31.54,31.54,38.24,0,47.8,0,0.38,28.68,19.12,14.08,0,411.04,837.3199999999999

26,06:15-06:30,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,31.54,26.77,8.69,47.8,0,16.25,31.54,31.54,38.24,0,47.8,0,0.38,28.68,19.12,14.08,0,411.04,837.3199999999999

27,06:30-06:45,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,36.32,26.77,8.69,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.38,28.68,19.12,14.08,0,411.04,851.6600000000001

28,06:45-07:00,0,47.8,0,0,0,0,0,0,20.07,8.6,5.74,0,1.64,0,36.32,26.77,8.69,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.38,28.68,19.12,14.08,0,411.04,851.6600000000001

29,07:00-07:15,0,47.8,0,0,0,0,0,0,20.07,14.34,5.74,50,1.64,0,36.32,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,191.18,693.6700000000001

30,07:15-07:30,0,47.8,0,0,0,0,0,0,20.07,14.34,5.74,50,1.64,0,36.32,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,191.18,693.6700000000001

31,07:30-07:45,0,47.8,32,0,0,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,191.18,732.3700000000001

32,07:45-08:00,0,47.8,32,0,0,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,191.18,732.3700000000001

33,08:00-08:15,0,47.8,32,0,0,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,0,541.1

34,08:15-08:30,0,47.8,32,0,0,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,0,541.1

35,08:30-08:45,0,47.8,32,0,0,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,0,541.1

36,08:45-09:00,0,47.8,32,0,0,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.86,28.68,19.12,14.08,0,0,541.1

37,09:00-09:15,0,47.8,32,0,0,0,3.82,0,20.07,14.34,5.74,0,1.64,14.34,43.02,26.77,0,47.8,0,16.25,36.32,36.32,0,0,47.8,14.08,0.86,28.68,19.12,0,0,0,456.77000000000004

38,09:15-09:30,0,47.8,32,0,0,0,3.82,0,20.07,14.34,5.74,0,1.64,14.34,43.02,26.77,0,47.8,0,16.25,36.32,36.32,0,0,47.8,14.08,0.86,28.68,19.12,0,0,0,456.77000000000004

39,09:30-09:45,0,47.8,30.5,0,0,0,3.82,0,20.07,14.34,5.74,0,1.64,14.34,43.02,26.77,0,47.8,0,16.25,36.32,36.32,0,0,47.8,14.08,0.86,28.68,19.12,0,0,0,455.27000000000004

40,09:45-10:00,0,47.8,30.5,0,0,0,3.82,0,20.07,14.34,5.74,0,1.64,14.34,43.02,26.77,0,47.8,0,16.25,36.32,36.32,0,0,47.8,14.08,0.86,28.68,19.12,0,0,0,455.27000000000004

41,10:00-10:15,0,47.8,32,0,0,0,4.78,0,20.07,14.34,5.74,0,1.64,0,43.02,26.77,7.83,47.8,6.51,16.25,36.32,36.32,0,0,47.8,0,0.86,28.68,19.12,14.08,0,0,457.73

42,10:15-10:30,0,47.8,32,0,0,0,4.78,0,20.07,14.34,5.74,0,1.64,0,43.02,26.77,7.83,47.8,6.51,16.25,36.32,36.32,0,0,47.8,0,0.86,28.68,19.12,14.08,0,0,457.73

43,10:30-10:45,0,47.8,32,0,0,32.98,4.78,14.82,20.07,14.34,5.74,0,1.64,0,43.02,26.77,7.83,47.8,6.51,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,510.31

44,10:45-11:00,0,47.8,32,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,7.83,47.8,6.51,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,510.31

45,11:00-11:15,0,47.8,32,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,512.13

46,11:15-11:30,0,47.8,32,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,512.13

47,11:30-11:45,0,47.8,32,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,512.13

48,11:45-12:00,0,47.8,32,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,512.13

49,12:00-12:15,0,47.8,32,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,512.22

50,12:15-12:30,0,47.8,32,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,512.22

51,12:30-12:45,0,47.8,27,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,507.21999999999997

52,12:45-13:00,0,47.8,27,0,0,33.46,6.69,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.86,28.68,19.12,14.08,0,0,507.21999999999997

53,13:00-13:15,0,47.8,27,0,0,33.46,5.74,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,506.16999999999996

54,13:15-13:30,0,47.8,27,0,0,33.46,5.74,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,506.16999999999996

55,13:30-13:45,0,47.8,27,0,0,33.46,5.74,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,506.16999999999996

56,13:45-14:00,0,47.8,27,0,0,33.46,5.74,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,506.16999999999996

57,14:00-14:15,0,47.8,27,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,505.12

58,14:15-14:30,0,47.8,27,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,505.12

59,14:30-14:45,0,47.8,27,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,505.12

60,14:45-15:00,0,47.8,27,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.76,28.68,19.12,14.08,0,0,505.12

61,15:00-15:15,0,47.8,27,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.67,28.68,19.12,14.08,0,0,505.12

62,15:15-15:30,0,47.8,27,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.67,28.68,19.12,14.08,0,0,505.12

63,15:30-15:45,0,47.8,27,0,0,33.46,4.78,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.67,28.68,19.12,14.08,0,0,505.12

64,15:45-16:00,0,47.8,27,0,0,33.46,4.78,12.33,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.67,28.68,19.12,14.08,0,0,503.11

65,16:00-16:15,0,47.8,32,0,0,33.46,2.87,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.48,28.68,19.12,14.08,0,0,508.02

66,16:15-16:30,0,47.8,32,0,0,33.46,2.87,14.34,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.48,28.68,19.12,14.08,0,0,508.02

67,16:30-16:45,0,47.8,32,0,0,25.81,2.87,12.24,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.48,28.68,19.12,14.08,0,0,498.27

68,16:45-17:00,0,47.8,30.5,0,0,17.21,2.87,8.79,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,4.78,47.8,0,0.48,28.68,19.12,14.08,0,0,484.71999999999997

69,17:00-17:15,0,47.8,30.5,0,0,0,0.96,0,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.48,28.68,19.12,14.08,0,0,451.94

70,17:15-17:30,0,47.8,30.5,0,0,0,0.96,0,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.48,28.68,19.12,14.08,0,0,451.94

71,17:30-17:45,0,47.8,30.5,0,0,0,0.96,0,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.48,28.68,19.12,14.08,0,0,451.94

72,17:45-18:00,0,47.8,30.5,0,0,0,0.96,0,20.07,14.34,5.74,0,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.48,28.68,19.12,14.08,0,0,451.94

73,18:00-18:15,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.48,28.68,19.12,14.08,38.24,66.91,724.4599999999999

74,18:15-18:30,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.48,28.68,19.12,14.08,38.24,66.91,724.4599999999999

75,18:30-18:45,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.48,28.68,19.12,14.08,38.24,66.91,724.4599999999999

76,18:45-19:00,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.48,28.68,19.12,14.08,38.24,66.91,724.4599999999999

77,19:00-19:15,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,66.91,724.55

78,19:15-19:30,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,66.91,724.55

79,19:30-19:45,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,66.91,724.55

80,19:45-20:00,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,66.91,724.55

81,20:00-20:15,30,47.8,30.5,0,50,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,105.15,762.7

82,20:15-20:30,30,47.8,32,0,50,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,105.15,764.2

83,20:30-20:45,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,105.15,759.2

84,20:45-21:00,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,50,1.55,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,38.24,0,47.8,0,0.57,28.68,19.12,14.08,38.24,105.15,759.2

85,21:00-21:15,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.57,28.68,19.12,14.08,38.24,229.42,845.3199999999999

86,21:15-21:30,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.57,28.68,19.12,14.08,38.24,229.42,845.3199999999999

87,21:30-21:45,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.57,28.68,19.12,14.08,38.24,229.42,845.3199999999999

88,21:45-22:00,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,50,1.64,0,43.02,26.77,14.34,47.8,0,16.25,36.32,36.32,0,0,47.8,0,0.57,28.68,19.12,14.08,38.24,229.42,845.3199999999999

89,22:00-22:15,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,831.56

90,22:15-22:30,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,831.56

91,22:30-22:45,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,831.56

92,22:45-23:00,30,47.8,27,0,50,0,0,0,20.07,14.34,5.74,0,1.64,0,43.02,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,831.56

93,23:00-23:15,30,47.8,27,0,50,0,0,0,20.07,8.6,5.74,0,1.64,0,36.32,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,819.12

94,23:15-23:30,30,47.8,27,0,50,0,0,0,20.07,8.6,5.74,0,1.64,0,36.32,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,819.12

95,23:30-23:45,30,47.8,27,0,50,0,0,0,20.07,8.6,5.74,0,1.64,0,36.32,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,819.12

96,23:45-24:00,30,47.8,27,0,50,0,0,0,20.07,8.6,5.74,0,1.64,0,36.32,26.77,14.34,47.8,0,16.25,25.81,25.81,0,0,47.8,0,0.48,28.68,19.12,14.08,38.24,286.77,819.12

