Time,Block,NR/2023/17261/F,WR/01102023/01102023/L_NR_2022_09,NR/2023/17165/A,WR/01102023/16072048/L_NR_2022_08,NR/26072023/25122043/L_NR_2023_10,NR/2023/17573/C,NR/2023/17558/D,NR/2023/17564/D,NR/2023/17575/C,NR/30092023/31122025/SH-07,NR/2023/17344/F,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/05012040/L_NR_2020_02,WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/2023/14754/A,SR/01102023/07102043/L_NR_2018_61,NR/01102023/13082046/L_NR_2021_12,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/2023/17565/D,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/2023/17405/F,WR/01102023/31032046/L_NR_2020_05,NR/01102023/06022042/L_NR_2012_07,NR/2023/14436/A,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/2023/17406/F,WR/01102023/24112044/L_NR_2020_07,NR/01102023/25072045/L_NR_2021_15,Total
10,02:15-02:30,54.130000,21.42,33.830000,11.67,0,270.650000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,10.58,0,118.310000,101.240000,23.200000,8.25,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,31.76,71.530000,33.830000,21.42,0,0,271.860000,0.000000,4.350000,10.58,0,1465.14

11,02:30-02:45,54.130000,22.52,33.830000,11.85,0,231.980000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,10.7,0,118.310000,101.240000,23.200000,8.44,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,32.1,71.530000,33.830000,22.52,0,0,271.860000,0.000000,4.350000,10.7,0,1429.62

12,02:45-03:00,54.130000,22.83,33.830000,12.02,0,196.220000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.650000,11.12,0,118.310000,101.240000,23.200000,8.83,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.460000,4.830000,33.38,71.530000,33.830000,22.83,0,0,271.860000,0.000000,4.350000,11.13,0,1397.17

13,03:00-03:15,54.130000,14.01,33.830000,6.54,0,134.360000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,11.73,0,118.310000,101.240000,23.200000,7.74,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,35.22,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,11.74,0,1313.9

14,03:15-03:30,54.130000,14.01,33.830000,6.54,0,37.700000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,12.3,0,118.310000,101.240000,23.200000,7.59,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,36.9,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,12.3,0,1219.9

15,03:30-03:45,54.130000,14.01,33.830000,6.54,0,37.700000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,12.87,0,118.310000,101.240000,23.200000,7.12,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,38.62,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,12.88,0,1222.3

16,03:45-04:00,54.130000,14.01,33.830000,6.54,0,37.700000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,13.09,0,118.310000,101.240000,23.200000,9.38,0,0,0,0,238.030000,4.900000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,39.27,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,13.09,0,1225.64

17,04:00-04:15,54.130000,14.01,33.830000,6.54,0,37.700000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,13.15,0,118.310000,101.240000,23.200000,9.65,0,0,0,0,238.030000,4.670000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,39.44,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,13.15,0,1225.97

18,04:15-04:30,54.130000,14.01,33.830000,6.54,0,37.700000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,12.78,0,118.310000,101.240000,23.200000,9.73,0,0,0,0,238.030000,4.670000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,38.32,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,12.77,0,1224.18

19,04:30-04:45,54.130000,14.01,33.830000,6.54,0,37.700000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,12.82,0,118.310000,101.240000,23.200000,9.55,0,0,0,0,238.030000,4.670000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,38.47,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,12.83,0,1224.25

20,04:45-05:00,54.130000,14.01,33.830000,6.54,0,4.830000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.550000,12.38,0,118.310000,101.240000,23.200000,9.32,0,0,0,0,238.030000,4.670000,6.460000,0.000000,0.000000,0.000000,32.000000,4.300000,4.830000,37.19,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,12.4,0,1189

21,05:00-05:15,54.130000,14.01,33.830000,6.54,0,27.060000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.470000,11.89,0,118.310000,101.240000,23.200000,9.97,0,0,0,0,238.030000,4.670000,6.370000,0.000000,0.000000,0.000000,32.000000,4.150000,4.830000,35.72,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,11.91,0,1209.11

22,05:15-05:30,54.130000,14.01,33.830000,6.54,0,0.000000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.470000,11.29,0,118.310000,101.240000,23.200000,11.21,0,0,0,0,238.030000,4.670000,6.370000,0.000000,0.000000,0.000000,32.000000,4.150000,4.830000,33.92,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,11.31,0,1180.29

23,05:30-05:45,54.130000,14.01,33.830000,6.54,0,0.000000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.470000,11.21,0,118.310000,101.240000,23.200000,13.07,0,0,0,0,238.030000,4.670000,6.370000,0.000000,0.000000,0.000000,32.000000,4.150000,4.830000,33.66,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,11.22,0,1181.72

24,05:45-06:00,54.130000,14.01,33.830000,6.54,0,0.000000,6.770000,0,0,32.000000,0.530000,0,31.900000,4.470000,10.43,0,118.310000,101.240000,23.200000,14.47,0,0,0,0,238.030000,4.670000,6.370000,0.000000,0.000000,0.000000,32.000000,4.150000,4.830000,31.27,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,10.42,0,1179.15

25,06:00-06:15,0.000000,14.01,33.830000,6.54,0,0.000000,6.770000,0,0,32.000000,0.580000,6.54,31.900000,4.470000,9.61,0,118.310000,101.240000,0.000000,13.89,0,0,0,0,238.030000,4.670000,6.370000,0.000000,0.000000,0.000000,32.000000,4.150000,4.830000,28.8,71.530000,33.830000,14.01,0,0,271.860000,0.000000,4.350000,9.6,0,1103.72

26,06:15-06:30,0.000000,14.01,33.830000,6.54,0,0.000000,6.770000,0,0,32.000000,0.580000,14.13,31.900000,4.470000,8.72,0,96.660000,101.240000,0.000000,11.84,0,1,1.91,0,238.030000,4.670000,6.370000,0.010000,0.000000,0.010000,32.000000,4.150000,4.830000,26.16,71.530000,33.830000,14.01,0,0,271.860000,0.010000,4.350000,8.72,0,1086.14

27,06:30-06:45,0.000000,14.01,33.830000,6.54,0.62,0.000000,6.770000,0.1,0,32.000000,0.580000,23.52,31.900000,4.470000,7.67,0.08,96.660000,101.240000,0.000000,9.06,0.42,3,5.47,1,238.030000,4.670000,6.370000,0.160000,0.000000,0.150000,32.000000,4.150000,4.830000,23.04,71.530000,33.830000,14.01,0,1.38,271.860000,0.150000,4.350000,7.68,0.32,1097.45

28,06:45-07:00,0.000000,14.01,33.830000,6.54,2.26,0.000000,6.770000,0.51,0,32.000000,0.580000,27.22,31.900000,4.470000,6.68,1.11,96.660000,101.240000,0.000000,8.27,5.38,6,12.18,3,238.030000,4.670000,6.370000,0.560000,0.000000,0.540000,32.000000,4.150000,4.830000,20.06,71.530000,33.830000,14.01,0,5.11,271.860000,0.540000,4.350000,6.69,1.08,1120.82

29,07:00-07:15,0.000000,14.01,33.830000,6.54,5.09,0.000000,6.770000,0.85,0,19.390000,0.680000,23.61,31.900000,4.470000,6.32,2.82,96.660000,101.240000,0.000000,9.5,13.66,11,20.84,6,238.030000,4.670000,6.370000,1.220000,0.000000,1.190000,32.000000,4.150000,4.830000,18.98,71.530000,33.830000,14.01,3.09,11.48,271.860000,1.190000,4.350000,6.33,2.55,1146.84

30,07:15-07:30,0.000000,14.01,33.830000,6.54,8.7,0.000000,6.770000,1.26,0,19.390000,0.680000,20.26,30.930000,4.470000,5.91,5.2,96.660000,101.240000,0.000000,9.03,25.11,16,20.27,8,238.030000,4.670000,6.370000,2.060000,0.000000,2.020000,32.000000,4.150000,4.830000,17.75,71.530000,33.830000,14.01,6.19,19.62,271.860000,2.020000,4.350000,5.92,4.69,1180.16

31,07:30-07:45,0.000000,13.94,33.830000,6.54,15.47,0.000000,6.770000,1.59,0,18.390000,0.680000,20.72,30.930000,4.470000,5.4,8.32,96.660000,101.240000,0.000000,9.21,40.23,23,20.73,11,238.030000,4.670000,6.370000,3.110000,0.000000,3.040000,32.000000,4.150000,4.830000,16.24,71.530000,33.830000,13.94,9.28,36.44,271.860000,3.040000,4.350000,5.41,7.47,1238.71

32,07:45:08:00,0.000000,12.92,33.830000,6.54,21.27,0.000000,6.770000,1.85,0,18.390000,0.680000,21.51,30.930000,4.470000,5.07,11.76,87.960000,101.240000,0.000000,9.97,56.86,25,21.5,12,238.030000,4.670000,6.370000,4.280000,0.000000,4.170000,32.000000,4.150000,4.830000,15.25,71.530000,33.830000,12.92,19.82,49.52,271.860000,4.170000,4.350000,5.08,11.72,1289.07

33,08:00-08:15,0.000000,12.87,33.830000,6.54,27.06,0.000000,6.770000,2.25,0,26.340000,0.970000,22.75,29.960000,4.370000,4.78,15.67,79.260000,86.990000,0.000000,10.61,75.74,27,22.75,14,189.890000,4.510000,6.270000,5.550000,0.000000,5.410000,32.000000,4.150000,4.830000,14.33,48.810000,33.830000,12.87,26.36,62.6,271.860000,5.410000,4.350000,4.78,15.27,1263.59

34,08:15-08:30,0.000000,12.91,33.830000,6.54,32.86,0.000000,6.770000,2.83,0,26.340000,0.970000,24.59,29.960000,4.370000,4.48,19.67,71.530000,86.990000,0.000000,10.98,95.09,33,24.58,16,174.210000,4.510000,6.270000,6.840000,0.000000,6.680000,32.000000,4.150000,4.830000,13.47,48.810000,33.830000,12.91,33.24,75.68,271.860000,6.680000,4.350000,4.49,18.99,1308.09

35,08:30-08:45,0.000000,11.93,33.830000,6.54,37.7,0.000000,6.770000,3.4,0,26.340000,0.970000,25.37,29.960000,4.370000,4.26,20.3,71.530000,67.660000,0.000000,10.58,98.11,36,25.37,18,174.210000,4.510000,6.270000,8.100000,0.000000,7.900000,32.000000,4.150000,4.830000,12.81,48.810000,33.830000,11.93,40.1,85.02,271.860000,7.900000,4.350000,4.27,22.66,1324.5

36,08:45:09:00,0.000000,11.35,33.830000,6.54,43.5,0.000000,6.770000,3.73,0,26.340000,0.970000,25.99,29.960000,4.370000,4.08,23.76,71.530000,67.660000,0.000000,10.91,114.84,43,25.98,22,174.210000,4.510000,6.270000,8.230000,0.000000,8.030000,32.000000,4.150000,4.830000,12.22,48.810000,33.830000,11.35,46.78,98.1,271.860000,8.030000,4.350000,4.07,26.01,1384.75

37,09:00:09:15,0.000000,16.06,33.830000,6.54,49.3,0.000000,6.770000,4.3,24.17,26.340000,0.970000,25.99,29.000000,4.370000,3.87,26.79,71.530000,101.240000,0.000000,10.37,129.49,51,25.98,25,174.210000,4.510000,6.270000,9.440000,0.000000,9.210000,32.000000,4.000000,4.830000,11.58,48.810000,33.830000,16.06,53.08,111.19,271.860000,9.210000,4.350000,3.86,27.02,1508.23

38,09:15-09:30,0.000000,15.29,33.830000,6.54,53.16,0.000000,6.770000,4.64,24.17,26.340000,0.970000,26.93,29.000000,4.370000,3.84,29.65,71.530000,77.330000,0.000000,10.94,143.3,55,26.92,28,174.210000,4.510000,6.270000,10.480000,0.000000,10.220000,32.000000,4.000000,4.830000,11.53,48.810000,33.830000,15.29,59.1,121.46,271.860000,10.220000,4.350000,3.85,29.75,1535.09

39,09:30-09:45,0.000000,14.66,33.830000,6.54,58,0.000000,6.770000,4.83,24.17,26.960000,0.970000,26.93,29.000000,4.370000,3.53,32.4,71.530000,77.330000,0.000000,11.57,156.6,61,26.92,31,174.210000,4.510000,6.270000,11.350000,0.000000,11.070000,26.960000,4.000000,4.830000,10.6,48.810000,33.830000,14.66,64.79,130.8,271.860000,11.070000,4.350000,3.54,32.19,1578.61

40,09:45-10:00,0.000000,13.95,33.830000,6.54,61.86,0.000000,6.770000,5.32,24.17,26.960000,0.970000,26.93,29.000000,4.370000,3.23,34.84,71.530000,77.330000,0.000000,11.72,168.41,64,26.92,32,208.720000,4.510000,6.270000,12.240000,0.000000,11.950000,26.960000,4.000000,4.830000,9.73,48.810000,33.830000,13.95,69.81,141.08,271.860000,11.950000,4.350000,3.25,34.33,1653.08

41,10:00-10:15,0.000000,14.01,33.830000,6.54,61.86,0.000000,6.770000,5.41,24.17,26.960000,0.970000,26.93,29.000000,4.370000,7.25,37.18,71.530000,91.830000,0.000000,7.74,179.68,67,26.92,34,206.780000,4.510000,6.270000,12.710000,0.000000,12.400000,26.960000,4.220000,4.830000,21.75,63.020000,33.830000,14.01,74.45,141.08,271.860000,12.400000,4.350000,7.25,36.19,1722.82

42,10:15-10:30,0.000000,14.01,33.830000,6.54,64.76,0.000000,6.770000,5.68,24.17,26.960000,0.970000,26.93,29.000000,4.370000,7.25,39.17,77.330000,91.830000,0.000000,7.74,189.32,73,26.92,36,206.780000,4.510000,6.270000,13.260000,0.000000,12.940000,26.960000,4.220000,4.830000,21.75,63.020000,33.830000,14.01,78.49,147.62,271.860000,12.940000,4.350000,7.25,37.8,1765.24

43,10:30-10:45,0.000000,14.01,33.830000,6.54,70.56,0.000000,6.770000,5.8,24.17,26.960000,0.970000,26.93,29.000000,4.370000,7.25,41.11,77.330000,91.830000,0.000000,7.74,198.67,75,26.92,37,206.780000,4.510000,6.270000,13.660000,0.000000,13.320000,26.960000,4.220000,4.830000,21.75,63.020000,33.830000,14.01,80.26,160.71,271.860000,13.320000,4.350000,7.25,38.25,1801.92

44,10:45-11:00,0.000000,14.01,33.830000,6.54,72.5,0.000000,6.770000,5.99,24.17,26.960000,0.970000,26.93,29.000000,4.370000,7.25,42.74,118.310000,91.830000,0.000000,7.74,206.56,78,26.92,39,206.780000,4.510000,6.270000,13.800000,0.000000,13.460000,26.960000,4.220000,4.830000,21.75,63.020000,33.830000,14.01,82.18,163.51,271.860000,13.460000,4.350000,7.25,39.61,1866.05

45,11:00-11:15,0.000000,14.01,33.830000,6.54,73.46,0.000000,6.770000,6.19,24.17,26.960000,0.970000,27.54,29.000000,4.270000,7.25,43.31,118.310000,91.830000,0.000000,7.74,209.31,79,27.55,40,206.780000,4.510000,6.270000,14.200000,0.000000,13.860000,26.960000,4.150000,4.830000,21.75,63.020000,33.830000,14.01,83,167.24,271.860000,13.860000,4.350000,7.25,40.67,1880.41

46,11:15-11:30,0.000000,14.01,33.830000,6.54,75.39,0.000000,6.770000,6.28,24.17,26.960000,0.970000,27.54,28.030000,4.270000,7.25,45.93,118.310000,91.830000,0.000000,7.83,221.96,79,27.55,40,206.780000,4.510000,6.270000,14.400000,0.000000,14.050000,26.960000,4.150000,4.830000,21.75,63.020000,33.830000,14.01,84.57,170.04,271.860000,14.050000,4.350000,7.25,41.47,1902.57

47,11:30-11:45,0.000000,12.45,33.830000,6.54,75.39,0.000000,6.770000,6.48,24.17,26.960000,0.970000,27.86,28.030000,4.270000,7.25,45.93,118.310000,91.830000,0.000000,21.28,221.96,79,27.85,39,206.780000,4.510000,6.270000,14.440000,0.000000,14.090000,26.960000,4.150000,4.830000,21.75,63.020000,33.830000,12.45,84.74,170.04,271.860000,14.090000,4.350000,7.25,42,1913.54

48,11:45-12:00,0.000000,12.45,33.830000,6.54,75.39,0.000000,6.770000,6.57,24.17,26.960000,0.970000,27.86,28.030000,4.270000,7.25,45.93,118.310000,91.830000,0.000000,21.89,221.96,79,27.85,39,206.780000,4.510000,6.270000,14.490000,0.000000,14.130000,26.960000,4.150000,4.830000,21.75,63.020000,33.830000,12.45,84.74,170.04,271.860000,14.130000,4.350000,7.25,42.5,1914.87

49,12:00-12:15,0.000000,12.45,33.830000,6.54,75.39,0.000000,6.770000,6.67,24.17,26.990000,0.970000,27.86,28.030000,4.270000,7.25,45.93,118.310000,91.830000,0.000000,22.42,221.96,70,27.85,35,206.780000,4.590000,6.270000,14.570000,0.000000,14.220000,26.990000,4.300000,4.830000,21.75,63.020000,33.830000,12.45,84.74,170.04,271.860000,14.220000,4.350000,7.25,43,1903.55

50,12:15-12:30,0.000000,12.45,33.830000,6.54,75.39,0.000000,6.770000,6.96,24.17,26.990000,0.970000,27.86,28.030000,4.270000,7.25,45.93,118.310000,91.830000,0.000000,22.91,221.96,70,27.85,35,206.780000,4.590000,6.270000,14.440000,0.000000,14.090000,26.990000,4.300000,4.830000,21.75,63.020000,33.830000,12.45,84.77,170.04,271.860000,14.090000,4.350000,7.25,43,1903.97

51,12:30-12:45,0.000000,12.45,33.830000,6.54,75.39,0.000000,6.770000,7.15,24.17,26.990000,0.970000,27.86,28.030000,4.270000,7.25,45.93,118.310000,48.330000,0.000000,38.67,221.96,70,27.85,35,206.780000,4.590000,6.270000,14.660000,0.000000,14.310000,26.990000,4.300000,4.830000,21.75,63.020000,33.830000,12.45,88.41,170.04,271.860000,14.310000,4.350000,7.25,43,1880.72

52,12:45-13:00,0.000000,12.45,33.830000,6.54,75.39,0.000000,6.770000,7.54,24.17,26.990000,0.970000,27.86,28.030000,4.270000,7.25,45.93,96.660000,48.330000,0.000000,40.61,221.96,70,27.85,35,206.780000,4.590000,6.270000,14.660000,0.000000,14.310000,26.990000,4.300000,4.830000,21.75,63.020000,33.830000,12.45,88.67,170.04,271.860000,14.310000,4.350000,7.25,43,1861.66

