Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25761/C,WR/2025/26426/A/60226,NR/2025/25518/A/60263,NR/2025/25517/A/60254,NR/2025/25159/A/60121,WR/2025/26427/A/60228,WR/2025/26582/A/60496,WR/2025/26499/A/60498,NR/2025/25516/A/60248,NR/2025/25762/C,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/4651,NR/30092023/31122025/SH-07,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/9482,GNA/SR/2025/03/01/7500,NR/30092023/26122029/SH-06,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/2563,Total
10,02:15-02:30,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.71

11,02:30-02:45,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.71

12,02:45-03:00,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.74,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.71

13,03:00-03:15,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.5600000000001

14,03:15-03:30,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.5600000000001

15,03:30-03:45,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.5600000000001

16,03:45-04:00,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.5600000000001

17,04:00-04:15,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.5600000000001

18,04:15-04:30,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.5600000000001

19,04:30-04:45,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,25,23.41,17.35,0,25,237.82,0,0,42,23.41,733.58

20,04:45-05:00,0,0,168.21,0,0,0.43,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,25,23.41,17.35,0,25,237.82,0,0,42,23.41,733.58

21,05:00-05:15,0,0,168.21,0,0,0.48,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.61

22,05:15-05:30,0,0,168.21,0,0,0.48,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.61

23,05:30-05:45,0,0,168.21,0,0,0.48,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.61

24,05:45-06:00,0,0,168.21,0,0,0.48,24.09,24.09,0,0,0,23.41,6.75,6.59,79.27,6.75,26.99,23.41,17.35,0,26.99,237.82,0,0,42,23.41,737.61

25,06:00-06:15,0,0,168.21,0.19,0.19,0.53,0,0,0,0.29,0,23.41,6.75,6.59,0,6.75,25,23.41,17.35,0,25,0,0,0,42,23.41,369.08000000000004

26,06:15-06:30,0,0,168.21,0.19,0.29,0.53,0,0,0,0.29,0,23.41,6.75,6.59,0,6.75,25,23.41,17.35,0,25,0,0,0,42,23.41,369.18000000000006

27,06:30-06:45,0,0,168.21,0.19,0.29,0.53,0,0,0,0.29,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,42,23.41,373.1600000000001

28,06:45-07:00,0,0,168.21,0.19,0.29,0.53,0,0,0,0.29,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,42,23.41,373.1600000000001

29,07:00-07:15,4.49,0,168.21,0.19,0.29,0.58,0,0,40.48,0.29,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,376.18000000000006

30,07:15-07:30,7.69,0,168.21,0.19,0.29,0.58,0,0,40.48,0.39,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,379.4800000000001

31,07:30-07:45,11.87,0,168.21,0.19,0.39,0.58,0,0,40.48,0.48,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,383.8500000000001

32,07:45-08:00,16.93,0,168.21,0.19,0.39,0.58,0,0,40.48,0.48,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,388.91

33,08:00-08:15,22.7,0,0,0.29,0.39,0.96,0,0,40.48,0.48,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,226.95

34,08:15-08:30,28.94,0,0,0.29,0.48,0.96,0,0,40.48,0.48,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,233.28

35,08:30-08:45,35.45,0,0,0.29,0.67,0.96,0,0,40.48,0.58,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,240.07999999999998

36,08:45-09:00,41.94,0,0,0.29,0.67,0.96,0,0,40.48,0.58,0,23.41,6.75,6.59,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,246.57000000000002

37,09:00-09:15,48.25,14.46,0,0.29,0.67,0.92,0,0,40.48,0.77,38.55,23.41,6.75,6.55,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,306

38,09:15-09:30,54.26,14.46,0,0.19,0.67,0.92,0,0,40.48,0.87,38.55,23.41,6.75,6.55,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,312.01000000000005

39,09:30-09:45,62.88,14.46,0,0.19,0.67,0.92,0,0,40.48,0.87,38.55,23.41,6.75,6.55,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,320.63000000000005

40,09:45-10:00,68.22,14.46,0,0.29,0.48,0.92,0,0,40.48,0.77,38.55,23.41,6.75,6.55,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,325.7800000000001

41,10:00-10:15,72.71,14.46,0,0.39,0.48,0.92,0,0,40.48,0.67,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,355.44000000000005

42,10:15-10:30,76.34,14.46,0,0.39,0.48,0.92,0,0,40.48,0.67,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,359.0700000000001

43,10:30-10:45,79.09,14.46,0,0.29,0.48,0.92,0,0,40.48,0.77,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,361.8200000000001

44,10:45-11:00,81.06,14.46,0,0.29,0.48,0.92,0,0,40.48,0.77,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,363.79000000000013

45,11:00-11:15,86.85,14.46,0,0.39,0.67,0.92,0,0,40.48,0.77,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,369.8700000000001

46,11:15-11:30,88.52,14.46,0,0.39,0.77,0.92,0,0,40.48,0.77,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,371.6400000000001

47,11:30-11:45,96.67,14.46,0,0.29,0.77,0.92,0,0,40.48,0.96,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,379.8800000000001

48,11:45-12:00,96.67,14.46,0,0.29,0.77,0.92,0,0,40.48,0.77,38.55,31.8,6.75,6.55,0,6.75,26.99,31.8,17.35,0,26.99,0,0,0,0,31.8,379.6900000000001

49,12:00-12:15,96.67,14.46,0,0.39,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,362.17

50,12:15-12:30,96.67,14.46,0,0.39,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,362.17

51,12:30-12:45,96.67,14.46,0,0.39,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,362.17

52,12:45-13:00,96.67,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,362.07000000000005

53,13:00-13:15,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.40000000000003

54,13:15-13:30,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.40000000000003

55,13:30-13:45,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.40000000000003

56,13:45-14:00,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.46,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.40000000000003

57,14:00-14:15,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.3

58,14:15-14:30,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.3

59,14:30-14:45,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.77,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.3

60,14:45-15:00,95,14.46,0,0.29,0.58,0.92,0,0,40.48,0.67,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,360.2

61,15:00-15:15,94.13,14.46,0,0.29,0.39,0.67,0,0,40.48,0.67,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,358.89

62,15:15-15:30,91.92,14.46,0,0.29,0.39,0.67,0,0,40.48,0.77,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,356.78000000000003

63,15:30-15:45,84.88,14.46,0,0.29,0.39,0.67,0,0,40.48,0.77,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,349.74000000000007

64,15:45-16:00,81.04,14.46,0,0.29,0.39,0.67,0,0,40.48,0.67,38.55,26.02,6.75,6.36,0,6.75,26.99,26.02,17.35,0,26.99,0,0,0,0,26.02,345.80000000000007

65,16:00-16:15,71.35,14.46,0,0.29,0.39,0.53,0,0,40.48,0.77,38.55,23.41,6.75,6.46,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,328.3400000000001

66,16:15-16:30,66.9,14.46,0,0.29,0.39,0.53,0,0,40.48,0.77,38.55,23.41,6.75,6.46,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,323.8900000000001

67,16:30-16:45,59.89,14.46,0,0.29,0.39,0.53,0,0,40.48,0.77,38.55,23.41,6.75,6.46,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,316.88000000000005

68,16:45-17:00,52.86,14.46,0,0.29,0.39,0.53,0,0,40.48,0.77,38.55,23.41,6.75,6.46,0,6.75,26.99,23.41,17.35,0,26.99,0,0,0,0,23.41,309.85

69,17:00-17:15,49.79,0,0,0.29,0.39,0.53,0,0,40.48,0.67,0,23.41,6.75,6.59,0,6.75,26.99,36.62,17.35,0,26.99,0,100,0,0,36.62,380.22

70,17:15-17:30,40.82,0,0,0.26,0.36,0.53,0,0,40.48,0.7,0,23.41,6.75,6.59,0,6.75,26.99,36.62,17.35,0,26.99,0,100,0,0,36.62,371.22

71,17:30-17:45,28.83,0,0,0.16,0.22,0.53,0,0,40.48,0.43,0,23.41,6.75,6.59,0,6.75,26.99,36.62,17.35,0,26.99,0,100,0,0,36.62,358.72

72,17:45-18:00,20.67,0,0,0.08,0.14,0.53,0,0,40.48,0.17,0,23.41,6.75,6.59,0,6.75,19.4,36.62,17.35,0,19.4,0,100,0,0,36.62,334.96000000000004

73,18:00-18:15,12.83,0,0,0.01,0.02,0.53,0,0,40.48,0.03,0,23.41,6.75,6.59,0,6.75,32,36.62,17.35,0,32,0,100,50,0,36.62,401.99

74,18:15-18:30,11.15,0,0,0,0,0.53,0,0,40.48,0,0,23.41,6.75,6.59,0,6.75,32,36.62,17.35,0,32,0,100,50,0,36.62,400.25

75,18:30-18:45,2.45,0,0,0,0,0.53,0,0,40.48,0,0,23.41,6.75,6.59,0,6.75,32,36.62,17.35,50,32,0,100,50,0,36.62,441.54999999999995

76,18:45-19:00,0.42,0,0,0,0,0.53,0,0,40.48,0,0,31.8,6.75,6.59,0,6.75,32,36.62,17.35,50,32,0,100,50,0,36.62,447.90999999999997

77,19:00-19:15,0.34,0,0,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.64,0,6.75,32,36.62,17.35,50,32,0,100,50,0,36.62,447.98

78,19:15-19:30,0.29,0,0,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.64,0,6.75,32,36.62,17.35,50,32,0,100,50,0,36.62,447.93

79,19:30-19:45,0,0,0,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.64,0,6.75,32,36.62,17.35,50,32,0,100,50,0,36.62,447.64

80,19:45-20:00,0,0,0,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.64,0,6.75,32,36.62,17.35,50,32,0,100,50,0,36.62,447.64

81,20:00-20:15,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.74,0,6.75,32,36.62,17.35,50,32,0,100,75,0,36.62,520.92

82,20:15-20:30,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.74,0,6.75,32,36.62,17.35,50,32,0,100,75,0,36.62,520.92

83,20:30-20:45,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.74,0,6.75,32,36.62,17.35,50,32,0,100,75,0,36.62,520.92

84,20:45-21:00,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.74,0,6.75,32,36.62,17.35,50,32,0,100,75,0,36.62,520.92

85,21:00-21:15,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.82,0,6.75,32,36.62,17.35,50,32,0,100,75,0,36.62,521

86,21:15-21:30,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.82,0,6.75,32,36.62,17.35,50,32,0,100,75,0,36.62,521

87,21:30-21:45,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.82,0,6.75,31.51,36.62,17.35,50,31.51,0,100,75,0,36.62,520.02

88,21:45-22:00,0,0,48.18,0,0,0.63,0,0,40.48,0,0,31.8,6.75,6.82,0,6.75,31.51,36.62,17.35,50,31.51,0,100,75,0,36.62,520.02

89,22:00-22:15,0,0,48.18,0,0,0.53,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,31.51,36.62,17.35,50,31.51,237.82,100,75,0,36.62,885.1899999999999

90,22:15-22:30,0,0,48.18,0,0,0.53,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,31.51,36.62,17.35,50,31.51,237.82,100,75,0,36.62,885.1899999999999

91,22:30-22:45,0,0,48.18,0,0,0.53,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,31.51,36.62,17.35,50,31.51,237.82,100,75,0,36.62,885.1899999999999

92,22:45-23:00,0,0,48.18,0,0,0.53,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,31.51,36.62,17.35,50,31.51,237.82,100,75,0,36.62,885.1899999999999

93,23:00-23:15,0,0,48.18,0,0,0.48,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,32,36.62,17.35,50,0,237.82,0,75,0,36.62,754.12

94,23:15-23:30,0,0,48.18,0,0,0.48,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,32,36.62,17.35,50,0,237.82,0,75,0,36.62,754.12

95,23:30-23:45,0,0,48.18,0,0,0.48,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,32,36.62,17.35,50,0,237.82,0,75,0,36.62,754.12

96,23:45-24:00,0,0,48.18,0,0,0.48,24.09,24.09,40.48,0,0,31.8,6.75,6.82,79.27,6.75,32,36.62,17.35,50,0,237.82,0,75,0,36.62,754.12

