Time,Block,NR/2023/17496/F,NR/2023/17654/C,NR/2023/17261/F,NR/2023/17344/F,NR/2023/17406/F,NR/2023/17165/A,NR/2023/17405/F,NR/2023/14754/A,NR/2023/17662/C,NR/2023/14436/A,NR/2023/17649/C,NR/2023/17510/F,NR/2023/17661/C,Total
20,04:45-05:00,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

21,05:00-05:15,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

22,05:15-05:30,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

23,05:30-05:45,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

24,05:45-06:00,6.760000,0,54.110000,0.530000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,197.92

25,06:00-06:15,6.760000,0,0.000000,0.580000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.67

26,06:15-06:30,6.760000,0,0.000000,0.580000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.67

27,06:30-06:45,6.760000,0.1,0.000000,0.580000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.77

28,06:45-07:00,6.760000,0.51,0.000000,0.580000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,121.18

29,07:00-07:15,6.760000,0.86,0.000000,0.680000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,121.63

30,07:15-07:30,6.760000,1.26,0.000000,0.680000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,122.03

31,07:30-07:45,6.760000,1.59,0.000000,0.680000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,122.36

32,07:45:08:00,6.760000,1.74,0.000000,0.680000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,122.51

33,08:00-08:15,6.760000,1.86,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,122.92

34,08:15-08:30,6.760000,1.93,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,122.99

35,08:30-08:45,6.760000,2.13,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,123.19

36,08:45:09:00,6.760000,2.32,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,123.38

37,09:00:09:15,6.760000,4.39,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,178.6

38,09:15-09:30,6.760000,5.49,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,179.7

39,09:30-09:45,6.760000,6.38,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,180.59

40,09:45-10:00,6.760000,6.54,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,180.75

41,10:00-10:15,6.760000,6.88,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,181.09

42,10:15-10:30,6.760000,7.23,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,181.44

43,10:30-10:45,6.760000,7.99,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.2

44,10:45-11:00,6.760000,8.11,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.32

45,11:00-11:15,6.760000,8.46,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.67

46,11:15-11:30,6.760000,8.66,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.87

47,11:30-11:45,6.760000,8.68,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.89

48,11:45-12:00,6.760000,8.79,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,183

49,12:00-12:15,6.760000,8.83,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,183.04

50,12:15-12:30,6.760000,8.81,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,183.02

51,12:30-12:45,6.760000,8.3,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.51

52,12:45-13:00,6.760000,6.82,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,181.03

53,13:00-13:15,6.760000,5.03,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,179.24

54,13:15-13:30,6.760000,8.3,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.51

55,13:30-13:45,6.760000,8.24,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.45

56,13:45-14:00,6.760000,7.88,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,182.09

57,14:00-14:15,6.760000,7.51,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,181.72

58,14:15-14:30,6.760000,7.1,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,181.31

59,14:30-14:45,6.760000,6.57,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,180.78

60,14:45-15:00,6.760000,5.8,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,180.01

61,15:00-15:15,6.760000,4.83,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,179.04

62,15:15-15:30,6.760000,4.25,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,178.46

63,15:30-15:45,6.760000,3.38,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,177.59

64,15:45-16:00,6.760000,3.09,0.000000,0.970000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,177.3

65,16:00-16:15,6.760000,2.9,0.000000,0.870000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,177.01

66,16:15-16:30,6.760000,2.71,0.000000,0.870000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,176.82

67,16:30-16:45,6.760000,2.42,0.000000,0.870000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,176.53

68,16:45-17:00,6.760000,2.13,0.000000,0.870000,4.350000,62.810000,4.830000,0.000000,24.16,33.820000,6.520000,1.000000,28.990000,176.24

69,17:00-17:15,6.760000,1.4,0.000000,0.770000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,122.26

70,17:15-17:30,6.760000,1.06,0.000000,0.770000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,121.92

71,17:30-17:45,6.760000,0.8,0.000000,0.770000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,121.66

72,17:45-18:00,6.760000,0.44,0.000000,0.770000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,121.3

73,18:00-18:15,6.760000,0.18,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.99

74,18:15-18:30,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

75,18:30-18:45,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

76,18:45-19:00,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

77,19:00-19:15,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

78,19:15-19:30,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

79,19:30-19:45,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

80,19:45-20:00,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

81,20:00-20:15,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

82,20:15-20:30,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

83,20:30-20:45,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

84,20:45-21:00,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

85,21:00-21:15,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

86,21:15-21:30,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

87,21:30-21:45,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

88,21:45-22:00,6.760000,0,0.000000,0.720000,4.350000,62.810000,4.830000,0.000000,0,33.820000,6.520000,1.000000,0.000000,120.81

89,22:00-22:15,6.760000,0,54.110000,0.680000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.07

90,22:15-22:30,6.760000,0,54.110000,0.680000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.07

91,22:30-22:45,6.760000,0,54.110000,0.680000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.07

92,22:45-23:00,6.760000,0,54.110000,0.680000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.07

93,23:00-23:15,6.760000,0,54.110000,0.630000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.02

94,23:15-23:30,6.760000,0,54.110000,0.630000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.02

95,23:30-23:45,6.760000,0,54.110000,0.630000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.02

96,23:45-24:00,6.760000,0,54.110000,0.630000,4.350000,62.810000,4.830000,23.190000,0,33.820000,6.520000,1.000000,0.000000,198.02

