Column1,Block,NR/2025/31138/A/92767,NR/2025/29985/A/92747,NR/2025/31136/A/92758,NR/2025/32510/C,NR/2025/31138/A/92768,NR/2025/31420/A/92479,NR/2025/31347/A/92275,GNARE/NR/2024/12/20/3668,NR/2025/31419/A/92481,NR/2025/32485/C,NR/2025/32528/C,NR/2025/29352/A/92529,NR/2025/32419/C,NR/2025/30105/A/92954,NR/2025/27978/A/92857,NR/2025/32474/C,NR/2025/29910/A/92962,NR/2025/32530/C,NR/2025/29992/A/92735,NR/2025/32522/C,NR/2025/30121/A/92278,NR/2025/30083/A/92959,NR/2025/29167/A/92313,NR/2025/32526/C,NR/2025/29439/A/92415,NR/2025/30086/A/92957,NR/2025/32513/C,NR/2025/29440/A/92260,NR/2025/30191/A/92276,NR/2025/30101/A/92853,NR/2025/31780/A/92744,NR/2025/32458/C,NR/2025/30084/A/92958,NR/2025/32498/C,NR/2025/32529/C,NR/2025/30082/A/92811,NR/2025/29628/A/92964,NR/2025/30067/A/92816,NR/2025/32516/C,NR/2025/32499/C,NR/2025/27973/A/92794,NR/2025/31870/A/92373,NR/2025/27975/A/92793,NR/2025/28728/A/92792,NR/2025/29353/A/92527,NR/2025/30217/A/92953,NR/2025/27965/A/92796,NR/2025/32415/C,NR/2025/27966/A/92795,NR/2025/32464/C,NR/2025/29915/A/92311,NR/30092023/31122025/SH-07,NR/2025/32527/C,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/23/7329,NR/2025/31137/A/92766,NR/2025/31136/A/92759,NR/2025/31137/A/92761,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/01/2786,NR/30092023/26122029/SH-06,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.92,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,15.39,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.45,20.79,192.76,43.8,30,2190.67

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.92,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.45,20.79,192.76,43.8,30,2198.92

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.77,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.36,20.79,192.76,43.8,30,2198.6800000000003

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.77,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.36,20.79,192.76,43.8,30,2198.6800000000003

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.77,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.36,20.79,192.76,43.8,30,2198.6800000000003

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,25.14,26.28,0,0.77,48.19,48.19,96.38,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.36,20.79,192.76,43.8,30,2198.6800000000003

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.67,48.19,48.19,0,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.26,20.79,192.76,43.8,30,2076.96

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.67,48.19,48.19,0,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.26,20.79,192.76,43.8,30,2076.96

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.67,48.19,48.19,0,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.26,20.79,192.76,43.8,30,2076.96

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.67,48.19,48.19,0,0,26.28,0,0,48.19,106.02,204.81,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,20.48,23.64,0,49.15,0,15.28,19.28,96.38,159.03,0,0,0,18.26,20.79,192.76,43.8,30,2076.96

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1773.11

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1773.11

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1773.11

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,54.21,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,96.38,12.53,0,96.38,96.38,7.71,96.38,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1773.11

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,12.53,0,96.38,96.38,7.71,0,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1526.1399999999999

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,12.53,0,96.38,96.38,7.71,0,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1526.1399999999999

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,12.53,0,96.38,96.38,7.71,0,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1526.1399999999999

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,19.28,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,12.53,0,96.38,96.38,7.71,0,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.17,20.79,192.76,43.8,30,1526.1399999999999

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,12.53,0,96.38,96.38,7.71,0,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.08,20.79,192.76,43.8,30,1523.3899999999996

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,12.53,0,96.38,96.38,7.71,0,0,0,0,0,23.64,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.08,20.79,192.76,43.8,30,1523.3899999999996

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.08,20.79,192.76,43.8,30,1525.2899999999997

24,05:45-06:00,0,1,0,0,0,0,0,0.17,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.63,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0,0,0,18.08,20.79,192.76,43.8,30,1526.4599999999998

25,06:00-06:15,0.03,3,0.09,0,0,0,0,0.72,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.82,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0,0,0.03,18.08,20.79,192.76,43.8,26.5,1525.8499999999997

26,06:15-06:30,0.05,7,0.19,0,0,0,0,1.26,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.82,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0,0,0.05,18.08,20.79,192.76,43.8,26.5,1530.5299999999997

27,06:30-06:45,0.07,11,0.25,0.84,0,0,0,3.86,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.82,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0,0,0.13,18.08,20.79,192.76,43.8,26.5,1538.1299999999999

28,06:45-07:00,0.09,14,0.37,1.38,0.03,0,0,6.23,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.82,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.03,0.05,0.18,18.08,20.79,192.76,43.8,26.5,1544.34

29,07:00-07:15,0.1,21,0.39,1.98,0.11,0,0,9.68,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.87,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.11,0.16,0.19,17.98,20.79,192.76,43.8,26.5,1555.65

30,07:15-07:30,0.19,28,0.39,2.98,0.17,0,0,13.17,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.87,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.17,0.28,0.19,17.98,20.79,192.76,43.8,26.5,1567.47

31,07:30-07:45,0.19,39,0.39,3.86,0.28,0,0,16.73,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.87,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.33,0.42,0.19,17.98,20.79,192.76,43.8,26.5,1583.32

32,07:45-08:00,0.19,49,0.39,5.26,0.34,0,0,20.37,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.87,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.39,0.96,0.29,17.98,20.79,192.76,43.8,26.5,1599.1200000000003

33,08:00-08:15,0.19,53,0.39,6.2,0.44,1.64,9.64,25.01,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.96,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.52,0.96,0.29,17.98,20.79,192.76,43.8,26.5,1620.3

34,08:15-08:30,0.19,63,0.39,8.55,0.53,1.64,9.64,29.7,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.96,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,11.57,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.98,20.79,192.76,43.8,26.5,1637.68

35,08:30-08:45,0.19,74,0.39,5.89,0.58,1.64,9.64,31.69,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.96,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,13.49,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.98,20.79,192.76,43.8,26.5,1649.9799999999998

36,08:45-09:00,0.19,84,0.48,5.89,0.67,1.64,9.64,36,0,0,0,33.73,0,17.52,96.38,0,16.62,0,44.33,192.76,6.75,8.76,0,0,0,26.28,0,0.96,48.19,48.19,0,0,26.28,0,0,48.19,76.74,0,0,0,0,13.49,0,96.38,96.38,7.71,0,0,0,0,0,26.5,0,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.98,20.79,192.76,43.8,26.5,1664.47

37,09:00-09:15,0.19,95,0.48,5.89,0.67,1.64,9.64,41.94,0,0.96,29.2,33.73,48.19,0,0,96.38,0,30.21,0,192.76,0,0,0,14.6,0,0,48.19,0,0,0,0,44.33,0,76.74,7.71,0,0,0,96.38,16.62,0,13.49,0,0,96.38,0,0,6.75,0,48.19,0,26.61,30.21,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.9,20.79,192.76,43.8,26.61,1706.9299999999998

38,09:15-09:30,0.19,105,0.48,6.87,0.67,1.64,9.64,44.27,0,0.96,29.2,33.73,48.19,0,0,96.38,0,30.21,0,192.76,0,0,0,14.6,0,0,48.19,0,0,0,0,44.33,0,76.74,7.71,0,0,0,96.38,16.62,0,13.49,0,0,96.38,0,0,6.75,0,48.19,0,26.61,30.21,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.9,20.79,192.76,43.8,26.61,1720.2399999999998

39,09:30-09:45,0.19,126,0.48,6.87,0.67,1.64,9.64,64.22,0,0.96,29.2,33.73,48.19,0,0,96.38,0,30.21,0,192.76,0,0,0,14.6,0,0,48.19,0,0,0,0,44.33,0,76.74,7.71,0,0,0,96.38,16.62,0,13.49,0,0,96.38,0,0,6.75,0,48.19,0,26.61,30.21,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.9,20.79,192.76,43.8,26.61,1761.1899999999996

40,09:45-10:00,0.19,137,0.48,7.85,0.67,1.64,9.64,70.42,0,0.96,29.2,33.73,48.19,0,0,96.38,0,30.21,0,192.76,0,0,0,14.6,0,0,48.19,0,0,0,0,44.33,0,76.74,7.71,0,0,0,96.38,16.62,0,13.49,0,0,96.38,0,0,6.75,0,48.19,0,26.61,30.21,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.9,20.79,192.76,43.8,26.61,1779.37

41,10:00-10:15,0.19,147,0.48,7.85,0.67,1.64,9.64,74.82,1.45,0.96,29.2,33.73,48.19,0,0,96.38,0,30.21,0,192.76,0,0,0,14.6,0,0,48.19,0,0,0,0,44.33,0,76.74,7.71,0,0,0,96.38,16.62,0,13.49,0,0,96.38,0,0,6.75,0,48.19,0,26.61,30.21,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.9,20.79,192.76,43.8,26.61,1795.2199999999998

42,10:15-10:30,0.19,154,0.48,7.85,0.67,1.64,9.64,78.75,1.45,0.96,29.2,33.73,48.19,0,0,96.38,0,30.21,0,192.76,0,0,0,14.6,0,0,48.19,0,0,0,0,44.33,0,76.74,7.71,0,0,0,96.38,16.62,0,13.49,0,0,96.38,0,0,6.75,0,48.19,0,26.61,30.21,0,0,15.28,19.28,96.38,159.03,0.77,0.96,0.29,17.9,20.79,192.76,43.8,26.61,1806.1499999999996

