Column1,Block,NR/2025/31138/A/87943,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/87637,NR/2025/31132/A/87666,NR/2025/31136/A/87919,NR/2025/31137/A/87922,NR/2025/31200/A/87900,NR/2025/31136/A/87920,NR/2025/30334/A/87440,NR/2025/31137/A/87921,NR/2025/31138/A/87945,NR/2025/31331/C,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2236,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/2025/31326/C,NR/2025/29353/A/87481,NR/2025/27970/A/88040,NR/2025/27968/A/88041,NR/2025/31326/C/Alternate/1,NR/2025/31248/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2025/31289/C,NR/2025/31307/C,NR/2025/31321/C,NR/2025/30121/A/87445,NR/2025/30101/A/87957,NR/2025/31290/C,NR/2025/31308/C,NR/2025/27978/A/87972,NR/2025/29167/A/87528,NR/2025/29439/A/87590,NR/2025/30082/A/87961,NR/2025/26975/A/87974,NR/2025/30191/A/87441,NR/2025/31304/C,NR/2025/31305/C,NR/2025/31291/C,NR/2025/31306/C,NR/2025/30067/A/88056,NR/2025/28725/A/88039,NR/2025/31272/C,NR/2025/31284/C,NR/2025/29915/A/87527,NR/2025/29352/A/87484,NR/2025/30083/A/87956,NR/2025/29910/A/87966,NR/2025/27964/A/88042,NR/2025/29992/A/87595,NR/2025/27963/A/88043,NR/2025/31126/A/87616,NR/2025/30822/A/87635,NR/2025/31299/C,NR/2025/31233/C,NR/2025/29440/A/87508,NR/2025/31300/C,NR/2025/30086/A/87949,NR/2025/31287/C,NR/2025/29628/A/87968,NR/2025/30084/A/87954,NR/2025/27962/A/88044,NR/2025/31230/C,NR/2025/30217/A/87946,NR/2025/30105/A/87947,NR/2025/31320/C,Total
83,20:30-20:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,29,29,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,76.58,43.71,96.18,0,7.69,29.14,0,2180.8299999999995

84,20:45-21:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,29,29,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,76.58,43.71,96.18,0,7.69,29.14,0,2180.8299999999995

85,21:00-21:15,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,29,29,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2210.0499999999993

86,21:15-21:30,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,29,29,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2210.0499999999993

87,21:30-21:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,28.48,28.48,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2209.0099999999993

88,21:45-22:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,28.48,28.48,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2209.0099999999993

89,22:00-22:15,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,28.48,28.48,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2209.0099999999993

90,22:15-22:30,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,192.36,81.75,144.27,0,0,0,28.48,28.48,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,13.47,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2209.0099999999993

91,22:30-22:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,84.34,81.75,144.27,0,108.02,0,28.31,28.31,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,12.5,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2207.6999999999994

92,22:45-23:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,89.19,81.75,144.27,0,103.17,0,28.31,28.31,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,12.5,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2207.6999999999994

93,23:00-23:15,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,91.59,81.75,144.27,0,100.77,0,28.31,28.31,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,12.5,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2207.6999999999994

94,23:15-23:30,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,94.4,81.75,144.27,0,97.96,0,28.31,28.31,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,12.5,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2207.6999999999994

95,23:30-23:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,97.21,81.75,144.27,0,95.15,0,28.31,28.31,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,25.97,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,12.5,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2207.6999999999994

96,23:45-24:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,0,0,224.82,81.75,12.71,0,106.13,81.75,144.27,0,86.23,0,28.31,28.31,0,0,0,6.73,48.09,0,0,96.18,54.1,25.08,48.09,26.11,48.09,0,0,0,0,0,143.07,0,0,0,28.61,14.57,19.24,144.27,44.24,0,12.5,134.65,0,0,0.91,0,37.16,0,105.8,43.71,96.18,0,7.69,29.14,0,2207.8399999999992

