Column1,Block,NR/2025/31138/A/87943,GNARE/NR/2024/12/20/3668,NR/2025/29985/A/87637,NR/2025/31132/A/87666,NR/2025/31136/A/87919,NR/2025/31137/A/87922,NR/2025/31200/A/87900,NR/2025/31136/A/87920,NR/2025/30334/A/87440,NR/2025/31137/A/87921,NR/2025/31138/A/87945,NR/2025/31331/C,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2236,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/2025/31326/C,NR/2025/29353/A/87481,NR/2025/27970/A/88040,NR/2025/27968/A/88041,NR/2025/31326/C/Alternate/1,NR/2025/31248/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2025/31289/C,NR/2025/31307/C,NR/2025/31321/C,NR/2025/30121/A/87445,NR/2025/30101/A/87957,NR/2025/31290/C,NR/2025/31308/C,NR/2025/27978/A/87972,NR/2025/29167/A/87528,NR/2025/29439/A/87590,NR/2025/30082/A/87961,NR/2025/26975/A/87974,NR/2025/30191/A/87441,NR/2025/31304/C,NR/2025/31305/C,NR/2025/31291/C,NR/2025/31306/C,NR/2025/30067/A/88056,NR/2025/28725/A/88039,NR/2025/31272/C,NR/2025/31284/C,NR/2025/29915/A/87527,NR/2025/29352/A/87484,NR/2025/30083/A/87956,NR/2025/29910/A/87966,NR/2025/27964/A/88042,NR/2025/29992/A/87595,NR/2025/27963/A/88043,NR/2025/31126/A/87616,NR/2025/30822/A/87635,NR/2025/31299/C,NR/2025/31233/C,NR/2025/29440/A/87508,NR/2025/31300/C,NR/2025/30086/A/87949,NR/2025/31287/C,NR/2025/29628/A/87968,NR/2025/30084/A/87954,NR/2025/27962/A/88044,NR/2025/31230/C,NR/2025/30217/A/87946,NR/2025/30105/A/87947,NR/2025/31320/C,Total
18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.84,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,19.24,0,44.24,0,12.5,0,0,0,0.63,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1645.6100000000001

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.84,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,19.24,0,44.24,0,12.5,0,0,0,0.63,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1645.6100000000001

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.84,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,19.24,0,44.24,0,12.5,0,0,0,0.63,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1645.6100000000001

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.75,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,12.5,0,0,0,0.63,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1642.86

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.75,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,12.5,0,0,0,0.63,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1642.86

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.75,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,11.54,0,0,0,0.63,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1641.8999999999999

24,05:45-06:00,0,0.63,1,0,0,0,0,0,0,0,0,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.75,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,11.54,0,0,0,0.63,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1643.53

25,06:00-06:15,0,4.25,3,0,0,0.02,0,0.02,0,0,0.02,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.66,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,11.54,0,0,0,0.82,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1649.3099999999997

26,06:15-06:30,0,6.41,7,0,0,0.03,0,0.03,0,0,0.03,0,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.66,0,192.36,81.75,0,0,0,0,26.26,26.26,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,11.54,0,0,0,0.82,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1654.1399999999996

27,06:30-06:45,0,8.57,11,0,0,0.07,0,0.07,0,0,0.07,0.35,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.66,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,11.54,0,0,0,0.82,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1662.1299999999997

28,06:45-07:00,0.01,10.73,14,0,0.01,0.09,0,0.18,0,0.02,0.09,0.57,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.66,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,11.54,0,0,0,0.82,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1667.6999999999996

29,07:00-07:15,0.11,14.71,21,0,0.11,0.1,0,0.19,0,0.11,0.1,0.82,43.71,20.75,134.89,19.24,15.24,224.82,81.75,16.57,0,192.36,81.75,0,0,0,0,26.94,26.94,0,0,0,6.73,48.09,0,0,96.18,0,0,48.09,5.77,48.09,0,0,0,0,0,143.07,0,0,0,28.61,8.74,16.58,0,44.24,0,11.54,0,0,0,0.87,0,26.23,0,76.58,26.23,96.18,0,7.69,17.49,0,1679.2099999999998

