Column1,Block,NR/2025/31347/A/92590,NR/2025/31136/A/93092,NR/2025/31419/A/93103,NR/2025/31136/A/93093,NR/2025/30067/A/93138,NR/2025/31420/A/93102,NR/2025/31137/A/93094,NR/2025/31137/A/93095,NR/2025/29628/A/93060,NR/2025/31138/A/93096,NR/2025/31138/A/93098,NR/2025/29167/A/92648,NR/2025/28728/A/93073,NR/2025/29440/A/92580,NR/2025/30105/A/93052,NR/2025/32586/C,NR/2025/32564/C,NR/2025/27975/A/93212,NR/2025/32606/C,NR/2025/32542/C,NR/2025/32533/C,NR/2025/27965/A/93208,NR/2025/27973/A/93211,NR/2025/32607/C,NR/2025/31780/A/92745,NR/2025/27966/A/93210,NR/2025/27978/A/93184,NR/2025/29915/A/92647,NR/2025/32597/C,NR/2025/29910/A/93058,NR/2025/32604/C,NR/2025/29992/A/92736,NR/2025/32575/C,NR/2025/32590/C,NR/2025/32600/C,NR/2025/29439/A/92776,NR/2025/32488/C,NR/2025/32501/C,NR/2025/30083/A/93055,NR/2025/32602/C,NR/2025/30191/A/92592,NR/2025/31870/A/92729,NR/2025/29352/A/93108,NR/2025/32506/C,NR/2025/30082/A/93130,NR/2025/29353/A/93107,NR/2025/30101/A/93185,NR/2025/30217/A/93051,NR/2025/30121/A/92594,NR/2025/32574/C,GNA/NR/2025/07/01/2786,NR/2025/30086/A/93053,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/8154,NR/2025/30084/A/93054,GNA/NR/2025/07/16/7255,GNA/NR/2025/07/23/7329,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/3109,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNARE/NR/2024/12/20/3668,NR/2025/32609/C,NR/2025/29985/A/92748,Total
3,00:30-00:45,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.92,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1998.0900000000004

4,00:45-01:00,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.92,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1998.0900000000004

5,01:00-01:15,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.77,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1997.9400000000003

6,01:15-01:30,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.77,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1997.9400000000003

7,01:30-01:45,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.77,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1997.9400000000003

8,01:45-02:00,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.77,17.52,0,0,0,0,0,0,96.38,96.38,0,96.38,0,0,16.74,192.76,19.28,0,44.33,0,0,0,25.14,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1997.9400000000003

9,02:00-02:15,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.67,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,16.74,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1876.3200000000004

10,02:15-02:30,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.67,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,16.74,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1876.3200000000004

11,02:30-02:45,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.67,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,16.74,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1876.3200000000004

12,02:45-03:00,0,0,0,0,204.81,0,0,0,106.02,0,0,54.21,81.92,0.67,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,16.74,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,49.15,19.28,26.93,26.93,18.73,0,0,0,1876.3200000000004

13,03:00-03:15,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.63,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,18.63,0,0,0,1576.1999999999998

14,03:15-03:30,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.63,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,18.63,0,0,0,1576.1999999999998

15,03:30-03:45,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.63,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,18.63,0,0,0,1576.1999999999998

16,03:45-04:00,0,0,0,0,0,0,0,0,76.74,0,0,54.21,81.92,0.63,17.52,0,0,0,0,0,0,96.38,96.38,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,18.63,0,0,0,1576.1999999999998

17,04:00-04:15,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0,0,0,1324.25

18,04:15-04:30,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0,0,0,1324.25

19,04:30-04:45,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0,0,0,1324.25

20,04:45-05:00,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,19.28,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0,0,0,1324.25

21,05:00-05:15,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0,0,0,1321.59

22,05:15-05:30,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,12.53,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0,0,0,1321.59

23,05:30-05:45,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0,0,0,1320.6299999999999

24,05:45-06:00,0,0,0,0,0,0,0,0,76.74,0,0,0,81.92,0.63,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0.08,0,1,1321.7099999999998

25,06:00-06:15,0,0.01,0,0,0,0,0,0,76.74,0,0,0,81.92,0.82,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0.44,0,3,1324.27

26,06:15-06:30,0,0.06,0,0,0,0,0.02,0,76.74,0.02,0,0,81.92,0.82,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,0.8,0,7,1328.72

27,06:30-06:45,0,0.12,0,0,0,0,0.06,0,76.74,0.03,0,0,81.92,0.82,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,3.37,0.84,11,1336.2399999999998

28,06:45-07:00,0,0.21,0,0,0,0,0.11,0,76.74,0.05,0,0,81.92,0.82,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,13.65,5.27,1.38,14,1341.8400000000001

29,07:00-07:15,0,0.33,0,0.03,0,0,0.16,0.02,76.74,0.09,0.02,0,81.92,0.87,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,9.53,1.98,21,1351.26

30,07:15-07:30,0,0.39,0,0.13,0,0,0.19,0.09,76.74,0.19,0.09,0,81.92,0.87,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,14.33,2.98,28,1364.49

31,07:30-07:45,0,0.39,0,0.25,0,0,0.19,0.2,76.74,0.19,0.17,0,81.92,0.87,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,19.37,3.86,42,1384.7199999999998

32,07:45-08:00,0,0.39,0,0.96,0,0,0.29,0.24,76.74,0.19,0.21,0,81.92,0.87,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,24.55,5.26,53,1403.19

33,08:00-08:15,9.64,0.39,0,0.96,0,1.64,0.29,0.35,76.74,0.19,0.3,0,81.92,0.96,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,30.73,6.2,67,1435.88

34,08:15-08:30,9.64,0.39,0,0.96,0,1.64,0.29,0.51,76.74,0.19,0.39,0,81.92,0.96,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,11.57,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,36.85,8.55,77,1454.6

35,08:30-08:45,9.64,0.39,0,0.96,0,1.64,0.29,0.62,76.74,0.19,0.46,0,81.92,0.96,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,42.9,5.89,95,1478.0900000000001

36,08:45-09:00,9.64,0.48,0,0.96,0,1.64,0.29,0.69,76.74,0.19,0.61,0,81.92,0.96,17.52,0,0,0,0,0,0,0,0,0,0,0,0,0,192.76,16.62,0,44.33,0,0,0,0,0,0,8.76,0,48.19,13.49,28.67,0,48.19,81.92,48.19,7.71,6.75,0,43.8,26.28,81.92,20.79,26.28,163.85,135.17,0,15.28,0,19.28,26.93,26.93,10.88,49.07,5.89,109,1498.57

37,09:00-09:15,9.64,0.48,0,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,10.88,54.22,5.89,123,1543.2600000000002

38,09:15-09:30,9.64,0.48,0,0.96,0,1.64,0.29,0.76,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,10.88,59.36,6.87,133,1559.37

39,09:30-09:45,9.64,0.48,0,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,10.88,72.22,6.87,133,1572.24

40,09:45-10:00,9.64,0.48,0,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,10.88,77.53,7.85,144,1589.53

41,10:00-10:15,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,82.36,7.85,151,1605.12

42,10:15-10:30,9.64,0.48,1.45,0.96,0,1.64,0.29,0.77,0,0.19,0.67,0,0,0,0,0,0.96,0,7.71,81.92,48.19,0,0,30.21,0,0,0,0,192.76,0,29.2,0,16.62,48.19,14.6,0,48.19,44.33,0,30.21,0,13.49,28.67,6.75,0,81.92,0,0,0,76.74,43.8,0,81.92,20.79,0,163.85,135.17,0,15.28,0,19.28,26.94,26.94,13.19,86.71,7.85,158,1616.47

