Time,Block,NR/2023/10611/A,NR/2023/11862/F,NR/2023/10229/A,NR/2023/11961/F,NR/2023/11476/A,NR/2023/10236/A,NR/2023/11957/F,NR/2023/11342/A,NR/2023/11941/F,NR/2023/11955/F,NR/2023/11963/F,NR/2023/10434/A,NR/2023/11956/F,NR/2023/11959/F,NR/2023/10344/A,NR/2023/11642/A,NR/2023/10944/A,NR/2023/11330/A,NR/2023/12319/D,NR/2023/10613/A,NR/2023/11958/F,NR/2023/11962/F,NR/2023/12334/C,NR/2023/11960/F,NR/2023/11643/A,NR/2023/11947/F,NR/2023/12333/C,NR/2023/10487/A,NR/2023/12327/C,NR/2023/11952/F,NR/2023/12317/D,NR/2023/12324/D,NR/2023/12323/D,Total

3,00:30-00:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.670000,41.430000,29.550000,36.350000,0,0,0,845.56

4,00:45-01:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.670000,41.430000,29.550000,36.350000,0,0,0,845.56

5,01:00-01:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.580000,41.430000,29.550000,36.350000,0,0,0,845.47

6,01:15-01:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.580000,41.430000,29.550000,36.350000,0,0,0,845.47

7,01:30-01:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.580000,41.430000,29.550000,36.350000,0,0,0,845.47

8,01:45-02:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.580000,41.430000,29.550000,36.350000,0,0,0,845.47

9,02:00-02:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.480000,41.430000,29.550000,36.350000,0,0,0,845.37

10,02:15-02:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.480000,41.430000,29.550000,36.350000,0,0,0,845.37

11,02:30-02:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.480000,41.430000,29.550000,36.350000,0,0,0,845.37

12,02:45-03:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.480000,41.430000,29.550000,36.350000,0,0,0,845.37

13,03:00-03:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.400000,41.430000,29.550000,0.000000,0,0,0,808.94

14,03:15-03:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.400000,41.430000,29.550000,0.000000,0,0,0,808.94

15,03:30-03:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.400000,41.430000,29.550000,0.000000,0,0,0,808.94

16,03:45-04:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.400000,41.430000,29.550000,0.000000,0,0,0,808.94

17,04:00-04:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.300000,41.430000,28.540000,0.000000,0,0,0,807.83

18,04:15-04:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.300000,41.430000,28.540000,0.000000,0,0,0,807.83

19,04:30-04:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.300000,41.430000,28.540000,0.000000,0,0,0,807.83

20,04:45-05:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,12.620000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.300000,41.430000,28.540000,0.000000,0,0,0,807.83

21,05:00-05:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.210000,41.430000,28.540000,0.000000,0,0,0,795.12

22,05:15-05:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.210000,41.430000,28.540000,0.000000,0,0,0,795.12

23,05:30-05:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.210000,41.430000,28.540000,0.000000,0,0,0,795.12

24,05:45-06:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,23.120000,53.960000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.210000,41.430000,28.540000,0.000000,0,0,0,795.12

25,06:00-06:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.120000,41.430000,28.540000,0.000000,0,0,0,717.95

26,06:15-06:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.120000,41.430000,28.540000,0.000000,0,0,0,717.95

27,06:30-06:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.120000,41.430000,28.540000,0.000000,0,0,0,717.95

28,06:45-07:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.120000,41.430000,28.540000,0.000000,0,1.5,3.5,722.95

29,07:00-07:15,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.030000,41.430000,26.500000,0.000000,0,8.1,18.9,742.82

30,07:15-07:30,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.030000,41.430000,26.500000,0.000000,0.1,14.1,32.9,762.92

31,07:30-07:45,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.030000,41.430000,26.500000,0.000000,0.42,18,42,776.24

32,07:45:08:00,9.920000,2.890000,42.740000,0.690000,48.180000,213.720000,0.710000,115.620000,62.630000,0.360000,0.410000,24.090000,0.370000,0.640000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.640000,13.010000,6.740000,10.030000,41.430000,26.500000,0.000000,0.86,24,56,796.68

33,08:00-08:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.930000,41.430000,26.500000,0.000000,1.17,32.7,76.3,825.89

34,08:15-08:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.930000,41.430000,26.500000,0.000000,1.17,37.5,87.5,841.89

35,08:30-08:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.930000,41.430000,26.500000,0.000000,1.17,43.5,101.5,861.89

36,08:45:09:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.930000,41.430000,26.500000,0.000000,2.99,49.5,115.5,883.71

37,09:00:09:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,28.540000,0.000000,3.76,54.3,126.7,902.43

38,09:15-09:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,28.540000,0.000000,4.53,61.5,143.5,927.2

39,09:30-09:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,28.540000,0.000000,4.53,66,154,942.2

40,09:45-10:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.840000,41.430000,28.540000,0.000000,4.75,70.8,165.2,958.42

41,10:00-10:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,28.540000,0.000000,4.73,73.8,172.2,968.31

42,10:15-10:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,28.540000,0.000000,4.73,76.5,178.5,977.31

43,10:30-10:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,28.540000,0.000000,5.69,78,182,983.27

44,10:45-11:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.750000,41.430000,28.540000,0.000000,6.17,78,182,983.75

45,11:00-11:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.910000,41.430000,28.540000,0.000000,6.94,78,182,982.68

46,11:15-11:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.910000,41.430000,28.540000,0.000000,7.14,78.3,182.7,983.88

47,11:30-11:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.910000,41.430000,28.540000,0.000000,7.81,79.2,184.8,987.55

48,11:45-12:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.910000,41.430000,28.540000,0.000000,8.01,79.2,184.8,987.75

49,12:00-12:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.810000,41.430000,28.540000,0.000000,8.1,79.5,185.5,988.74

50,12:15-12:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.810000,41.430000,28.540000,0.000000,8.2,79.5,185.5,988.84

51,12:30-12:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.810000,41.430000,28.540000,0.000000,8.2,79.5,185.5,988.84

52,12:45-13:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.810000,41.430000,28.540000,0.000000,8.49,79.5,185.5,989.13

53,13:00-13:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,8.68,79.2,184.8,988.24

54,13:15-13:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,9.07,79.2,184.8,988.63

55,13:30-13:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,8.68,79.2,184.8,988.24

56,13:45-14:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,8.58,79.2,184.8,988.14

57,14:00-14:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,8.11,78.6,183.4,985.67

58,14:15-14:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,8.05,78,182,983.61

59,14:30-14:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,8.1,78,182,983.66

60,14:45-15:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,7.730000,41.430000,28.540000,0.000000,7.81,75.3,175.7,974.37

61,15:00-15:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.570000,41.430000,30.570000,0.000000,6.85,70.5,164.5,961.28

62,15:15-15:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.570000,41.430000,30.570000,0.000000,6.85,66.6,155.4,948.28

63,15:30-15:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.570000,41.430000,30.570000,0.000000,6.85,61.5,143.5,931.28

64,15:45-16:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.570000,41.430000,30.570000,0.000000,6.08,57,133,915.51

65,16:00-16:15,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,30.570000,0.000000,6.03,51.9,121.1,898.54

66,16:15-16:30,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,30.570000,0.000000,4.82,46.8,109.2,880.33

67,16:30-16:45,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,66.870000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,30.570000,0.000000,3.67,40.2,93.8,857.18

68,16:45-17:00,9.920000,2.890000,42.740000,0.680000,48.180000,213.720000,0.700000,115.620000,62.630000,0.360000,0.410000,24.090000,0.350000,0.660000,12.210000,14.450000,0.000000,0.000000,69.080000,0.000000,0.560000,0.410000,0.000000,0.660000,13.010000,6.740000,9.650000,41.430000,30.570000,0.000000,3.57,34.2,79.8,839.29

