Column1,Block,GNA/NR/2025/01/01/8738,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/20/5216,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/20/4168,SR/2024/15456/A/50932,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/6775,NR/2025/25028/C,NR/2025/24838/A/51254,NR/2024/24507/A/51260,NER/2024/2820/A/51248,NR/2024/24434/A/50943,NR/2024/24418/A/50944,NR/2025/25029/C,NR/2025/25030/C,NR/2025/25039/C,NR/2024/24566/A/50934,NR/2025/24839/A/51263,NR/2025/24837/A/51252,NR/2024/24508/A/51259,NR/2024/24614/A/51258,NR/2024/24435/A/50942,NR/2025/25038/C,WR/2024/25501/A/51251,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/20/9046,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/8058,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/01/3514,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/01/3945,Total
19,04:30-04:45,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.2,3,8.65,26.92,0,19.23,0,23.08,349.03000000000003

20,04:45-05:00,30.77,3,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0,17.31,0,0,0.38,0,0,0,5.77,0,0,8.74,0,9.62,0,0,0,48.08,0,1.2,3,8.65,26.92,0,19.23,0,23.08,349.03000000000003

21,05:00-05:15,30.77,3,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,38.46,0,0.43,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,25,400.13000000000005

22,05:15-05:30,30.77,3,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,38.46,0,0.43,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,25,400.13000000000005

23,05:30-05:45,30.77,3,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,38.46,0,0.43,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,25,400.13000000000005

24,05:45-06:00,30.77,3,0,0,0,20.19,0,0,0,28.85,25,48.08,25,0,0,17.31,38.46,0,0.43,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,25,400.13000000000005

25,06:00-06:15,30.77,3,0,0,0,20.19,0,0,326.94,28.85,28.85,48.08,28.85,0,0,17.31,38.46,0,0.38,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,28.85,738.5699999999999

26,06:15-06:30,30.77,3,0,0,0,20.19,0,0,326.94,28.85,28.85,48.08,28.85,0,0,17.31,38.46,0,0.38,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,28.85,738.5699999999999

27,06:30-06:45,15.39,3,0,0,0,20.19,0,0,326.94,28.85,30.77,48.08,30.77,0,0,17.31,38.46,0,0.38,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,30.77,728.9499999999999

28,06:45-07:00,15.39,3,0,0,0,20.19,0,0,326.94,28.85,30.77,48.08,30.77,29.81,0,17.31,38.46,0,0.38,0,0,0,5.77,0,0,8.74,0,16.35,0,0,0,48.08,0,1.3,3,8.65,26.92,0,19.23,0,30.77,758.7599999999999

29,07:00-07:15,15.39,0,7.69,9.62,30.77,20.19,96.16,5.77,125.01,28.85,36.54,48.08,36.54,57.7,0,28.85,38.46,0,0.87,0,0,0,5.77,0,0,14.42,0,16.35,0,0,0,48.08,90.39,1.3,0,14.42,26.92,0,19.23,50,43.27,916.64

30,07:15-07:30,15.39,0,7.69,9.62,30.77,20.19,96.16,5.77,125.01,28.85,36.54,48.08,36.54,57.7,0,28.85,38.46,0,0.87,0,0,0,5.77,0,0,14.42,0,16.35,0,0,0,48.08,90.39,1.3,0,14.42,26.92,0,19.23,50,43.27,916.64

31,07:30-07:45,15.39,12.22,7.69,9.62,30.77,20.19,96.16,5.77,125.01,28.85,36.54,48.08,36.54,57.7,0,28.85,38.46,0,0.87,0,0,0,5.77,0,0,14.42,0,16.35,0,0,0,48.08,90.39,1.3,12.22,14.42,26.92,0,19.23,50,43.27,941.08

32,07:45-08:00,15.39,12.22,7.69,9.62,30.77,20.19,96.16,5.77,125.01,28.85,36.54,48.08,36.54,57.7,0.02,28.85,38.46,0,0.87,0,0,0,5.77,0.01,0.03,14.42,0,16.35,0,0,0,48.08,90.39,1.3,12.22,14.42,26.92,0,19.23,50,43.27,941.14

33,08:00-08:15,15.39,18.84,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,77.89,0.06,28.85,38.46,0,0.87,0,0,0,5.77,0.05,0.09,14.42,0,16.35,0,0,0,48.08,90.39,1.3,18.84,14.42,26.92,0,19.23,50,43.27,849.6999999999999

34,08:15-08:30,15.39,18.84,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,87.51,0.13,28.85,38.46,0,0.87,0,0,0,5.77,0.1,0.19,14.42,0,16.35,0,0,0,48.08,90.39,1.3,18.84,14.42,26.92,0,19.23,50,43.27,859.54

35,08:30-08:45,15.39,25.57,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,68.27,0.24,28.85,38.46,0,0.87,0,0,0,5.77,0.16,0.32,14.42,0,16.35,0,0,0,48.08,90.39,1.3,25.57,14.42,26.92,0,19.23,50,43.27,854.06

36,08:45-09:00,15.39,25.57,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,77.89,0.34,28.85,38.46,0,0.87,0,0,0,5.77,0.22,0.44,14.42,0,16.35,0,0,0,48.08,90.39,1.3,25.57,14.42,26.92,0,19.23,50,43.27,863.96

37,09:00-09:15,15.39,26.99,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,111.55,0.42,0,0,3.85,0.87,28.85,14.42,0,5.77,0.29,0.63,0,0,16.35,0,0,0,48.08,90.39,1.3,26.99,14.42,26.92,0,19.23,0,43.27,816.1899999999999

38,09:15-09:30,15.39,26.99,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,111.55,0.52,0,0,3.85,0.87,28.85,14.42,0,5.77,0.35,0.78,0,0,16.35,0,0,0,48.08,90.39,1.3,26.99,14.42,26.92,0,19.23,0,43.27,816.5

39,09:30-09:45,15.39,26.99,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,111.55,0.58,0,0,3.85,0.87,28.85,14.42,0,5.77,0.38,0.87,0,0,16.35,0,0,0,48.08,90.39,1.3,26.99,14.42,26.92,0,19.23,0,43.27,816.68

40,09:45-10:00,15.39,26.99,7.69,9.62,30.77,20.19,96.16,5.77,0,28.85,36.54,48.08,36.54,111.55,0.58,0,0,3.85,0.87,28.85,14.42,0,5.77,0.38,0.87,0,0,16.35,0,0,0,48.08,90.39,1.3,26.99,14.42,26.92,0,19.23,0,43.27,816.68

41,10:00-10:15,15.39,26.99,0,0,0,20.19,0,0,0,28.85,36.54,48.08,36.54,0,0.67,28.85,0,4.81,0.87,0,0,38.46,5.77,0.38,0.96,7.88,6.55,16.35,14.42,0,0,48.08,0,1.3,26.99,14.42,26.92,0,19.23,0,43.27,518.76

42,10:15-10:30,15.39,26.99,0,0,0,20.19,0,0,0,28.85,36.54,48.08,36.54,0,0.67,28.85,0,4.81,0.87,0,0,38.46,5.77,0.48,0.96,7.88,6.55,16.35,14.42,0,0,48.08,0,1.3,26.99,14.42,26.92,0,19.23,0,43.27,518.86

43,10:30-10:45,15.39,26.99,0,0,0,20.19,0,0,0,28.85,34.62,48.08,34.62,0,0.67,28.85,0,4.81,0.87,0,0,38.46,5.77,0.48,0.96,7.88,6.55,16.35,14.42,0,0,48.08,0,1.3,26.99,14.42,26.92,0,19.23,0,36.54,508.2900000000001

44,10:45-11:00,15.39,26.99,0,0,0,20.19,0,0,0,28.85,34.62,48.08,34.62,0,0.67,28.85,0,4.81,0.87,0,0,38.46,5.77,0.38,0.96,7.88,6.55,16.35,14.42,0,0,48.08,0,1.3,26.99,14.42,26.92,0,19.23,0,36.54,508.19000000000005

45,11:00-11:15,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,28.85,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,30.77,506.26

46,11:15-11:30,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,28.85,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,30.77,506.26

47,11:30-11:45,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,28.85,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,30.77,506.26

48,11:45-12:00,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,28.85,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,30.77,506.26

49,12:00-12:15,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,28.85,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.2,27,8.65,26.92,0,19.23,0,30.77,506.15999999999997

50,12:15-12:30,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,28.85,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.2,27,8.65,26.92,0,19.23,0,30.77,506.15999999999997

51,12:30-12:45,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,10.96,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.2,27,8.65,26.92,0,19.23,0,30.77,488.27

52,12:45-13:00,30.77,27,0,0,0,20.19,0,0,0,28.85,30.77,48.08,30.77,0,0.67,12.03,0,6.73,0.87,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.2,27,8.65,26.92,0,19.23,0,30.77,489.34

53,13:00-13:15,30.77,27,0,0,0,20.19,0,0,0,28.85,25.96,48.08,25.96,0,0.67,13.09,0,5.77,0.77,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,25.96,475.01000000000005

54,13:15-13:30,30.77,27,0,0,0,20.19,0,0,0,28.85,25.96,48.08,25.96,0,0.67,14.12,0,5.77,0.77,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,25.96,476.04

55,13:30-13:45,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,15.17,0,5.77,0.77,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,468.44999999999993

56,13:45-14:00,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,15.17,0,5.77,0.77,0,0,38.46,5.77,0.48,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,468.54999999999995

57,14:00-14:15,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,16.23,0,4.81,0.77,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,468.54999999999995

58,14:15-14:30,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,17.3,0,4.81,0.77,0,0,38.46,5.77,0.48,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,469.71999999999997

59,14:30-14:45,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,18.36,0,4.81,0.77,0,0,38.46,5.77,0.48,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,470.78

60,14:45-15:00,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,19.42,0,4.81,0.77,0,0,38.46,5.77,0.48,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,471.84

61,15:00-15:15,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,20.34,0,4.81,0.67,0,0,38.46,5.77,0.48,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,472.65999999999997

62,15:15-15:30,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,20.34,0,4.81,0.67,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,472.55999999999995

63,15:30-15:45,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,20.34,0,4.81,0.67,0,0,38.46,5.77,0.38,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,472.55999999999995

64,15:45-16:00,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,20.34,0,4.81,0.67,0,0,38.46,5.77,0.48,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,472.65999999999997

65,16:00-16:15,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.67,20.34,0,2.88,0.48,0,0,38.46,5.77,0.48,0.96,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,470.53999999999996

66,16:15-16:30,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.65,20.34,0,2.88,0.48,0,0,38.46,5.77,0.38,0.93,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,470.39

67,16:30-16:45,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.56,20.34,0,2.88,0.48,0,0,38.46,5.77,0.32,0.79,14.42,0,16.35,14.42,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,470.09999999999997

68,16:45-17:00,30.77,27,0,0,0,20.19,0,0,0,28.85,23.08,48.08,23.08,0,0.45,20.34,0,2.88,0.48,0,0,36.54,5.77,0.26,0.64,14.42,0,16.35,16.35,0,0,48.08,0,1.3,27,8.65,26.92,0,19.23,0,23.08,469.78999999999996

69,17:00-17:15,15.39,27,0,0,0,20.19,0,0,0,28.85,36.54,48.08,36.54,0,0.3,20.34,0,0.96,0.48,0,0,0,5.77,0.17,0.42,14.42,0,16.35,0,0,0,48.08,0,1.3,27,14.42,26.92,0,19.23,0,43.27,452.02000000000004

70,17:15-17:30,15.39,27,0,0,0,20.19,0,0,0,28.85,36.54,48.08,36.54,17.31,0.22,20.34,0,0.96,0.48,0,0,0,5.77,0.13,0.31,14.42,0,16.35,0,0,0,48.08,0,1.3,27,14.42,26.92,0,19.23,0,43.27,469.1000000000001

71,17:30-17:45,15.39,27,0,0,0,20.19,0,0,0,28.85,36.54,48.08,36.54,34.62,0.15,20.34,0,0.96,0.48,0,0,0,5.77,0.09,0.22,14.42,0,16.35,0,0,0,48.08,0,1.3,27,14.42,26.92,0,19.23,0,43.27,486.21000000000004

72,17:45-18:00,15.39,25.61,0,0,0,20.19,0,0,0,28.85,36.54,48.08,36.54,34.62,0.04,20.34,0,0.96,0.48,0,0,0,5.77,0.02,0.06,14.42,0,16.35,0,0,0,48.08,0,1.3,25.61,14.42,26.92,0,19.23,0,43.27,483.09

73,18:00-18:15,15.39,25.61,7.69,9.62,30.77,20.19,96.16,5.77,134.62,28.85,36.54,48.08,36.54,34.62,0.02,20.34,38.46,0,0.48,0,0,0,5.77,0.01,0.03,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,25.61,14.42,26.92,30,19.23,50,43.27,1064.01

74,18:15-18:30,15.39,25.61,7.69,9.62,30.77,20.19,96.16,5.77,134.62,28.85,36.54,48.08,36.54,34.62,0,20.34,38.46,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,25.61,14.42,26.92,30,19.23,50,43.27,1063.95

75,18:30-18:45,15.39,25.61,7.69,9.62,30.77,20.19,96.16,5.77,134.62,28.85,36.54,48.08,36.54,34.62,0,20.34,38.46,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,25.61,14.42,26.92,30,19.23,50,43.27,1063.95

76,18:45-19:00,15.39,25.61,7.69,9.62,30.77,20.19,96.16,5.77,134.62,28.85,36.54,48.08,36.54,0,0,20.34,38.46,0,0.48,0,0,0,5.77,0,0,14.42,0,16.35,0,38.46,50,48.08,90.39,1.3,25.61,14.42,26.92,30,19.23,50,43.27,1029.3300000000002

