Column1,Block,GNA/NR/2024/10/01/9582,GNA/NR/2024/10/16/4393,GNA/NR/2024/10/16/2350,GNA/WR/2024/10/15/7089,GNA/NR/2024/10/01/6101,GNA/NR/2024/10/01/8106,NR/30092023/26122029/SH-06,GNA/NR/2024/10/01/3642,NR/2024/23639/A/40906,NR/2024/23675/C,NR/2024/23640/A/40905,NR/2024/23648/A/40895,NR/2024/23677/C,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/2024/23383/A/40902,NR/2024/23384/A/40891,GNA/NR/2024/10/01/9072,NR/2024/23382/A/41025,Total
10,02:15-02:30,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.48,6.75,26.29,17.53,478.14

11,02:30-02:45,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.48,6.75,26.29,17.53,478.14

12,02:45-03:00,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.48,6.75,26.29,17.53,478.14

13,03:00-03:15,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.43,6.75,26.29,17.53,478.0899999999999

14,03:15-03:30,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.43,6.75,26.29,17.53,478.0899999999999

15,03:30-03:45,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.43,6.75,26.29,17.53,478.0899999999999

16,03:45-04:00,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.43,6.75,26.29,17.53,478.0899999999999

17,04:00-04:15,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.43,6.75,26.29,17.53,478.0899999999999

18,04:15-04:30,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.52,26.87,0.43,6.75,26.29,17.53,478.0899999999999

19,04:30-04:45,8.76,91.71,30.57,0,26.29,8.76,24.39,26.29,0,175.45,0,0,0,5.52,24.39,0.43,6.75,26.29,17.53,473.1299999999999

20,04:45-05:00,8.76,91.71,30.57,0,26.29,8.76,24.39,26.29,0,175.45,0,0,0,5.52,24.39,0.43,6.75,26.29,17.53,473.1299999999999

21,05:00-05:15,8.76,91.71,30.57,0,26.29,8.76,24.39,26.29,0,175.45,0,0,0,5.43,24.39,0.48,6.75,26.29,17.53,473.0899999999999

22,05:15-05:30,8.76,91.71,30.57,0,26.29,8.76,24.39,26.29,0,175.45,0,0,0,5.43,24.39,0.48,6.75,26.29,17.53,473.0899999999999

23,05:30-05:45,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.43,26.87,0.48,6.75,26.29,17.53,478.04999999999995

24,05:45-06:00,8.76,91.71,30.57,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.43,26.87,0.48,6.75,26.29,17.53,478.04999999999995

25,06:00-06:15,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.43,26.87,0.53,6.75,26.29,17.53,355.81999999999994

26,06:15-06:30,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0,5.43,26.87,0.53,6.75,26.29,17.53,355.81999999999994

27,06:30-06:45,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0.07,5.43,26.87,0.53,6.75,26.29,17.53,355.89

28,06:45-07:00,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0.07,5.43,26.87,0.53,6.75,26.29,17.53,355.89

29,07:00-07:15,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0.1,5.43,26.87,0.58,6.75,26.29,17.53,355.97

30,07:15-07:30,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0.55,5.43,26.87,0.58,6.75,26.29,17.53,356.41999999999996

31,07:30-07:45,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0.65,5.43,26.87,0.58,6.75,26.29,17.53,356.52

32,07:45-08:00,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,0.84,5.43,26.87,0.58,6.75,26.29,17.53,356.7099999999999

33,08:00-08:15,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,2.06,5.43,26.87,0.96,6.75,26.29,17.53,358.30999999999995

34,08:15-08:30,8.76,0,0,0,26.29,8.76,26.87,26.29,0,175.45,0,0,2.05,5.43,26.87,0.96,6.75,26.29,17.53,358.29999999999995

35,08:30-08:45,11.57,0,0,0,28.92,11.57,26.87,28.92,0,175.45,0,0,1.72,5.43,26.87,0.96,6.75,28.92,17.53,371.48

36,08:45-09:00,11.57,0,0,0,28.92,11.57,26.87,28.92,0,175.45,0,0,1.96,5.43,26.87,0.96,6.75,28.92,17.53,371.72

37,09:00-09:15,8.76,0,0,0,26.29,8.76,26.87,26.29,42.42,175.45,10.6,0,2.53,5.43,26.87,0.87,6.75,26.29,17.53,411.71000000000004

38,09:15-09:30,8.76,0,0,0,26.29,8.76,26.87,26.29,42.42,175.45,10.6,0,5.66,5.43,26.87,0.87,6.75,26.29,17.53,414.84000000000003

39,09:30-09:45,8.76,0,0,0,26.29,8.76,26.87,26.29,42.42,175.45,10.6,0,6.68,5.43,26.87,0.87,6.75,26.29,17.53,415.86

40,09:45-10:00,8.76,0,0,0,26.29,8.76,26.87,26.29,42.42,175.45,10.6,0,5.81,5.43,26.87,0.87,6.75,26.29,17.53,414.99

41,10:00-10:15,8.76,0,0,0,26.29,8.76,26.87,26.29,42.42,175.45,10.6,0,4.58,5.34,26.87,0.87,6.75,26.29,17.53,413.66999999999996

42,10:15-10:30,8.76,0,0,0,26.29,8.76,26.87,26.29,42.42,175.45,10.6,0,7.26,5.34,26.87,0.87,6.75,26.29,17.53,416.35

43,10:30-10:45,8.76,0,0,0,26.29,8.76,24.14,26.29,42.42,175.45,10.6,0,3.68,5.34,24.14,0.87,6.75,26.29,17.53,407.30999999999995

44,10:45-11:00,8.76,0,0,0,26.29,8.76,24.14,26.29,42.42,175.45,10.6,0,4.3,5.34,24.14,0.87,6.75,26.29,17.53,407.92999999999995

45,11:00-11:15,12.42,0,0,0,37.24,12.42,23.33,37.24,42.42,175.45,10.6,0,4.74,5.34,23.33,0.87,6.75,37.24,17.53,446.91999999999996

46,11:15-11:30,12.42,0,0,0,37.24,12.42,23.33,37.24,42.42,175.45,10.6,0,4.73,5.34,23.33,0.87,6.75,37.24,17.53,446.90999999999997

47,11:30-11:45,12.42,0,0,0,37.24,12.42,23.33,37.24,42.42,175.45,10.6,0,8.39,5.34,23.33,0.87,6.75,37.24,17.53,450.56999999999994

48,11:45-12:00,12.42,0,0,0,37.24,12.42,23.33,37.24,42.42,175.45,10.6,0,7.7,5.34,23.33,0.87,6.75,37.24,17.53,449.88

49,12:00-12:15,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,6.01,5.34,26.87,0.87,6.75,37.24,17.53,455.27

50,12:15-12:30,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,6.22,5.34,26.87,0.87,6.75,37.24,17.53,455.48

51,12:30-12:45,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,8.33,5.34,26.87,0.87,6.75,37.24,17.53,457.59000000000003

52,12:45-13:00,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,5.99,5.34,26.87,0.87,6.75,37.24,17.53,455.25

53,13:00-13:15,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,7.03,5.34,26.87,0.77,6.75,37.24,17.53,456.18999999999994

54,13:15-13:30,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,4.36,5.34,26.87,0.77,6.75,37.24,17.53,453.52

55,13:30-13:45,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,7.01,5.34,26.87,0.77,6.75,37.24,17.53,456.16999999999996

56,13:45-14:00,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,3.53,5.34,26.87,0.77,6.75,37.24,17.53,452.68999999999994

57,14:00-14:15,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,4.2,5.43,26.87,0.92,6.75,37.24,17.53,453.6

58,14:15-14:30,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,2.75,5.43,26.87,0.92,6.75,37.24,17.53,452.1500000000001

59,14:30-14:45,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,3.48,5.43,26.87,0.92,6.75,37.24,17.53,452.8800000000001

60,14:45-15:00,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,2.32,5.43,26.87,0.92,6.75,37.24,17.53,451.72

61,15:00-15:15,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,1.74,5.43,26.87,0.92,6.75,37.24,17.53,451.1400000000001

62,15:15-15:30,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,4.54,5.43,26.87,0.92,6.75,37.24,17.53,453.94000000000005

63,15:30-15:45,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,6.45,5.43,26.87,0.92,6.75,37.24,17.53,455.85

64,15:45-16:00,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,4.17,5.43,26.87,0.92,6.75,37.24,17.53,453.57000000000005

65,16:00-16:15,12.42,0,0,0,37.24,12.42,26.87,37.24,42.42,175.45,10.6,0,3.13,5.43,26.87,0.77,6.75,37.24,17.53,452.38

66,16:15-16:30,12.42,0,0,0,37.24,12.42,26.87,37.24,35.76,175.45,10.6,0,3.23,5.43,26.87,0.77,6.75,37.24,17.53,445.82000000000005

67,16:30-16:45,12.42,0,0,0,37.24,12.42,0,37.24,28.63,175.45,8.58,0,2.54,5.43,0,0.77,6.75,37.24,17.53,382.24

68,16:45-17:00,12.42,0,0,0,37.24,12.42,0,37.24,21.69,175.45,9.25,0,1.91,5.43,0,0.77,6.75,37.24,17.53,375.34000000000003

69,17:00-17:15,12.42,0,0,0,37.24,12.42,0,37.24,0,175.45,0,0,1.24,5.52,0,0.72,6.75,37.24,17.53,343.77

70,17:15-17:30,11.57,0,0,0,39.52,11.57,0,39.52,0,175.45,0,0,0.67,5.52,0,0.72,6.75,39.52,17.53,348.34000000000003

71,17:30-17:45,11.57,0,0,0,39.52,11.57,0,39.52,0,175.45,0,0,0.33,5.52,0,0.72,6.75,39.52,17.53,348

72,17:45-18:00,11.57,0,0,0,39.52,11.57,19.09,39.52,0,175.45,0,0,0.07,5.52,19.09,0.72,6.75,39.52,17.53,385.91999999999996

73,18:00-18:15,11.57,0,0,120.5,39.52,11.57,0,39.52,0,175.45,0,2.89,0.03,5.71,31.61,0.72,6.75,39.52,17.53,502.89

74,18:15-18:30,11.57,0,0,120.5,39.52,11.57,0,39.52,0,175.45,0,2.89,0.03,5.71,31.61,0.72,6.75,39.52,17.53,502.89

75,18:30-18:45,11.57,0,0,120.5,39.52,11.57,31,39.52,0,175.45,0,2.89,0.02,5.71,31,0.72,6.75,39.52,17.53,533.27

76,18:45-19:00,11.57,0,0,120.5,39.52,11.57,31,39.52,0,175.45,0,2.89,0,5.71,31,0.72,6.75,39.52,17.53,533.25

77,19:00-19:15,11.57,0,0,120.5,39.52,11.57,31,39.52,0,175.45,0,2.89,0,5.79,31,0.67,6.75,39.52,17.53,533.28

78,19:15-19:30,11.57,0,0,120.5,39.52,11.57,31,39.52,0,175.45,0,2.89,0,5.79,31,0.67,6.75,39.52,17.53,533.28

79,19:30-19:45,11.57,0,0,120.5,39.52,11.57,31.61,39.52,0,175.45,0,2.89,0,5.79,0,0.67,6.75,39.52,17.53,502.89

80,19:45-20:00,11.57,0,0,120.5,39.52,11.57,31,39.52,0,175.45,0,2.89,0,5.79,0,0.67,6.75,39.52,17.53,502.28

81,20:00-20:15,11.57,0,0,192.8,39.52,11.57,32,39.52,0,175.45,0,2.89,0,5.71,0,0.67,6.75,39.52,17.53,575.5

82,20:15-20:30,8.76,0,0,192.8,37.24,8.76,32,37.24,0,175.45,0,2.89,0,5.71,0,0.67,6.75,37.24,17.53,563.04

83,20:30-20:45,8.76,0,0,192.8,37.24,8.76,32,37.24,0,175.45,0,2.89,0,5.71,0,0.67,6.75,37.24,17.53,563.04

84,20:45-21:00,8.76,0,0,192.8,37.24,8.76,32,37.24,0,175.45,0,2.89,0,5.71,0,0.67,6.75,37.24,17.53,563.04

85,21:00-21:15,8.76,0,0,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.72,6.75,37.24,17.53,530.99

86,21:15-21:30,8.76,0,0,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.72,6.75,37.24,17.53,530.99

87,21:30-21:45,8.76,0,0,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.72,6.75,37.24,17.53,530.99

88,21:45-22:00,8.76,0,0,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.72,6.75,37.24,17.53,530.99

89,22:00-22:15,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.67,6.75,37.24,17.53,653.2199999999999

90,22:15-22:30,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.67,6.75,37.24,17.53,653.2199999999999

91,22:30-22:45,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.67,6.75,37.24,17.53,653.2199999999999

92,22:45-23:00,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.61,0,0.67,6.75,37.24,17.53,653.2199999999999

93,23:00-23:15,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.52,0,0.58,6.75,37.24,17.53,653.04

94,23:15-23:30,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.52,0,0.58,6.75,37.24,17.53,653.04

95,23:30-23:45,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.52,0,0.58,6.75,37.24,17.53,653.04

96,23:45-24:00,8.76,91.71,30.57,192.8,37.24,8.76,0,37.24,0,175.45,0,2.89,0,5.52,0,0.58,6.75,37.24,17.53,653.04

