Column1,Block,NR/2025/26335/A/75723,NR/2025/26755/A/75481,GNARE/NR/2024/12/20/3668,NR/2025/26232/A/76007,NR/2025/26004/A/75548,NR/2025/26233/A/76006,NR/2025/25967/A/75962,NR/2025/26827/A/75993,NR/2025/26289/A/76004,NR/2025/26153/A/75483,NR/2025/26828/A/75992,NR/2025/26879/A/75714,NR/2025/27545/C,NR/2025/27554/C,GNA/NR/2025/05/01/8954,NR/2025/27548/C,GNA/NR/2025/05/01/9395,NR/2025/27549/C,NR/2025/27550/C,NR/30092023/26122029/SH-06,NR/2025/27544/C,NR/2025/27473/C,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/4138,NR/2025/27472/C,GNA/NR/2025/05/01/7902,NR/2025/27551/C,NR/2025/27531/C,NR/2025/27553/C,NR/2025/26825/A/75994,NR/2025/26829/A/75991,NR/2025/27566/C,NR/2025/27480/C,NR/2025/26082/A/76072,NR/2025/26291/A/76003,NR/2025/25859/A/75976,NR/2025/26822/A/75995,NR/2025/27474/C,NR/2025/27498/C,NR/2025/26101/A/75749,NR/2025/26379/A/75961,NR/2025/27475/C,NR/2025/26785/A/75482,NR/2025/25861/A/75974,NR/2025/27149/A/75615,NR/2025/27476/C,NR/2025/25860/A/75975,NR/2025/26959/A/75621,NR/2025/26085/A/75461,NR/2025/26265/A/76005,NR/2025/27479/C,NR/2025/26005/A/75551,NR/2025/26202/A/76071,NR/2025/27564/C,NR/2025/26336/A/75719,NR/2025/27518/C,NR/2025/27565/C,NR/2025/26191/A/75546,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/6363,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/16/9317,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/2474,Total
3,00:30-00:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.53,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2332.28

4,00:45-01:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.77,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,15.53,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2332.28

5,01:00-01:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.68,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,0,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2316.6600000000003

6,01:15-01:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.68,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,0,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2316.6600000000003

7,01:30-01:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,62.8,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.68,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,0,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2316.6600000000003

8,01:45-02:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,5.8,0,0,0,0,30,0,0,14.49,0,0,28.98,0,0,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.68,96.61,0,48.3,96.61,77.29,111.1,0,88.61,48.3,0,14.49,0,28.98,67.63,10.63,82.12,32,13.53,20.53,0,164.24,29.1,2253.859999999999

9,02:00-02:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,30,0,0,14.49,0,0,0,0,0,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.63,0,0,48.3,96.61,77.29,111.1,0,88.61,48.3,96.61,0,0,28.98,0,10.63,82.12,23.64,13.53,20.53,0,164.24,29.1,2128.5499999999997

10,02:15-02:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,30,0,0,14.49,0,0,0,0,0,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.63,0,0,48.3,96.61,77.29,111.1,0,88.61,48.3,96.61,0,0,28.98,0,10.63,82.12,23.64,13.53,20.53,0,164.24,29.1,2128.5499999999997

11,02:30-02:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.5,0,0,14.49,0,0,0,0,0,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.63,0,0,48.3,96.61,77.29,111.1,0,88.61,48.3,96.61,0,0,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,2127.9099999999994

12,02:45-03:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.5,0,0,14.49,0,0,0,0,0,0,43.91,37.33,27.8,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.63,0,0,48.3,96.61,77.29,111.1,0,88.61,48.3,96.61,0,0,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,2127.9099999999994

13,03:00-03:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.5,0,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,0,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1934.0599999999997

14,03:15-03:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.5,0,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,0,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1934.0599999999997

15,03:30-03:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.5,0,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,4.43,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1938.4899999999996

16,03:45-04:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,33.81,108.55,0,0,0,0,0,0,26.5,0,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,144.92,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,4.43,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1938.4899999999996

17,04:00-04:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,108.55,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,13.96,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1832.09

18,04:15-04:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,108.55,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,13.96,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1832.09

19,04:30-04:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,13.96,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1777.8199999999995

20,04:45-05:00,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,6.76,0.48,0,0,48.3,96.61,0,111.1,0,0,48.3,96.61,0,13.96,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1777.8199999999995

21,05:00-05:15,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,6.76,0.48,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.59,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1666.3499999999997

22,05:15-05:30,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,6.76,0.48,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.59,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1666.3499999999997

23,05:30-05:45,0,0,0,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.48,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.59,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1665.3899999999996

24,05:45-06:00,0,0,0.35,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.48,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.59,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1665.7399999999996

25,06:00-06:15,1,0,1.24,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.58,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.23,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1667.3699999999997

26,06:15-06:30,4,0,2.72,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.58,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.23,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1671.8499999999997

27,06:30-06:45,7,0,4.71,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.58,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.23,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1676.84

28,06:45-07:00,14,0,7.12,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.58,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.23,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,29.1,1686.2499999999998

29,07:00-07:15,25,0,9.85,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.68,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.03,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1688.3399999999995

30,07:15-07:30,35,0,13.09,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.68,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,13.03,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1701.5799999999997

31,07:30-07:45,46,0,16.98,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.68,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,16,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1719.4399999999998

32,07:45-08:00,60,0,21.2,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.68,0,0,48.3,96.61,0,0,0,0,48.3,96.61,0,16,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1737.6599999999996

33,08:00-08:15,77,7.73,23.92,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.97,96.61,0,48.3,96.61,0,0,0,0,48.3,0,0,16,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1765.3999999999999

34,08:15-08:30,91,7.73,27.52,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.97,96.61,0,48.3,96.61,0,0,0,0,48.3,0,0,16,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1782.9999999999998

35,08:30-08:45,105,7.73,32.04,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.97,96.61,0,48.3,96.61,0,0,0,0,48.3,0,0,16,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1801.5199999999998

36,08:45-09:00,119,7.73,36.38,4.83,48.3,4.83,164.24,43.91,48.3,62.8,14.64,0,54.28,0,0,0,0,0,0,26.5,62.8,0,14.49,0,0,0,0,0,0,43.91,37.33,0,0,47.34,24.15,96.61,14.64,0,0,0,164.24,0,0,0,1.93,0,0,5.8,0.97,96.61,0,48.3,96.61,0,0,0,0,48.3,0,0,16,28.98,0,10.63,82.12,26.5,13.53,20.53,0,164.24,17.56,1819.86

37,09:00-09:15,133,10.63,40.55,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.72,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1895.9399999999996

38,09:15-09:30,144,10.63,44.57,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.72,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1910.9599999999996

39,09:30-09:45,158,10.63,48.47,0,48.3,0,164.24,0,0,9.95,0,0,54.28,37.33,0,96.61,0,14.64,43.91,26.61,62.8,48.3,14.49,0,96.61,0,43.91,0,14.64,0,0,0,52.85,47.34,0,96.61,0,24.15,48.3,0,0,4.83,0,0,2.9,4.83,0,6.76,0.97,0,53.14,48.3,0,0,0,164.24,0,0,0,0,15.72,28.98,0,10.63,82.12,26.61,13.53,20.53,0,164.24,17.56,1928.8599999999997

