Block,Time Block,BSIUL,UNCHAHAR2,UNCHAHAR3,UNCHAHAR1,TEHRI,TelanganaSTPP,DADRT2,CHAMERA3,CHAMERA2,CHAMERA1,KGSU3AND4,JHAJJAR,KGSU1AND2,KHSTPP-I,DHAULIGNGA,FSTPP I & II,DULHASTI,TANDA2,SINGRAULI_HYDRO,SIMHST1,TALST2,SIMHST2,TANAKPUR,SINGRAULI,TALA,SEWA2,BRBCL,NJPC,NLCIIST1,MAPS,NLCIIST2,NAPP,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,NLCEXP,RIHAND3,RSTPSU7,SALAL,RSTPSU1TO6,SASAN,KUDGI,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,AURY_GF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,AURY_LF,ANTA_LF,DADRI_GF,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,URI2,URI,UNCHAHAR4,VALLURNTECL,RAPPC,RIHAND2,RIHAND1,RAPPB,RAPPD,RAMPUR,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
7,01:30-01:45,12.6,35.48,22.2,16.76,28.61,0,103.14,33.84,47.16,40.79,0,273.38,0,43.99,31.72,17.32,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,12.18,13.5,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

8,01:45-02:00,12.6,35.48,22.2,16.76,28.61,0,54.84,33.84,47.16,40.79,0,292.73,0,43.99,31.72,17.32,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,6.09,14.62,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

9,02:00-02:15,12.6,35.48,22.2,16.76,28.61,0,7.37,33.84,47.16,40.79,0,268.52,0,43.99,31.72,17.32,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,6.09,12.81,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

10,02:15-02:30,12.6,35.48,22.2,16.76,28.61,0,7.37,33.84,47.16,40.79,0,268.52,0,43.99,31.72,14.15,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,5.82,10.6,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,6.95,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

11,02:30-02:45,12.6,35.48,22.2,16.76,28.61,0,7.37,33.84,47.16,40.79,0,268.52,0,43.99,31.72,14.15,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,5.82,12.46,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

12,02:45-03:00,12.6,35.48,22.2,16.76,28.61,0,7.37,33.84,47.16,40.79,0,268.52,0,43.99,31.72,14.15,56.7,5.33,1.09,0,0,0,4.96,138.81,10.22,5.82,14.68,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,48.53,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

13,03:00-03:15,12.6,26.62,16.84,12.59,28.61,0,7.37,33.84,47.16,40.79,0,268.52,0,43.99,31.72,14.15,56.7,5.33,1.09,0,0,0,4.96,144.3,10.22,0,18.27,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,143.27,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

14,03:15-03:30,12.6,26.62,16.84,12.59,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,32.54,31.72,14.15,56.7,5.33,1.09,0,0,0,4.96,138.32,10.22,0,19,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.91,0,74.09,0,399.97,0,10.08,123.49,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,2.14,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

15,03:30-03:45,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,31.72,14.12,56.7,3.96,1.09,0,0,0,4.96,145.2,10.22,0,18.5,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.9,0,74.09,0,399.97,0,10.08,95.17,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

16,03:45-04:00,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,31.72,12.23,56.7,3.96,1.09,0,0,0,4.96,145.24,10.22,0,19.32,174.76,0,0,0,24.65,0,0,0,65.22,39.93,0,91.9,0,74.09,0,399.97,0,10.08,108.18,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

17,04:00-04:15,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,8.05,130.6,10.22,0,18.97,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,337.01,0,10.08,114.96,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,96.23,64.91,0,18.49,6.74,0,0,0,0,0

18,04:15-04:30,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,8.05,130.6,10.22,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,337.01,0,10.08,114.96,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,96.23,64.91,0,18.49,6.74,0,0,0,0,0

19,04:30-04:45,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,8.05,130.6,10.22,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,337.01,0,10.08,114.96,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,96.23,64.91,0,18.49,6.74,0,0,0,0,0

20,04:45-05:00,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,8.05,130.6,10.22,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,337.01,0,10.08,114.96,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,96.23,64.91,0,18.49,6.74,0,0,0,0,0

21,05:00-05:15,12.6,23.79,13.31,10.38,28.61,0,83.69,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,4.96,130.6,11.36,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,337.01,0,10.08,96.92,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,96.23,64.91,0,18.49,6.74,0,0,0,0,0

22,05:15-05:30,12.6,23.79,13.31,10.38,28.61,0,14.13,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,4.96,130.6,11.36,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,337.01,0,10.08,96.92,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

23,05:30-05:45,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,4.96,130.6,13.06,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,388.58,0,10.08,96.92,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

24,05:45-06:00,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,42.3,10.17,56.7,3.96,1.09,0,0,0,4.96,130.6,13.06,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,399.97,0,10.08,114.65,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

25,06:00-06:15,12.6,23.79,15.89,12.59,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,35.29,31.72,12.95,56.7,3.96,1.09,0,0,0,4.96,130.6,13.06,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,399.97,0,10.08,114.96,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

26,06:15-06:30,12.6,26.62,16.84,12.59,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,35.29,31.72,12.95,56.7,3.96,1.09,0,0,0,4.96,130.6,13.06,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,399.97,0,10.08,114.96,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

27,06:30-06:45,12.6,23.79,14.19,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,29.5,31.72,10.17,56.7,3.96,1.09,0,0,0,4.96,130.6,13.06,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,399.97,0,10.08,95.17,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

28,06:45-07:00,12.6,23.79,13.31,10.38,28.61,0,7.37,33.84,47.16,40.79,0,221.18,0,24.65,31.72,10.17,56.7,3.96,1.09,0,0,0,4.96,130.6,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,126.36,0,71.85,0,399.97,0,10.08,94.35,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.07,0,65.58,120.36,93.93,0,18.49,6.74,0,0,0,0,0

29,07:00-07:15,12.6,23.2,12.78,10.04,28.61,0,4.98,33.84,47.16,40.79,0,213.47,0,24.65,31.72,10.17,56.7,1.67,1.09,0,0,0,4.96,140.83,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,123.68,0,71.85,0,399.97,0,10.08,122.4,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.78,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

30,07:15-07:30,12.6,23.2,12.78,10.04,28.61,0,4.98,33.84,47.16,40.79,0,213.47,0,24.65,31.72,10.17,56.7,1.67,1.09,0,0,0,4.96,140.83,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,57.07,39.93,0,123.68,0,71.85,0,399.97,0,10.08,122.27,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

31,07:30-07:45,6.3,23.2,12.78,10.04,28.61,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,31.72,10.17,56.7,1.67,1.09,0,0,0,4.96,140.83,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,123.68,0,71.85,0,399.97,0,10.08,122.22,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

32,07:45-08:00,6.3,23.2,12.78,10.04,28.61,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,31.72,10.17,56.7,1.67,1.09,0,0,0,4.96,140.83,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,123.68,0,71.85,0,399.97,0,10.08,121.51,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

33,08:00-08:15,6.3,23.2,12.78,10.04,28.61,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,31.72,10.17,56.7,1.67,1.11,0,0,0,4.96,109.69,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,123.68,0,70.73,0,399.97,0,10.08,121.28,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

34,08:15-08:30,6.3,23.2,12.78,10.04,28.61,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,31.72,10.17,56.7,1.67,1.11,0,0,0,4.96,109.69,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,121.28,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,0.7,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

35,08:30-08:45,6.3,23.2,12.78,10.04,19.07,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,31.72,10.17,56.7,1.67,1.11,0,0,0,4.96,109.69,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,122.44,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,0.7,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

36,08:45-09:00,6.3,23.2,12.78,10.04,9.54,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,31.72,10.17,56.7,1.67,1.11,0,0,0,4.96,109.69,13.83,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,122.21,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,0.7,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

37,09:00-09:15,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,21.14,10.17,56.7,3.05,1.11,0,0,0,4.96,109.69,12.5,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,123.8,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

38,09:15-09:30,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,21.14,10.17,56.7,3.05,1.11,0,0,0,4.96,109.69,12.5,0,18.31,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,125.24,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

39,09:30-09:45,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,21.14,10.17,56.7,3.05,1.11,0,0,0,5.56,109.69,7.95,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,125.24,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

40,09:45-10:00,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,21.14,10.17,56.7,3.05,1.11,0,0,0,5.56,109.69,7.95,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,125.24,0,0,9.26,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

41,10:00-10:15,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,10.58,10.17,56.7,3.05,1.11,0,0,0,5.56,109.69,2.71,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

42,10:15-10:30,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,10.58,10.17,56.7,3.05,1.11,0,0,0,5.56,109.69,2.71,0,19.32,174.76,0,0,0,24.65,0,0,0,48.92,39.93,0,100.84,0,70.73,0,399.97,0,10.08,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

43,10:30-10:45,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,40.79,0,213.47,0,32.54,10.58,10.17,56.7,3.05,1.11,0,0,0,8.05,109.69,2.71,0,18.02,174.76,0,0,0,24.65,0,0,0,48.92,5.08,0,100.84,0,70.73,0,399.97,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

44,10:45-11:00,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,27.1,0,213.47,0,32.54,10.58,10.17,56.7,3.05,1.11,0,0,0,8.05,109.69,2.71,0,18.2,174.76,0,0,0,24.65,0,0,0,4.45,5.08,0,100.84,0,70.73,0,399.97,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,51.19,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

45,11:00-11:15,6.3,23.2,12.78,10.04,0,0,4.98,33.84,36.59,3.82,0,213.47,0,32.54,10.58,10.17,56.7,3.05,1.11,0,0,0,8.05,109.69,0,0,17.45,174.76,0,0,0,24.65,0,0,0,4.45,5.08,0,100.84,0,51.08,0,402.14,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

46,11:15-11:30,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,0,0,213.47,0,32.54,10.58,10.17,56.7,3.05,1.11,0,0,0,8.05,109.69,0,0,17.84,174.76,0,0,0,24.65,0,0,0,4.45,5.08,0,100.84,0,38.28,0,402.14,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,1.77,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

47,11:30-11:45,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,0,0,213.47,0,28.04,10.58,10.17,56.7,1.67,1.11,0,0,0,6.18,109.69,0,0,19.32,174.76,0,0,0,24.65,0,0,0,8.89,5.08,0,100.84,0,25.49,0,402.14,0,0,96.92,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

48,11:45-12:00,6.3,23.2,12.78,10.04,0,0,4.98,33.84,47.16,0,0,213.47,0,28.04,10.58,10.17,56.7,1.67,1.11,0,0,0,6.18,109.69,0,0,19.32,174.76,0,0,0,24.65,0,0,0,8.89,5.08,0,100.84,0,6.73,0,402.14,0,0,96.92,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,104.27,91.76,0,18.49,6.74,0,0,0,0,0

49,12:00-12:15,0,23.2,12.78,10.04,0,0,4.98,33.84,47.16,0,0,213.47,0,28.04,10.58,10.17,56.7,1.67,1.11,0,0,0,7.18,140.83,0,0,19.32,174.76,0,0,0,24.65,0,0,0,8.89,5.08,0,123.68,0,6.73,0,402.14,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

50,12:15-12:30,0,23.2,12.78,10.04,0,0,4.98,33.84,47.16,0,0,213.47,0,28.04,10.58,10.17,56.7,1.67,1.11,0,0,0,7.18,140.83,0,0,19.32,174.76,0,0,0,24.65,0,0,0,8.89,5.08,0,123.68,0,6.73,0,402.14,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

51,12:30-12:45,0,23.2,12.78,10.04,0,0,4.98,33.84,47.16,0,0,213.47,0,28.04,31.72,10.17,56.7,1.67,1.11,0,0,0,7.18,140.83,0,0,19.32,174.76,0,0,0,24.65,0,0,0,8.89,5.08,0,123.68,0,6.73,0,402.14,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

52,12:45-13:00,0,23.2,12.78,10.04,0,0,4.98,33.84,47.16,0,0,213.47,0,28.04,31.72,10.17,56.7,1.67,1.11,0,0,0,7.18,140.83,0,0,19.32,174.76,0,0,0,24.65,0,0,0,22.24,5.08,0,123.68,0,6.73,0,402.14,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

53,13:00-13:15,0,23.2,12.78,10.04,0,0,39.76,33.84,47.16,0,0,213.47,0,28.04,31.72,10.17,56.7,1.67,1.11,0,0,0,7.18,140.83,0,0,19.32,174.76,0,0,0,24.65,0,0,0,22.24,5.08,0,123.68,0,6.73,0,402.14,0,0,125.24,0,0,7.5,8.34,0,0,0,0,0,0,0,0,0,0,0,0,36.81,49.07,0.7,0,65.58,117.95,91.76,0,18.49,6.74,0,0,0,0,0

