Column1,Block,NR/2024/23099/C,NR/2024/23100/C,NR/2024/23017/A/36879,NR/2024/22820/A/36830,NR/2024/23091/C,NR/2024/22832/A/37131,NR/2024/22833/A/37130,NR/2024/23089/C,NR/2024/22888/A/37072,SR/2024/14151/C,NR/2024/22835/A/37056,NR/2024/22860/A/37095,NR/2024/22848/A/37099,NR/2024/23084/C,NR/2024/23090/C,GNA/NR/2024/09/01/7119,NR/2024/23038/A/36823,NR/2024/22874/A/37132,NR/2024/22816/A/36845,NR/2024/22839/A/37128,NR/2024/22837/A/37129,NR/2024/21658/A/36824,NR/2024/22802/A/37124,NR/2024/22753/A/37074,NR/2024/22734/A/37045,NR/2024/22754/A/37071,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/8090,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/2171,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/7908,Total
16,03:45-04:00,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.63,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1449.2900000000002

17,04:00-04:15,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,153.02,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1602.26

18,04:15-04:30,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,249.87,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1699.11

19,04:30-04:45,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,324.45,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1773.69

20,04:45-05:00,0,0,8.72,4.84,28.09,37.41,37.41,0,67.8,329.29,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.76,1.94,26.91,26.91,82.32,18.4,1778.53

21,05:00-05:15,0,0,8.72,4.84,28.09,37.41,37.41,0,25.18,295.39,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1701.82

22,05:15-05:30,0,0,8.72,4.84,28.09,37.41,37.41,0,25.18,295.39,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1701.82

23,05:30-05:45,0,0,8.72,4.84,28.09,37.41,37.41,0,25.18,295.39,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1701.82

24,05:45-06:00,0,0,7.75,4.84,28.09,37.41,37.41,0,25.18,300.24,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.58,0,181.59,96.85,60.53,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1705.7

25,06:00-06:15,0,0,7.75,4.84,28.09,37.41,37.41,0,25.18,237.28,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1400.72

26,06:15-06:30,0,0,7.75,4.84,28.09,37.41,37.41,0.04,25.18,222.76,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1386.2400000000002

27,06:30-06:45,0,0,7.75,4.84,28.09,37.41,37.41,0.27,25.18,198.54,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1362.2500000000002

28,06:45-07:00,0,0,7.75,4.84,28.09,37.41,37.41,0.72,25.18,193.7,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1357.8600000000001

29,07:00-07:15,0,0,7.75,4.84,28.09,37.41,37.41,1.1,25.18,193.7,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1358.2400000000002

30,07:15-07:30,0,0,7.75,4.84,28.09,37.41,37.41,1.49,25.18,188.86,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1353.7900000000002

31,07:30-07:45,0,0,7.75,4.84,28.09,37.41,37.41,2.07,25.18,193.7,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1359.21

32,07:45-08:00,0,0,7.75,4.84,28.09,37.41,37.41,2.8,25.18,153.02,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.68,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1319.2600000000002

33,08:00-08:15,0,0,8.72,4.84,28.09,37.41,37.41,3.39,25.18,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1168.0900000000001

34,08:15-08:30,0,0,8.72,4.84,28.09,37.41,37.41,4.03,25.18,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1168.7300000000002

35,08:30-08:45,0,0,8.72,4.84,28.09,37.41,37.41,4.71,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1169.39

36,08:45-09:00,0,0,9.68,4.84,28.09,37.41,37.41,5.51,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1171.15

37,09:00-09:15,10.65,42.61,9.68,4.84,28.09,37.41,37.41,6.5,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1225.3999999999999

38,09:15-09:30,10.65,42.61,11.62,4.84,28.09,37.41,37.41,5.96,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1226.8

39,09:30-09:45,10.65,42.61,11.62,4.84,28.09,37.41,37.41,6.86,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1227.7

40,09:45-10:00,10.65,42.61,11.62,4.84,28.09,37.41,37.41,5.26,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.97,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.57,1.94,26.91,26.91,82.32,18.4,1226.1

41,10:00-10:15,10.65,42.61,11.62,4.84,28.09,37.41,37.41,5.23,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1225.9800000000002

42,10:15-10:30,10.65,42.61,12.59,4.84,28.09,37.41,37.41,2.89,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1224.6100000000004

43,10:30-10:45,10.65,42.61,12.59,4.84,28.09,37.41,37.41,4.02,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1225.7400000000002

44,10:45-11:00,10.65,42.61,12.59,4.84,28.09,37.41,37.41,3.78,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1225.5000000000002

45,11:00-11:15,10.65,42.61,12.59,4.84,28.09,37.41,37.41,4.33,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1226.0500000000002

46,11:15-11:30,10.65,42.61,12.59,4.84,28.09,37.41,37.41,6.51,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1228.2300000000002

47,11:30-11:45,10.65,42.61,12.59,4.84,28.09,37.41,37.41,5.01,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1226.7300000000002

48,11:45-12:00,10.65,42.61,12.59,4.84,28.09,37.41,37.41,7.43,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.48,1.94,26.91,26.91,0,18.4,1229.1500000000003

49,12:00-12:15,10.65,42.61,12.59,4.84,28.09,37.41,37.41,5.07,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1172.88

50,12:15-12:30,10.65,42.61,12.59,4.84,28.09,37.41,37.41,5.83,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1173.64

51,12:30-12:45,10.65,42.61,12.59,4.84,28.09,37.41,37.41,7.59,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1175.4

52,12:45-13:00,10.65,42.61,12.59,4.84,28.09,37.41,37.41,8.26,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1176.0700000000002

53,13:00-13:15,10.65,42.61,12.59,4.84,28.09,37.41,37.41,9.53,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1177.3400000000001

54,13:15-13:30,10.65,42.61,12.59,4.84,28.09,37.41,37.41,7.83,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1175.64

55,13:30-13:45,10.65,42.61,12.59,4.84,28.09,37.41,37.41,7.06,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1174.8700000000001

56,13:45-14:00,10.65,42.61,12.59,4.84,28.09,37.41,37.41,8.45,25.16,0,91.04,0,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.39,1.94,0,0,0,18.4,1176.2600000000002

57,14:00-14:15,10.65,42.61,12.59,4.84,28.09,37.41,37.41,8.66,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.57,1.94,0,0,0,18.4,1190.21

58,14:15-14:30,10.65,42.61,12.59,4.84,28.09,37.41,37.41,5.79,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.57,1.94,0,0,0,18.4,1187.34

59,14:30-14:45,10.65,42.61,12.59,4.84,28.09,37.41,37.41,5.11,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.57,1.94,0,0,0,18.4,1186.66

60,14:45-15:00,10.65,42.61,12.59,4.84,28.09,37.41,37.41,6.58,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.57,1.94,0,0,0,18.4,1188.13

61,15:00-15:15,31.57,21.69,12.59,4.84,28.09,37.41,37.41,6.88,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1188.6200000000001

62,15:15-15:30,28.18,25.08,12.59,4.84,28.09,37.41,37.41,6.15,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1187.89

63,15:30-15:45,24.41,28.86,12.59,4.84,28.09,37.41,37.41,6.84,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1188.5900000000001

64,15:45-16:00,20.34,32.93,12.59,4.84,28.09,37.41,37.41,5.54,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.97,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1187.29

65,16:00-16:15,37.48,15.79,12.59,4.84,28.09,37.41,37.41,4.73,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.87,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1186.38

66,16:15-16:30,33.41,19.85,12.59,4.84,28.09,37.41,37.41,3.31,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.87,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1184.95

67,16:30-16:45,29.25,24.02,12.59,4.84,28.09,37.41,37.41,2.52,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.87,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1184.17

68,16:45-17:00,24.89,28.38,12.59,4.84,28.09,37.41,37.41,1.49,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,41.16,6.78,37.41,0.87,82.32,0,96.85,0,82.32,0,41.16,0,20.58,12.47,12.76,1.94,0,0,0,18.4,1183.14

69,17:00-17:15,0,0,12.59,4.84,28.09,37.41,37.41,1.1,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1129.62

70,17:15-17:30,0,0,12.59,4.84,28.09,37.41,37.41,1.01,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1129.53

71,17:30-17:45,0,0,12.59,4.84,28.09,37.41,37.41,0.93,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1129.45

72,17:45-18:00,0,0,12.59,4.84,28.09,37.41,37.41,0.77,25.16,0,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1129.29

73,18:00-18:15,0,0,11.62,4.84,28.09,37.41,37.41,0.76,25.16,33.9,91.04,13.56,84.43,96.85,164.89,24.8,3.87,48.42,0,6.78,37.41,0.82,0,0,96.85,0,82.32,0,41.16,41.16,20.58,12.47,12.95,1.94,0,0,82.32,18.4,1162.21

