Column1,Block,GNA/NR/2024/12/01/2197,GNA/WR/2024/10/15/7089,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/12/01/1475,NR/30092023/31122025/SH-07,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/1599,GNA/NR/2024/12/01/7739,GNA/WR/2024/11/01/4200,GNA/NR/2024/12/01/1766,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/3428,NR/30092023/26122029/SH-06,NR/2024/24288/C,NR/2024/24071/A/45481,NR/2024/24052/A/45482,NER/2024/2770/A/45660,NR/2024/24051/A/45483,NR/2024/24290/C,NR/2024/24289/C,NR/2024/24060/A/45686,WR/2024/25054/A/45663,NR/2024/24146/A/45472,NR/2024/24097/A/45476,NR/2024/23952/A/45484,NR/2024/24088/A/45478,Total
6,01:15-01:30,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

7,01:30-01:45,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

8,01:45-02:00,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

9,02:00-02:15,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

10,02:15-02:30,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

11,02:30-02:45,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

12,02:45-03:00,25.97,0,1.92,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.38,0.96,408.98999999999995

13,03:00-03:15,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.34,0.96,408.86999999999995

14,03:15-03:30,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.34,0.96,408.86999999999995

15,03:30-03:45,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.34,0.96,408.86999999999995

16,03:45-04:00,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.34,0.96,408.86999999999995

17,04:00-04:15,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,408.96

18,04:15-04:30,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,408.96

19,04:30-04:45,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,408.96

20,04:45-05:00,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,0,0,0,0,17.31,0,5.77,7.69,0.43,0.96,408.96

21,05:00-05:15,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,38.47,0,0,0,17.31,0,5.77,7.69,0.43,4.81,451.28

22,05:15-05:30,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,38.47,0,0,0,17.31,0,5.77,7.69,0.43,4.81,451.28

23,05:30-05:45,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,38.47,2.89,0,0,17.31,0,5.77,14.43,0.43,4.81,460.90999999999997

24,05:45-06:00,25.97,0,1.84,25.97,0,8.66,95.13,31.71,0,25.97,150,8.66,0,0,0,2.89,38.47,2.89,0,0,17.31,0,5.77,14.43,0.43,4.81,460.90999999999997

25,06:00-06:15,28.85,0,1.92,28.85,0,8.66,0,0,0,28.85,150,8.66,0,0,0,2.89,38.47,2.89,0,0,17.31,0,5.77,14.43,0.43,4.81,342.78999999999996

26,06:15-06:30,28.85,0,1.92,28.85,0,8.66,0,0,0,28.85,150,8.66,0,0,0,2.89,38.47,2.89,0,0,17.31,0,5.77,14.43,0.43,4.81,342.78999999999996

27,06:30-06:45,31.74,0,1.92,31.74,0,8.66,0,0,0,31.74,150,8.66,0,0,0,2.89,38.47,2.89,0,0,17.31,0,5.77,14.43,0.43,4.81,351.4599999999999

28,06:45-07:00,31.74,0,1.92,31.74,0,8.66,0,0,0,31.74,150,8.66,0,0,0,2.89,38.47,2.89,0,0,17.31,0,5.77,14.43,0.43,4.81,351.4599999999999

29,07:00-07:15,31.74,0,1.84,31.74,0,8.66,0,0,0,31.74,150,8.66,0,0,0,2.89,38.47,2.89,0,0,28.85,0,5.77,14.43,0.53,4.81,363.02

30,07:15-07:30,31.74,0,1.84,31.74,0,8.66,0,0,0,31.74,150,8.66,0,0,0,2.89,38.47,2.89,0,0,28.85,0,5.77,14.43,0.53,4.81,363.02

31,07:30-07:45,34.62,0,1.84,34.62,0,8.66,0,0,0,34.62,150,8.66,0,0,0,2.89,38.47,2.89,0,0,28.85,0,5.77,14.43,0.53,4.81,371.65999999999997

32,07:45-08:00,34.62,0,1.84,34.62,0,8.66,0,0,0,34.62,150,8.66,0,0,0,2.89,38.47,2.89,0,0,28.85,0,5.77,14.43,0.53,4.81,371.65999999999997

33,08:00-08:15,36.55,0,1.84,36.55,0,11.54,0,0,0,36.55,150,11.54,0,0,0,2.89,38.47,2.89,0,0,28.85,0,5.77,14.43,0.82,4.81,383.49999999999994

34,08:15-08:30,36.55,0,1.84,36.55,0,11.54,0,0,0,36.55,150,11.54,0,0,0,2.89,38.47,2.89,0,0,28.85,0,5.77,14.43,0.82,4.81,383.49999999999994

35,08:30-08:45,36.55,0,1.84,36.55,0,11.54,0,0,0,36.55,150,11.54,0,0,0,2.89,38.47,0,0,0,28.85,0,5.77,7.69,0.82,4.81,373.86999999999995

36,08:45-09:00,36.55,0,1.84,36.55,0,11.54,0,0,0,36.55,150,11.54,0,0,0,2.89,38.47,0,0,0,28.85,0,5.77,7.69,0.82,4.81,373.86999999999995

37,09:00-09:15,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,25.1,3.85,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,360.3

38,09:15-09:30,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,28.08,3.85,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,363.28000000000003

39,09:30-09:45,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,28.08,3.85,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,363.28000000000003

40,09:45-10:00,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,28.08,3.85,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,363.28000000000003

41,10:00-10:15,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,26.06,4.81,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,362.21999999999997

42,10:15-10:30,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,28.08,4.81,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,364.24

43,10:30-10:45,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,28.08,4.81,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,364.24

44,10:45-11:00,28.85,0,1.84,28.85,0,8.66,0,0,0,28.85,150,8.66,0,28.08,4.81,2.89,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,4.81,364.24

45,11:00-11:15,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

46,11:15-11:30,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

47,11:30-11:45,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

48,11:45-12:00,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

49,12:00-12:15,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

50,12:15-12:30,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

51,12:30-12:45,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

52,12:45-13:00,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,6.73,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.82,0,353.67

53,13:00-13:15,25.97,0,1.92,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,5.77,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,352.74

54,13:15-13:30,25.97,0,1.92,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,5.77,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,352.74

55,13:30-13:45,25.97,0,1.92,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,5.77,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,352.74

56,13:45-14:00,25.97,0,1.92,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,5.77,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,352.74

57,14:00-14:15,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,351.7

58,14:15-14:30,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,351.7

59,14:30-14:45,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,28.08,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,351.7

60,14:45-15:00,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,27.12,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.77,0,350.74

61,15:00-15:15,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,23.47,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.63,0,346.95

62,15:15-15:30,25.97,0,1.84,25.97,0,8.66,0,0,0,25.97,150,8.66,0,19.52,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.63,0,343

63,15:30-15:45,31.74,0,1.84,31.74,0,8.66,0,0,0,31.74,150,8.66,0,28.08,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.63,0,368.87

64,15:45-16:00,31.74,0,1.84,31.74,0,8.66,0,0,0,31.74,150,8.66,0,25.39,4.81,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.63,0,366.18

65,16:00-16:15,31.74,0,1.84,31.74,0,8.66,0,0,0,31.74,150,8.66,0,20.87,2.89,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.48,0,359.59000000000003

66,16:15-16:30,31.74,0,1.84,31.74,0,8.66,0,0,0,31.74,150,8.66,0,16.45,2.89,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.48,0,355.17

67,16:30-16:45,36.55,0,1.84,36.55,0,9.62,0,0,0,36.55,150,9.62,0,12.31,2.89,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.48,0,367.38000000000005

68,16:45-17:00,36.55,0,1.84,36.55,0,9.62,0,0,0,36.55,150,9.62,0,8.46,2.89,3.85,0,0,16.35,8.46,28.85,0,5.77,7.69,0.48,0,363.53000000000003

69,17:00-17:15,37.51,0,1.92,37.51,0,12.5,0,0,0,37.51,150,12.5,0,0,0.96,3.85,0,0,0,0,28.85,0,5.77,7.69,0.48,3.85,340.90000000000003

70,17:15-17:30,37.51,0,1.92,37.51,0,12.5,0,0,0,37.51,150,12.5,0,0,0.96,3.85,0,0,0,0,28.85,0,5.77,7.69,0.48,3.85,340.90000000000003

71,17:30-17:45,37.51,0,1.92,37.51,0,12.5,0,0,0,37.51,150,12.5,0,0,0.96,3.85,0,0,0,0,28.85,0,5.77,7.69,0.48,3.85,340.90000000000003

72,17:45-18:00,37.51,0,1.92,37.51,0,12.5,0,0,0,37.51,150,12.5,0,0,0.96,3.85,0,0,0,0,28.85,0,5.77,7.69,0.48,3.85,340.90000000000003

73,18:00-18:15,37.51,150,1.92,37.51,0,12.5,0,0,50,37.51,150,12.5,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,616.9300000000001

74,18:15-18:30,37.51,150,1.92,37.51,0,12.5,0,0,50,37.51,150,12.5,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,616.9300000000001

75,18:30-18:45,37.51,150,1.92,37.51,0,12.5,0,0,50,37.51,150,12.5,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,616.9300000000001

76,18:45-19:00,37.51,150,1.92,37.51,0,12.5,0,0,50,37.51,150,12.5,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,616.9300000000001

77,19:00-19:15,37.51,150,1.92,37.51,0,8.66,0,0,50,37.51,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,609.2500000000001

78,19:15-19:30,37.51,150,1.92,37.51,0,8.66,0,0,50,37.51,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,609.2500000000001

79,19:30-19:45,37.51,150,1.92,37.51,0,8.66,0,0,50,37.51,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,609.2500000000001

80,19:45-20:00,37.51,150,1.92,37.51,0,8.66,0,0,50,37.51,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,609.2500000000001

81,20:00-20:15,34.62,250,1.92,34.62,0,8.66,0,0,50,34.62,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,700.5800000000002

82,20:15-20:30,34.62,250,1.92,34.62,0,8.66,0,0,50,34.62,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,700.5800000000002

83,20:30-20:45,34.62,250,1.92,34.62,0,8.66,0,0,50,34.62,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,700.5800000000002

84,20:45-21:00,34.62,250,1.92,34.62,0,8.66,0,0,50,34.62,150,8.66,0,0,0,3.85,38.47,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,700.5800000000002

85,21:00-21:15,31.74,250,1.84,31.74,0,8.66,0,0,50,31.74,150,8.66,0,0,0,3.85,0,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,653.3900000000001

86,21:15-21:30,31.74,250,1.84,31.74,0,8.66,0,0,50,31.74,150,8.66,0,0,0,3.85,0,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,653.3900000000001

87,21:30-21:45,31.74,250,1.84,31.74,0,8.66,0,0,50,31.74,150,8.66,0,0,0,3.85,0,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,653.3900000000001

88,21:45-22:00,31.74,250,1.84,31.74,0,8.66,0,0,50,31.74,150,8.66,0,0,0,3.85,0,0,0,0,28.85,38.47,5.77,7.69,0.53,3.85,653.3900000000001

89,22:00-22:15,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.48,0.96,759.0200000000001

90,22:15-22:30,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.48,0.96,759.0200000000001

91,22:30-22:45,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.48,0.96,759.0200000000001

92,22:45-23:00,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.48,0.96,759.0200000000001

93,23:00-23:15,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.43,0.96,758.97

94,23:15-23:30,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.43,0.96,758.97

95,23:30-23:45,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.43,0.96,758.97

96,23:45-24:00,25.97,250,1.84,25.97,0,8.66,95.13,31.71,50,25.97,150,8.66,0,0,0,2.89,0,0,0,0,28.85,38.47,5.77,7.69,0.43,0.96,758.97

