Time,Block,NR/2023/15309/F,NR/2023/12591/A,NR/2023/16423/C,NR/2023/12167/A,NR/2023/16419/D,NR/2023/12148/A,NR/2023/16421/D,NR/2023/12422/A,NR/2023/12431/A,NR/2023/16424/C,NR/2023/12168/A,NR/2023/14898/A,NR/2023/13635/A,NR/2023/16190/F,NR/2023/14895/A,NR/2023/14746/A,NR/2023/12592/A,NR/2023/16436/C,NR/2023/13862/A,NR/2023/14737/A,NR/2023/12347/A,NR/2023/15402/F,NR/2023/16435/C,NR/2023/12052/A,NR/2023/16434/C,NR/2023/15057/F,NR/2023/16429/C,ER/2023/10220/C,ER/2023/10223/C,NR/2023/12053/A,NR/2023/14745/A,NR/2023/16402/D,SR/2023/8911/C,NR/2023/16431/C,WR/2023/18394/C,Total

3,00:30-00:45,4.840000,50.060000,5.040000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,52.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,0.000000,0.000000,36.500000,24.180000,0,50.00,0,0.000000,1425.97

4,00:45-01:00,4.840000,50.060000,5.040000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,47.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.870000,14.550000,0.000000,0.000000,36.500000,24.180000,0,50.00,0,0.000000,1420.97

5,01:00-01:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,36.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.680000,14.450000,100.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1578.7

6,01:15-01:30,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,31.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.680000,14.450000,100.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1573.7

7,01:30-01:45,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,26.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.680000,14.450000,100.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1568.7

8,01:45-02:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,21.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.680000,14.450000,100.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1563.7

9,02:00-02:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,15.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.580000,14.350000,170.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1627.5

10,02:15-02:30,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,10.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.580000,14.350000,170.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1622.5

11,02:30-02:45,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,5.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.580000,14.350000,170.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1617.5

12,02:45-03:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,0.000000,23.150000,29.020000,98.660000,0.000000,72.550000,63.120000,64.810000,0.580000,14.350000,170.000000,0.000000,36.500000,24.180000,0,100.00,0,18.000000,1612.5

13,03:00-03:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,44.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.270000,170.000000,0.000000,0.000000,24.180000,0,100.00,0,18.000000,1531.91

14,03:15-03:30,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,39.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.270000,170.000000,0.000000,0.000000,24.180000,0,100.00,0,18.000000,1526.91

15,03:30-03:45,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,34.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.270000,170.000000,0.000000,0.000000,24.180000,0,100.00,0,18.000000,1521.91

16,03:45-04:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,29.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.270000,170.000000,0.000000,0.000000,24.180000,0,100.00,0,18.000000,1516.91

17,04:00-04:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,24.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.170000,170.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1611.81

18,04:15-04:30,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,19.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.170000,170.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1606.81

19,04:30-04:45,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,19.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.170000,170.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1606.81

20,04:45-05:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,19.000000,0.000000,29.020000,98.660000,0.000000,72.550000,63.120000,0.000000,0.530000,14.170000,170.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1606.81

21,05:00-05:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,13.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.530000,14.080000,140.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1472.06

22,05:15-05:30,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,13.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.530000,14.080000,140.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1472.06

23,05:30-05:45,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.530000,14.080000,140.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1459.06

24,05:45-06:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,38.010000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,88.700000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.530000,14.080000,140.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1459.06

25,06:00-06:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.990000,140.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1332.41

26,06:15-06:30,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.990000,140.000000,0.000000,0.000000,24.180000,0,200.00,0,18.000000,1332.41

27,06:30-06:45,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.990000,140.000000,0.000000,0.000000,24.180000,0.14,200.00,0,18.000000,1332.55

28,06:45-07:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.990000,140.000000,0.000000,0.000000,24.180000,1.42,200.00,0,18.000000,1333.83

29,07:00-07:15,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.900000,170.000000,0.000000,0.000000,24.180000,0.86,200.00,0,18.000000,1363.18

30,07:15-07:30,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.900000,170.000000,0.000000,0.000000,24.180000,1.45,200.00,0,18.000000,1363.77

31,07:30-07:45,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.900000,170.000000,0.000000,0.000000,24.180000,2.03,200.00,0,18.000000,1364.35

32,07:45:08:00,4.840000,50.060000,6.060000,24.180000,0.000000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.680000,13.900000,170.000000,0.000000,0.000000,24.180000,2.47,113.00,0,18.000000,1277.79

33,08:00-08:15,4.840000,50.060000,6.060000,24.180000,38.690000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.970000,13.800000,100.000000,0.000000,0.000000,24.180000,3.32,55.00,0,18.000000,1189.52

34,08:15-08:30,4.840000,50.060000,6.060000,24.180000,38.690000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.970000,13.800000,100.000000,0.000000,0.000000,24.180000,3.94,55.00,0,18.000000,1190.14

35,08:30-08:45,4.840000,50.060000,6.060000,24.180000,38.690000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.970000,13.800000,100.000000,0.000000,0.000000,24.180000,4.55,0.00,0,18.000000,1135.75

36,08:45:09:00,4.840000,50.060000,6.060000,24.180000,38.690000,22.250000,0.000000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,0.000000,72.550000,63.120000,0.000000,0.970000,13.800000,100.000000,0.000000,0.000000,24.180000,4.47,0.00,0,18.000000,1135.67

37,09:00:09:15,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,100.000000,0.000000,0.000000,24.180000,4.86,0.00,9.67,23.000000,1170.87

38,09:15-09:30,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,100.000000,0.000000,0.000000,24.180000,5.34,0.00,9.67,23.000000,1171.35

39,09:30-09:45,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,0.000000,0.000000,0.000000,24.180000,4.42,0.00,9.67,0.000000,1047.43

40,09:45-10:00,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,0.000000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,0.000000,0.000000,0.000000,24.180000,5.9,0.00,9.67,0.000000,1048.91

41,10:00-10:15,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,6.32,0.00,17.41,0.000000,1147.92

42,10:15-10:30,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,4.79,0.00,17.41,0.000000,1146.39

43,10:30-10:45,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,5.92,0.00,17.41,0.000000,1147.52

44,10:45-11:00,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,4.67,0.00,17.41,0.000000,1146.27

45,11:00-11:15,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,4.48,0.00,17.41,0.000000,1146.08

46,11:15-11:30,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,1.97,0.00,17.41,0.000000,1143.57

47,11:30-11:45,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,2.49,0.00,17.41,0.000000,1144.09

48,11:45-12:00,4.840000,50.060000,2.020000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.720000,0.000000,0.000000,0.000000,24.180000,1.93,0.00,17.41,0.000000,1143.53

49,12:00-12:15,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,0.000000,0.000000,0.000000,24.180000,7.49,0.00,17.41,0.000000,1150.18

50,12:15-12:30,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,0.000000,0.000000,0.000000,24.180000,5.62,0.00,17.41,0.000000,1148.31

51,12:30-12:45,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,0.000000,0.000000,0.000000,24.180000,2.76,0.00,17.41,0.000000,1145.45

52,12:45-13:00,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.800000,0.000000,0.000000,0.000000,24.180000,5.55,0.00,17.41,0.000000,1148.24

53,13:00-13:15,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.900000,0.000000,0.000000,0.000000,24.180000,5.09,0.00,17.41,0.000000,1147.88

54,13:15-13:30,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.900000,0.000000,0.000000,0.000000,24.180000,3.72,0.00,17.41,0.000000,1146.51

55,13:30-13:45,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.900000,0.000000,0.000000,0.000000,24.180000,4.92,0.00,17.41,0.000000,1147.71

56,13:45-14:00,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,0.000000,29.020000,90.930000,6.770000,72.550000,63.120000,0.000000,0.970000,13.900000,0.000000,0.000000,0.000000,24.180000,5.35,0.00,17.41,0.000000,1148.14

57,14:00-14:15,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.970000,13.990000,0.000000,0.000000,0.000000,24.180000,5.18,0.00,17.41,0.000000,1186.68

58,14:15-14:30,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.970000,13.990000,0.000000,0.000000,0.000000,24.180000,3.83,0.00,17.41,0.000000,1185.33

59,14:30-14:45,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.970000,13.990000,0.000000,0.000000,0.000000,24.180000,3.49,0.00,17.41,0.000000,1184.99

60,14:45-15:00,4.840000,50.060000,3.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.970000,13.990000,0.000000,0.000000,0.000000,24.180000,1.75,0.00,17.41,0.000000,1183.25

61,15:00-15:15,4.840000,50.060000,4.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.920000,14.080000,0.000000,0.000000,0.000000,24.180000,1.49,0.00,17.41,0.000000,1184.03

62,15:15-15:30,4.840000,50.060000,4.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.920000,14.080000,0.000000,0.000000,0.000000,24.180000,1.24,0.00,17.41,0.000000,1183.78

63,15:30-15:45,4.840000,50.060000,4.030000,24.180000,38.690000,22.250000,17.410000,0.000000,125.110000,0.000000,46.620000,77.380000,25.030000,193.460000,95.760000,0.000000,100.120000,0.000000,23.150000,29.020000,106.400000,6.770000,72.550000,63.120000,0.000000,0.920000,14.080000,0.000000,0.000000,0.000000,24.180000,2.3,0.00,17.41,0.000000,1184.84

