Column1,Block,NR/2025/31463/C,NR/2025/29440/A/87978,NR/2025/31459/C,NR/2025/27962/A/88482,NR/2025/30086/A/88510,NR/2025/30084/A/88511,NR/2025/31439/C,NR/2025/31461/C,NR/2025/30105/A/88508,NR/2025/29910/A/88515,NR/2025/30082/A/88518,NR/2025/30083/A/88512,NR/2025/29992/A/88137,NR/2025/29352/A/88416,NR/2025/30101/A/88532,NR/2025/27970/A/88486,NR/2025/27968/A/88485,NR/2025/29439/A/88139,NR/2025/30822/A/88135,NR/2025/30191/A/87992,NR/2025/31126/A/88148,NR/2025/29985/A/88136,NR/2025/31138/A/88476,NR/2025/31200/A/88177,GNARE/NR/2024/12/20/3668,NR/2025/31137/A/88474,NR/2025/31138/A/88475,NR/2025/31136/A/88472,NR/2025/31137/A/88473,NR/2025/31132/A/88181,NR/2025/31136/A/88471,NR/2025/30334/A/87990,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/2236,NR/2025/31407/C,GNA/NR/2025/07/01/2997,NR/2025/31411/C,NR/2025/31412/C,NR/2025/31358/C,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,NR/2025/31359/C,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/2025/26975/A/88524,NR/2025/31481/C,NR/2025/31478/C,NR/2025/31482/C,NR/2025/27964/A/88484,NR/2025/29915/A/88079,NR/2025/31479/C,NR/2025/31483/C,NR/2025/27963/A/88483,NR/2025/29628/A/88521,NR/2025/31480/C,NR/2025/28725/A/88487,NR/2025/31476/C,NR/2025/30067/A/88614,NR/2025/29353/A/88413,NR/2025/30121/A/88001,NR/2025/31469/C,NR/2025/29167/A/88081,NR/2025/31490/C/Alternate/1,NR/2025/27978/A/88533,NR/2025/30217/A/88507,NR/2025/31491/C,NR/2025/31490/C,NR/2025/31467/C,NR/2025/31494/C,Total
3,00:30-00:45,0,0.91,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.76,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2402.82

4,00:45-01:00,0,0.91,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.76,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2402.82

5,01:00-01:15,0,0.77,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.57,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2402.4900000000002

6,01:15-01:30,0,0.77,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.57,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2402.4900000000002

7,01:30-01:45,0,0.77,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.03,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2401.95

8,01:45-02:00,0,0.77,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,25.07,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,17.03,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2401.95

9,02:00-02:15,0,0.67,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.93,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2376.6800000000003

10,02:15-02:30,0,0.67,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.93,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2376.6800000000003

11,02:30-02:45,0,0.67,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.93,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2376.6800000000003

12,02:45-03:00,0,0.67,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,134.6,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.93,26.7,43.7,26.7,81.72,0,15.24,0,0,0,49.03,224.73,0,19.23,134.84,20.74,26.44,0,0,0,0,20.43,0,0,110.56,105.75,0,143.01,0,204.3,81.72,6.73,0,54.08,162.04,96.14,7.69,28.84,0,0,0,2376.6800000000003

13,03:00-03:15,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.83,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,110.56,76.55,0,143.01,0,0,81.72,6.73,0,54.08,0,96.14,7.69,28.84,162.04,0,0,1918.3000000000002

14,03:15-03:30,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.83,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,110.56,76.55,0,143.01,0,0,81.72,6.73,0,54.08,0,96.14,7.69,28.84,162.04,0,0,1918.3000000000002

15,03:30-03:45,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.83,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,110.56,76.55,0,143.01,0,0,81.72,6.73,0,54.08,0,96.14,7.69,28.84,162.04,0,0,1918.3000000000002

16,03:45-04:00,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,110.56,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.83,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,110.56,76.55,0,143.01,0,0,81.72,6.73,0,54.08,0,96.14,7.69,28.84,162.04,0,0,1918.3000000000002

17,04:00-04:15,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.65,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,0,1642.92

18,04:15-04:30,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.65,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,0,1642.92

19,04:30-04:45,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.65,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,0,1642.92

20,04:45-05:00,0,0.62,0,96.14,26.22,26.22,0,0,17.48,19.23,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.65,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,0,1642.92

21,05:00-05:15,0,0.62,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.38,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,162.04,96.14,7.69,28.84,0,0,0,1639.99

22,05:15-05:30,0,0.62,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,12.5,0,0,0,0,0,0,0,0,0,0,0,16.38,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,136.54,96.14,7.69,28.84,25.51,0,0,1640

23,05:30-05:45,0,0.62,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,0,0,0,0.45,0,0,0,0,0,0,0,16.38,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,41.93,96.14,7.69,28.84,120.12,0,0,1639.4900000000002

24,05:45-06:00,0,0.62,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,1,0,0,0.8,0,0,0,0,0,0,0,16.38,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,30.54,96.14,7.69,28.84,131.5,0,0,1640.8300000000002

25,06:00-06:15,0,0.82,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,3,0,0,3.26,0,0.04,0,0.04,0,0.16,0,16.29,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,105.26,96.14,7.69,28.84,56.78,0,0,1645.64

26,06:15-06:30,0,0.82,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,7,0,0,5.71,0,0.07,0,0.13,0,0.26,0,16.29,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,56.91,96.14,7.69,28.84,105.13,0,0,1652.3100000000004

27,06:30-06:45,0,0.82,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,11,0.1,0,8.17,0.1,0.1,0.12,0.19,0,0.38,0,16.29,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,0.84,1660.14

28,06:45-07:00,0,0.82,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,14,0.16,0,10.62,0.16,0.1,0.26,0.19,0,0.38,0,16.29,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,1.37,1666.38

29,07:00-07:15,0,0.87,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,21,0.25,0,15.29,0.25,0.19,0.4,0.19,0,0.38,0,16.19,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,1.97,1679.0100000000002

30,07:15-07:30,0,0.87,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,28,0.34,0,19.97,0.34,0.19,0.61,0.19,0,0.38,0,16.19,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,2.97,1692.0800000000002

31,07:30-07:45,0,0.87,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,35,0.48,0,24.64,0.57,0.19,0.73,0.19,0,0.38,0,16.19,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,3.86,1705.13

32,07:45-08:00,0,0.87,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,42,0.57,0,29.31,0.66,0.19,0.95,0.29,0,0.38,0,16.19,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,5.25,1718.6900000000003

33,08:00-08:15,0,0.96,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,60,0.58,1.63,35.07,0.67,0.19,0.96,0.29,0,0.38,2.92,16.1,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,6.18,1747.9600000000003

34,08:15-08:30,0,0.96,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,11.54,70,0.67,1.63,40.83,0.67,0.19,0.96,0.29,0,0.38,3.41,16.1,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,8.53,1766.6500000000003

35,08:30-08:45,0,0.96,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,13.46,84,0.67,1.63,46.59,0.77,0.19,0.96,0.29,0,0.38,3.93,16.1,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,5.87,1786.2900000000002

36,08:45-09:00,0,0.96,0,96.14,26.22,26.22,0,0,17.48,16.57,48.07,8.74,44.22,28.6,48.07,0,0,0,0,48.07,13.46,95,0.67,1.63,52.35,0.77,0.19,0.96,0.29,0,0.48,4.46,16.1,26.7,43.7,26.7,81.72,0,15.24,0,0,0,0,224.73,0,19.23,134.84,20.74,5.77,0,0,0,0,0,0,0,0,76.55,0,143.01,0,0,81.72,6.73,0,0,0,96.14,7.69,28.84,162.04,0,5.87,1803.68

37,09:00-09:15,96.14,0,0,0,0,0,0.96,0,0,0,0,0,0,28.6,0,0,0,0,0,0,13.46,105,0.67,1.63,51.66,0.77,0.19,0.96,0.29,0,0.48,4.94,16.01,26.8,43.7,26.8,81.72,143.01,15.24,48.07,44.22,48.07,0,224.73,6.73,19.23,134.84,20.74,5.77,37.15,43.7,48.07,0,0,28.91,96.14,0,0,7.69,0,14.57,0,81.72,0,16.57,0,0,0,0,28.84,162.04,76.55,5.87,1859.25

