Column1,Block,NR/2024/21814/A/34235,NR/2024/22498/A/34187,NR/2024/21974/A/34234,NR/2024/21938/A/34178,NR/2024/21943/A/34225,NR/2024/21971/A/34233,NR/2024/22623/A/33952,NR/2024/22014/A/33914,NR/2024/22279/A/33910,NR/01102023/02012046/L_NR_2021_17,NR/2024/21968/A/34230,NR/2024/21658/A/33891,NR/2024/22010/A/34188,NR/2024/21983/A/33922,NR/2024/21961/A/34177,NR/2024/21970/A/34231,NR/2024/21940/A/34227,NR/2024/21933/A/33923,NR/2024/21918/A/34189,NR/2024/21911/A/34157,NR/2024/22042/A/33913,NR/2024/21860/A/34232,NR/2024/21954/A/34226,NR/2024/21966/A/33936,NR/2024/21956/A/34228,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/2024/22610/A/34122,NR/2024/22611/A/34124,NR/01102023/14082046/L_NR_2021_16,NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/01082024/19092033/Chanju/TPDDL/01082024,NR/16082024/31082024/MPL/24-25/STOA/128,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/jitpl,NR/2024/22779/C,NR/16082024/31082024/APL-Raigarh_august,NR/2024/22782/C,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/01082024/30082024/NR/01082024/30082024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/22783/C,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/31082024/SKS-Raigarh,NR/2024/22784/C,Total
3,00:30-00:45,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.63,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1455.0354

4,00:45-01:00,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.63,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1455.0354

5,01:00-01:15,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1454.9854

6,01:15-01:30,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,23.4417,23.4417,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1454.9854

7,01:30-01:45,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1461.8436000000002

8,01:45-02:00,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1461.8436000000002

9,02:00-02:15,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1461.8436000000002

10,02:15-02:30,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1461.8436000000002

11,02:30-02:45,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1461.8436000000002

12,02:45-03:00,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,14.71,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,38.76,8.81,0,1461.8436000000002

13,03:00-03:15,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0636000000002

14,03:15-03:30,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0636000000002

15,03:30-03:45,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0636000000002

16,03:45-04:00,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.58,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0636000000002

17,04:00-04:15,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0136000000002

18,04:15-04:30,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0136000000002

19,04:30-04:45,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0136000000002

20,04:45-05:00,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,67.82,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1422.0136000000002

21,05:00-05:15,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1378.4136000000003

22,05:15-05:30,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1378.4136000000003

23,05:30-05:45,48.44,0,26.42,32.7,38.76,26.42,8.72,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1378.4136000000003

24,05:45-06:00,48.44,0,26.42,32.7,38.76,26.42,7.75,1.94,4.84,0,26.42,0.53,11.76,0,98.1,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.69,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1377.4436000000003

25,06:00-06:15,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.63,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1246.2835999999998

26,06:15-06:30,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.63,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1246.2835999999998

27,06:30-06:45,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.63,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0,1246.2835999999998

28,06:45-07:00,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.63,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0.16,1246.4435999999998

29,07:00-07:15,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.73,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0.59,1246.9735999999998

30,07:15-07:30,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.73,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0.88,1247.2636

31,07:30-07:45,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.73,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,0.88,1247.2636

32,07:45-08:00,48.44,0,26.42,0,38.76,26.42,7.75,1.94,4.84,0,26.42,0.73,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,1.55,1247.9335999999998

33,08:00-08:15,48.44,0,26.42,0,38.76,26.42,8.72,1.94,4.84,0,26.42,0.97,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,2,1249.5936

34,08:15-08:30,48.44,0,26.42,0,38.76,26.42,8.72,1.94,4.84,0,26.42,0.97,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,2.22,1249.8136

35,08:30-08:45,48.44,0,26.42,0,38.76,26.42,8.72,1.94,4.84,0,26.42,0.97,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,2.79,1250.3836

36,08:45-09:00,48.44,0,26.42,0,38.76,26.42,9.69,1.94,4.84,0,26.42,0.97,11.76,0,0,8.81,84.47,0,91.08,0,3.88,0,24.14,0,24.22,26.8708,26.8708,0,0,0,24.22,13.23,21.32,96.89,17.482,242.22,96.89,164.96,48.44,0,28.1,0,8.81,2.34,1250.9035999999999

37,09:00-09:15,48.44,21.32,26.42,0,38.76,26.42,9.69,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,2.11,1257.4535999999998

38,09:15-09:30,48.44,21.32,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,2.04,1259.3236

39,09:30-09:45,48.44,21.32,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,3.06,1260.3436

40,09:45-10:00,48.44,21.32,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,3.48,1260.7636

41,10:00-10:15,48.44,21.32,26.42,0,38.76,26.42,11.63,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,3.98,1261.2636

42,10:15-10:30,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,5.91,1264.1636

43,10:30-10:45,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.79,1263.0436

44,10:45-11:00,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,7.05,1265.3036

45,11:00-11:15,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,5.06,1263.3136

46,11:15-11:30,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,6.64,1264.8936

47,11:30-11:45,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,5.41,1263.6636

48,11:45-12:00,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,5.18,1263.4336

49,12:00-12:15,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.89,1263.1436

50,12:15-12:30,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.36,1262.6136

51,12:30-12:45,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,5.12,1263.3736

52,12:45-13:00,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,6.13,1264.3836000000001

53,13:00-13:15,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.93,1263.1836

54,13:15-13:30,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.1,1262.3536

55,13:30-13:45,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,5.58,1263.8336

56,13:45-14:00,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,13.23,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.11,1262.3636

57,14:00-14:15,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.83,1265.8636

58,14:15-14:30,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,6.05,1267.0836

59,14:30-14:45,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,4.35,1265.3836

60,14:45-15:00,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,26.8708,26.8708,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,3.28,1264.3136

61,15:00-15:15,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,23.4417,23.4417,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1254.1753999999999

62,15:15-15:30,48.44,21.32,26.42,0,38.76,26.42,12.6,1.94,4.84,0,26.42,0.97,11.76,48.44,0,8.81,84.47,24.22,91.08,96.89,3.88,0,24.14,96.89,24.22,23.4417,23.4417,4.84,1.94,0,0,16.01,0,0,17.482,242.22,0,164.96,0,0,28.1,0,8.81,0,1254.1753999999999

