Column1,Block,ER/2025/15683/A/53070,NR/2025/24882/A/52825,NR/2025/25234/C,NR/2024/24418/A/53219,WR/2025/26047/A/53078,NR/2025/25070/A/53119,NR/2025/25235/C,GNA/WR/2025/01/01/8625,NER/2025/2918/A/53072,NR/2025/24992/A/52824,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/5886,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,NR/30092023/26122029/SH-06,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/9969,Total
3,00:30-00:45,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

4,00:45-01:00,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

5,01:00-01:15,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

6,01:15-01:30,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

7,01:30-01:45,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

8,01:45-02:00,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

9,02:00-02:15,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

10,02:15-02:30,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

11,02:30-02:45,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

12,02:45-03:00,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

13,03:00-03:15,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

14,03:15-03:30,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

15,03:30-03:45,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

16,03:45-04:00,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,260.51

17,04:00-04:15,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

18,04:15-04:30,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

19,04:30-04:45,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

20,04:45-05:00,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

21,05:00-05:15,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

22,05:15-05:30,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

23,05:30-05:45,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

24,05:45-06:00,7.33,2.88,0,0.38,0,17.28,0,0,9.16,6.72,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,260.6

25,06:00-06:15,7.33,4.8,0,0.43,0,17.28,0,0,9.16,9.6,75,8.64,0,0,0,8.64,24.32,25.92,25.92,24.32,1.47,25.92,268.75

26,06:15-06:30,7.33,4.8,0,0.43,0,17.28,0,0,9.16,9.6,75,8.64,0,0,0,8.64,24.32,25.92,25.92,24.32,1.47,25.92,268.75

27,06:30-06:45,7.33,4.8,0,0.43,0,17.28,0,0,9.16,9.6,75,8.64,0,0,0,8.64,19.89,31.68,31.68,32,1.47,31.68,289.28000000000003

28,06:45-07:00,7.33,4.8,0,0.43,0,17.28,0,0,9.16,9.6,75,8.64,0,0,0,8.64,10.86,31.68,31.68,32,1.47,31.68,280.25

29,07:00-07:15,7.33,4.8,0,0.48,0,28.8,0,0,9.16,9.6,75,8.64,0,0,0,8.64,32,36.48,36.48,32,1.38,36.48,327.27

30,07:15-07:30,7.33,4.8,0,0.48,0,28.8,0,0,9.16,9.6,75,8.64,0,0,0,8.64,32,36.48,36.48,32,1.38,36.48,327.27

31,07:30-07:45,7.33,4.8,0,0.48,0,28.8,0,0,9.16,9.6,75,13.44,0,0,0,13.44,31,36.48,36.48,31,1.38,43.2,341.59

32,07:45-08:00,7.33,4.8,0,0.48,0,28.8,0,0,9.16,9.6,75,13.44,0,0,0,13.44,31,36.48,36.48,31,1.38,43.2,341.59

33,08:00-08:15,7.33,4.8,0,0.86,0,28.8,0,0,9.16,9.6,75,13.44,0,0,0,13.44,31,36.48,36.48,31,1.47,43.2,342.06

34,08:15-08:30,7.33,4.8,0,0.86,0,28.8,0,0,9.16,9.6,75,13.44,0,0,0,13.44,31,36.48,36.48,31,1.47,43.2,342.06

35,08:30-08:45,7.33,4.8,0,0.86,0,28.8,0,0,9.16,9.6,75,13.44,0,0,0,13.44,31,36.48,36.48,31,1.47,43.2,342.06

36,08:45-09:00,7.33,4.8,0,0.86,0,28.8,0,0,9.16,9.6,75,13.44,0,0,0,13.44,31,36.48,36.48,31,1.47,43.2,342.06

37,09:00-09:15,7.33,4.8,26.4,0.86,0,28.8,25.63,0,9.16,9.6,75,8.64,0,0,0,8.64,32,30.72,30.72,32,1.47,30.72,362.49

38,09:15-09:30,7.33,4.8,19.97,0.86,0,28.8,32.84,0,9.16,9.6,75,8.64,0,0,0,8.64,32,30.72,30.72,32,1.47,30.72,363.2700000000001

39,09:30-09:45,7.33,4.8,14.4,0.86,0,28.8,38.4,0,9.16,9.6,75,8.64,0,0,0,8.64,32,25.92,25.92,32,1.47,25.92,348.86000000000007

40,09:45-10:00,7.33,4.8,14.4,0.86,0,28.8,38.4,0,9.16,9.6,75,8.64,0,0,0,8.64,32,25.92,25.92,19.89,1.47,25.92,336.75000000000006

41,10:00-10:15,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,32,23.04,23.04,26.12,1.38,23.04,329.45

42,10:15-10:30,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,32,23.04,23.04,26.12,1.38,23.04,329.45

43,10:30-10:45,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.31

44,10:45-11:00,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.31

45,11:00-11:15,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.31

46,11:15-11:30,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.31

47,11:30-11:45,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.31

48,11:45-12:00,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.31

49,12:00-12:15,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

50,12:15-12:30,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

51,12:30-12:45,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

52,12:45-13:00,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

53,13:00-13:15,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

54,13:15-13:30,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

55,13:30-13:45,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

56,13:45-14:00,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

57,14:00-14:15,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

58,14:15-14:30,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

59,14:30-14:45,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

60,14:45-15:00,7.33,3.84,14.4,0.86,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.40000000000003

61,15:00-15:15,7.33,3.84,14.4,0.67,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.12

62,15:15-15:30,7.33,3.84,14.4,0.67,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.12

63,15:30-15:45,7.33,3.84,14.4,0.67,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.12

64,15:45-16:00,7.33,3.84,14.4,0.67,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.38,23.04,325.12

65,16:00-16:15,7.33,3.84,14.4,0.53,0,28.8,38.4,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.07000000000005

66,16:15-16:30,7.33,3.84,16.03,0.53,0,28.8,36.39,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,324.69000000000005

67,16:30-16:45,7.33,3.84,24,0.53,0,28.8,28.8,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,325.07000000000005

68,16:45-17:00,7.33,3.84,20.74,0.53,0,28.8,21.03,0,9.16,5.76,75,8.64,0,0,0,8.64,26.99,23.04,23.04,26.99,1.47,23.04,314.04

69,17:00-17:15,7.33,4.8,0,0.53,0,28.8,0,0,9.16,9.6,75,8.64,0,0,0,8.64,26.99,34.56,34.56,26.99,1.47,34.56,311.63000000000005

70,17:15-17:30,7.33,4.8,0,0.53,0,28.8,0,0,9.16,9.6,75,8.64,0,0,0,8.64,26.99,34.56,34.56,26.99,1.47,34.56,311.63000000000005

71,17:30-17:45,7.33,4.8,0,0.53,0,28.8,0,0,9.16,9.6,75,8.64,0,0,0,8.64,32,34.56,34.56,19.89,1.47,34.56,309.54

72,17:45-18:00,7.33,4.8,0,0.53,0,28.8,0,0,9.16,9.6,75,8.64,0,0,0,8.64,32,34.56,34.56,19.89,1.47,34.56,309.54

73,18:00-18:15,7.33,4.8,0,0.53,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,0,8.64,32,34.56,34.56,32,1.38,34.56,609.96

74,18:15-18:30,7.33,4.8,0,0.53,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,0,8.64,31,34.56,34.56,31,1.38,34.56,607.96

75,18:30-18:45,7.33,4.8,0,0.53,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,50,8.64,31,34.56,34.56,31,1.38,34.56,657.96

76,18:45-19:00,7.33,4.8,0,0.53,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,50,8.64,31,34.56,34.56,31,1.38,34.56,657.96

77,19:00-19:15,7.33,4.8,0,0.62,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,50,8.64,31,34.56,34.56,31,1.38,34.56,658.05

78,19:15-19:30,7.33,4.8,0,0.62,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,50,8.64,31,34.56,34.56,31,1.38,34.56,658.05

79,19:30-19:45,7.33,4.8,0,0.62,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,50,8.64,32,34.56,34.56,32,1.38,34.56,660.05

80,19:45-20:00,7.33,4.8,0,0.62,38.4,28.8,0,0,9.16,9.6,75,8.64,50,200,50,8.64,32,34.56,34.56,32,1.38,34.56,660.05

81,20:00-20:15,7.33,3.84,0,0.62,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,19.89,25.92,25.92,32,1.47,25.92,567.3100000000001

82,20:15-20:30,7.33,3.84,0,0.62,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,19.89,25.92,25.92,32,1.47,25.92,567.3100000000001

83,20:30-20:45,7.33,3.84,0,0.62,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,569.4

84,20:45-21:00,7.33,3.84,0,0.62,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,569.4

85,21:00-21:15,7.33,3.84,0,0.58,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,569.36

86,21:15-21:30,7.33,3.84,0,0.58,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,569.36

87,21:30-21:45,7.33,3.84,0,0.58,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,569.36

88,21:45-22:00,7.33,3.84,0,0.58,38.4,28.8,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,569.36

89,22:00-22:15,7.33,3.84,0,0.53,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,557.79

90,22:15-22:30,7.33,3.84,0,0.53,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,557.79

91,22:30-22:45,7.33,3.84,0,0.53,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,557.79

92,22:45-23:00,7.33,3.84,0,0.53,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,25.92,25.92,26.99,1.47,25.92,557.79

93,23:00-23:15,7.33,3.84,0,0.48,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,23.04,23.04,26.99,1.47,23.04,549.1

94,23:15-23:30,7.33,3.84,0,0.48,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,23.04,23.04,26.99,1.47,23.04,549.1

95,23:30-23:45,7.33,3.84,0,0.48,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,23.04,23.04,26.99,1.47,23.04,549.1

96,23:45-24:00,7.33,3.84,0,0.48,38.4,17.28,0,0,9.16,5.76,75,8.64,50,150,50,8.64,26.99,23.04,23.04,26.99,1.47,23.04,549.1

