Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,L_NR_2019_19,NR/01102023/02122045/L_NR_2021_13,WR/01102023/16072048/L_NR_2022_08,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/01102023/L_NR_2020_06,WR/01102023/31032046/L_NR_2020_05,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_16,NR/01102023/22052037/LT-59,GNA/NR/2025/02/01/2594,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/01/4863,GNA/WR/2024/11/01/4200,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,NR/01102023/06022042/L_NR_2012_07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/30042040/GNA_LT_36,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/8625,NR/01102023/05012040/L_NR_2020_02,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,GNARE/SR/2025/01/13/4532,WR/01102023/29112042/RUMS(L_NR_2019_06),GNA/NR/2025/02/01/9969,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/02/01/7432,GNA/SR/2025/02/01/6460
7,01:30-01:45,0,0,0,0,0,9.33,14.83,41.66,0,0,14.83,44.51,0,0,41.67,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,8.2,0,23.08,1.47,0,75

8,01:45-02:00,0,0,0,0,0,9.33,14.5,41.34,0,0,14.5,43.5,0,0,41.33,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,7.4,0,23.08,1.47,0,75

9,02:00-02:15,0,0,0,0,0,9,14.67,40.66,0,0,14.67,43.99,0,0,40.67,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,6.8,0,23.08,1.47,0,75

10,02:15-02:30,0,0,0,0,0,9,14.83,40,0,0,14.83,44.51,0,0,40,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,6.4,0,23.08,1.47,0,75

11,02:30-02:45,0,0,0,0,0,8.67,14.83,28.66,0,0,14.83,44.51,0,0,28.67,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,11.21,0,23.08,1.47,0,75

12,02:45-03:00,0,0,0,0,0,8.67,14.67,28.66,0,0,14.67,43.99,0,0,28.67,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,11.21,0,23.08,1.47,0,75

13,03:00-03:15,0,0,0,0,0,8.33,14.5,28,0,0,14.5,43.5,0,0,28,0,0,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,10.6,0,23.08,1.47,0,75

14,03:15-03:30,0,0,0,0,0,8,14.33,27.34,0,0,14.33,43.01,0,0,27.33,0,0,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,10.4,0,23.08,1.47,0,75

15,03:30-03:45,0,0,0,0,0,7.67,14.17,26.34,0,0,14.17,42.49,0,0,26.33,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,10.2,0,23.08,1.47,0,75

16,03:45-04:00,0,0,0,0,0,7.33,13.83,25.66,0,0,13.83,41.51,0,0,25.67,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,15.14,26.99,0,1.25,0,0,9.8,0,23.08,1.47,0,75

17,04:00-04:15,0,0,0,0,0,7.33,13.67,24.66,0,0,13.67,40.99,0,0,24.67,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,0,26.99,0,1.25,0,0,9.4,0,23.08,1.47,0,75

18,04:15-04:30,0,0,0,0,0,7.33,13.5,23.34,0,0,13.5,40.5,0,0,23.33,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,0,26.99,0,1.25,0,0,9,0,23.08,1.47,0,75

19,04:30-04:45,0,0,0,0,0,7.33,13.17,22.66,0,0,13.17,39.49,0,0,22.67,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,0,26.99,0,1.25,0,0,8.6,0,23.08,1.47,0,75

20,04:45-05:00,0,0,0,0,0,7.33,12.83,22,0,0,12.83,38.51,0,0,22,0,0.63,23.08,132.73,134.65,23.08,8.66,0,8.66,0,0.92,0,59.47,52.9,70.16,26.99,0,0,0,26.99,0,1.25,0,0,8.2,0,23.08,1.47,0,75

21,05:00-05:15,0,0,0,0,0,7.33,12.5,21.34,0,0,12.5,37.5,0,0,21.33,0,0,23.08,132.73,165.38,23.08,8.66,0,8.66,0,0.92,0,62.2,81.75,70.16,26.99,0,0,0,26.99,0,1.25,0,0,7.8,0,23.08,1.38,0,75

22,05:15-05:30,0,0,0,0,0,7.33,12.17,20.34,0,0,12.17,36.49,0,0,20.33,0,0,23.08,132.73,165.38,23.08,8.66,0,8.66,0,0.92,0,62.2,100.2,70.16,26.99,0,0,0,26.99,0,1.25,0,0,7.4,0,23.08,1.38,0,75

23,05:30-05:45,0,0,0,0,0,7.33,13.33,19.66,0,0,13.33,40.01,0,0,19.67,0,0.63,23.08,132.73,165.38,23.08,8.66,0,8.66,0,0.92,0,62.2,100.2,66.02,26.99,0,0,0,26.99,0,1.25,0,0,7,0,23.08,1.38,0,75

24,05:45-06:00,0,0,0,0,0,7.33,12.83,19,0,0,12.83,38.51,0,0,19,0,0.63,23.08,132.73,213.47,23.08,8.66,0,8.66,0,0.92,0,76.26,100.2,66.02,26.99,0,0,0,26.99,0,1.25,0,0,6.6,0,23.08,1.38,0,75

25,06:00-06:15,0,0,0,0,0,7.33,12.33,18.34,0,0,12.33,37.01,0,0,18.33,0,0.63,23.08,132.73,261.13,23.08,8.66,0,8.66,0,0.92,0,86.75,100.2,74.5,24.32,0,0,0,24.32,0,1.25,0,0.13,6.2,0,23.08,1.38,0,75

26,06:15-06:30,0,0,0,0,0,7.33,12,18,0,0,12,36,0,0,18,0,0.63,23.08,132.73,261.13,23.08,8.66,0,8.66,0,0.92,0,86.75,100.2,82.98,32,0,0,0,19.89,0,1.25,0,1.33,6,0,23.08,1.38,0,75

27,06:30-06:45,0,0,0,0,0,7.33,18.33,17.34,0,0,18.33,55.01,0,0,17.33,0,0.63,36.55,148.12,261.13,36.55,8.66,0,8.66,0,0.92,0,86.75,100.2,91.48,32,0,0,0,32,0,1.25,0,2.92,6,0,36.55,1.38,0,75

28,06:45-07:00,1,0,0,0,0,7.33,18.33,16,0,0,18.33,55.01,0,0,16,0,0.63,36.55,155.81,261.13,36.55,8.66,0,8.66,0,0.92,0,86.75,100.2,115.05,32,0,0,0,32,0,1.25,0,5.94,6,1.44,36.55,1.38,0,75

29,07:00-07:15,3,0,5,2,0,7.33,18.33,14.34,0,1,18.33,55.01,2,0,14.33,10,0,36.55,155.81,261.13,36.55,8.66,0,8.66,0,0.92,0,86.75,100.2,115.05,32,0,0,0,32,0,1.25,0,13.5,6,5.71,43.28,1.38,0,75

30,07:15-07:30,7,1,5,8.63,0,7.33,18.17,13.66,0,4,18.17,54.49,3,1,13.67,10,0,36.55,163.51,261.13,36.55,8.66,0,8.66,0,0.92,0,86.75,100.2,115.05,32,0,0,0,32,0,1.25,0,23.67,6,12.88,43.28,1.38,0,75

31,07:30-07:45,11,2,5,16.41,0.44,7.33,17.67,23.34,2.2,7,17.67,52.99,5,3,23.33,10,0.63,36.55,171.2,261.13,36.55,13.47,0,13.47,0,0.92,0.14,86.75,100.2,115.05,32,0.14,0.14,0,32,0,1.25,0,32.02,6,32.02,43.28,1.38,0,75

32,07:45-08:00,18,3,7,24.58,1.76,7.33,17.17,22.66,8.81,18,17.17,51.49,7,7,22.67,13,0.63,36.55,178.89,261.13,36.55,13.47,0,13.47,0,0.92,0.57,86.75,100.2,115.05,32,0.57,0.59,0,32,0,1.25,1.14,29.75,6,29.75,43.28,1.38,0,75

33,08:00-08:15,25,5,8,35.01,3.97,7.33,16.83,28.34,19.82,25,16.83,50.51,13,10,28.33,17,0.63,36.55,186.59,261.13,36.55,13.47,0,13.47,0,0.92,1.29,86.75,100.2,115.05,32,1.29,1.33,0,32,0,1.3,4.56,31.35,6,31.35,43.28,1.38,0,75

34,08:15-08:30,29.57,9,12,47.52,9.65,7.33,16.5,27.66,48.23,28,16.5,49.5,19,12,27.67,23,0.63,36.55,186.59,261.13,36.55,13.47,0,13.47,0,0.92,2.3,86.75,100.2,115.05,32,2.3,2.36,0,32,0,1.3,10.27,29.57,6.2,29.56,43.28,1.38,0,75

35,08:30-08:45,30.07,16,17,60.87,14.73,10,16,26.66,73.62,56,16,48,26,24,26.67,33,0.63,36.55,194.28,261.13,36.55,13.47,0,13.47,0,0.92,3.59,86.75,100.2,115.05,32,3.59,3.68,0,32,0,1.3,18.88,30.07,6.2,30.06,43.28,1.38,0,75

36,08:45-09:00,30.47,21,22,73.83,19.51,9.67,15.5,25.34,97.56,74,15.5,46.5,38,31,25.33,43,0.63,36.55,201.02,261.13,36.55,13.47,0,13.47,0,0.92,5.58,86.75,100.2,115.05,32,5.58,5.71,0,32,0,1.3,28.45,30.47,6.2,30.46,43.28,1.38,0,75

37,09:00-09:15,30.47,27,25,85.67,24.07,9.33,19.67,28.66,120.34,91,19.67,58.99,49,39,28.67,50,0,36.55,208.71,261.13,36.55,13.47,0,13.47,0,0.92,7.06,86.75,100.2,115.05,32,7.06,7.23,0,32,0,1.3,40.59,30.47,6.6,30.46,43.28,1.38,0,75

38,09:15-09:30,30.47,30,30,96.63,28.32,9,18.17,27.34,141.57,109,18.17,54.49,57,46,27.33,60,0,36.55,211.6,261.13,36.55,13.47,0,13.47,0,0.92,8.41,86.75,100.2,115.05,32,8.41,8.62,0,32,0,1.3,48.86,30.47,6.8,30.46,43.28,1.38,0,75

39,09:30-09:45,30.47,33,35,106.85,32.28,8.67,16.5,25.34,161.42,123,16.5,49.5,67,52,25.33,70,1.01,36.55,211.6,261.13,36.55,8.66,0,8.66,0,0.92,9.59,86.75,100.2,115.05,32,9.59,9.84,0,19.89,0,1.3,57.04,30.47,6.8,30.46,36.55,1.38,0,75

40,09:45-10:00,30.47,36,38,116.08,35.9,8.33,14.67,23.34,179.52,137,14.67,43.99,73,58,23.33,77,1.01,36.55,211.6,261.13,36.55,8.66,0,8.66,0,0.92,10.72,86.75,100.2,115.05,32,10.72,10.99,0,19.89,0,1.3,65.03,30.47,7.2,30.46,36.55,1.38,0,75

41,10:00-10:15,30.47,38,41,124.27,41.08,8,13.83,20.66,205.41,151,13.83,41.51,83,64,20.67,82,0,31.74,211.6,261.13,31.74,8.66,0,8.66,0,0,11.7,86.75,100.2,115.05,24.32,11.7,11.99,0,24.32,0,1.35,75.8,30.47,7.2,30.46,31.74,1.38,0,75

42,10:15-10:30,30.47,40,43,131.35,44.05,7.67,13.33,16.66,220.24,161,13.33,40.01,88,69,16.67,87,0,31.74,211.6,225.62,31.74,8.66,0,8.66,0,0,12.58,76.26,100.2,115.05,24.32,12.58,12.89,0,24.32,0,1.35,82.36,30.47,7.2,30.46,31.74,1.38,0,75

43,10:30-10:45,30.47,42,46,137.38,46.66,8.33,13.17,17.34,233.29,182,13.17,39.49,91,78,17.33,92,0,31.74,211.6,261.13,31.74,8.66,0,8.66,0,0,13.25,86.75,100.2,115.05,26.99,13.25,13.58,0,26.99,0,1.35,87.81,30.47,7.4,30.46,31.74,1.38,0,75

44,10:45-11:00,30.47,44,48,142.72,48.33,9,13,17.66,241.67,193,13,39,92,82,17.67,97,0,31.74,211.6,261.13,31.74,8.66,0,8.66,0,0,13.99,86.75,100.2,66.02,26.99,13.99,14.34,0,26.99,0,1.35,92.09,30.47,7.6,30.46,31.74,1.38,0,75

45,11:00-11:15,30.47,45,50,147.54,48.33,9.33,13,18.34,241.67,200,13,39,93,85,18.33,100,0,30.78,211.6,261.13,30.78,8.66,0,8.66,0,0,16.77,86.75,100.2,66.02,26.99,16.77,14.95,0,26.99,0,1.35,95.32,30.47,7.4,30.46,30.78,1.38,0,75

46,11:15-11:30,30.47,46,50,151.88,48.33,9.33,13,19.34,241.67,200,13,39,94,85,19.33,100,0,30.78,211.6,261.13,30.78,8.66,0,8.66,0,0,17.32,86.75,100.2,66.02,26.99,17.32,15.43,0,26.99,0,1.35,98.13,30.47,7.6,30.46,30.78,1.38,0,75

47,11:30-11:45,30.47,47,50,155.72,48.33,9.67,13.5,20.34,241.67,200,13.5,40.5,96,85,20.33,100,0,30.78,211.6,261.13,30.78,8.66,0,8.66,0,0,17.72,74.57,100.2,66.02,26.99,17.72,15.79,0,26.99,0,1.35,100,30.47,10,30.46,30.78,1.38,0,75

48,11:45-12:00,30.47,47,50,158.86,48.33,10.33,14,21.66,241.67,200,14,42,96,85,21.67,100,0,30.78,211.6,261.13,30.78,8.66,0,8.66,0,0,18.01,74.57,100.2,66.02,26.99,18.01,16.05,0,26.99,0,1.35,100,30.47,10,30.46,30.78,1.38,0,75

49,12:00-12:15,30.47,47,50,161.01,48.33,11,14.67,29.34,241.67,200,14.67,43.99,96,85,29.33,100,0,30.78,211.6,228.83,30.78,8.66,0,8.66,0,0,18.01,59.47,100.2,70.16,26.99,18.01,16.05,0,26.99,0,1.39,100,30.47,12.01,30.46,30.78,1.38,0,75

50,12:15-12:30,30.47,47,50,162.3,48.33,11.67,15.17,30,241.67,200,15.17,45.49,96,85,30,100,0,30.78,211.6,199.02,30.78,8.66,0,8.66,0,0,18.01,59.47,100.2,70.16,26.99,18.01,16.05,0,26.99,0,1.39,100,30.47,12.41,30.46,30.78,1.38,0,75

51,12:30-12:45,30.47,47,50,162.49,48.33,12,12.83,30.66,241.67,200,12.83,38.51,96,85,30.67,100,0,30.78,211.6,170.16,30.78,8.66,0,8.66,0,0,18.01,59.47,100.2,70.16,26.99,18.01,16.05,0,26.99,0,1.39,100,30.47,12.61,30.46,30.78,1.38,0,75

52,12:45-13:00,30.47,47,50,161.72,48.33,12,13.33,31.34,241.67,200,13.33,40.01,96,85,31.33,100,0,30.78,211.6,170.16,30.78,8.66,0,8.66,0,0,18.01,59.47,100.2,70.16,26.99,18.01,16.05,0,26.99,0,1.39,100,30.47,12.81,30.46,30.78,1.38,0,75

53,13:00-13:15,30.47,48,50,159.86,48.33,12.33,14,31.66,241.67,200,14,42,96,85,31.67,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,18.01,59.47,100.2,70.16,26.99,18.01,16.05,0,26.99,0,1.39,100,30.47,13.01,30.46,23.08,1.38,0,75

54,13:15-13:30,30.47,47,50,157.18,48.33,12.33,14.67,32.34,241.67,200,14.67,43.99,95,85,32.33,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,18.01,59.47,71.35,70.16,26.99,18.01,16.05,0,26.99,0,1.39,100,30.47,13.21,30.46,23.08,1.38,0,75

55,13:30-13:45,30.47,47,50,153.52,48.33,12.67,15.5,32.66,241.67,200,15.5,46.5,93,85,32.67,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,18.01,59.47,52.9,70.16,26.99,18.01,16.05,0,26.99,0,1.39,100,30.47,13.21,30.46,23.08,1.38,0,75

56,13:45-14:00,30.47,46,50,149.15,48.33,12.33,16.33,33.34,241.67,200,16.33,49.01,92,85,33.33,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,17.92,59.47,52.9,70.16,26.99,17.92,15.97,0,26.99,0,1.39,100,30.47,13.21,30.46,23.08,1.38,0,75

57,14:00-14:15,30.47,46,50,144.05,48.33,16,17.33,36,241.67,200,17.33,52.01,91,85,36,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,17.55,59.47,52.9,70.16,26.99,17.55,15.64,0,26.99,0,1.39,100,30.47,13.21,30.46,23.08,1.38,0,75

58,14:15-14:30,30.47,45,50,138.52,48.33,16.33,18.17,37.34,241.67,193,18.17,54.49,91,82,37.33,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,16.94,59.47,52.9,70.16,26.99,16.94,15.1,0,26.99,0,1.39,100,30.47,13.21,30.46,23.08,1.38,0,75

59,14:30-14:45,30.47,44,50,132.41,48.33,20.67,27.5,53.66,241.67,189,27.5,82.5,89,81,53.67,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,16.43,59.47,52.9,70.16,26.99,16.43,14.65,0,26.99,0,1.39,100,30.47,13.21,30.46,23.08,1.38,0,75

60,14:45-15:00,30.47,43,50,125.41,47.5,21.67,27.33,53.66,237.5,179,27.33,82.01,87,76,53.67,100,0,23.08,211.6,134.65,23.08,8.66,0,8.66,0,0,15.77,59.47,52.9,70.16,26.99,15.77,14.06,0,26.99,0,1.39,100,30.47,13.21,30.46,23.08,1.38,0,75

61,15:00-15:15,30.97,41,43,117.47,46.33,21.33,29.17,68,231.67,172,29.17,87.49,85,73,68,87,0.7,23.08,218.33,134.65,23.08,8.66,0,8.66,0,1,14.92,59.47,52.9,70.16,26.99,14.92,13.29,0,26.99,0,1.39,99.31,30.97,13.21,30.96,23.08,1.38,0,75

62,15:15-15:30,30.97,39,41,108.64,44.41,21,28.33,67.34,222.04,161,28.33,85.01,82,69,67.33,83,0.7,23.08,225.06,134.65,23.08,8.66,0,8.66,0,1,14,59.47,52.9,70.16,26.99,14,12.48,0,26.99,0,1.39,94.69,30.97,13.21,30.96,23.08,1.38,0,75

63,15:30-15:45,27,38,38,98.92,41.43,26.43,27.33,67,207.13,147,27.33,82.01,75,63,67,75,0.7,23.08,231.79,134.65,23.08,8.66,0,8.66,0,1,12.94,59.47,52.9,70.16,26.99,12.94,11.54,0,26.99,0,1.39,89.23,32.85,13.41,32.84,23.08,1.38,0,75

64,15:45-16:00,19,35,33,88.2,38.24,25.97,26.33,66,191.2,137,26.33,79.01,70,58,66,67,0.7,23.08,238.53,134.65,23.08,8.66,0,8.66,0,1,11.77,59.47,52.9,70.16,26.99,11.77,10.49,0,26.99,0,1.39,82.85,32.86,13.81,32.86,23.08,1.38,0,75

65,16:00-16:15,11,32,30,76.58,34.46,26.67,25,64.34,172.27,123,25,75,63,52,64.33,60,0.7,23.08,245.26,134.65,23.08,8.66,0,8.66,0,1,10.45,59.47,52.9,66.02,26.99,10.45,9.31,0,26.99,0,1.35,76.81,33,17.21,33,23.08,1.38,0,75

66,16:15-16:30,5,29,26,64.42,30.52,26,23.5,62,152.61,109,23.5,70.5,56,46,62,51,0.7,23.08,245.26,134.65,23.08,8.66,0,8.66,0,1,9.07,59.47,52.9,66.02,26.99,9.07,8.08,0,26.99,0,1.35,70.55,33,17.61,33,23.08,1.38,0,75

67,16:30-16:45,1,23,22,51.64,26.45,24.67,22,61,132.26,91,22,66,49,39,61,45,0,23.08,245.26,182.74,23.08,8.66,0,8.66,0,1,7.53,59.47,81.75,66.02,26.99,7.53,6.7,0,26.99,0,1.35,63.14,33,17.61,33,23.08,1.38,0,75

68,16:45-17:00,0,18,19,38.64,22.24,23.67,20.67,59.34,111.17,77,20.67,61.99,42,33,59.33,38,0,23.08,245.26,224.05,23.08,8.66,0,8.66,0,1,5.9,59.47,100.2,66.02,26.99,5.9,5.26,0,26.99,0,1.35,54.83,33,17.41,33,23.08,1.38,0,75

69,17:00-17:15,0,14,13,26.39,17.95,22,19.67,54.66,89.72,63,19.67,58.99,33,27,54.67,27,0.7,36.55,245.26,259.55,36.55,8.66,0,8.66,0,1,4.1,86.75,100.2,66.02,26.99,4.1,3.65,0,26.99,0,1.35,45.57,24,17.21,19.31,36.55,1.38,0,75

70,17:15-17:30,0,9,10,16.38,13.61,19.67,18.5,50.34,68.07,46,18.5,55.5,23,19,50.33,20,0.7,36.55,245.26,259.55,36.55,8.66,0,8.66,0,1,2.85,86.75,100.2,66.02,26.99,2.85,2.53,0,26.99,0,1.35,33.94,14.57,16.81,10.87,36.55,1.38,0,75

71,17:30-17:45,0,3,8,9.45,8.65,17.67,17.17,40,43.23,35,17.17,51.49,15,15,40,17,0.7,36.55,245.26,259.55,36.55,13.47,0,13.47,0,1,1.82,86.75,100.2,66.02,32,1.82,1.62,0,32,0,1.35,23.03,7.55,16.81,0,43.28,1.38,0,75

72,17:45-18:00,0,2,7,4.38,5.08,16,16,39.34,25.42,21,16,48,10,9,39.33,13,0.7,36.55,245.26,259.55,36.55,13.47,0,13.47,0,1,1.02,86.75,100.2,113.17,32,1.02,0.92,0,32,0,1.35,15.37,2.58,16.81,0,43.28,1.38,0,75

73,18:00-18:15,0,1,5,0.62,0.88,18.33,16.67,30,4.38,7,16.67,49.99,6,3,30,10,0.7,36.55,245.26,259.55,36.55,13.47,200,13.47,50,1,0.45,86.75,100.2,113.17,32,0.45,0.4,0,32,0,1.35,7.09,0,17.01,0,43.28,1.38,0,75

74,18:15-18:30,0,1,5,0,0.22,17.67,16.5,29.34,1.1,2,16.5,49.5,2,1,29.33,10,0.7,36.55,245.26,259.55,36.55,13.47,200,13.47,50,1,0.11,86.75,100.2,113.17,32,0.11,0.11,0,32,0,1.35,2.23,0,17.01,0,43.28,1.38,0,75

75,18:30-18:45,0,0,0,0,0,12.67,12.5,23.34,0,0,12.5,37.5,0,0,23.33,0,0,36.55,245.26,259.55,36.55,13.47,200,13.47,50,1,0,86.75,100.2,113.17,32,0,0,0,32,0,1.35,0.19,0,15.01,0,43.28,1.38,50,75

76,18:45-19:00,0,0,0,0,0,12,12.5,24,0,0,12.5,37.5,0,0,24,0,0,36.55,245.26,259.55,36.55,13.47,200,13.47,50,1,0,86.75,100.2,113.17,32,0,0,0,32,0,1.35,0,0,15.41,0,43.28,1.38,50,75

77,19:00-19:15,0,0,0,0,0,11.67,12.17,22.66,0,0,12.17,36.49,0,0,22.67,0,0.63,36.55,245.26,259.55,36.55,13.47,200,13.47,50,0.96,0,86.75,100.2,113.17,32,0,0,0,32,0,1.35,0,0,15.81,0,43.28,1.47,50,75

78,19:15-19:30,0,0,0,0,0,11.33,12.17,23,0,0,12.17,36.49,0,0,23,0,0.63,36.55,245.26,259.55,36.55,13.47,200,13.47,50,0.96,0,86.75,100.2,113.17,32,0,0,0,32,0,1.35,0,0,16.21,0,43.28,1.47,50,75

79,19:30-19:45,0,0,0,0,0,11,10,16.66,0,0,10,30,0,0,16.67,0,0.63,36.55,245.26,259.55,36.55,13.47,200,13.47,50,0.96,0,86.75,100.2,113.17,32,0,0,0,26.12,0,1.35,0,0,16.61,0,43.28,1.47,50,75

80,19:45-20:00,0,0,0,0,0,11,10,16.66,0,0,10,30,0,0,16.67,0,0.63,36.55,245.26,259.55,36.55,13.47,200,13.47,50,0.96,0,86.75,100.2,113.17,32,0,0,0,26.12,0,1.35,0,0,17.01,0,43.28,1.47,50,75

