Column1,Time,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/26122029/SH-06,NR/01102023/05012040/L_NR_2020_02,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/04/01/7459,NR/01102023/22052037/LT-59,GNA/NR/2025/04/01/8510,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/06022042/L_NR_2012_02,GNA/NR/2025/04/01/8964,GNA/NR/2025/04/01/6216,GNA/NR/2025/04/01/6490,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/04/01/1831,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/7960,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/04/01/8456,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/1333,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/5285
6,01:15-01:30,63.33,0,0,0,0,31.67,0,0,0,0,0,0,0,0,0,31.67,63.33,3.05,94.99,23,31.29,30.5,2.24,115.01,3.22,20.86,0,9.62,3.11,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

7,01:30-01:45,63.67,0,0,0,0,32.67,0,0,0,0,0,0,0,0,0,32.67,63.67,3.05,97.99,22.66,31.29,24.39,2.24,115.01,3.22,24.39,0,9.62,3.11,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

8,01:45-02:00,65,0,0,0,0,33.67,0,0,0,0,0,0,0,0,0,33.67,65,3.05,100.99,22.34,31.29,24.39,2.24,115.01,3.22,24.39,0,9.62,3.11,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,52.5,25.97,100.21,0,2.89,48.1,2.89,0,2.89

9,02:00-02:15,34.33,0,0,0,0,28.33,0,0,0,0,0,0,0,0,0,28.33,34.33,3.04,85.01,22,31.29,26.99,2.24,84.85,3.22,26.99,0,9.62,2.94,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

10,02:15-02:30,34.33,0,0,0,0,28.33,0,0,0,0,0,0,0,0,0,28.33,34.33,3.03,85.01,21.66,31.29,26.99,2.24,66,3.22,26.99,0,9.62,2.94,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

11,02:30-02:45,34,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,34,3.03,100.01,21.66,31.29,26.99,2.24,66,3.22,26.99,0,9.62,2.94,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

12,02:45-03:00,33.67,0,0,0,0,33.83,0,0,0,0,0,0,0,0,0,33.83,33.67,3.03,101.51,21.66,30.28,26.99,2.24,66,3.22,26.99,0,9.62,2.94,5.77,86.76,6.81,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

13,03:00-03:15,34.67,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,34.67,3.08,100.01,22,30.28,26.99,2.05,66,3.07,26.99,0,9.62,2.94,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

14,03:15-03:30,34.67,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,34.67,3.1,100.01,23,30.28,26.99,2.05,66,3.07,26.99,0,9.62,2.94,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

15,03:30-03:45,34.33,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,34.33,3.1,100.01,23,30.28,26.99,2.05,66,3.07,26.99,0,9.62,3.11,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

16,03:45-04:00,33.67,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,33.33,33.67,3.1,100.01,23,30.28,26.99,2.05,66,3.07,26.99,0,9.62,3.11,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

17,04:00-04:15,40,0,0,0,0,35.67,0,0,0,0,0,0,0,0,0,35.67,40,3.08,106.99,22.66,30.28,26.99,2.05,66,3.07,26.99,0,9.62,3.11,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

18,04:15-04:30,40,0,0,0,0,35.67,0,0,0,0,0,0,0,0,0,35.67,40,3.08,106.99,22,30.28,26.99,2.05,66,3.07,26.99,0,9.62,3.11,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

19,04:30-04:45,40,0,0,0,0,35.67,0,0,0,0,0,0,0,0,0,35.67,40,3.08,106.99,28.34,30.28,26.99,2.05,66,3.07,26.99,0,9.62,3.11,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

20,04:45-05:00,40,0,0,0,0,35.5,0,0,0,0,0,0,0,0,0,35.5,40,3.08,106.5,27.66,30.28,26.99,2.05,66,3.07,26.99,0,9.62,3.11,5.77,86.76,6.72,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

21,05:00-05:15,40,0,0,0,0,38,0,0,0,0,0,0,0,0,0,38,40,3.06,114,26.66,30.28,26.99,2.05,66,2.91,26.99,0,9.62,3.11,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,2.52,2.89,48.1,2.89,0,2.89

22,05:15-05:30,40,0,0,0,0,37.95,0,0,0,0,0,0,0,0,0,37.95,40,3.04,113.83,25.66,30.28,26.99,2.05,66,2.91,26.99,0,9.62,3.11,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,2.52,2.89,48.1,2.89,0,2.89

23,05:30-05:45,40,0,0,0,0,37.89,0,0,0,0,0,0,0,0,0,37.89,40,3.02,113.69,27.66,30.28,26.99,2.05,66,2.91,26.99,0,9.62,3.11,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,4.03,2.89,48.1,2.89,0,2.89

24,05:45-06:00,40,0,0,0,0,37.8,0,0,0,0,0,0,0,0,0,37.8,40,3,113.39,26.34,30.28,26.99,2.05,84.85,2.91,26.99,0,9.62,3.11,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,4.03,2.89,48.1,2.89,0,2.89

25,06:00-06:15,70,3.2,2.6,0,0,38.6,0,0,0,0,0,0,0,0,0,38.6,70,3,115.78,36.66,29.77,30.5,2.05,115.01,2.91,26.23,0,9.62,2.94,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

26,06:15-06:30,70,10.3,13.6,0.38,0,38,0.23,1.14,0,1.57,0,0,0,0,0,38,70,3,114,36,28.76,30.5,2.05,115.01,2.91,26.23,0,9.62,2.94,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0,0,0,25.97,100.21,0,2.89,48.1,2.89,0,2.89

27,06:30-06:45,70,22.66,23.8,0.16,1,37.4,0.37,1.82,1,5.29,1,0,0,1,0,37.4,70,2.99,112.18,34.34,27.75,30.5,2.05,115.01,2.91,26.23,0,9.62,2.94,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0,0,0,22.12,100.21,0,2.89,48.1,2.89,0,2.89

28,06:45-07:00,69.67,28.31,28.31,1.37,4,37.28,1.5,7.5,4,10.57,2,1,1,3,1,37.28,69.67,2.98,111.81,32.66,27.25,30.5,2.05,84.85,2.91,26.23,0.23,9.62,2.94,5.77,86.76,6.63,260.29,0,9.62,9.62,271.98,1.92,0.3,0.3,0,22.12,100.21,0,2.89,48.1,2.89,0,2.89

29,07:00-07:15,69.33,27.85,27.85,4.33,9,37,3.18,15.88,14,17.95,3,6,7,5,3,37,69.33,2.98,111,31.34,26.75,30.5,1.87,76.37,2.84,26.23,0.66,9.62,2.94,5.77,86.76,6.54,260.29,0,9.62,9.62,271.98,1.92,0.86,0.86,0,22.12,100.21,0,2.89,48.1,2.89,0,2.89

30,07:15-07:30,68.67,28.1,28.1,8.23,14,36.33,5.49,27.46,28,26.87,8,12,10,7,5,36.33,68.67,2.95,109.01,30,26.24,30.5,1.87,67.88,2.84,26.23,1.27,9.62,2.94,5.77,76.27,6.54,225.97,0,9.62,9.62,271.98,1.92,1.64,1.64,0,22.12,100.21,0,2.89,48.1,2.89,0,2.89

31,07:30-07:45,67.67,25,25,13.47,22,35.83,8.59,42.92,42,36.38,13,18,17,12,8,35.83,67.67,2.95,107.51,28.34,25.74,26.99,1.87,66,2.84,26.99,2.03,9.62,0.78,5.77,63.12,6.54,189.72,0,9.62,9.62,271.98,1.92,2.63,2.63,0,22.12,100.21,0,2.89,48.1,2.89,0,2.89

32,07:45-08:00,66.67,25.34,25.33,20.24,25.33,35.5,11.65,58.24,56,46.26,19,24,23,16,12,35.5,66.67,2.95,106.5,27,25.23,26.99,1.87,66,2.84,26.99,2.94,9.62,2.79,5.77,63.12,6.54,189.72,0,9.62,9.62,271.98,1.92,3.8,3.8,0,22.12,52.9,0,2.89,48.1,2.89,0,2.89

33,08:00-08:15,69.33,26,26,27.85,26,35.33,16.68,83.39,70,56.11,30,30,37,21,18,35.33,69.33,2.95,106.01,25,25.23,26.99,1.87,70.14,2.84,26.99,3.96,9.62,2.79,5.77,63.12,6.54,189.72,0,9.62,9.62,230.86,1.92,5.14,5.14,0,22.12,52.9,2,2.89,48.1,2.89,0,2.89

34,08:15-08:30,63.33,28.06,28.07,35.52,28.07,34.83,20.79,103.96,88,65.93,39,37,47,25,23,34.83,63.33,2.95,104.51,24,24.22,26.99,1.87,70.14,2.84,26.99,5.15,9.62,2.79,5.77,63.12,6.54,189.72,0,9.62,9.62,192.38,1.92,6.66,6.66,0,22.12,52.9,2.67,2.89,48.1,2.89,0,2.89

35,08:30-08:45,56.33,28.4,28.4,43.58,28.4,29.5,24.28,121.37,105,75.26,44,45,53,29,27,29.5,56.33,2.95,88.5,22,23.72,26.99,1.87,70.14,2.84,26.99,6.79,9.62,2.79,5.77,44.25,6.54,129.86,0,9.62,9.62,149.59,1.92,6.79,6.79,0,22.12,52.9,3.35,2.89,48.1,2.89,0,2.89

36,08:45-09:00,49.33,28.4,28.4,51.53,28.4,22,28.25,141.25,123,89.15,52,52,60,32,30,22,49.33,2.95,66,20.34,23.72,26.99,1.87,70.14,2.84,26.99,8.31,9.62,2.79,5.77,44.25,6.54,129.86,0,9.62,9.62,149.59,1.92,8.31,8.31,0,22.12,52.9,4.03,2.89,48.1,2.89,0,2.89

37,09:00-09:15,50,29.06,29.07,59.35,29.07,23.33,32.07,160.34,137,93.79,58,58,69,34,34,23.33,50,2.95,70.01,19.66,23.21,26.99,1.87,70.14,2.76,26.99,9.82,9.62,2.64,5.77,44.25,6.44,129.86,0,9.62,9.62,149.59,1.92,9.82,9.82,0,22.12,52.9,4.03,2.89,48.1,2.89,0,2.89

38,09:15-09:30,49.33,29.06,29.07,66.63,29.07,22,35.7,178.49,151,101.82,67,64,77,36,38,22,49.33,2.95,66,19,23.21,26.99,1.87,70.14,2.76,26.99,11.09,9.62,2.64,5.77,44.25,6.44,129.86,0,9.62,9.62,149.59,1.92,11.09,11.09,0,22.12,52.9,4.69,2.89,48.1,2.89,0,2.89

39,09:30-09:45,49,29.24,29.23,73.52,29.23,20.83,39.06,195.32,165,109.29,73,70,81,39,41,20.83,49,2.95,62.51,19,23.21,26.99,1.87,70.14,2.76,26.99,12.31,9.62,2.64,5.77,44.25,6.44,129.86,0,9.62,9.62,149.59,1.92,12.31,12.31,0,22.12,52.9,4.7,2.89,48.1,2.89,0,2.89

40,09:45-10:00,48.67,29.24,29.23,79.94,29.23,20,42.17,210.82,179,116.56,79,76,87,41,43,20,48.67,2.95,60,18.34,23.21,26.99,1.87,70.14,2.76,26.99,13.34,9.62,2.64,5.77,44.25,6.44,129.86,0,9.62,9.62,149.59,1.92,13.34,13.34,0,22.12,52.9,5.38,2.89,48.1,2.89,0,2.89

41,10:00-10:15,48,29.24,29.23,85.61,29.23,18.33,44.87,224.37,189,122.85,84,81,90,43,45,18.33,48,2.95,55.01,17.34,23.21,26.99,1.77,70.14,2.91,26.99,14.47,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,14.47,14.47,0,22.12,52.9,5.38,2.89,48.1,2.89,0,2.89

42,10:15-10:30,47.67,29.56,29.57,91.12,29.57,17.33,47.34,236.71,196,128.28,89,84,93,45,47,17.33,47.67,2.95,52.01,16.66,23.21,26.99,1.77,70.14,2.91,26.99,15.29,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,15.29,15.29,0,22.12,52.9,5.08,2.89,48.1,2.89,0,2.89

43,10:30-10:45,47.33,29.56,29.57,95.42,29.57,22.5,49.17,245.83,203,133.05,93,87,98,48,49,22.5,47.33,2.95,67.5,16.34,23.21,26.99,1.77,70.14,2.91,26.99,16.03,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,16.03,16.03,0,22.12,52.9,4.32,2.89,48.1,2.89,0,2.89

44,10:45-11:00,47.33,29.56,29.57,100,29.57,22.5,49.17,245.83,207,136.89,95,88,100,48,50,22.5,47.33,2.95,67.5,16,23.21,26.99,1.77,70.14,2.91,26.99,16.71,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,16.71,16.71,0,22.12,52.9,3.55,2.89,48.1,2.89,0,2.89

45,11:00-11:15,48.33,29.9,29.9,100,29.9,22,49.17,245.83,210,140.24,98,90,100,49,50,22,48.33,2.95,66,15,24.73,26.99,1.77,70.14,2.99,26.99,17.32,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,17.32,17.32,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

46,11:15-11:30,50,30.06,30.07,100,30.07,21.17,49.17,245.83,210,142.71,98,90,100,49,50,21.17,50,2.95,63.49,14.34,24.73,26.99,1.77,70.14,2.99,26.99,17.42,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

47,11:30-11:45,52,30.4,30.4,100,30.4,20.83,49.17,245.83,210,144.36,98,90,100,49,50,20.83,52,2.95,62.51,14,24.73,26.99,1.77,70.14,2.99,26.99,17.42,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

48,11:45-12:00,54,30.74,30.73,100,30.73,20.83,49.17,245.83,210,145.71,98,90,100,50,50,20.83,54,2.95,62.51,14,24.73,26.99,1.77,70.14,2.99,26.99,17.42,9.62,2.48,5.77,44.25,6.35,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

49,12:00-12:15,61.67,30.74,30.73,100,30.73,30,49.17,245.83,210,146.92,98,90,100,50,50,30,61.67,2.95,90,31.66,24.73,26.99,1.87,70.14,2.99,26.99,17.42,9.62,2.79,5.77,44.25,6.26,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

50,12:15-12:30,61.67,30.74,30.73,100,30.73,29.67,49.17,245.83,210,147.41,98,90,100,50,50,29.67,61.67,2.95,88.99,31.34,24.73,26.99,1.87,70.14,2.99,26.99,17.42,9.62,2.79,5.77,44.25,6.26,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

51,12:30-12:45,61.33,30.74,30.73,100,30.73,28.83,49.17,245.83,210,146.66,98,90,100,50,50,28.83,61.33,2.95,86.51,31.34,24.73,26.99,1.87,70.14,2.99,26.99,17.42,9.62,2.79,5.77,44.25,6.26,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

52,12:45-13:00,61.33,30.74,30.73,100,30.73,28.33,49.17,245.83,210,146.08,98,90,100,50,50,28.33,61.33,2.95,85.01,31,24.73,26.99,1.87,70.14,2.99,26.99,17.42,9.62,2.79,5.77,44.25,6.26,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

53,13:00-13:15,61,30.74,30.73,100,30.73,34.17,49.17,245.83,210,144.78,98,90,100,50,50,34.17,61,2.95,102.49,30.66,24.73,26.99,2.05,70.14,3.15,26.99,17.42,9.62,2.79,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

54,13:15-13:30,60.67,30.74,30.73,100,30.73,34.17,49.17,245.83,210,143.04,98,90,100,50,50,34.17,60.67,2.95,102.49,30,24.73,26.99,2.05,70.14,3.15,26.99,17.42,9.62,2.79,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

55,13:30-13:45,60,30.74,30.73,100,30.73,30,49.17,245.83,210,140.15,98,90,100,50,50,30,60,3.4,90,29.34,26.24,26.99,2.05,70.14,3.15,26.99,17.42,9.62,2.79,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

56,13:45-14:00,59.33,30.74,30.73,100,30.73,29.83,49.17,245.83,210,136.37,98,90,100,49,50,29.83,59.33,5.12,89.51,29,26.24,26.99,2.05,70.14,3.15,26.99,17.42,9.62,2.79,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

57,14:00-14:15,59.33,31.06,31.07,100,31.07,29.67,49.17,245.83,207,132.04,97,88,100,48,50,29.67,59.33,6.1,88.99,28.34,26.24,26.99,2.24,70.14,3.15,26.99,17.42,9.62,2.87,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,17.42,17.42,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

58,14:15-14:30,59.33,31.06,31.07,100,31.07,29.17,49.17,245.83,203,127.33,95,87,99,48,49,29.17,59.33,6.48,87.49,29.66,26.24,26.99,2.24,70.14,3.15,26.99,17.41,9.62,2.87,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,17.41,17.41,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

59,14:30-14:45,63.33,31.06,31.07,100,31.07,29,49.17,245.83,196,121.92,93,84,97,47,48,29,63.33,6.72,87,33.34,27.25,26.99,2.24,70.14,2.91,26.99,16.72,9.62,2.87,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,16.72,16.72,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

60,14:45-15:00,63.33,31.06,31.07,100,31.07,29,49.17,245.83,189,116.08,92,81,92,45,46,29,63.33,6.72,87,33.34,27.75,26.99,2.24,70.14,2.91,26.99,16.12,9.62,2.87,5.77,44.25,6.17,129.86,0,9.62,9.62,149.59,1.92,16.12,16.12,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

61,15:00-15:15,63,31.4,31.4,100,31.4,28.83,47.39,236.93,182,109.81,89,78,89,40,45,28.83,63,6.72,86.51,33.34,28.26,26.99,2.42,70.14,2.91,26.99,15.45,9.62,1.16,5.77,44.25,6.08,129.86,0,9.62,9.62,149.59,1.92,15.45,15.45,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

62,15:15-15:30,62.67,31.4,31.4,94.08,31.4,28.67,44.69,223.44,172,103.13,86,73,83,37,42,28.67,62.67,6.72,85.99,33,28.76,26.99,2.42,70.14,2.91,26.99,14.62,9.62,2.71,5.77,44.25,6.08,129.86,0,9.62,9.62,149.59,1.92,14.62,14.62,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

63,15:30-15:45,63.33,31.4,31.4,88.41,31.4,28.67,39.65,198.23,161,95.67,77,69,80,35,40,28.67,63.33,6.72,85.99,32.66,29.27,26.99,2.42,70.14,2.99,26.99,13.7,9.62,2.71,4.1,44.25,6.08,129.86,0,9.62,9.62,149.59,1.92,13.7,13.7,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

64,15:45-16:00,63.33,31.4,31.4,82.57,31.4,28.5,36.96,184.77,151,82.83,71,64,73,32,37,28.5,63.33,6.72,85.5,32.34,29.77,26.99,2.42,70.14,2.99,26.99,12.64,9.62,2.71,4.1,44.25,6.08,129.86,0,9.62,9.62,149.59,1.92,12.64,12.64,0,22.12,52.9,3.34,2.89,48.1,2.89,0,2.89

65,16:00-16:15,65.33,31.74,31.73,74.82,31.73,28.5,33.8,168.98,137,74.23,64,58,68,30,34,28.5,65.33,10,85.5,31.66,29.77,26.99,2.61,70.14,2.99,26.99,11.55,9.62,2.71,4.1,44.25,6.08,129.86,0,9.62,9.62,149.59,1.92,11.55,11.55,0,22.12,52.9,0,2.89,48.1,2.89,50,2.89

66,16:15-16:30,64.67,31.74,31.73,68.76,31.73,27.67,30.54,152.68,123,64.92,57,52,60,26,30,27.67,64.67,10.4,82.99,31.34,29.77,26.99,2.61,70.14,2.99,26.99,10.29,9.62,2.71,4.1,44.25,6.08,129.86,0,9.62,9.62,149.59,1.92,10.29,10.29,0,22.12,52.9,0,2.89,48.1,2.89,50,2.89

67,16:30-16:45,72.67,31.74,31.73,61.58,31.73,27.33,27.07,135.36,105,55.14,49,45,51,23,26,27.33,72.67,11.21,82.01,34,29.77,26.99,2.61,70.14,2.99,26.99,7.94,9.62,2.71,4.1,44.25,6.08,129.86,0,9.62,9.62,192.38,1.92,7.94,7.94,0,22.12,52.9,0,2.89,48.1,2.89,50,2.89

68,16:45-17:00,72.33,31.74,31.73,54.37,31.73,27.17,23.47,117.32,88,45.37,42,37,43,19,21,27.17,72.33,11,81.49,33.66,29.77,26.99,2.61,70.14,2.99,26.99,6.72,9.62,2.71,4.1,44.25,6.08,129.86,0,9.62,9.62,230.86,1.92,6.72,6.72,0,22.12,52.9,0,2.89,48.1,2.89,50,2.89

