Column1,Block,NR/2025/25311/C,NR/30092023/26122029/SH-06,GNA/WR/2024/11/01/4200,GNA/WR/2025/01/01/9606,NR/30092023/31122025/SH-07,GNA/NR/2025/02/16/1676,GNA/NR/2025/02/01/2143,GNA/SR/2025/02/01/7432,NR/2025/24882/A/53826,NR/2024/24418/A/53787,WR/2025/26047/A/54087,NR/2025/25070/A/54134,GNA/WR/2025/01/01/8625,NR/2025/24992/A/53822,GNA/SR/2025/02/01/6460,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/9969,GNA/NR/2025/02/01/4863,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1380,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/25266/A/54019,NR/2025/25265/A/54036,NR/2025/25267/A/54041,NR/2025/25308/C,Total
7,01:30-01:45,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

8,01:45-02:00,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

9,02:00-02:15,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

10,02:15-02:30,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

11,02:30-02:45,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

12,02:45-03:00,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

13,03:00-03:15,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.29,0,0,0,0,275.78

14,03:15-03:30,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.29,0,0,0,0,275.78

15,03:30-03:45,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.29,0,0,0,0,275.78

16,03:45-04:00,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.29,0,0,0,0,275.78

17,04:00-04:15,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

18,04:15-04:30,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

19,04:30-04:45,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

20,04:45-05:00,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

21,05:00-05:15,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

22,05:15-05:30,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

23,05:30-05:45,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

24,05:45-06:00,0,26.99,0,0,26.99,23.78,23.07,0,2.88,0.38,0,17.3,0,6.73,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,275.67999999999995

25,06:00-06:15,0,26.99,0,0,26.99,0,23.07,0,4.81,0.43,0,17.3,0,9.61,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,248.92999999999998

26,06:15-06:30,0,26.99,0,0,26.99,0,23.07,0,4.81,0.43,0,17.3,0,9.61,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,248.92999999999998

27,06:30-06:45,0,12.6,0,0,32,0,36.53,0,4.81,0.43,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.29,0,0,0,0,296.27

28,06:45-07:00,0,3.58,0,0,32,0,36.53,0,4.81,0.43,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.29,0,0,0,0,287.24999999999994

29,07:00-07:15,0,32,0,0,32,0,36.53,0,4.81,0.48,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,315.61999999999995

30,07:15-07:30,0,32,0,0,32,0,36.53,0,4.81,0.48,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,315.61999999999995

31,07:30-07:45,0,32,0,0,32,0,36.53,0,4.81,0.48,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,315.61999999999995

32,07:45-08:00,0,32,0,0,32,0,36.53,0,4.81,0.48,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,315.61999999999995

33,08:00-08:15,0,32,0,0,32,0,36.53,0,4.81,0.87,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,316.00999999999993

34,08:15-08:30,0,32,0,0,32,0,36.53,0,4.81,0.87,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,316.00999999999993

35,08:30-08:45,0,32,0,0,32,0,36.53,0,4.81,0.87,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0.01,0.01,0,0,316.0299999999999

36,08:45-09:00,0,32,0,0,32,0,36.53,0,4.81,0.87,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0.12,0.1,0.05,0,316.28

37,09:00-09:15,21.43,32,0,0,25.87,0,36.53,0,4.81,0.87,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.29,0.28,0.19,0.12,14.42,346.42

38,09:15-09:30,24.9,32,0,0,25.87,0,36.53,0,4.81,0.87,0,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.29,0.51,0.38,0.19,14.42,350.37999999999994

39,09:30-09:45,31.24,32,0,0,23.41,0,23.07,0,4.81,0.87,0,17.3,0,9.61,75,23.07,23.07,8.65,8.65,0,1.29,0.64,0.48,0.33,14.42,297.90999999999997

40,09:45-10:00,38.45,32,0,0,23.41,0,23.07,0,4.81,0.87,0,17.3,0,9.61,75,23.07,23.07,8.65,8.65,0,1.29,0.87,0.62,0.35,14.42,305.51000000000005

41,10:00-10:15,38.45,25.16,0,0,25.16,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.96,0.58,0.38,14.42,295.59

42,10:15-10:30,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,1.06,0.58,0.38,14.42,299.34999999999997

43,10:30-10:45,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,1.06,0.58,0.38,14.42,299.34999999999997

44,10:45-11:00,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,1.06,0.77,0.38,14.42,299.53999999999996

45,11:00-11:15,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,1.06,0.77,0.38,14.42,299.53999999999996

46,11:15-11:30,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,1.06,0.77,0.48,14.42,299.64

47,11:30-11:45,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,1.06,0.77,0.48,14.42,299.64

48,11:45-12:00,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,1.06,0.77,0.48,14.42,299.64

49,12:00-12:15,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,14.42,299.74

50,12:15-12:30,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,14.42,299.74

51,12:30-12:45,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,14.42,299.74

52,12:45-13:00,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,14.42,299.74

53,13:00-13:15,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,13.75,299.07

54,13:15-13:30,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,13.46,298.78

55,13:30-13:45,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,13.26,298.58

56,13:45-14:00,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,1.06,0.77,0.48,13.17,298.49

57,14:00-14:15,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.84,0.61,0.48,13.17,298.01

58,14:15-14:30,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.84,0.67,0.41,13.17,298

59,14:30-14:45,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.84,0.67,0.41,13.17,298

60,14:45-15:00,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.87,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.88,0.64,0.4,13.07,297.8999999999999

61,15:00-15:15,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.67,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.97,0.7,0.44,12.98,297.8

62,15:15-15:30,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.67,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.99,0.63,0.45,12.78,297.55999999999995

63,15:30-15:45,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.67,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.95,0.66,0.37,12.69,297.38

64,15:45-16:00,38.45,26.99,0,0,26.99,0,23.07,0,3.84,0.67,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.19,0.8,0.54,0.36,12.5,296.91

65,16:00-16:15,36.53,26.99,0,0,26.99,0,23.07,0,3.84,0.53,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0.61,0.45,0.22,12.21,294.24

66,16:15-16:30,29.22,26.99,0,0,26.99,0,23.07,0,3.84,0.53,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0.42,0.3,0.18,15.19,289.53

67,16:30-16:45,23.07,26.99,0,0,26.99,0,23.07,0,3.84,0.53,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0.23,0.18,0.1,22.01,289.81

68,16:45-17:00,17.21,26.99,0,0,26.99,0,23.07,0,3.84,0.53,0,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0.12,0.09,0.06,17.11,278.81

69,17:00-17:15,0,26.99,0,0,26.99,0,31.72,0,4.81,0.53,0,17.3,0,9.61,75,31.72,31.72,8.65,8.65,0,1.29,0.04,0.02,0.02,0,275.05999999999995

70,17:15-17:30,0,26.99,0,0,26.99,0,31.72,0,4.81,0.53,0,17.3,0,9.61,75,31.72,31.72,8.65,8.65,0,1.29,0,0,0,0,274.97999999999996

71,17:30-17:45,0,32,0,0,25.84,0,31.72,0,4.81,0.53,0,17.3,0,9.61,75,31.72,31.72,8.65,8.65,0,1.29,0,0,0,0,278.84

72,17:45-18:00,0,32,0,0,25.84,0,31.72,0,4.81,0.53,0,17.3,0,9.61,75,31.72,31.72,8.65,8.65,0,1.29,0,0,0,0,278.84

73,18:00-18:15,0,32,50,200,32,0,36.53,0,4.81,0.53,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,604.1200000000001

74,18:15-18:30,0,32,50,200,32,0,36.53,0,4.81,0.53,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,604.1200000000001

75,18:30-18:45,0,32,50,200,32,0,36.53,50,4.81,0.53,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,654.1200000000001

76,18:45-19:00,0,32,50,200,32,0,36.53,50,4.81,0.53,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,654.1200000000001

77,19:00-19:15,0,32,50,200,32,0,36.53,50,4.81,0.62,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,654.21

78,19:15-19:30,0,32,50,200,32,0,36.53,50,4.81,0.62,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,654.21

79,19:30-19:45,0,32,50,200,32,0,36.53,50,4.81,0.62,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,654.21

80,19:45-20:00,0,32,50,200,32,0,36.53,50,4.81,0.62,38.45,17.3,0,9.61,75,36.53,43.25,13.46,13.46,0,1.19,0,0,0,0,654.21

81,20:00-20:15,0,32,50,150,25.84,0,23.07,50,3.84,0.62,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,536.6199999999999

82,20:15-20:30,0,32,50,150,25.84,0,23.07,50,3.84,0.62,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,536.6199999999999

83,20:30-20:45,0,32,50,150,25.84,0,23.07,50,3.84,0.62,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,536.6199999999999

84,20:45-21:00,0,32,50,150,25.84,0,23.07,50,3.84,0.62,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,536.6199999999999

85,21:00-21:15,0,32,50,150,25.84,0,23.07,50,3.84,0.58,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,536.5799999999998

86,21:15-21:30,0,32,50,150,25.84,0,23.07,50,3.84,0.58,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,536.5799999999998

87,21:30-21:45,0,26.99,50,150,26.99,0,23.07,50,3.84,0.58,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,532.7199999999999

88,21:45-22:00,0,26.99,50,150,26.99,0,23.07,50,3.84,0.58,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,0,1.29,0,0,0,0,532.7199999999999

89,22:00-22:15,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.53,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.28

90,22:15-22:30,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.53,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.28

91,22:30-22:45,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.53,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.28

92,22:45-23:00,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.53,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.28

93,23:00-23:15,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.48,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.23

94,23:15-23:30,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.48,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.23

95,23:30-23:45,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.48,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.23

96,23:45-24:00,0,26.99,50,150,26.99,23.78,23.07,50,3.84,0.48,38.45,17.3,0,5.77,75,23.07,23.07,8.65,8.65,7.93,1.19,0,0,0,0,564.23

