Block,Time Block,RIHAND1,RAPPC,RAMPUR,RIHAND3,RIHAND2,RAPPB,SASAN,TALST2,TANAKPUR,TelanganaSTPP,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,TALA,TEHRI,SALAL,SEWA2,SINGRAULI,TANDA2,BSIUL,BRBCL,CHAMERA2,CHAMERA1,KOLDAM,KISHANGANGA,MAPS,KOTESHWR,KHSTPP-II,KKNP,KKNPPU2,KUDGI,NTPL,PARBATI3,NLCEXP,NJPC,NAPP,NLCIIST1,NLCIIST2,NLCTS2EXP,NNTPP,DADRI_GF,DADRI_RF,DADRI_LF,KHSTPP-I,JHAJJAR,KGSU3AND4,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DULHASTI,DADRT2,AURY_CRF,DADRI_CRF,ANTA_RF,AURY_LF,ANTA_LF,ANTA_GF,AURY_GF,AURY_RF,VALLURNTECL,ANTA_CRF,UNCHAHAR4,URI2,UNCHAHAR3,UNCHAHAR2,URI,UNCHAHAR1,CHAMERA3,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
25,06:00-06:15,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,29.94,53.65,0,121.17,0,0,19.24,1.92,0,0,0,0,17.08,139.12,0,0,0,0,3.67,0,67.5,41.91,0,0,0,0,0,0,0,42.74,349.63,0,0,0,14.99,15.85,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,19.29,30.57,1.28,14.91,0,0,0,0,0,0

26,06:15-06:30,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,44.91,40.24,0,121.17,0,0,19.24,3.85,0,0,0,0,25.62,142.66,0,0,0,0,15.92,0,90,41.91,0,0,0,0,0,0,0,43.5,349.63,0,0,7.75,14.99,31.7,351.04,0,0,0,0,0,0,0,0,0,0,0,18.11,22.79,36.19,1.28,17.64,6.13,0,0,0,0,0

27,06:30-06:45,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,40.24,5.07,121.17,0,6.27,19.24,38.01,13.52,0,0,0,38.32,142.66,0,0,0,0,15.92,0,109.32,41.91,0,0,0,0,0,0,0,43.5,349.63,0,0,15.37,14.99,31.7,457.09,0,0,0,0,0,0,0,0,0,0,0,18.11,22.79,36.19,1.28,17.64,27.97,0,0,0,0,0

28,06:45-07:00,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,8.94,5.07,121.17,0,6.27,19.24,38.01,13.52,0,0,0,38.32,142.66,0,0,0,0,15.92,0,135.02,41.91,0,0,0,0,0,0,0,43.5,436.21,0,0,15.37,17.51,31.7,495.57,0,0,0,0,0,0,0,0,0,0,0,18.11,21.89,35.15,3.18,17.05,27.97,0,0,0,0,0

29,07:00-07:15,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,5.07,121.17,0,6.27,19.24,38.01,13.52,0,0,0,38.32,142.66,0,0,0,0,15.92,0,135.02,41.91,0,0,0,0,0,0,0,43.5,552.95,0,0,33.29,17.51,31.7,528.44,0,0,0,0,0,0,0,0,0,0,0,18.11,25.39,40.78,25.48,19.78,27.97,0,0,0,0,0

30,07:15-07:30,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,5.07,121.17,0,6.27,19.24,38.01,13.52,0,0,0,38.32,142.66,0,0,0,0,15.92,0,135.02,41.91,0,0,0,0,0,0,0,43.5,629.44,0,0,35.16,17.51,31.7,528.35,0,0,0,0,0,0,0,0,0,0,0,18.11,25.39,40.78,25.48,19.78,27.97,0,0,0,0,0

31,07:30-07:45,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,5.07,121.17,0,0,19.24,38.01,13.52,0,0,0,38.32,142.66,0,0,0,0,15.92,0,135.02,41.91,0,0,0,0,0,0,0,43.5,629.44,0,0,35.16,17.51,31.7,551.64,0,0,0,0,0,0,0,0,0,0,0,18.11,25.39,40.78,25.48,19.78,27.97,0,0,0,0,0

32,07:45-08:00,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,5.07,121.17,0,0,19.24,38.01,13.52,0,0,0,38.32,142.66,0,0,0,0,3.42,0,135.02,41.91,0,0,0,0,0,0,0,43.5,629.44,0,0,35.16,17.51,31.7,517.97,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,3.18,19.78,27.97,0,0,0,0,0

33,08:00-08:15,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,3.2,13.52,0,0,0,25.62,142.66,0,0,0,0,0,0,91.1,41.91,0,0,0,0,0,0,0,43.5,629.44,0,0,35.16,17.51,31.7,465.06,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.6,19.78,5.02,0,0,0,0,0

34,08:15-08:30,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,13.46,0,0,0,25.62,142.66,0,0,0,0,0,0,72.88,41.91,0,0,0,0,0,0,0,43.5,629.44,0,0,15.37,17.51,31.7,492.68,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.6,19.78,0,0,0,0,0,0

35,08:30-08:45,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,13.46,0,0,0,25.62,142.66,0,0,0,0,0,0,60.95,41.91,0,0,0,0,0,0,0,43.5,629.44,0,0,7.75,17.51,31.7,517.97,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.6,19.78,0,0,0,0,0,0

36,08:45-09:00,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,0,0,0,0,17.08,142.66,0,0,0,0,0,0,40.09,41.91,0,0,0,0,0,0,0,43.5,629.44,0,0,0,17.51,31.7,532.4,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,2.23,19.78,0,0,0,0,0,0

37,09:00-09:15,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,0,0,0,0,17.08,142.66,0,0,0,0,0,0,21.86,41.91,0,0,0,0,0,0,0,43.5,601.06,0,0,0,17.51,31.7,570.88,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,25.48,19.78,0,0,0,0,0,0

38,09:15-09:30,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,21.86,41.91,0,0,0,0,0,0,0,43.5,601.06,0,0,0,17.51,31.7,656.84,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,25.48,19.78,0,0,0,0,0,0

39,09:30-09:45,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,21.86,41.91,0,0,0,0,0,0,0,43.5,601.06,0,0,0,17.51,31.7,656.84,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,25.48,19.78,0,0,0,0,0,0

40,09:45-10:00,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,21.86,41.91,0,0,0,0,0,0,0,43.5,601.06,0,0,0,17.51,31.7,656.84,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,3.18,19.78,0,0,0,0,0,0

41,10:00-10:15,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,601.06,0,0,0,17.51,15.85,590.12,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

42,10:15-10:30,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,59.87,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,601.06,0,0,0,17.51,0,570.88,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

43,10:30-10:45,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,47.34,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,552.96,0,0,0,17.51,0,563.17,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

44,10:45-11:00,88.5,51.52,0,119.6,114.24,0,402.86,0,3.08,0,0,0,0,0,0,0,32.37,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,552.96,0,0,0,17.51,0,569.91,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

45,11:00-11:15,88.5,51.52,0,119.6,114.24,0,402.86,0,3.58,0,0,0,0,0,0,0,16.18,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,537.47,0,0,0,17.51,0,562.97,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

46,11:15-11:30,88.5,51.52,0,119.6,114.24,0,402.86,0,3.58,0,0,0,0,0,0,0,14.97,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,552.95,0,0,0,17.51,0,556.57,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

47,11:30-11:45,88.5,51.52,0,119.6,114.24,0,402.86,0,3.58,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,504.51,0,0,0,16.45,0,502.95,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

48,11:45-12:00,88.5,51.52,0,119.6,114.24,0,402.86,0,3.58,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,475.65,0,0,0,16.45,0,449.9,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

49,12:00-12:15,88.5,51.52,0,119.6,114.24,0,402.86,0,3.58,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,389.07,0,0,0,16.45,0,436.32,0,0,0,0,0,0,0,0,0,0,0,4.15,21.44,30.42,1.07,18.78,0,0,0,0,0,0

50,12:15-12:30,88.5,51.52,0,119.6,114.24,0,402.86,0,3.58,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,350.59,0,0,0,16.45,0,397.19,0,0,0,0,0,0,0,0,0,0,0,4.15,21.44,30.42,1.07,16.59,0,0,0,0,0,0

51,12:30-12:45,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,350.59,0,0,0,16.45,0,375.58,0,0,0,0,0,0,0,0,0,0,0,4.15,18.85,30.42,1.07,14.46,0,0,0,0,0,0

52,12:45-13:00,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,350.59,0,0,0,14.99,0,299.03,0,0,0,0,0,0,0,0,0,0,0,4.15,18.85,30.42,1.07,14.46,0,0,0,0,0,0

53,13:00-13:15,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,38.22,350.59,0,0,0,12.56,0,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,18.85,30.2,1.07,14.46,0,0,0,0,0,0

54,13:15-13:30,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,38.22,350.59,0,0,0,12.56,0,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,18.85,30.2,1.07,14.46,0,0,0,0,0,0

55,13:30-13:45,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,38.22,350.59,0,0,0,12.56,0,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,18.85,30.2,1.07,14.46,0,0,0,0,0,0

56,13:45-14:00,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,38.22,350.59,0,0,0,12.56,0,292.45,0,0,0,0,0,0,0,0,0,0,0,4.15,18.85,30.2,1.07,14.46,0,0,0,0,0,0

57,14:00-14:15,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,350.59,0,0,0,14.99,0,361.36,0,0,0,0,0,0,0,0,0,0,0,4.15,22.5,35.76,1.07,17.43,0,0,0,0,0,0

58,14:15-14:30,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,350.59,0,0,0,14.99,0,361.36,0,0,0,0,0,0,0,0,0,0,0,4.15,22.5,35.76,1.07,17.43,0,0,0,0,0,0

59,14:30-14:45,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,350.59,0,0,0,16.45,0,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,25.3,40.78,1.07,19.78,0,0,0,0,0,0

60,14:45-15:00,88.5,51.52,0,119.6,114.24,0,402.86,0,1.6,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,350.59,0,0,0,16.45,0,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,25.39,40.78,1.07,19.78,0,0,0,0,0,0

61,15:00-15:15,88.5,51.52,0,119.6,114.24,0,402.86,0,1.11,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,401.03,0,0,0,14.35,0,297.26,0,0,0,0,0,0,0,0,0,0,0,4.15,21.44,30.2,1.07,16.59,0,0,0,0,0,0

62,15:15-15:30,88.5,51.52,0,119.6,114.24,0,402.86,0,1.11,0,0,0,0,0,0,0,0,1.35,0,121.17,0,0,19.24,0,0,0,0,0,8.54,142.66,0,0,0,0,0,0,0,41.91,0,0,0,0,0,0,0,43.5,502.27,0,0,0,14.35,0,326.12,0,0,0,0,0,0,0,0,0,0,0,4.15,18.7,30.2,1.07,14.35,0,0,0,0,0,0

