Time,Block,NR/2023/18074/A/3440,NR/2024/18415/C,NR/2023/18204/A/3446,NR/2024/18285/A/3591,NR/2023/18183/A/3619,NR/2024/18331/A/3618,NR/2024/18414/C,WR/2023/20937/A/3620,WR/2023/20914/A/3599,Total
35,08:30-08:45,0.870000,0.000000,5.770000,9.610000,158.480000,0.000000,2.11,0.000000,0.000000,176.84

36,08:45:09:00,0.870000,0.000000,5.770000,9.610000,158.480000,0.000000,2.58,0.000000,0.000000,177.31

37,09:00:09:15,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,3.23,0.000000,0.000000,177.96

38,09:15-09:30,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,3.76,0.000000,0.000000,178.49

39,09:30-09:45,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,4.24,0.000000,0.000000,178.97

40,09:45-10:00,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,4.62,0.000000,0.000000,179.35

41,10:00-10:15,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,5,0.000000,0.000000,179.73

42,10:15-10:30,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,5.49,0.000000,0.000000,180.22

43,10:30-10:45,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,5.9,0.000000,0.000000,180.63

44,10:45-11:00,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,6.33,0.000000,0.000000,181.06

45,11:00-11:15,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,6.56,0.000000,0.000000,181.29

46,11:15-11:30,0.870000,0.000000,5.770000,9.610000,0.000000,158.480000,6.73,0.000000,0.000000,181.46

47,11:30-11:45,0.870000,3.940000,5.770000,9.610000,0.000000,158.480000,6.92,0.000000,0.000000,185.59

48,11:45-12:00,0.870000,3.940000,5.770000,9.610000,0.000000,158.480000,7.04,0.000000,0.000000,185.71

49,12:00-12:15,0.870000,3.840000,5.770000,9.610000,0.000000,158.480000,7.14,0.000000,0.000000,185.71

50,12:15-12:30,0.870000,3.840000,5.770000,9.610000,0.000000,158.480000,7.12,0.000000,0.000000,185.69

51,12:30-12:45,0.870000,3.840000,5.770000,9.610000,0.000000,158.480000,7.06,0.000000,0.000000,185.63

52,12:45-13:00,0.870000,3.840000,5.770000,9.610000,0.000000,158.480000,7.24,0.000000,0.000000,185.81

53,13:00-13:15,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,6.95,0.000000,0.000000,185.42

54,13:15-13:30,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,6.79,0.000000,0.000000,185.26

55,13:30-13:45,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,6.81,0.000000,0.000000,185.28

56,13:45-14:00,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,6.52,0.000000,0.000000,184.99

57,14:00-14:15,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,6.33,0.000000,0.000000,184.8

58,14:15-14:30,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,4.17,0.000000,0.000000,182.64

59,14:30-14:45,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,3.92,0.000000,0.000000,182.39

60,14:45-15:00,0.770000,3.840000,5.770000,9.610000,0.000000,158.480000,4.24,0.000000,0.000000,182.71

61,15:00-15:15,0.670000,3.840000,5.770000,9.610000,0.000000,158.480000,5.18,0.000000,0.000000,183.55

62,15:15-15:30,0.670000,3.840000,5.770000,9.610000,0.000000,158.480000,4.48,0.000000,0.000000,182.85

63,15:30-15:45,0.670000,3.840000,5.770000,9.610000,0.000000,158.480000,4.05,0.000000,0.000000,182.42

64,15:45-16:00,0.670000,3.840000,5.770000,9.610000,0.000000,158.480000,3.59,0.000000,0.000000,181.96

65,16:00-16:15,0.480000,3.840000,5.770000,9.610000,0.000000,158.480000,3.16,0.000000,0.000000,181.34

66,16:15-16:30,0.480000,3.840000,5.770000,9.610000,0.000000,158.480000,2.6,0.000000,0.000000,180.78

67,16:30-16:45,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,2.11,0.000000,0.000000,176.45

68,16:45-17:00,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,1.54,0.000000,0.000000,175.88

69,17:00-17:15,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,1.13,0.000000,0.000000,175.47

70,17:15-17:30,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,0.81,0.000000,0.000000,175.15

71,17:30-17:45,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,0.45,0.000000,0.000000,174.79

72,17:45-18:00,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,0.17,0.000000,0.000000,174.51

73,18:00-18:15,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,0,25.000000,55.000000,254.34

74,18:15-18:30,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,0,25.000000,55.000000,254.34

75,18:30-18:45,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,0,25.000000,55.000000,254.34

76,18:45-19:00,0.480000,0.000000,5.770000,9.610000,0.000000,158.480000,0,25.000000,55.000000,254.34

77,19:00-19:15,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

78,19:15-19:30,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

79,19:30-19:45,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

80,19:45-20:00,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

81,20:00-20:15,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

82,20:15-20:30,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

83,20:30-20:45,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

84,20:45-21:00,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

85,21:00-21:15,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

86,21:15-21:30,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

87,21:30-21:45,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

88,21:45-22:00,0.580000,0.000000,5.770000,9.610000,158.480000,0.000000,0,25.000000,55.000000,254.44

89,22:00-22:15,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,55.000000,70.86

90,22:15-22:30,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,55.000000,70.86

91,22:30-22:45,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,55.000000,70.86

92,22:45-23:00,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,55.000000,70.86

93,23:00-23:15,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.86

94,23:15-23:30,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.86

95,23:30-23:45,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.86

96,23:45-24:00,0.480000,0.000000,5.770000,9.610000,0.000000,0.000000,0,0.000000,0.000000,15.86

