Column1,Block,NR/2025/30083/A/86141,NR/2025/30086/A/86136,NR/2025/30817/C,NR/2025/30084/A/86139,NR/2025/29910/A/86152,NR/2025/26975/A/86160,NR/2025/27978/A/86205,NR/2025/30105/A/86134,NR/2025/29352/A/85692,NR/2025/27962/A/86069,NR/2025/27964/A/86071,NR/2025/27970/A/86073,NR/2025/30813/C,NR/2025/30774/C,NR/2025/27963/A/86070,NR/2025/27968/A/86072,NR/2025/30814/C,NR/2025/28725/A/86049,NR/2025/30815/C,NR/2025/30811/C,NR/2025/29353/A/85691,NR/2025/30798/C,NR/2025/30696/C,NR/2025/29986/A/85793,NR/2025/30758/C,NR/2025/30799/C,NR/2025/30759/C,NR/2025/30760/C,NR/2025/30764/C,NR/2025/29992/A/85760,NR/2025/30712/C,NR/2025/30082/A/86127,NR/2025/30748/C,NR/2025/30334/A/85652,NR/2025/29985/A/85790,NR/2025/30835/C,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/NR/2025/07/01/8154,GNA/NR/2025/07/01/3109,NR/2025/30492/A/85743,NR/2025/30807/C,NR/2025/30217/A/86133,NR/2025/29440/A/85686,NR/2025/30808/C,NR/2025/30101/A/86201,NR/2025/30067/A/86115,NR/2025/29439/A/85762,NR/2025/30834/C,NR/2025/30191/A/85656,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/05/9146,GNA/NR/2025/07/01/8139,NR/2025/30121/A/85659,NR/2025/30804/C,GNA/NR/2025/07/01/2786,NR/2025/29167/A/85877,NR/2025/30837/C,NR/2025/30803/C,GNA/NR/2025/07/01/2236,NR/2025/30831/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/07/01/1192,NR/2025/29628/A/86156,NR/2025/29915/A/85876,GNA/NR/2025/07/01/2997,GNARE/NR/2024/12/20/3668,NR/2025/30793/C,Total
3,00:30-00:45,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,30,30,20.76,19.25,12.51,0,7.7,0.91,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2476.91

4,00:45-01:00,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,30,30,20.76,19.25,12.51,0,7.7,0.91,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2476.91

5,01:00-01:15,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,30,26.17,20.76,19.25,12.51,0,7.7,0.77,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2472.9399999999996

6,01:15-01:30,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,30,26.17,20.76,19.25,12.51,0,7.7,0.77,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2472.9399999999996

7,01:30-01:45,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.77,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2470.6499999999996

8,01:45-02:00,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.77,0,48.12,204.53,25.1,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,14.55,49.09,105.88,20.45,15.26,0,0,2470.6499999999996

9,02:00-02:15,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.67,0,48.12,204.53,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.95,49.09,105.88,20.45,15.26,0,0,2447.8499999999995

10,02:15-02:30,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.67,0,48.12,204.53,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.95,49.09,105.88,20.45,15.26,0,0,2447.8499999999995

11,02:30-02:45,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.67,0,48.12,204.53,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.95,49.09,105.88,20.45,15.26,0,0,2447.8499999999995

12,02:45-03:00,8.75,26.25,0,26.25,19.25,26.47,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.67,0,48.12,204.53,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.95,49.09,105.88,20.45,15.26,0,0,2447.8499999999995

13,03:00-03:15,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.85,0,76.63,0,15.26,0,0,2123.7000000000003

14,03:15-03:30,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.85,0,76.63,0,15.26,0,0,2123.7000000000003

15,03:30-03:45,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.85,0,76.63,0,15.26,0,0,2123.7000000000003

16,03:45-04:00,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,144.38,144.38,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,54.14,0,27.91,81.81,0,16.85,0,76.63,0,15.26,0,0,2123.7000000000003

17,04:00-04:15,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.67,0,76.63,0,15.26,0,0,1780.6200000000001

18,04:15-04:30,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.67,0,76.63,0,15.26,0,0,1780.6200000000001

19,04:30-04:45,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.67,0,76.63,0,15.26,0,0,1780.6200000000001

20,04:45-05:00,8.75,26.25,0,26.25,19.25,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,134.75,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.67,0,76.63,0,15.26,0,0,1780.6200000000001

21,05:00-05:15,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.4,0,76.63,0,15.26,0,0,1642.9400000000003

22,05:15-05:30,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,12.51,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.4,0,76.63,0,15.26,0,0,1642.9400000000003

23,05:30-05:45,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,0,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.4,0,76.63,0,15.26,0,0,1641.9800000000002

24,05:45-06:00,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,1,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.63,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.4,0,76.63,0,15.26,1.15,0,1644.1300000000003

25,06:00-06:15,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,3,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.82,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.12,0,76.63,0,15.26,3.62,0,1648.51

26,06:15-06:30,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,7,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.82,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.12,0,76.63,0,15.26,6.09,0,1654.98

27,06:30-06:45,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,11,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.82,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.12,0,76.63,0,15.26,8.56,0.35,1661.8

28,06:45-07:00,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,16,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.82,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.12,0,76.63,0,15.26,11.03,0.57,1669.49

29,07:00-07:15,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,21,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.87,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.03,0,76.63,0,15.26,15.4,0.82,1679.0700000000002

30,07:15-07:30,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,28,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.87,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.03,0,76.63,0,15.26,19.77,1.23,1690.8500000000001

31,07:30-07:45,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,46,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.87,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.03,0,76.63,0,15.26,24.13,1.6,1713.5800000000002

32,07:45-08:00,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,0,60,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.87,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,43.75,0,0,27.91,81.81,0,16.03,0,76.63,0,15.26,28.5,2.18,1732.5300000000002

33,08:00-08:15,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,3.44,74,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.96,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,15.94,0,76.63,0,15.26,32.72,2.56,1737.0700000000002

34,08:15-08:30,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,4.03,88,0,26.94,26.94,20.76,19.25,11.55,0,7.7,0.96,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,15.94,0,76.63,0,15.26,36.95,3.53,1756.86

35,08:30-08:45,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,4.62,102,0,26.94,26.94,20.76,19.25,13.48,0,7.7,0.96,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,15.94,0,76.63,0,15.26,41.17,1.11,1775.1800000000003

36,08:45-09:00,8.75,26.25,0,26.25,16.59,5.78,96.25,17.5,28.63,96.25,0,0,0,0,0,0,0,143.17,0,0,81.81,0,0,0,0,0,0,0,0,44.28,0,48.12,0,5.18,116,0,26.94,26.94,20.76,19.25,13.48,0,7.7,0.96,0,48.12,0,0,0,48.12,224.98,0,134.99,6.74,163.87,26.25,0,0,27.91,81.81,0,15.94,0,76.63,0,15.26,45.39,1.38,1794.2300000000005

37,09:00-09:15,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,5.66,130,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,15.94,0,0,0,15.26,49.93,1.66,1806.83

38,09:15-09:30,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,6.11,140,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,15.94,0,0,0,15.26,54.47,1.98,1822.14

39,09:30-09:45,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,6.5,151,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,15.94,0,0,0,15.26,59.01,1.33,1837.4199999999998

40,09:45-10:00,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,6.94,161,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,15.94,0,0,0,15.26,63.55,1.39,1852.46

41,10:00-10:15,0,0,26.25,0,0,5.78,0,0,28.63,0,0,0,26.25,0.96,0,0,17.5,0,7.7,8.75,81.81,48.12,48.12,0,0,96.25,0,96.25,48.12,0,44.28,0,143.17,7.31,172,0,26.96,26.96,20.76,19.25,13.48,76.63,0,0,16.59,0,0,0,0,0,224.98,0,134.99,0,163.87,26.25,0,0,27.91,81.81,0,15.94,0,0,0,15.26,65.98,1.47,1866.34

