Block,Time,DADRT2,JHAJJAR,TelanganaSTPP,VALLURNTECL,BRBCL,KHSTPP-I,KHSTPP-II,KKNP,KOTESHWR,NLCEXP,RIHAND2,SEWA2,SIMHST2,SINGRAULI,UNCHAHAR2,URI2,DADRI_RF,CHAMERA2,CHAMERA3,KGSU1AND2,KOLDAM,TANAKPUR,UNCHAHAR4,ANTA_GF,AURY_GF,DADRI_CRF,KGSU3AND4,KISHANGANGA,KUDGI,NAPP,NJPC,PARBATI3,RSTPSU7,SALAL,SASAN,SINGRAULI_HYDRO,TALST2,TEHRI,UNCHAHAR3,ANTA_LF,AURY_CRF,DADRI_LF,CHAMERA1,DULHASTI,KKNPPU2,MAPS,NNTPP,NTPL,PARBATI2,RAPPD,URI,ANTA_CRF,DHAULIGNGA,NLCIIST2,RAMPUR,RSTPSU1TO6,TEHRIPSP,AURY_RF,DADRI_GF,BSIUL,FSTPP I & II,NLCIIST1,NLCTS2EXP,RIHAND1,RIHAND3,SIMHST1,TALA,TANDA2,UNCHAHAR1,ANTA_RF,RAPPB,RAPPC,AURY_LF
6,01:15-01:30,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,21.14,5.73,21.65,51.2,0,65.42,0

7,01:30-01:45,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.2,0,65.42,0

8,01:45-02:00,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.2,0,65.42,0

9,02:00-02:15,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.2,0,65.42,0

10,02:15-02:30,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.2,0,65.42,0

11,02:30-02:45,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.2,0,65.42,0

12,02:45-03:00,549.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,13.06,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,85.41,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.2,0,65.42,0

13,03:00-03:15,689.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.84,0,65.42,0

14,03:15-03:30,689.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.84,0,65.42,0

15,03:30-03:45,689.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.84,0,65.42,0

16,03:45-04:00,689.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.84,0,65.42,0

17,04:00-04:15,689.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.84,0,65.42,0

18,04:15-04:30,689.38,667.25,0,0,24.99,45.53,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,19.66,5.73,21.65,51.84,0,65.42,0

19,04:30-04:45,689.38,667.25,0,0,24.99,43.1,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,18.02,5.73,21.65,51.84,0,65.42,0

20,04:45-05:00,689.38,667.25,0,0,24.99,43.1,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,17.85,5.73,21.65,51.84,0,65.42,0

21,05:00-05:15,689.38,667.25,0,0,24.99,43.1,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,17.43,5.73,21.65,51.84,0,65.42,0

22,05:15-05:30,689.38,667.25,0,0,24.99,43.1,148.3,0,40.57,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,17.15,5.73,21.65,51.84,0,65.42,0

23,05:30-05:45,689.38,667.25,0,0,24.99,43.1,148.3,0,30.43,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,16.84,5.73,21.65,51.84,0,65.42,0

24,05:45-06:00,689.38,667.25,0,0,24.99,43.1,148.3,0,30.43,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,16.7,5.73,21.65,51.84,0,65.42,0

25,06:00-06:15,689.38,667.25,0,0,24.99,43.1,148.3,0,30.43,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,52.36,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,16.61,5.73,21.65,51.84,0,65.42,0

26,06:15-06:30,689.38,667.25,0,0,24.99,43.1,148.3,0,20.29,0,125.27,0,0,149.89,45,38.97,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,52.36,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,16.61,5.73,21.65,51.84,0,65.42,0

27,06:30-06:45,689.38,667.25,0,0,24.99,43.1,148.3,0,10.14,0,125.27,0,0,149.89,45,38.97,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,52.36,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,18.7,5.73,21.65,51.84,0,65.42,0

28,06:45-07:00,689.38,667.25,0,0,24.99,43.1,148.3,0,10.14,0,125.27,0,0,149.89,45,38.97,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,52.36,0,42.46,0,5.7,0,0,79.48,0,13.04,19.18,0,0,98.32,130.84,0,18.7,5.73,21.65,51.84,0,65.42,0

29,07:00-07:15,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,38.97,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,19.56,19.18,0,0,98.32,130.84,0,18.99,5.73,21.65,51.2,0,65.42,0

30,07:15-07:30,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,19.56,19.18,0,0,98.32,130.84,0,20.09,5.73,21.65,51.2,0,65.42,0

31,07:30-07:45,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,19.56,19.18,0,0,98.32,130.84,0,22.29,5.73,21.65,51.2,0,65.42,0

32,07:45-08:00,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,21.82,79.04,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,343.12,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,79.22,0,19.56,19.18,0,0,98.32,130.84,0,22.29,5.73,21.65,51.2,0,65.42,0

33,08:00-08:15,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,21.82,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,345.94,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,78.57,0,19.56,20.02,0,0,98.32,130.84,0,22.44,5.73,21.65,50.57,0,65.42,0

34,08:15-08:30,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,38.97,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,345.94,0.96,0,55.52,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,78.57,0,19.56,20.02,0,0,98.32,130.84,0,22.44,5.73,21.65,50.57,0,65.42,0

35,08:30-08:45,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,38.97,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,345.94,0.96,0,41.64,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,52.36,0,42.46,0,5.7,0,0,78.57,0,19.56,20.02,0,0,98.32,130.84,0,23.9,5.73,21.65,50.57,0,65.42,0

36,08:45-09:00,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,38.97,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,345.94,0.96,0,13.88,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,52.36,0,42.46,0,5.7,0,0,78.57,0,19.56,20.02,0,0,98.32,130.84,0,23.87,5.73,21.65,50.57,0,65.42,0

37,09:00-09:15,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,38.97,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,23.04,0,81.92,345.94,0.96,0,0,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,52.36,0,42.46,0,5.7,0,0,78.57,0,13.04,20.02,0,0,98.32,130.84,0,22.72,5.73,21.65,49.31,0,65.42,0

38,09:15-09:30,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,21.82,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,23.04,0,81.92,345.94,0.96,0,0,27.69,0,0,0,42.15,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,78.57,0,13.04,20.02,0,0,98.32,130.84,0,22.72,5.73,21.65,49.31,0,65.42,0

39,09:30-09:45,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,23.04,0,81.92,345.94,0.96,0,0,27.69,0,0,0,28.1,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,77.92,0,19.56,20.02,0,0,98.32,130.84,0,19.93,5.73,21.65,49.31,0,65.42,0

40,09:45-10:00,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,33.94,0,8.62,11.91,3.22,0,0,0,0,7.05,0,21.17,175.79,23.04,0,81.92,345.94,0.96,0,0,27.69,0,0,0,28.1,55.38,0,0,0,0,0,24.52,26.49,0,42.46,0,5.7,0,0,77.92,0,19.56,20.02,0,0,98.32,130.84,0,19.93,5.73,21.65,49.31,0,65.42,0

41,10:00-10:15,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,33.94,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,345.94,0.96,0,0,27.69,0,0,0,14.05,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,77.92,0,19.56,20.02,0,0,98.32,130.84,0,20.67,5.73,21.65,49.31,0,65.42,0

42,10:15-10:30,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,33.94,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,22.3,0,81.92,345.94,0.96,0,0,27.69,0,0,0,0,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,77.92,0,19.56,20.02,0,0,98.32,130.84,0,21.05,5.73,21.65,49.31,0,65.42,0

43,10:30-10:45,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,33.94,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,20.82,0,81.92,345.94,0.96,0,0,27.69,0,0,0,0,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,77.28,0,19.56,20.02,0,0,98.32,130.84,0,21.07,5.73,21.65,49.31,0,65.42,0

44,10:45-11:00,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,33.94,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,20.82,0,81.92,345.94,0.96,0,0,27.69,0,0,0,0,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,77.28,0,19.56,20.02,0,0,98.32,130.84,0,21.11,5.73,21.65,49.31,0,65.42,0

45,11:00-11:15,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,33.94,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,20.82,0,81.92,345.94,0.96,0,0,27.69,0,0,0,0,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,77.28,0,19.56,20.02,0,0,98.32,130.84,0,21.14,5.73,21.65,48.68,0,65.42,0

46,11:15-11:30,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,20.82,0,81.92,345.94,0.96,0,0,27.69,0,0,0,0,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,77.28,0,19.56,20.02,0,0,98.32,130.84,0,21.17,5.73,21.65,48.68,0,65.42,0

47,11:30-11:45,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,345.94,0.96,0,0,27.69,0,0,0,0,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,23.7,5.73,21.65,48.68,0,65.42,0

48,11:45-12:00,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,345.94,0.96,0,0,27.69,0,0,0,0,55.38,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,23.76,5.73,21.65,48.68,0,65.42,0

49,12:00-12:15,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,309.38,0.96,0,0,27.69,0,0,0,0,37.42,0,0,0,0,0,24.52,35.33,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,23.76,5.73,21.65,48.04,0,65.42,0

50,12:15-12:30,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,309.38,0.96,0,0,27.69,0,0,0,0,37.42,0,0,0,0,0,24.52,35.33,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,23.76,5.73,21.65,48.04,0,65.42,0

51,12:30-12:45,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,309.38,0.96,0,0,27.69,0,0,0,0,37.42,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,23.52,5.73,21.65,48.04,0,65.42,0

52,12:45-13:00,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,309.38,0.96,0,0,27.69,0,0,0,0,37.42,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,23.52,5.73,21.65,48.04,0,65.42,0

53,13:00-13:15,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,309.38,0.96,0,0,27.69,0,0,0,0,37.42,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,21.85,5.73,21.65,48.04,0,65.42,0

54,13:15-13:30,689.38,667.25,0,0,24.99,45.53,148.3,0,10.14,0,125.27,0,0,149.89,45,17.15,76.41,47.12,22.6,0,8.62,9.86,3.22,0,0,0,0,7.05,0,21.17,175.79,19.32,0,81.92,309.38,0.96,0,0,27.69,0,0,0,0,37.42,0,0,0,0,0,24.52,29.26,0,42.46,0,5.7,0,0,76.36,0,19.56,20.02,0,0,98.32,130.84,0,21.85,5.73,21.65,47.41,0,65.42,0

