,,HARYANA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,KERALA,RAJASTHAN,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,UTTAR PRADESH,HIMACHAL PRADESH,ARUNACHAL PRADESH,ANDHRA PRADESH,MAHARASHTRA,GOA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,UTTARAKHAND,NA,NAGALAND,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,NA,NA,HIMACHAL PRADESH,MP,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,DELHI,NA,NA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,ODISHA,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,MANIPUR,NA,NA,NA,NA,NA,NA,MAHARASHTRA,NA,DELHI,NA,
,,HARYANA,RKM_POWER,NHCPL_HP,SHPPBPL,KSEB,RUVNL,SHPPBPL,CHANJUII,RKM_POWER,JPNIGRIE_JNSTPP,HP,MEJA,SHPPBPL,Arunachal_Ben,ITCWIND,AEML,GOA_Beneficiary,SHPPBPL,JITPL,MMS STEEL TN,SHPPBPL,ACBIL,UTTARAKHAND,SIMHAPURI,Nagaland_Ben,SHPPBPL,MSEB_Beneficiary,JPL,JITPL,SEILP2,MPL,HP,BLAPOWER_MP,APL_Raigarh TPP,JPL-2,SORANG_HEP,SHPPBPL,SHPPBPL,SEILP2,BAWANA_GAS,JITPL,JHAJJAR,JP BINA,GBHHPL,HP-GOVT,TANGEDCO,SBSRPC11PL_BKN,SHPPBPL,JPL_DHULE,SOLAPUR_SOLAR,GMRKEL (STU),GBHHPL,A_A_Energy_MH_Bio,JPL_DHULE,Manipur_Ben,RKM_POWER,KAMENG,APL_Raigarh TPP,SKS Raigarh,JPL-2,DADRT2,TPC MSEB,SBSRPC11PL_BKN,BAWANA_GAS,JPL,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,
,,BRPL,NDMC,MES (Delhi),UHL,BYPL,BYPL,DTCP,TPDDL,BRPL,TPDDL,BRPL,DELHI,BAL184,BRPL,ITCLH,BYPL,BRPL,BMDRC,BRPL,BRPL,BAL224,BRPL,BYPL,BRPL,BYPL,BAL234,TPDDL,BRPL,BRPL,BRPL,TPDDL,BYPL,BRPL,BRPL,TPDDL,TPDDL,JHPL-DL,MSSH,BRPL,HARYANA,NDMC,TPDDL,TPDDL,DIAPL,BRPL,BYPL,TPDDL,MHIL,BRPL,MES (Delhi),BRPL,BRPL,MES (Delhi),BRPL,BRPL,NDMC,TPDDL,BRPL,NDMC,NDMC,BRPL,BYPL,BYPL,PUNJAB,BRPL,
,,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,North-North,West-North,West-North,North-North,North-North,North-North,North East-East-North,South-West-North,West-North,West-North,North-North,East-North,South-West-North,North-North,West-North,North-North,South-West-North,North East-East-North,North-North,West-North,West-North,East-North,South-East-North,East-North,North-North,West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,North-North,East-North,North-North,West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,West-North,East-North,North-North,West-North,West-North,North East-East-North,West-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,North-North,North-North,West-North,
56,13:45-14:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,13.160000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,12.530000,48.200000,64.660000,0,0.880000,72.290000,5.08,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.64

57,14:00-14:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.380000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,4.28,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2196.1

58,14:15-14:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.380000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,4.31,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2196.13

59,14:30-14:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.380000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,4.11,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2195.93

60,14:45-15:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.380000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,3.54,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2195.36

61,15:00-15:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.840000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,2.99,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2195.27

62,15:15-15:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.840000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,2.54,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.82

63,15:30-15:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.840000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,1.4,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2193.68

64,15:45-16:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,16.840000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.960000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,3.96,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2196.24

65,16:00-16:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.210000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,4.07,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2196.63

66,16:15-16:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.210000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,3.77,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2196.33

67,16:30-16:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.210000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,3.12,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2195.68

68,16:45-17:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.210000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,1.79,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.35

69,17:00-17:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.760000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,1.42,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.53

70,17:15-17:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.760000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,1.03,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.14

71,17:30-17:45,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.760000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,1.13,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2194.24

72,17:45-18:00,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,17.760000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,11.710000,0.970000,0.000000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,96.390000,96.390000,24.100000,0.000000,0.000000,21.210000,192.780000,96.390000,24.100000,1.590000,0.670000,0.000000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,72.290000,0.88,24.100000,24.100000,4.820000,0.000000,24.020000,37.240000,168.440000,0.000000,12.420000,37.240000,134.950000,0.000000,0,26.910000,0.000000,2193.99

73,18:00-18:15,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,18.220000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0.43,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,26.910000,96.390000,2229.96

74,18:15-18:30,0.000000,37.240000,1.930000,0.610000,120.490000,66.690000,0.480000,18.220000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0.31,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,26.910000,96.390000,2229.84

75,18:30-18:45,0.000000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.220000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,26.910000,96.390000,2200.61

76,18:45-19:00,0.000000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.220000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.870000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,24.100000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,26.910000,96.390000,2200.61

77,19:00-19:15,0.000000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,26.910000,96.390000,2191.48

78,19:15-19:30,0.000000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,26.910000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,26.910000,96.390000,2191.48

79,19:30-19:45,0.000000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2201.66

80,19:45-20:00,0.000000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2201.66

81,20:00-20:15,72.290000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2273.95

82,20:15-20:30,72.290000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2273.95

83,20:30-20:45,72.290000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2273.95

84,20:45-21:00,72.290000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.680000,0.000000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2273.95

85,21:00-21:15,144.580000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.960000,144.580000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2491.1

86,21:15-21:30,144.580000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.960000,144.580000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2491.1

87,21:30-21:45,144.580000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.960000,144.580000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2491.1

88,21:45-22:00,144.580000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.960000,144.580000,96.390000,0.000000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,0.000000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,11.570000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2491.1

89,22:00-22:15,144.580000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.960000,144.580000,96.390000,72.290000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,12.190000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,9.640000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2597.75

90,22:15-22:30,144.580000,37.240000,1.930000,0.610000,91.570000,66.690000,0.480000,18.960000,144.580000,96.390000,72.290000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,12.190000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,9.640000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2597.75

91,22:30-22:45,144.580000,37.240000,1.930000,0.610000,308.450000,66.690000,0.480000,18.960000,144.580000,96.390000,72.290000,0.000000,0.360000,0.000000,0.920000,90.610000,0.000000,0.970000,96.390000,2.890000,0.520000,24.100000,84.030000,48.200000,12.190000,0.880000,0.000000,0.000000,0.000000,0.000000,0.000000,24.100000,21.210000,0.000000,96.390000,14.460000,1.590000,0.670000,24.100000,32.000000,24.830000,240.980000,48.200000,9.640000,48.200000,64.660000,0,0.880000,0.000000,0,24.100000,24.100000,4.820000,72.290000,24.020000,37.240000,168.440000,192.780000,12.420000,37.240000,134.950000,47.670000,0,32.000000,96.390000,2814.63

