Column1,Block,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/4444,NR/2025/28774/A/84064,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/7762,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2868,NR/2025/27356/A/84207,GNARE/NR/2024/12/20/3668,NR/2025/30280/C,GNA/NR/2025/06/01/7663,NR/2025/30134/C,GNA/NR/2025/06/16/8791,NR/2025/30291/C/Alternate/1,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/20/3628,NR/2025/30278/C,NR/2025/30221/C,NR/2025/30279/C,NR/2025/30222/C,NR/2025/30126/C,NR/2025/30285/C,NR/2025/30212/C,NR/30092023/31122025/SH-07,NR/2025/30218/C,NR/2025/30266/C,NR/2025/30219/C,NR/2025/26565/A/84586,NR/2025/27782/A/84599,NR/2025/30282/C,NR/2025/27242/A/84264,NR/2025/27506/A/84071,NR/2025/29816/A/84189,NR/2025/27187/A/84606,NR/2025/30234/C,NR/2025/28719/A/84187,NR/2025/26566/A/84587,NR/2025/26861/A/84590,NR/2025/30289/C,NR/2025/27281/A/84653,NR/2025/26952/A/84133,NR/2025/27728/A/84601,NR/2025/27168/A/84039,NR/2025/30290/C,NR/2025/27100/A/84202,NR/2025/27157/A/84199,NR/2025/26572/A/84589,NR/2025/26777/A/84174,NR/2025/26785/A/84074,NR/2025/27726/A/84602,NR/2025/30291/C,NR/2025/26975/A/84609,NR/2025/26571/A/84588,NR/2025/26860/A/84510,NR/2025/27499/A/84618,NR/2025/27727/A/84600,NR/2025/27176/A/84607,NR/2025/26889/A/84619,NR/2025/27167/A/84037,NR/2025/26562/A/84585,NR/2025/27725/A/84603,NR/2025/26085/A/84061,NR/2025/29451/A/84205,NR/2025/27088/A/84654,NR/2025/27500/A/84072,NR/2025/27185/A/84608,NR/2025/30238/C,NR/2025/26445/A/84658,NR/2025/30239/C,Total
3,00:30-00:45,20.54,41.07,11.91,0,0,17.39,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,139.64,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2407.0599999999995

4,00:45-01:00,20.54,41.07,11.91,0,0,17.39,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2431.9499999999994

5,01:00-01:15,20.54,41.07,11.91,0,0,17.2,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2431.7599999999998

6,01:15-01:30,20.54,41.07,11.91,0,0,17.2,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2431.7599999999998

7,01:30-01:45,20.54,41.07,11.91,0,0,17.2,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2431.7599999999998

8,01:45-02:00,20.54,41.07,11.91,0,0,17.2,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,164.29,0,24.88,0,24.16,20.54,28.03,25.2,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,8.7,24.16,106.3,5.8,20.54,144.96,8.05,0.68,96.64,164.29,7.73,19.33,0,96.64,0,2431.7599999999998

9,02:00-02:15,20.54,41.07,11.91,164.29,0,17.02,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,0,24.16,106.3,0,20.54,144.96,8.05,0.63,96.64,164.29,7.73,19.33,0,96.64,0,2391.83

10,02:15-02:30,20.54,41.07,11.91,164.29,0,17.02,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,0,24.16,106.3,0,20.54,144.96,8.05,0.63,96.64,164.29,7.73,19.33,0,96.64,0,2391.83

11,02:30-02:45,20.54,41.07,11.91,164.29,0,17.02,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,0,24.16,106.3,0,20.54,144.96,8.05,0.63,96.64,164.29,7.73,19.33,0,96.64,0,2391.83

12,02:45-03:00,20.54,41.07,11.91,164.29,0,17.02,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,164.53,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,0,27.06,144.96,90.36,0,24.16,106.3,0,20.54,144.96,8.05,0.63,96.64,164.29,7.73,19.33,0,96.64,0,2391.83

13,03:00-03:15,20.54,41.07,11.91,164.29,0,16.83,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,134.48,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,30.05,5.8,144.96,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,2340.9199999999996

14,03:15-03:30,20.54,41.07,11.91,164.29,0,16.83,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,100.2,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,64.33,5.8,144.96,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,2340.9199999999996

15,03:30-03:45,20.54,41.07,11.91,164.29,0,16.83,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,84.81,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,79.72,5.8,144.96,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,2340.9199999999996

16,03:45-04:00,20.54,41.07,11.91,164.29,0,16.83,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,81.51,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,144.96,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,217.34,0,164.29,0,24.16,83.02,5.8,144.96,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,2340.9199999999996

17,04:00-04:15,20.54,41.07,11.91,164.29,0,16.65,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,81.55,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,82.98,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,1833.4799999999998

18,04:15-04:30,20.54,41.07,11.91,164.29,0,16.65,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,82.73,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,81.8,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,1833.4799999999998

19,04:30-04:45,20.54,41.07,11.91,164.29,0,16.65,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,83.95,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,80.58,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,1833.4799999999998

20,04:45-05:00,20.54,41.07,11.91,164.29,0,16.65,20.54,11.92,15.62,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,83.68,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,19.33,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,80.85,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.53,96.64,164.29,7.73,19.33,0,96.64,0,1833.4799999999998

21,05:00-05:15,20.54,41.07,11.91,164.29,0,16.47,20.54,11.92,4.67,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,0,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.63,0,164.29,7.73,19.33,0,96.64,0,1706.4799999999998

22,05:15-05:30,20.54,41.07,11.91,164.29,0,16.47,20.54,11.92,4.67,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,0,0,10.63,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.63,0,164.29,7.73,19.33,0,96.64,0,1706.4799999999998

23,05:30-05:45,20.54,41.07,11.91,164.29,0,16.47,20.54,11.92,4.67,53.39,20.54,26.93,17.4,0,0,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,2.9,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.63,0,164.29,7.73,19.33,0,96.64,0,1705.52

24,05:45-06:00,20.54,41.07,11.91,164.29,0,16.47,20.54,11.92,4.67,53.39,20.54,26.93,17.4,1,0,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,2.9,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.63,0,164.29,7.73,19.33,0,96.64,0,1706.52

25,06:00-06:15,20.54,41.07,11.91,164.29,0,16.37,20.54,11.92,4.67,53.39,20.54,26.93,17.4,3,0.83,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,2.9,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.68,0,164.29,7.73,19.33,0,96.64,0,1709.3

26,06:15-06:30,20.54,41.07,11.91,164.29,0,16.37,20.54,11.92,4.67,53.39,20.54,26.93,17.4,7,2.93,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,2.9,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.68,0,164.29,7.73,19.33,0,96.64,0,1715.3999999999999

27,06:30-06:45,20.54,41.07,11.91,164.29,0,16.37,20.54,11.92,4.67,53.39,20.54,26.93,17.4,11,6.22,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,2.9,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.68,0,164.29,7.73,19.33,0,96.64,0,1722.6899999999998

28,06:45-07:00,20.54,41.07,11.91,164.29,0,16.37,20.54,11.92,4.67,53.39,20.54,26.93,17.4,14,9.64,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.68,0,164.29,7.73,19.33,0,96.64,0,1728.1399999999999

29,07:00-07:15,20.54,41.07,11.91,164.29,0,16.27,20.54,11.92,34.49,53.39,20.54,26.93,12.94,25,13.31,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,0,164.29,7.73,19.33,0,96.64,0,1768.2599999999998

30,07:15-07:30,20.54,41.07,11.91,164.29,0,16.27,20.54,11.92,41.07,53.39,20.54,26.93,12.94,32,17.16,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,1.93,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,0,164.29,7.73,19.33,0,96.64,0,1785.6899999999998

31,07:30-07:45,20.54,41.07,11.91,164.29,0,16.27,20.54,11.92,41.07,53.39,20.54,26.93,13.01,32,21.17,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,0,164.29,7.73,19.33,0,96.64,0,1788.81

32,07:45-08:00,20.54,41.07,11.91,164.29,0,16.27,20.54,11.92,41.07,53.39,20.54,26.93,14.96,39,25.94,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.87,0,164.29,7.73,19.33,0,96.64,0,1802.53

33,08:00-08:15,20.54,41.07,11.91,164.29,4.18,16.27,20.54,11.92,41.07,53.39,20.54,26.93,15.11,63,31.38,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.97,0,164.29,7.73,19.33,0,96.64,0,1836.4

34,08:15-08:30,20.54,41.07,11.91,164.29,4.94,16.27,20.54,11.92,41.07,53.39,20.54,26.93,15.07,77,37.52,0,41.07,0,15.32,0,19.33,20.85,0,0,0,0,0,0,0,26.93,0,0,0,0,7.73,0,41.07,1.93,0.97,0,0,8.7,0,0,0,24.88,0,24.16,20.54,28.03,0,0,0,164.29,0,24.16,164.53,5.8,0,90.36,0,24.16,76.94,0,20.54,144.96,8.05,0.97,0,164.29,7.73,19.33,0,96.64,0,1857.26

