Column1,Block,GNA/NR/2024/10/01/9582,NR/30092023/31122025/SH-07,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/01/6101,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/2024/23356/A/40330,NR/2024/23630/C,NR/2024/23382/A/40459,NR/2024/23446/A/40457,NR/2024/23621/C,GNA/NR/2024/10/01/8106,NR/2024/23383/A/40408,NR/2024/23389/A/40327,NR/2024/23414/A/40293,NR/2024/23635/C,NR/2024/23384/A/40295,GNA/NR/2024/10/01/9072,NR/2024/23510/A/40319,NR/2024/23622/C,GNA/NR/2024/10/10/3960,Total
45,11:00-11:15,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,6.4,145.52,583.8900000000001

46,11:15-11:30,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,6.79,145.52,584.2800000000001

47,11:30-11:45,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,7.32,145.52,584.8100000000001

48,11:45-12:00,12.49,26.93,37.47,37.47,6.3,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,7.71,145.52,585.2

49,12:00-12:15,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,7.95,145.52,585.35

50,12:15-12:30,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,8.34,145.52,585.74

51,12:30-12:45,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,8.54,145.52,585.94

52,12:45-13:00,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.87,42.68,6.79,0,0,37.47,2.91,8.92,145.52,586.32

53,13:00-13:15,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.78,42.68,6.79,0,0,37.47,2.91,8.73,145.52,586.0400000000001

54,13:15-13:30,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.78,42.68,6.79,0,0,37.47,2.91,8.34,145.52,585.65

55,13:30-13:45,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.78,42.68,6.79,0,0,37.47,2.91,8.05,145.52,585.36

56,13:45-14:00,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.78,42.68,6.79,0,0,37.47,2.91,7.76,145.52,585.07

57,14:00-14:15,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,7.37,145.52,584.82

58,14:15-14:30,12.49,26.93,37.47,37.47,6.21,26.93,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,7.13,145.52,584.58

59,14:30-14:45,12.49,29.43,37.47,37.47,6.21,29.43,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,6.69,145.52,589.14

60,14:45-15:00,12.49,29.43,37.47,37.47,6.21,29.43,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,6.31,145.52,588.76

61,15:00-15:15,12.49,28.3,37.47,37.47,6.3,28.3,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,5.82,145.52,586.1

62,15:15-15:30,12.49,28.3,37.47,37.47,6.3,28.3,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,5.24,145.52,585.5200000000001

63,15:30-15:45,12.49,28.3,37.47,37.47,6.3,28.3,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,4.37,145.52,584.6500000000001

64,15:45-16:00,12.49,28.3,37.47,37.47,6.3,28.3,10.67,48.5,9.7,15.29,97.01,12.49,0.92,42.68,6.79,0,0,37.47,2.91,3.4,145.52,583.6800000000001

65,16:00-16:15,12.49,28.3,37.47,37.47,6.39,28.3,10.67,48.5,24.99,0,97.01,12.49,0.78,42.68,0,0,6.79,37.47,2.91,2.72,145.52,582.95

66,16:15-16:30,12.49,28.3,37.47,37.47,6.39,28.3,10.67,48.5,24.99,0,97.01,12.49,0.78,40.74,0,0,6.79,37.47,2.91,2.28,145.52,580.57

67,16:30-16:45,12.49,28.3,37.47,37.47,6.39,28.3,10.67,48.5,24.99,0,97.01,12.49,0.78,33.95,0,0,6.79,37.47,2.91,1.94,145.52,573.4399999999999

68,16:45-17:00,12.49,28.3,37.47,37.47,6.39,28.3,10.67,48.5,24.99,0,97.01,12.49,0.78,27.16,0,0,6.79,37.47,2.91,1.78,145.52,566.49

69,17:00-17:15,12.49,23.58,39.77,39.77,6.48,23.58,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,1.35,145.52,578.6300000000001

70,17:15-17:30,12.49,23.58,39.77,39.77,6.48,23.58,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,1.01,145.52,578.2900000000001

71,17:30-17:45,12.49,33.5,39.77,39.77,6.48,34,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0.72,145.52,598.34

72,17:45-18:00,12.49,33.5,39.77,39.77,6.48,34,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0.41,145.52,598.0300000000001

73,18:00-18:15,12.49,34,39.77,39.77,6.58,34,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0.2,145.52,598.4200000000001

74,18:15-18:30,12.49,34,39.77,39.77,6.58,34,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0.05,145.52,598.2700000000001

75,18:30-18:45,12.49,34,39.77,39.77,6.58,34,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0,145.52,598.22

76,18:45-19:00,12.49,34,39.77,39.77,6.58,34,0,48.5,29.39,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0,145.52,598.22

77,19:00-19:15,12.49,31.5,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,593.1700000000001

78,19:15-19:30,12.49,31.5,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,593.1700000000001

79,19:30-19:45,12.49,31.5,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,593.1700000000001

80,19:45-20:00,12.49,31.5,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,593.1700000000001

81,20:00-20:15,12.49,31.5,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,593.1700000000001

82,20:15-20:30,12.49,31.5,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,593.1700000000001

83,20:30-20:45,12.49,24.27,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,585.94

84,20:45-21:00,12.49,24.27,39.77,39.77,6.58,31.5,0,48.5,29.39,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,585.94

85,21:00-21:15,12.49,26.58,39.77,39.77,6.58,26.58,0,48.5,24.99,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0,145.52,578.9800000000001

86,21:15-21:30,12.49,25.26,39.77,39.77,6.58,25.26,0,48.5,24.99,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0,145.52,576.3400000000001

87,21:30-21:45,12.49,25.26,39.77,39.77,6.58,25.26,0,48.5,24.99,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0,145.52,576.3400000000001

88,21:45-22:00,12.49,25.26,39.77,39.77,6.58,25.26,0,48.5,24.99,0,97.01,12.49,0.73,0,0,48.5,6.79,39.77,2.91,0,145.52,576.3400000000001

89,22:00-22:15,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,576.19

90,22:15-22:30,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,576.19

91,22:30-22:45,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,576.19

92,22:45-23:00,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.68,0,0,48.5,6.79,39.77,2.91,0,145.52,576.19

93,23:00-23:15,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.58,0,0,48.5,6.79,39.77,2.91,0,145.52,576.09

94,23:15-23:30,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.58,0,0,48.5,6.79,39.77,2.91,0,145.52,576.09

95,23:30-23:45,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.58,0,0,48.5,6.79,39.77,2.91,0,145.52,576.09

96,23:45-24:00,12.49,25.26,39.77,39.77,6.48,25.26,0,48.5,24.99,0,97.01,12.49,0.58,0,0,48.5,6.79,39.77,2.91,0,145.52,576.09

