Column1,Block,NR/2024/24566/A/47479,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/6775,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3514,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/02/1250,GNA/NR/2025/01/01/8738,NR/30092023/31122025/SH-07,NR/2025/24619/C,NR/2025/24627/C,NR/2024/24507/A/47631,NR/2024/24607/C,NR/2024/24608/C,SR/2024/15455/C,NER/2024/2820/A/47597,NR/2024/24435/A/47398,NR/2024/24418/A/47438,NR/2024/24508/A/47629,WR/2024/25501/A/47599,NR/2025/24628/C,NR/2025/24626/C,NR/2024/24434/A/47458,Total
10,02:15-02:30,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

11,02:30-02:45,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

12,02:45-03:00,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

13,03:00-03:15,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

14,03:15-03:30,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

15,03:30-03:45,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

16,03:45-04:00,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

17,04:00-04:15,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

18,04:15-04:30,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

19,04:30-04:45,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

20,04:45-05:00,5.76,0,0,0,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,0,9.61,0.38,8.73,0,0,0,0,369.2200000000001

21,05:00-05:15,5.76,0,0,0,0,8.65,25.94,1.65,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,38.43,16.33,0.43,8.73,0,0,0,0,414.33000000000004

22,05:15-05:30,5.76,0,0,0,0,8.65,25.94,1.65,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,38.43,16.33,0.43,8.73,0,0,0,0,414.33000000000004

23,05:30-05:45,5.76,0,0,0,0,8.65,25.94,1.65,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,38.43,16.33,0.43,8.73,0,0,0,0,414.33000000000004

24,05:45-06:00,5.76,0,0,0,0,8.65,25.94,1.65,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,0,38.43,16.33,0.43,8.73,0,0,0,0,414.33000000000004

25,06:00-06:15,5.76,0,0,0,0,8.65,28.82,1.74,28.82,28.82,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,413.14,38.43,16.33,0.38,8.73,0,0,0,0,836.15

26,06:15-06:30,5.76,0,0,0,0,8.65,28.82,1.74,28.82,28.82,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,413.14,38.43,16.33,0.38,8.73,0,0,0,0,836.15

27,06:30-06:45,5.76,0,0,0,0,8.65,31.71,1.74,31.71,31.71,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,413.14,38.43,16.33,0.38,8.73,0,0,0,0,844.82

28,06:45-07:00,5.76,0,0,0,0,8.65,31.71,1.74,31.71,31.71,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,17.29,0,0,413.14,38.43,16.33,0.38,8.73,0,0,0,0,844.82

29,07:00-07:15,5.76,50,0,0,0,14.41,31.71,1.74,31.71,31.71,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,192.16,38.43,16.33,0.86,14.41,0,0,0,0,697.29

30,07:15-07:30,5.76,50,0,0,0,14.41,31.71,1.74,31.71,31.71,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,192.16,38.43,16.33,0.86,14.41,0,0,0,0,697.29

31,07:30-07:45,5.76,50,0,0,0,14.41,36.51,1.74,36.51,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,192.16,38.43,16.33,0.86,14.41,0,0,0,0,711.6899999999999

32,07:45-08:00,5.76,50,0,0,0,14.41,36.51,1.74,36.51,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,192.16,38.43,16.33,0.86,14.41,0,0,0,0,711.6899999999999

33,08:00-08:15,5.76,50,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,38.43,16.33,0.86,14.41,0,0,0,0,526.26

34,08:15-08:30,5.76,50,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,38.43,16.33,0.86,14.41,0,0,0,0,526.26

35,08:30-08:45,5.76,50,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,38.43,16.33,0.86,14.41,0,0,0,0,526.26

36,08:45-09:00,5.76,50,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,38.43,16.33,0.86,14.41,0,0,0,0,526.26

37,09:00-09:15,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,30.75,0,0,14.41,28.82,0,0,16.33,0.86,0,0,0,0,3.84,472.33

38,09:15-09:30,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,30.75,0,0,14.41,28.82,0,0,16.33,0.86,0,0,0,0,3.84,472.33

39,09:30-09:45,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,78.79,0,0,14.41,28.82,0,0,16.33,0.86,0,0,0,0,3.84,520.3700000000001

40,09:45-10:00,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,78.79,0,0,14.41,28.82,0,0,16.33,0.86,0,0,0,0,3.84,520.3700000000001

41,10:00-10:15,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,78.79,0,28.82,6.54,0,0,0,16.33,0.86,7.87,0,0,0,4.8,521.42

42,10:15-10:30,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,78.79,4.8,28.82,6.54,0,0,0,16.33,0.86,7.87,0,19.22,28.82,4.8,574.2600000000001

43,10:30-10:45,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,98,4.8,28.82,6.54,0,0,0,16.33,0.86,7.87,0,14.51,25.46,4.8,585.4000000000001

44,10:45-11:00,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,98,4.8,28.82,6.54,0,0,0,16.33,0.86,7.87,0,8.94,30.17,4.8,584.5400000000001

45,11:00-11:15,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,15.95,24.79,6.73,490.1000000000001

46,11:15-11:30,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,8.84,31.13,6.73,489.33000000000004

47,11:30-11:45,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,2.79,37.95,6.73,490.1000000000001

48,11:45-12:00,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,0,44,6.73,493.36000000000007

49,12:00-12:15,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,0,46.79,6.73,496.06000000000006

50,12:15-12:30,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,0,48.04,6.73,497.31000000000006

51,12:30-12:45,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,0,48.04,6.73,497.31000000000006

52,12:45-13:00,5.76,0,0,0,0,14.41,36.51,1.65,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.86,14.41,0,0,48.04,6.73,497.31000000000006

53,13:00-13:15,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,0,48.04,5.76,490.58000000000004

54,13:15-13:30,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,0,48.04,5.76,490.58000000000004

55,13:30-13:45,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,0.29,47.75,5.76,490.58000000000004

56,13:45-14:00,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,2.11,45.93,5.76,490.58000000000004

57,14:00-14:15,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,4.13,43.91,4.8,489.62000000000006

58,14:15-14:30,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,6.44,41.6,4.8,489.62000000000006

59,14:30-14:45,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,9.13,38.91,4.8,489.62000000000006

60,14:45-15:00,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.77,14.41,0,12.2,35.84,4.8,489.62000000000006

61,15:00-15:15,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.67,14.41,0,15.76,32.28,4.8,489.52000000000004

62,15:15-15:30,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.67,14.41,0,19.79,28.25,4.8,489.5200000000001

63,15:30-15:45,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.67,14.41,0,24.5,23.54,4.8,489.5200000000001

64,15:45-16:00,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.67,14.41,0,20.18,18.35,4.8,480.0100000000001

65,16:00-16:15,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.48,14.41,0,18.26,27.19,2.88,484.82000000000005

66,16:15-16:30,5.76,0,0,0,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.48,14.41,0,13.45,22.29,2.88,475.11000000000007

67,16:30-16:45,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,4.8,28.82,0,0,0,0,16.33,0.48,14.41,0,8.65,17.49,2.88,471.27000000000004

68,16:45-17:00,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,0,16.33,0.48,14.41,0,0,0,2.88,440.33000000000004

69,17:00-17:15,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,0,16.33,0.48,14.41,0,0,0,0.96,438.41

70,17:15-17:30,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,0,16.33,0.48,14.41,0,0,0,0.96,438.41

71,17:30-17:45,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,0,16.33,0.48,14.41,0,0,0,0.96,438.41

72,17:45-18:00,5.76,0,0,0,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,0,0,16.33,0.48,14.41,0,0,0,0.96,438.41

73,18:00-18:15,5.76,50,30,50,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.48,14.41,38.43,0,0,0,711.5699999999999

74,18:15-18:30,5.76,50,30,50,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.48,14.41,38.43,0,0,0,711.5699999999999

75,18:30-18:45,5.76,50,30,50,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.48,14.41,38.43,0,0,0,711.5699999999999

76,18:45-19:00,5.76,50,30,50,0,14.41,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.48,14.41,38.43,0,0,0,711.5699999999999

77,19:00-19:15,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.58,14.41,38.43,0,0,0,705.91

78,19:15-19:30,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.58,14.41,38.43,0,0,0,705.91

79,19:30-19:45,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.58,14.41,38.43,0,0,0,705.91

80,19:45-20:00,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,67.26,38.43,16.33,0.58,14.41,38.43,0,0,0,705.91

81,20:00-20:15,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,105.69,38.43,16.33,0.58,14.41,38.43,0,0,0,744.34

82,20:15-20:30,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,105.69,38.43,16.33,0.58,14.41,38.43,0,0,0,744.34

83,20:30-20:45,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,105.69,38.43,16.33,0.58,14.41,38.43,0,0,0,744.34

84,20:45-21:00,5.76,50,30,50,0,8.65,36.51,1.74,43.24,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,105.69,38.43,16.33,0.58,14.41,38.43,0,0,0,744.34

85,21:00-21:15,5.76,50,30,50,0,8.65,36.51,1.74,36.51,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,230.59,0,16.33,0.58,14.41,38.43,0,0,0,824.08

86,21:15-21:30,5.76,50,30,50,0,8.65,36.51,1.74,36.51,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,230.59,0,16.33,0.58,14.41,38.43,0,0,0,824.08

87,21:30-21:45,5.76,50,30,50,0,8.65,36.51,1.74,36.51,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,230.59,0,16.33,0.58,14.41,38.43,0,0,0,824.08

88,21:45-22:00,5.76,50,30,50,0,8.65,36.51,1.74,36.51,36.51,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,230.59,0,16.33,0.58,14.41,38.43,0,0,0,824.08

89,22:00-22:15,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

90,22:15-22:30,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

91,22:30-22:45,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

92,22:45-23:00,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

93,23:00-23:15,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

94,23:15-23:30,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

95,23:30-23:45,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

96,23:45-24:00,5.76,0,30,50,0,8.65,25.94,1.74,25.94,25.94,19.22,20.18,28.82,48.04,26.9,48.04,48.04,0,0,0,28.82,0,0,288.24,0,16.33,0.48,14.41,38.43,0,0,0,799.92

