Block,Time Block,NAPP,KOTESHWR,KUDGI,NLCEXP,MAPS,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,KHSTPP-II,KKNP,KHSTPP-I,KKNPPU2,KGSU1AND2,KGSU3AND4,KISHANGANGA,KOLDAM,CHAMERA1,BSIUL,CHAMERA3,JHAJJAR,CHAMERA2,DHAULIGNGA,FSTPP I & II,BRBCL,DULHASTI,DADRT2,RIHAND3,SASAN,SINGRAULI_HYDRO,SIMHST1,RIHAND2,SIMHST2,TALA,RIHAND1,SINGRAULI,SALAL,SEWA2,RSTPSU1TO6,RAPPC,RSTPSU7,NNTPP,RAPPB,PARBATI3,RAMPUR,NTPL,DADRI_RF,DADRI_LF,DADRI_GF,VALLURNTECL,UNCHAHAR4,TALST2,UNCHAHAR3,URI2,TANAKPUR,TelanganaSTPP,UNCHAHAR2,TEHRI,URI,UNCHAHAR1,TANDA2,DADRI_CRF,ANTA_CRF,ANTA_GF,AURY_CRF,AURY_RF,ANTA_RF,AURY_LF,ANTA_LF,AURY_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,9.63,12.05,15.85,293.55,106.45,402.86,0,0,91.01,0,0,60.83,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,9.63,10.58,15.85,293.55,87.21,402.86,0,0,91.01,0,0,60.83,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,9.63,12.73,15.85,293.55,87.21,402.86,0,0,91.01,0,0,60.83,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,42.02,8.54,0,0,0,0,0,0,0,93.98,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,11.28,15.85,293.55,87.21,402.86,0,0,91.01,0,0,60.83,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,5.54,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,42.02,8.54,0,0,0,0,0,0,0,93.98,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,13.08,15.85,293.55,87.21,402.86,0,0,91.01,0,0,60.83,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,5.54,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,42.02,8.54,0,0,0,0,0,0,0,93.98,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,13.55,15.85,293.55,87.21,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,5.54,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,42.02,8.54,0,0,0,0,0,0,0,93.98,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,15.26,15.85,293.55,87.21,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,5.54,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,42.02,8.54,0,0,0,0,0,0,0,88.52,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,17.74,15.85,293.55,87.21,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,42.02,8.54,0,0,0,0,0,0,0,88.52,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,15.06,15.85,293.55,87.21,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,9.63,15.29,15.85,293.55,87.21,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,42.02,8.54,0,0,0,0,0,0,0,93.98,0,28.98,0,0,0,0,0,0,0,0,344.15,0,0,9.63,18.05,15.85,293.55,87.21,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,42.02,8.54,0,0,0,0,0,0,0,93.98,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,19.24,15.85,293.55,119.6,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,42.02,8.54,0,0,0,0,0,0,0,93.98,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,19.24,15.85,293.55,119.6,402.86,0,0,72.3,0,0,50.02,93.97,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,42.02,8.54,0,0,0,0,0,0,0,81.79,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,19.24,15.85,293.55,119.6,402.86,0,0,95.55,0,0,61.1,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,42.02,8.54,0,0,0,0,0,0,0,81.79,0,24.55,0,0,0,0,0,0,0,0,344.15,0,0,9.63,19.24,15.85,293.55,119.6,402.86,0,0,95.55,0,0,77.7,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,42.02,8.54,0,0,0,0,0,0,0,112.7,0,28.91,0,0,0,0,0,0,0,0,344.15,0,0,12.38,19.24,15.85,293.55,119.6,402.86,0,0,114.24,0,0,88.5,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,4.15,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,42.02,8.54,0,0,0,0,0,0,0,112.7,0,32.22,0,0,0,0,0,0,0,0,344.15,0,0,12.42,19.24,15.85,293.55,119.6,402.86,0,0,114.24,0,0,88.5,104.44,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,13.96,18.11,0,0,22.42,0,1.28,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,42.02,8.54,0,0,0,0,20.95,0,0,112.7,0,32.22,0,0,0,0,0,0,0,0,348.42,0,0,12.42,19.24,15.85,312.79,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,19.28,18.11,5.54,0,30.56,14.97,1.28,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,42.02,8.54,0,0,0,0,45.01,0,0,132.4,0,38.22,0,0,0,0,0,0,0,0,348.42,0,0,12.42,19.24,15.85,360.89,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,19.28,18.11,5.54,0,30.56,14.97,1.28,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,42.02,17.08,0,0,0,0,67.5,0,0,132.4,0,38.22,0,0,0,0,0,0,1.06,0,348.42,3.2,0,14.12,19.24,15.85,360.89,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,3.67,0,0,0,0,0,0,0,0,19.28,18.11,5.54,0,30.56,29.94,1.28,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,42.02,25.62,0,0,0,0,90,0,0,132.4,0,38.22,0,0,0,0,0,0,2.12,9.3,348.42,12.67,7.75,14.84,19.24,31.7,430.1,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,15.92,0,0,0,0,0,0,0,0,22.65,18.11,5.54,0,35.97,44.91,1.28,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,42.02,38.32,0,0,0,0,109.32,0,0,142.66,0,43.5,0,0,0,0,0,13.52,12.54,18.64,348.42,25.34,15.37,17.51,19.24,31.7,457.09,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,5.07,0,51.52,0,0,0,15.92,0,0,0,0,0,0,0,0,22.79,18.11,0,0,36.19,59.87,25.48,17.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,42.02,38.32,0,0,0,0,135.02,0,0,142.66,0,43.5,0,0,0,0,0,13.52,12.54,18.64,436.21,25.34,15.37,17.51,19.24,31.7,476.33,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,5.07,0,51.52,0,0,0,15.92,0,0,0,0,0,0,0,0,19.28,4.15,0,0,30.56,59.87,25.48,14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,42.02,38.32,0,0,0,0,135.02,0,0,142.66,0,43.5,0,0,0,0,0,13.52,12.54,18.64,536.97,25.34,33.29,17.51,19.24,31.7,551.64,119.6,402.86,0,0,114.24,0,0,88.5,121.17,12.29,5.07,0,51.52,0,0,0,15.92,0,0,0,0,0,0,0,0,25.37,4.15,0,0,40.63,59.87,25.48,19.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,42.02,38.32,0,0,0,0,135.02,0,0,142.66,0,43.5,0,0,0,0,0,13.52,12.54,18.64,629.44,25.34,35.16,17.51,19.24,31.7,551.64,119.6,402.86,0,0,114.24,0,0,88.5,121.17,40.24,5.07,0,51.52,0,0,0,15.92,0,0,0,0,0,0,0,0,25.39,4.15,0,0,40.78,59.87,3.18,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,42.02,38.32,0,0,0,0,135.02,0,0,142.66,0,43.5,0,0,0,0,0,13.52,12.54,18.64,629.44,25.34,35.16,17.51,19.24,31.7,551.64,119.6,402.86,0,0,114.24,0,0,88.5,121.17,40.24,5.07,0,51.52,0,0,0,15.92,0,0,0,0,0,0,0,0,25.39,4.15,0,0,40.78,59.87,1.6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,42.02,38.32,0,0,0,0,135.02,0,0,142.66,0,43.5,0,0,0,0,0,13.52,12.54,18.64,629.44,25.34,35.16,17.51,19.24,31.7,503.54,119.6,402.86,0,0,114.24,0,0,88.5,121.17,40.24,5.07,0,51.52,0,0,0,3.42,0,0,0,0,0,0,0,0,25.39,4.15,0,0,40.78,59.87,1.6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,42.02,25.62,0,0,0,0,91.1,0,0,142.66,0,43.5,0,0,0,0,0,13.52,2.12,9.3,629.44,25.34,35.16,17.51,19.24,31.7,455.44,119.6,402.86,0,0,114.24,0,0,88.5,121.17,40.24,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0,0,40.78,59.87,1.6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,42.02,25.62,0,0,0,0,72.88,0,0,142.66,0,43.5,0,0,0,0,0,13.46,0,9.3,629.44,25.34,15.37,17.51,18.96,31.7,455.44,119.6,402.86,0,0,114.24,0,0,88.5,121.17,40.24,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0,0,40.78,59.87,1.6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,42.02,25.62,0,0,0,0,60.95,0,0,142.66,0,43.5,0,0,0,0,0,13.46,0,9.3,629.44,25.34,7.75,17.51,19.24,31.7,427.46,119.6,402.86,0,0,114.24,0,0,88.5,121.17,40.24,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,25.48,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,42.02,17.08,0,0,0,0,40.09,0,0,142.66,0,43.5,0,0,0,0,0,0,0,9.3,629.44,25.34,0,17.51,19.24,31.7,475.56,119.6,402.86,0,0,114.24,0,0,88.5,121.17,12.29,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,25.48,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,42.02,17.08,0,0,0,0,21.86,0,0,142.66,0,43.5,0,0,0,0,0,0,0,9.3,629.44,25.34,0,17.51,19.24,31.7,523.66,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,25.48,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,42.02,8.54,0,0,0,0,21.86,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,601.06,8.99,0,17.51,19.24,31.7,543.9,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,3.18,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,42.02,8.54,0,0,0,0,21.86,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,601.06,0,0,17.51,19.24,15.85,632.74,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,1.6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,42.02,8.54,0,0,0,0,21.86,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,601.06,0,0,17.51,19.24,15.85,652.93,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,1.6,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,601.06,0,0,17.51,19.24,15.85,652.93,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,552.96,0,0,17.51,19.24,0,652.92,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,0.49,0,40.78,59.87,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,552.96,0,0,17.51,19.24,0,638.49,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.11,0,40.78,59.87,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,552.96,0,0,17.51,18.63,0,633.68,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.11,0,40.78,44.91,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,552.96,0,0,17.51,16.13,0,656.83,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.11,0,40.78,29.94,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,601.05,0,0,17.51,17.78,0,653.13,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.11,0,40.78,29.94,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,601.05,0,0,17.51,16.78,0,644.32,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.11,0,40.78,29.94,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,552.95,0,0,17.51,19.24,0,625.08,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.11,0,40.78,16.24,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,466.37,0,0,16.72,19.24,0,610.65,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,21.88,4.15,1.48,0,37.29,0,1.07,19.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,599.1,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,595.26,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,580.83,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,349.31,0,0,15.09,19.24,0,527.92,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,21.88,4.15,1.48,0,35.15,0,1.07,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

54,13:15-13:30,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,349.31,0,0,15.09,19.24,0,516.37,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,19.13,4.15,1.48,0,30.34,0,1.07,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

55,13:30-13:45,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,349.31,0,0,15.09,19.24,0,435.08,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,19.13,4.15,1.48,0,30.34,0,1.07,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

56,13:45-14:00,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,349.31,0,0,15.09,19.24,0,395.77,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,19.13,4.15,1.48,0,30.34,0,1.07,14.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

57,14:00-14:15,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,365.02,0,0,16.51,19.24,0,328.59,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,21.88,4.15,1.48,0,35.15,0,1.07,17.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

58,14:15-14:30,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,328.59,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

59,14:30-14:45,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,328.59,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

60,14:45-15:00,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,328.59,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

61,15:00-15:15,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,328.59,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

62,15:15-15:30,42.02,8.54,0,0,0,0,0,0,0,142.66,0,43.5,0,0,0,0,0,0,0,0,379.79,0,0,16.72,19.24,0,328.59,119.6,402.86,0,0,114.24,0,0,88.5,121.17,1.35,0,0,51.52,0,0,0,0,0,0,0,0,0,0,0,0,25.39,4.15,1.48,0,40.78,0,1.07,19.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

