Column1,Block,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,NR/30092023/26122029/SH-06,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/2414,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/4452,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/1196,GNA/NR/2025/08/01/6452,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/6187,NR/2025/32535/A/101424,NR/2025/32534/A/101423,NR/2025/33637/A/101412,NR/2025/32534/A/101422,NR/2025/32532/A/101421,NR/2025/33633/A/101410,NR/2025/32532/A/101420,NR/2025/33632/A/101408,NR/2025/34776/C,NR/2025/32535/A/101425,GNARE/NR/2024/12/20/3668,NR/2025/32599/A/101125,NR/2025/31421/A/101502,NR/2025/32556/A/101475,NR/2025/34749/C,NR/2025/32559/A/101474,NR/2025/34751/C,NR/2025/32610/A/101473,NR/2025/32004/A/101478,NR/2025/31045/A/101441,NR/2025/29992/A/101361,NR/2025/32455/A/101525,NR/2025/34263/A/101193,NR/2025/34695/C,NR/2025/32375/A/101499,NR/2025/34700/C,NR/2025/31049/A/101439,NR/2025/34724/C,NR/2025/34705/C,NR/2025/32262/A/100961,NR/2025/34723/C,NR/2025/31043/A/101442,NR/2025/31048/A/101440,NR/2025/29440/A/100980,NR/2025/34722/C,NR/2025/34725/C,NR/2025/34247/A/101435,NR/2025/32397/A/100962,NR/2025/34754/C,NR/2025/34078/A/101091,Total
3,00:30-00:45,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,3.22,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.87,0,0,153.94,8.66,192.42,12.51,1334.3500000000004

4,00:45-01:00,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,3.22,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.87,0,0,153.94,8.66,192.42,12.51,1334.3500000000004

5,01:00-01:15,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.8900000000003

6,01:15-01:30,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.8900000000003

7,01:30-01:45,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.8900000000003

8,01:45-02:00,8.66,8.66,28.86,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,48.1,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.8900000000003

9,02:00-02:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.9000000000003

10,02:15-02:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.9000000000003

11,02:30-02:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.9000000000003

12,02:45-03:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,105.83,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.63,0,0,153.94,8.66,192.42,12.51,1330.9000000000003

13,03:00-03:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.53,0,0,153.94,8.66,192.42,12.51,1301.5700000000004

14,03:15-03:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.53,0,0,153.94,8.66,192.42,12.51,1301.5700000000004

15,03:30-03:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.53,0,0,153.94,8.66,163.8,12.51,1272.9500000000003

16,03:45-04:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,54.12,0,96.21,96.21,0.53,0,0,153.94,8.66,163.8,12.51,1272.9500000000003

17,04:00-04:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,12.51,1026.41

18,04:15-04:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,12.51,1026.41

19,04:30-04:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,12.51,1026.41

20,04:45-05:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,12.51,1026.41

21,05:00-05:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,12.51,1026.41

22,05:15-05:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,12.51,1026.41

23,05:30-05:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,11.55,1025.45

24,05:45-06:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.53,0,0,153.94,8.66,163.8,11.55,1025.45

25,06:00-06:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,0.03,0,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.82,0,0,153.94,0,163.8,11.55,1017.1100000000001

26,06:15-06:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0,0,0,0,0,0,0,0,0,0,1.13,2,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.82,0,0,153.94,0,163.8,11.55,1020.21

27,06:30-06:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.04,0,0,0.04,0,0,0.04,0,0.84,0,2.72,6,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.82,0,0,153.94,0,163.8,11.55,1026.7600000000002

28,06:45-07:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.08,0,0,0.08,0,0,0.16,0,1.38,0,5.22,11,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.82,0,0,153.94,0,163.8,11.55,1035

29,07:00-07:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,0,0.1,0,0,0.19,0,1.97,0,9.14,18,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,11.55,1046.63

30,07:15-07:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,0,0.1,0,0,0.29,0,2.97,0,13.29,28,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,11.55,1061.88

31,07:30-07:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,0,0.19,0,0,0.29,0,3.86,0,17.71,18,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,11.55,1057.28

32,07:45-08:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,0,0.19,0,0,0.29,0,5.25,0,22.34,21,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.87,0,0,153.94,0,163.8,11.55,1066.3

33,08:00-08:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,1.64,0.19,0,0,0.29,1.15,6.19,0,28.35,25,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.96,0,0,153.94,0,163.8,11.55,1080.13

34,08:15-08:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0.01,1.64,0.19,0.01,0,0.29,1.15,8.53,0.01,34.16,28,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.96,0,0,153.94,0,163.8,11.55,1091.31

35,08:30-08:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0.22,1.64,0.19,0.19,0,0.29,1.15,5.88,0.19,37.13,25,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.96,0,0,153.94,0,163.8,13.47,1091.1200000000001

36,08:45-09:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0.44,1.64,0.19,0.37,0,0.29,1.15,5.88,0.37,42.08,28,48.1,24.05,0,24.05,0,24.05,76.6,0,44.26,0,76.97,0,48.1,0,0,0,0,0,0,0,0,0.96,0,0,153.94,0,163.8,13.47,1099.65

37,09:00-09:15,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,1.64,0.19,0,0,0.29,1.15,5.88,0,40.74,28,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1097.13

38,09:15-09:30,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,1.64,0.19,0,0,0.29,1.15,6.86,0,44.51,29,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1102.88

39,09:30-09:45,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0,1.64,0.19,0,0,0.29,1.15,6.86,0,35,39,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1103.3700000000001

40,09:45-10:00,8.66,8.66,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,17.32,0.1,0.09,1.64,0.19,0.11,0,0.29,1.15,7.83,0.08,38.33,42,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1110.95

41,10:00-10:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.06,0,1.64,0.13,0,1.44,0.18,1.15,7.83,0,27,46,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1128.02

42,10:15-10:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.08,0.04,1.64,0.15,0.04,1.44,0.23,1.15,7.83,0.03,29,49,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1133.22

43,10:30-10:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.29,0,1.44,0.48,1.15,11.54,0.38,25,49,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1133.7

44,10:45-11:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.29,0,1.44,0.48,1.15,12.82,0.38,27.33,49,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1137.31

45,11:00-11:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.29,0,1.44,0.48,1.15,14.09,0.38,25,60,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1147.25

46,11:15-11:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.29,0,1.44,0.48,1.15,15.53,0.38,26.67,63,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1153.3600000000001

47,11:30-11:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.29,0.58,1.44,0.48,1.15,16.9,0.38,31.67,81,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1178.31

48,11:45-12:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.29,0.58,1.44,0.48,1.15,18.18,0.38,35,81,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1182.92

49,12:00-12:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.29,0.58,1.44,0.48,1.15,19.37,0.38,25,88,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1181.1100000000001

50,12:15-12:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.28,0.58,1.44,0.46,1.15,19.67,0.38,26.67,88,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1183.05

51,12:30-12:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.27,0.58,1.44,0.44,1.15,19.93,0.38,20.65,84,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1173.26

52,12:45-13:00,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.27,0.58,1.44,0.44,1.15,20.2,0.38,23.33,84,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1176.21

53,13:00-13:15,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.27,0.58,1.44,0.44,1.15,8.81,0.38,23,84,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1164.49

54,13:15-13:30,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.19,0,1.64,0.27,0.58,1.44,0.44,1.15,8.81,0.38,24,84,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1165.49

55,13:30-13:45,14.58,14.58,76.97,20.76,0,76.97,38.48,19.24,15.25,0,19.24,19.24,0,28.93,0.18,0.28,1.64,0.27,0.58,1.44,0.44,1.15,8.81,0.28,25,77,0,0,48.1,0,48.1,0,0,0,44.26,0,76.97,153.94,0,0,0,24.05,0,0,24.05,0,0,0.96,24.05,76.6,0,0,163.8,13.47,1159.6599999999999

