Column1,Block,NR/2025/29996/C,NR/2025/26777/A/83601,NR/2025/26860/A/83945,NR/2025/29936/C,NR/2025/30003/C,NR/2025/27728/A/84002,NR/2025/27187/A/84007,NR/2025/27726/A/84003,NR/2025/27185/A/84008,NR/2025/27727/A/84001,NR/2025/27506/A/83544,NR/2025/26861/A/84163,NR/2025/29928/C,NR/2025/27167/A/83787,NR/2025/27500/A/83546,NR/2025/27725/A/84004,NR/2025/28774/A/83539,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/83709,GNA/NR/2025/06/01/7782,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/20/3628,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/7786,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/16/6051,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/16/8791,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/4444,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7663,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/5280,NR/30092023/31122025/SH-07,NR/2025/30028/C,NR/2025/30054/C,NR/2025/27176/A/83751,NR/2025/30007/C,NR/2025/30054/C/Alternate/1,NR/2025/30008/C,NR/2025/30055/C,NR/2025/26562/A/84158,NR/2025/27281/A/84067,NR/2025/30009/C,NR/2025/26445/A/84054,NR/2025/27157/A/83628,NR/2025/26952/A/83527,NR/2025/30032/C,NR/2025/27782/A/84000,NR/2025/27100/A/83629,NR/2025/30033/C,NR/2025/30044/C,NR/2025/30057/C,NR/2025/29451/A/83707,NR/2025/26889/A/83994,NR/2025/30059/C,NR/2025/26785/A/83547,NR/2025/27088/A/84047,NR/2025/30047/C,NR/2025/27499/A/83993,NR/2025/26085/A/83704,NR/2025/26566/A/84160,NR/2025/30051/C,NR/2025/30062/C,NR/2025/26572/A/84162,NR/2025/27242/A/83727,NR/2025/26571/A/84161,NR/2025/27168/A/83788,NR/2025/29816/A/83671,NR/2025/30061/C,NR/2025/28719/A/83599,NR/2025/26565/A/84159,NR/2025/30053/C,NR/2025/26975/A/84009,Total
3,00:30-00:45,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,22.13,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,17.11,41.07,20.54,11.92,22.13,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2466.48

4,00:45-01:00,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,22.13,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,17.11,41.07,20.54,11.92,22.13,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2466.48

5,01:00-01:15,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,22.13,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,16.74,41.07,20.54,11.92,22.13,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2466.11

6,01:15-01:30,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,22.13,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,16.74,41.07,20.54,11.92,22.13,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2466.11

7,01:30-01:45,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,26.5,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,16.74,41.07,20.54,11.92,26.5,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2474.85

8,01:45-02:00,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,164.29,0,20.54,7.73,8.78,0,0,0,11.91,26.5,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,0,16.74,41.07,20.54,11.92,26.5,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,25.2,0,0,0,96.64,5.8,0,0,164.29,0,8.7,0.68,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2474.85

9,02:00-02:15,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.5,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.5,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2434.9100000000003

10,02:15-02:30,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.93,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2435.7700000000004

11,02:30-02:45,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.93,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2435.7700000000004

12,02:45-03:00,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.55,41.07,20.54,11.92,26.93,0,0,106.3,0,164.53,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,27.06,2435.7700000000004

13,03:00-03:15,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,5.8,2384.870000000001

14,03:15-03:30,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,5.8,2384.870000000001

15,03:30-03:45,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,5.8,2384.870000000001

16,03:45-04:00,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.37,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,217.34,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,144.96,20.54,1.93,0,10.63,144.96,0,5.8,2384.870000000001

17,04:00-04:15,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.19,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1877.4300000000005

18,04:15-04:30,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.19,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1877.4300000000005

19,04:30-04:45,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.19,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1877.4300000000005

20,04:45-05:00,0,164.29,90.36,0,0,26.35,19.33,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.19,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,96.64,0,0,0,164.29,0,0,0.53,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1877.4300000000005

21,05:00-05:15,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1761.3700000000006

22,05:15-05:30,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,0,20.54,1.93,0,10.63,0,0,5.8,1761.3700000000006

23,05:30-05:45,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0,0,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,0,20.54,0.97,0,10.63,0,0,5.8,1760.4100000000005

24,05:45-06:00,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,0.4,1,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.63,0,0,0,0,41.07,0,20.54,1.93,0,9.66,0,0,5.8,1761.8000000000004

25,06:00-06:15,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,1.05,3,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,15.82,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.68,0,0,0,0,41.07,0,20.54,1.93,0,9.66,0,0,5.8,1764.3200000000006

26,06:15-06:30,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,1.7,7,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,15.82,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.68,0,0,0,0,41.07,0,20.54,1.93,0,9.66,0,0,5.8,1768.9700000000005

27,06:30-06:45,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,5.7,11,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,15.82,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.68,0,0,0,0,41.07,0,20.54,1.93,0,9.66,0,0,5.8,1776.9700000000005

28,06:45-07:00,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,8.84,14,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,15.82,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.68,0,0,0,0,41.07,0,20.54,0.97,0,9.66,0,0,5.8,1782.1500000000005

29,07:00-07:15,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,12.18,18,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,15.63,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.87,0,0,0,0,41.07,0,20.54,0.97,0,9.66,0,0,5.8,1789.4900000000002

30,07:15-07:30,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,15.6,21,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,15.63,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.87,0,0,0,0,41.07,0,20.54,0.97,0,9.66,0,0,5.8,1795.9100000000003

31,07:30-07:45,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,19.11,39,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,17.11,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.87,0,0,0,0,41.07,0,20.54,0.97,0,9.66,0,0,5.8,1818.9000000000003

32,07:45-08:00,0,164.29,90.36,0,0,26.35,0,26.35,19.33,26.35,1.93,0,0,20.54,7.73,8.78,0,23.32,49,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,17.11,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.87,0,0,0,0,41.07,0,20.54,0.97,0,9.66,0,0,5.8,1833.1100000000001

33,08:00-08:15,0,164.29,90.36,0,0,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,4.17,28.24,53,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.97,0,0,0,0,41.07,0,20.54,1.93,0,9.66,0,0,5.8,1899.0600000000004

34,08:15-08:30,0,164.29,90.36,0,0,37.34,0,43.92,19.33,43.92,1.93,0,0,20.54,7.73,14.64,4.87,34,63,11.91,26.93,20.54,20.85,20.54,41.07,41.07,19.33,29.06,15.32,53.39,164.29,16.92,41.07,20.54,11.92,26.93,0,164.53,76.94,0,0,0,28.03,144.96,24.88,0,96.64,0,0,0,7.73,0,0,0,0,0,0,0,0,164.29,0,0,0.97,0,0,0,0,41.07,0,20.54,0.97,0,10.63,0,0,5.8,1915.5300000000004

