Column1,Block,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/6891,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/9482,GNA/NR/2025/03/01/4651,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,NR/2025/25159/A/55493,WR/2025/26427/A/55543,WR/2025/26582/A/55772,WR/2025/26499/A/55774,WR/2025/26426/A/55541,GNARE/NR/2024/12/20/3668,NR/2025/25445/C,NR/2025/25444/C,Total
66,16:15-16:30,26.99,26.99,4.97,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.53,0,0,40.37,0,71.34,38.45,14.42,324.99

67,16:30-16:45,26.99,26.99,4.97,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.53,0,0,40.37,0,64,38.45,14.42,317.65000000000003

68,16:45-17:00,26.99,26.99,4.97,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,0,0,0.53,0,0,40.37,0,56.12,38.45,14.42,309.77000000000004

69,17:00-17:15,26.99,26.99,4.97,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,0,0.53,0,0,40.37,0,42.56,0,0,343.34

70,17:15-17:30,26.99,26.99,4.97,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,0,0.53,0,0,40.37,0,34.26,0,0,335.03999999999996

71,17:30-17:45,26.99,26.99,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,0,0.53,0,0,40.37,0,26.11,0,0,327.35

72,17:45-18:00,26.99,26.99,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,0,0.53,0,0,40.37,0,17.49,0,0,318.73

73,18:00-18:15,26.99,26.99,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.53,0,0,40.37,0,10.65,0,0,411.89

74,18:15-18:30,25.16,25.16,5.43,0,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.53,0,0,40.37,0,4.63,0,0,402.21

75,18:30-18:45,25.16,25.16,5.43,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.53,0,0,40.37,0,0.91,0,0,448.49

76,18:45-19:00,19.71,19.71,5.43,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.53,0,0,40.37,0,0.06,0,0,436.73999999999995

77,19:00-19:15,19.71,19.71,5.43,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,0,0,0,0,436.77

78,19:15-19:30,19.71,19.71,5.43,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,0,0,0,0,436.77

79,19:30-19:45,19.71,19.71,5.43,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,0,0,0,0,436.77

80,19:45-20:00,19.71,19.71,5.43,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,0,0,0,0,436.77

81,20:00-20:15,25.87,32,5.52,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,503.37000000000006

82,20:15-20:30,25.87,32,5.52,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,503.37000000000006

83,20:30-20:45,25.87,32,5.52,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,503.37000000000006

84,20:45-21:00,25.87,32,5.52,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,503.37000000000006

85,21:00-21:15,26.99,26.99,5.61,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,499.57

86,21:15-21:30,26.99,26.99,5.61,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,499.57

87,21:30-21:45,26.99,26.99,5.61,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,499.57

88,21:45-22:00,26.99,26.99,5.61,50,0,23.07,23.07,8.65,23.07,17.3,5.77,0,0,100,100,0.62,0,0,40.37,48.06,0,0,0,499.57

89,22:00-22:15,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,100,100,0.53,24.03,24.03,40.37,48.06,0,0,0,801.04

90,22:15-22:30,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,100,100,0.53,24.03,24.03,40.37,48.06,0,0,0,801.04

91,22:30-22:45,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,100,100,0.53,24.03,24.03,40.37,48.06,0,0,0,801.04

92,22:45-23:00,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,100,100,0.53,24.03,24.03,40.37,48.06,0,0,0,801.04

93,23:00-23:15,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,0,100,0.48,24.03,24.03,40.37,48.06,0,0,0,700.99

94,23:15-23:30,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,0,100,0.48,24.03,24.03,40.37,48.06,0,0,0,700.99

95,23:30-23:45,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,0,100,0.48,24.03,24.03,40.37,48.06,0,0,0,700.99

96,23:45-24:00,26.99,26.99,5.43,50,63.42,23.07,23.07,8.65,23.07,17.3,5.77,0,190.26,0,100,0.48,24.03,24.03,40.37,48.06,0,0,0,700.99

