Column1,Time,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,L_NR_2019_19,NR/26072023/25122043/L_NR_2023_10,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/29112042/L_NR_2019_05,NR/01102023/02122045/L_NR_2021_13,WR/01102023/24112044/L_NR_2020_07,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/01102023/L_NR_2022_09,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),GNARE/SR/2025/01/13/4532,GNA/WR/2025/01/01/9606,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/16/1676,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/16/1380,GNA/SR/2025/02/01/6460,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/02/01/9969,NR/01102023/19072037/LT-05,GNA/SR/2025/02/01/7432,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/02/01/2143,GNA/WR/2024/11/01/4200,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/4863,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/22102023/11042047/L_NR_2021_17,GNA/WR/2025/01/01/8625,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_16,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/06022042/L_NR_2012_07,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_02,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_36
7,01:30-01:45,0,20,0,0,48.66,17.67,0,0,20,0,60,48.67,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

8,01:45-02:00,0,20.33,0,0,50.34,17.67,0,0,20.33,0,61.01,50.33,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,52.81,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

9,02:00-02:15,0,20.17,0,0,51.66,18,0,0,20.17,0,60.49,51.67,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

10,02:15-02:30,0,20.17,0,0,52,18.33,0,0,20.17,0,60.49,52,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

11,02:30-02:45,0,20.17,0,0,52,18.67,0,0,20.17,0,60.49,52,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

12,02:45-03:00,0,20.17,0,0,52,19,0,0,20.17,0,60.49,52,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

13,03:00-03:15,0,20.17,0,0,49.66,19,0,0,20.17,0,60.49,49.67,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.19,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

14,03:15-03:30,0,20,0,0,48.66,19.33,0,0,20,0,60,48.67,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.19,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,135.37,0,0

15,03:30-03:45,0,19.67,0,0,48,19.67,0,0,19.67,0,58.99,48,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.19,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0,155.54,0,0

16,03:45-04:00,0,19.5,0,0,47.66,20.67,0,0,19.5,0,58.5,47.67,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.19,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0,155.54,0,0

17,04:00-04:15,0,19.5,0,0,44,20,0,0,19.5,0,58.5,44,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,159.38,0,0

18,04:15-04:30,0,19.5,0,0,43,20.67,0,0,19.5,0,58.5,43,0,0,6.6,0,271.47,8.64,23.78,1.11,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,159.38,0,0

19,04:30-04:45,0,19.33,0,0,42.66,21,0,0,19.33,0,58.01,42.67,0,0,6.6,0,271.47,8.64,23.78,1.2,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,159.38,0,0

20,04:45-05:00,0,19.33,0,0,42.66,21,0,0,19.33,0,58.01,42.67,0,0,6.6,0,271.47,8.64,23.78,1.2,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,159.38,0,0

21,05:00-05:15,0,19.5,0,0,46,13,0,0,19.5,0,58.5,46,0,0,6.6,0,271.47,8.64,23.78,1.2,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,159.38,0,0

22,05:15-05:30,0,19.83,0,0,45,13,0,0,19.83,0,59.51,45,0,0,6.6,0,271.47,8.64,23.78,1.2,26.75,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,159.38,0,0

23,05:30-05:45,0,20,0,0,42.66,12.67,0,0,20,0,60,42.67,0,0,6.6,0,271.47,8.64,23.78,1.2,26.24,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,169.63,0,0

24,05:45-06:00,0,20.33,0,0,40.34,12.67,0,0,20.33,0,61.01,40.33,0,0,6.6,0,271.47,8.64,23.78,1.2,26.24,26.99,100.02,7.93,75,1.29,23.04,70.04,0,0,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,59.36,0.62,169.63,0,0

25,06:00-06:15,0,20.83,0,0,38.34,13,0.72,0,20.83,0,62.51,38.33,0,0.01,6.6,0,271.47,8.64,0,1.2,26.24,26.99,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,67.76,0.62,200.06,0,0

26,06:15-06:30,0,20.83,0,0,36.34,12.67,1.05,0,20.83,0,62.51,36.33,0,0.71,6.6,0,271.47,8.64,0,1.2,26.24,26.99,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,67.76,0.62,200.06,0,0

27,06:30-06:45,1,20.67,0,0,45,12.67,2.75,0,20.67,0,61.99,45,0,3.31,6.6,0,271.47,8.64,0,1.2,26.24,26.99,100.02,0,75,1.29,23.04,74.37,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,67.76,0.62,200.06,0,0

28,06:45-07:00,4,20.5,0.33,0,43,12.33,6.78,0,20.5,0,61.5,43,0,9.1,6.6,0,271.47,8.64,0,1.2,25.23,26.99,100.02,0,75,1.29,23.04,82.84,0,0.92,23.04,0,23.04,8.64,0,0,0,0,0,0,0,26.99,67.76,0.62,200.06,0,0

29,07:00-07:15,10,22.5,3.82,0,59.66,18,14.44,0,22.5,1,67.5,59.67,0,18.66,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.19,23.04,91.32,0,0.92,23.04,0,23.04,8.64,0,2,5,0,0,10,0,32,86.6,0.62,259.8,0,0

30,07:15-07:30,15,22.33,10.61,1,58.66,18,23.1,0.11,22.33,4,67.01,58.67,1,23.1,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.19,23.04,114.85,0,0.92,23.04,0,23.04,8.64,0.1,3,5,0,0.52,10,0,32,86.6,0.62,259.8,0,0

31,07:30-07:45,20.9,22.17,17.82,3,66.34,18.33,20.9,0.95,22.17,7,66.49,66.33,2,20.9,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.19,23.04,114.85,0,0.92,23.04,0,23.04,8.64,0.19,5,5,0,4.75,10,0.16,32,86.6,0.62,259.8,0.16,0.12

32,07:45-08:00,21.9,22,26.3,7,65.66,18.33,21.9,3.01,22,18,66,65.67,3,21.9,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.19,23.04,114.85,0,0.92,23.04,0,23.04,8.64,2.14,7,7,0,15.05,13,0.63,32,86.6,0.62,259.8,0.63,0.49

33,08:00-08:15,22.9,25.67,36.85,9,64,23,22.9,5.76,25.67,21,76.99,64,7,22.9,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,114.85,0,0.92,23.04,0,23.04,8.64,6.73,11,7,0,28.82,15,1.41,32,86.6,0,259.8,1.41,1.1

34,08:15-08:30,22.9,23.5,48.88,16,63,21.33,22.9,9.91,23.5,39,70.5,63,10,22.9,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,114.85,0,0.92,23.04,0,23.04,8.64,13.36,17,10,0,49.53,20,2.52,32,86.6,0.62,259.8,2.52,1.95

35,08:30-08:45,23.33,20.83,61.33,20,61.66,19.67,23.34,13.67,20.83,48,62.51,61.67,12,23.33,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,25,23,13,0,68.37,27,3.94,32,86.6,0.62,259.8,3.94,3.05

36,08:45-09:00,23.67,18,73.09,27,60,17.67,23.66,17.98,18,63,54,60,18,23.67,6.6,0,271.47,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,34.18,33,17,0,89.88,33,6.12,32,86.6,0.62,259.8,6.12,4.73

37,09:00-09:15,23.67,16.33,83.85,39,46.66,15.33,23.66,22.44,16.33,91,49.01,46.67,21,23.67,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,43.62,40,22,0,112.17,43,7.75,32,86.6,0.62,259.8,7.75,5.99

38,09:15-09:30,23.67,14.83,93.94,43,42,14,23.66,26.67,14.83,102,44.51,42,25,23.67,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,52.38,47,25,0,133.33,50,9.23,32,86.6,0.62,259.8,9.23,7.14

39,09:30-09:45,24,13.67,103.56,51,39.34,8.33,24,31.37,13.67,119,40.99,39.33,27,24,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,60.59,45,32,0,156.87,65,10.53,32,86.6,0.62,259.8,10.53,8.14

40,09:45-10:00,24,13.17,112.34,58,38,8,24,35.04,13.17,137,39.49,38,30,24,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,68.37,50,36,0,175.18,72,11.78,32,86.6,0.62,259.8,11.78,9.1

41,10:00-10:15,24,12.5,120.07,60,35.66,7.67,24,38.51,12.5,140,37.5,35.67,30,24,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,75.45,55,33,0,192.56,67,12.84,32,86.6,0.62,259.8,12.84,9.93

42,10:15-10:30,24,11.67,127.03,64,32.66,7.33,24,41.45,11.67,151,34.99,32.67,33,24,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,81.91,62,36,0,207.24,71,13.81,32,86.6,0.62,259.8,13.81,10.68

43,10:30-10:45,24,10.83,133.12,67,30.66,6.67,24,44.43,10.83,158,32.51,30.67,36,24,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,87.91,76,37,0,222.16,75,14.88,32,86.6,0.62,259.8,14.88,11.5

44,10:45-11:00,24,10.5,138.54,75,30,6.67,24,46.96,10.5,175,31.5,30,39,24,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,93.44,82,41,0,234.79,82,15.65,32,86.6,0.62,229.38,15.65,12.09

45,11:00-11:15,24,10.5,143.57,76,27,6.67,24,47.5,10.5,179,31.5,27,40,24,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,98.24,85,44,0,237.5,89,16.48,32,74.44,0.62,229.38,16.48,12.73

46,11:15-11:30,25,10.33,147.95,78,24.66,6.67,25,47.5,10.33,182,31.01,24.67,42,25,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,100,86,44,0,237.5,89,17.24,32,74.44,0.62,229.38,17.24,13.31

47,11:30-11:45,25,10.33,151.79,84,24.34,9.67,25,46.08,10.33,196,31.01,24.33,43,25,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,100,86,44,0,230.37,89,17.3,32,74.44,0,169.63,17.3,13.37

48,11:45-12:00,25.17,10.17,154.76,84,24.66,9.67,25.16,46.08,10.17,196,30.49,24.67,44,25.17,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,100,86,44,0,230.37,89,17.3,32,74.44,0,169.63,17.3,13.37

49,12:00-12:15,26.33,10.67,156.98,84,25.34,11.67,26.34,38.05,10.67,196,31.99,25.33,44,26.33,6.6,0,271.47,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,86.67,86,44,0,190.28,89,17.3,32,63.96,0.62,135.37,17.3,13.37

50,12:15-12:30,26.33,10.83,157.86,84,26,11.67,26.34,38.42,10.83,196,32.51,26,44,26.33,6.6,0,230.42,8.64,0,1.16,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,86.67,86,44,0,192.13,89,17.3,32,63.96,0.62,135.37,17.3,13.37

51,12:30-12:45,26.33,9.33,157.73,84,26.66,10.33,26.34,41.12,9.33,196,28.01,26.67,44,26.33,6.6,0,230.42,8.64,0,1.16,0,26.12,52.81,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,86.67,86,44,0,205.58,89,17.3,32,59.36,0.62,135.37,17.3,13.37

52,12:45-13:00,26.33,9.17,156.57,84,27.66,10.33,26.34,42.51,9.17,196,27.49,27.67,44,26.33,6.6,0,192.02,8.64,0,1.16,0,26.12,52.81,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,86.67,86,44,0,212.56,89,17.3,32,59.36,0.62,135.37,17.3,13.37

53,13:00-13:15,26.33,9.33,153.67,84,28.66,10.33,26.34,41.67,9.33,196,28.01,28.67,44,26.33,9.4,0,149.31,8.64,0,1.2,0,26.12,52.81,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,86.67,86,44,0,208.33,89,17.3,32,59.36,0.62,135.37,17.3,13.37

54,13:15-13:30,26.33,9.5,149.35,84,30.34,10.33,26.34,41.67,9.5,196,28.5,30.33,44,26.33,9.6,0,149.31,8.64,0,1.2,0,26.12,52.81,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,86.67,86,44,0,208.33,89,17.3,32,59.36,0.62,135.37,17.3,13.37

55,13:30-13:45,26.33,8,146.72,81,24,10.67,26.34,46.83,8,189,24,24,44,26.33,9.8,0,149.31,8.64,0,1.2,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0,23.04,0,23.04,8.64,95,85,44,0,234.13,89,17.3,32,59.36,0.62,135.37,17.3,13.37

56,13:45-14:00,26.33,8.33,141.32,81,25,11,26.34,47,8.33,189,25.01,25,43,26.33,10,0,149.31,8.64,0,1.2,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0,23.04,0,23.04,8.64,95,85,44,0,234.97,89,17.3,32,59.36,0.62,135.37,17.3,13.37

57,14:00-14:15,26.33,8.67,135.19,81,26,11.67,26.34,46.72,8.67,189,25.99,26,41,26.33,12.01,0,149.31,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,95,81,44,0,233.62,89,17.27,32,59.36,0.62,135.37,17.27,13.34

58,14:15-14:30,26.33,9.17,128.69,79,27.34,12.33,26.34,46.25,9.17,186,27.49,27.33,40,26.33,12.21,0,149.31,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,95,79,44,0,231.27,88,16.65,32,59.36,0.62,135.37,16.65,12.86

59,14:30-14:45,26.33,9.83,121.74,78,25.66,13,26.34,45.43,9.83,182,29.51,25.67,38,26.33,12.41,0,149.31,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,95,77,43,0,227.13,87,16.01,32,59.36,0.62,135.37,16.01,12.37

60,14:45-15:00,26.33,10.33,114.37,75,27.34,14,26.34,43.92,10.33,175,31.01,27.33,37,26.33,12.61,0,149.31,8.64,0,1.2,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,95,75,42,0,219.58,85,15.36,32,59.36,0.62,135.37,15.36,11.87

61,15:00-15:15,26.5,11.17,106.56,75,28.34,11,26.5,42.04,11.17,175,33.49,28.33,35,26.5,12.41,0,149.31,8.64,0,1.2,0,26.12,52.81,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,95,75,40,0,210.19,80,14.53,32,59.36,0,135.37,14.53,11.23

62,15:15-15:30,26.5,12,98.28,70,29,11.33,26.5,39.96,12,165,36,29,34,26.5,12.81,0,149.31,8.64,0,1.2,0,26.12,52.81,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,90.25,73,38,0,199.79,77,13.64,32,59.36,0.62,135.37,13.64,10.53

63,15:30-15:45,26.5,12.83,89.18,64,30,12.33,26.5,39.43,12.83,151,38.51,30,31,26.5,13.01,0,149.31,8.64,0,1.2,0,26.12,52.81,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,82.67,67,35,0,197.13,69,12.61,32,59.36,0.62,135.37,12.61,9.74

64,15:45-16:00,26.5,14,79.36,58,31,13,26.5,36.39,14,137,42,31,28,26.5,13.41,0,149.31,8.64,0,1.2,0,26.12,52.81,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,76.93,61,31,0,181.94,62,11.46,32,59.36,0.62,135.37,11.46,8.85

65,16:00-16:15,26.5,14.5,69.56,52,36.34,12.33,26.5,33.55,14.5,123,43.5,36.33,25,26.5,13.61,0,192.02,8.64,0,1.25,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,70.81,53,27,0,167.73,55,10.18,32,59.36,0.62,135.37,10.18,7.86

66,16:15-16:30,26.5,14.67,59.71,45,37.34,13,26.5,29.42,14.67,105,43.99,37.33,22,26.5,13.61,0,230.42,8.64,0,1.25,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,64.31,48,23,0,147.12,47,8.83,32,59.36,0.62,135.37,8.83,6.82

67,16:30-16:45,26.5,14.67,49.21,39,38.34,13.67,26.5,25.4,14.67,91,43.99,38.33,18,26.5,14.01,0,271.47,8.64,0,1.25,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,57.06,40,20,0,127,40,7.32,32,59.36,0.62,169.63,7.32,5.66

68,16:45-17:00,26.5,14.83,38.28,33,39.66,14.67,26.5,21.23,14.83,77,44.51,39.67,13,26.5,14.01,0,271.47,8.64,0,1.25,0,26.12,100.02,0,75,1.19,23.04,65.9,0,0.92,23.04,0,23.04,8.64,49.18,35,15,0,106.15,31,5.75,32,59.36,0.62,169.63,5.75,4.44

69,17:00-17:15,26.5,14.67,27.51,25,33.34,15,26.5,17.07,14.67,60,43.99,33.33,10,26.5,16.01,0,271.47,8.64,0,1.25,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,40.6,23,11,0,85.35,23,3.98,32,59.36,0.62,169.63,3.98,3.08

70,17:15-17:30,18,14.67,17.93,18,34,15,18.86,12.32,14.67,42,43.99,34,7,24.26,16.01,0,271.47,8.64,0,1.25,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,30.61,15,8,0,61.59,17,2.77,32,59.36,0.62,169.63,2.77,2.14

71,17:30-17:45,8,14.17,10.79,9,30,12.67,10.08,6.99,14.17,21,42.49,30,4,13.01,18.81,0,271.47,8.64,0,1.25,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,20.33,10,5,0,34.94,10,1.78,32,74.44,0.62,169.63,1.78,1.37

72,17:45-18:00,1,14,5.87,3,31,12.67,4.63,0.44,14,7,42,31,2,5.69,18.41,0,271.47,8.64,0,1.25,0,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,0,23.04,8.64,13.37,8,3,0,2.18,7,0.99,32,74.44,0.62,169.63,0.99,0.77

73,18:00-18:15,0,14.33,1.84,1,35,11.33,0,0.44,14.33,2,43.01,35,1,0,20.21,200,271.47,8.64,0,1.3,26.75,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,50,23.04,8.64,4.73,5,1,0,2.18,3,0.44,32,86.6,0.62,259.8,0.44,0.34

74,18:15-18:30,0,14.83,0,0,35.66,11.67,0,0.44,14.83,0,44.51,35.67,0,0,19.81,200,271.47,8.64,0,1.3,27.25,26.12,100.02,0,75,1.29,23.04,65.9,0,0.92,23.04,50,23.04,8.64,1.43,2,0,0,2.18,0,0.11,32,86.6,0.62,259.8,0.11,0.09

75,18:30-18:45,0,12.5,0,0,30,12.67,0,0.44,12.5,0,37.5,30,0,0,21.41,200,271.47,8.64,0,1.3,27.76,26.12,100.02,0,75,1.29,23.04,114.85,50,0.92,23.04,50,23.04,8.64,0.1,0,0,0,2.18,0,0,32,86.6,0.62,259.8,0,0

76,18:45-19:00,0,12.83,0,0,31,13.33,0,0,12.83,0,38.51,31,0,0,20.81,200,271.47,8.64,0,1.3,27.76,26.12,100.02,0,75,1.29,23.04,84.73,50,0.92,23.04,50,23.04,8.64,0,0,0,0,0,0,0,32,86.6,0.62,259.8,0,0

