Column1,Time,GNA/SR/2025/02/01/7432,GNA/WR/2025/01/01/9606,GNA/SR/2025/02/01/6460,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,GNA/WR/2024/11/01/4200,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_35,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_36,NR/01102023/31052040/LT-31,GNA/NR/2025/02/01/2594,GNA/NR/2025/02/01/2143,GNA/NR/2025/02/01/5886,GNA/NR/2025/02/01/9969,NR/01102023/15082037/GNA_NR_2012_01,GNA/NR/2025/02/01/4863,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/01102023/22052037/LT-59,NR/30092023/31122025/SH-07,NR/01102023/05012040/L_NR_2020_02,GNA/WR/2025/01/01/8625,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,GNARE/SR/2025/01/13/4532,L_NR_2019_19,WR/01102023/01102023/L_NR_2022_09,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_16,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_07),GNARE/NR/2024/12/20/3668,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06)
16,03:45-04:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0,26.99,1.3,0,33,7.33,11,7,0,33,0,0,0,0,0,0,0,0,0,0,0,11,33,0

17,04:00-04:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,49.34,7.33,16.5,7,0,49.33,0,0,0,0,0,0,0,0,0,0,0,16.5,49.5,0

18,04:15-04:30,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,50,7.33,17,7,0,50,0,0,0,0,0,0,0,0,0,0,0,17,51,0

19,04:30-04:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,50,7.33,17.5,7,0,50,0,0,0,0,0,0,0,0,0,0,0,17.5,52.5,0

20,04:45-05:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,50.34,7.33,17.83,7,0,50.33,0,0,0,0,0,0,0,0,0,0,0,17.83,53.51,0

21,05:00-05:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,38.66,7.33,17.83,7,0,38.67,0,0,0,0,0,0,0,0,0,0,0,17.83,53.51,0

22,05:15-05:30,0,0,75,130.78,66,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,52.89,8.65,0,0.92,0.62,26.99,1.3,0,37.66,7.33,17.67,7,0,37.67,0,0,0,0,0,0,0,0,0,0,0,17.67,52.99,0

23,05:30-05:45,0,0,75,159.63,66,0,271.89,1.29,26.99,0,59.46,0,0,23.08,23.08,8.65,23.08,84.62,8.65,0,0.92,0,26.99,1.3,0,36.34,7.33,13.5,7,0,36.33,0,0,0,0,0,0,0,0,0,0,0,13.5,40.5,0

24,05:45-06:00,0,0,75,191.01,66,0,271.89,1.29,26.99,0,64.06,0,0,23.08,23.08,8.65,23.08,100.18,8.65,0,0.92,0,26.99,1.3,0,34.66,7.33,13.17,7,0,34.67,0,0,0,0,0,0,0,0,0,0,0,13.17,39.49,0

25,06:00-06:15,0,0,75,225.57,66,0,271.89,1.29,26.71,0,64.06,0,0,25.96,25.96,8.65,25.96,100.18,8.65,0,0.92,0.62,26.71,1.3,0,19.66,7.33,9.5,7,0,19.67,0,0,0,0,0,0,0,0,0,0,0.13,9.5,28.5,0

26,06:15-06:30,0,0,75,261.07,82.95,0,271.89,1.29,26.71,0,86.74,0,0,25.96,25.96,8.65,25.96,100.18,8.65,0,0.92,0.62,26.71,1.3,0,19.34,7.33,8.83,7,0,19.33,0,0,0,0,0,0,0,0,0,0,1.36,8.83,26.51,0

27,06:30-06:45,0,0,75,261.07,115.03,0,271.89,1.29,32,0,86.74,0,0,30.77,30.77,8.65,30.77,100.18,8.65,0,0.92,0.62,32,1.3,0,19,7.33,8.33,7,0,19,0,0,0,0,0,0,0,0,0,0,3.01,8.33,25.01,0

28,06:45-07:00,0,0,75,261.07,115.03,0,271.89,1.29,32,0,86.74,0,0,30.77,30.77,8.65,30.77,100.18,8.65,0,0.92,0.62,32,1.3,0,18.66,7.33,7.83,7,0,18.67,0,0,0,0,0,0,0,0,1,0,6.12,7.83,23.51,1.45

29,07:00-07:15,0,0,75,261.07,115.03,0,271.89,1.29,31.5,0,86.74,0,0,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0.62,31.5,1.3,0,15,7.33,7.5,7,1.31,15,0,0,0,1,2,0,0,1,3,0,13.92,7.5,22.5,5.78

30,07:15-07:30,0,0,75,261.07,115.03,0,271.89,1.29,31.5,0,86.74,0,0,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0.62,31.5,1.3,0,15,7.33,7.5,7,6.99,15,1,0,0,2,3,1,1,4,7,0,24.4,7.5,22.5,13.01

31,07:30-07:45,0,0,75,261.07,115.03,0,271.89,1.29,31.5,0.14,86.74,0.14,0.14,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0,31.5,1.3,0,15,7.33,7.5,7,14.51,15,3,2.2,0.44,3,5,2,2,7,11,0,31.49,7.5,22.5,31.5

32,07:45-08:00,0,0,75,261.07,115.03,0,271.89,1.29,31.5,0.56,86.74,0.57,0.56,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0,31.5,1.3,0,15,7.33,7.5,7,22.14,15,7,8.81,1.76,10,7,3,5,18,18,1.14,28.75,7.5,22.5,28.75

33,08:00-08:15,0,0,75,261.07,115.03,0,271.89,1.29,31.5,1.27,86.74,1.3,1.27,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0.62,31.5,1.34,0,15,7.33,7.17,7,31.68,15,6,19.82,3.97,13,9,5,7,14,25,4.56,26.25,7.17,21.49,26.25

34,08:15-08:30,0,0,75,261.07,115.03,0,271.89,1.29,31.5,1.82,86.74,1.87,1.82,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0.62,31.5,1.34,0,14,7.33,7,7,43.25,14,9,43.57,8.71,17,12,7,9,21,27.4,10.27,27.4,7,21,27.4

35,08:30-08:45,0,0,75,261.07,115.03,0,271.89,1.29,31.5,2.86,86.74,2.92,2.86,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0.62,31.5,1.34,0,14,7.33,6.83,7,55.81,14,15,66.57,13.31,19,22,12,9,35,28.9,17.56,28.9,6.83,20.51,28.9

36,08:45-09:00,0,0,75,261.07,115.03,0,271.89,1.29,31.5,4.1,86.74,4.19,4.1,36.54,36.54,8.65,36.54,100.18,8.65,0,0.92,0.62,31.5,1.34,0,14,7.33,6.83,7,68.17,14,19,88.55,17.71,25,28,16,13,46,28.9,26.46,28.9,6.83,20.51,28.9

37,09:00-09:15,0,0,75,261.07,115.03,0,271.89,1.29,31,5.29,86.74,5.42,5.29,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0.62,31,1.34,0,14,7.33,6.83,7,79.66,14,34,109.02,21.8,40,40,21,20,81,28.9,37.97,28.9,6.83,20.51,28.9

38,09:15-09:30,0,0,75,261.07,115.03,0,271.89,1.29,31,6.37,86.74,6.53,6.37,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0.62,31,1.34,0,14,7.33,6.83,7,90.31,14,40,128.22,25.65,47,47,25,23,95,29.9,46.51,29.9,6.83,20.51,29.9

39,09:30-09:45,0,0,75,261.07,115.03,0,271.89,1.29,32,7.53,86.74,7.72,7.53,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0,13.75,1.34,0,14,7.33,6.83,7,100.19,14,42,146.11,29.22,53,47,28,27,98,29.9,54.83,29.9,6.83,20.51,29.9

40,09:45-10:00,0,0,75,261.07,115.03,0,271.89,1.29,32,8.63,86.74,8.85,8.63,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0,13.75,1.34,0,14,7.33,6.83,7,109.27,14,49,162.67,32.54,63,51,31,32,116,29.9,62.27,29.9,6.83,20.51,29.9

41,10:00-10:15,0,0,75,261.07,115.03,0,271.89,1.29,32,9.8,86.74,10.05,9.8,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0.62,23.38,1.38,0,14,7.33,6.83,7,117.42,14,49,183.67,36.73,57,57,34,28,116,29.9,68.98,29.9,6.83,20.51,29.9

42,10:15-10:30,0,0,75,261.07,115.03,0,271.89,1.29,32,10.56,86.74,10.83,10.56,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0.62,23.38,1.38,0,14,7.33,6.83,7,124.52,14,54,201.64,40.33,63,63,36,32,126,29.9,76.01,29.9,6.83,20.51,29.9

43,10:30-10:45,0,0,75,261.07,84.86,0,271.89,1.29,32,11.82,86.74,12.12,11.82,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0.62,23.38,1.38,0,14,7.33,6.83,7,130.52,14,60,200.47,40.09,67,68,38,33,140,29.9,77.69,29.9,6.83,20.51,29.9

44,10:45-11:00,0,0,75,261.07,66,0,271.89,1.29,32,12.41,86.74,12.71,12.41,28.85,28.85,8.65,28.85,100.18,8.65,0,0.92,0.62,26.12,1.38,0,14,7.33,6.83,7,135.66,14,64,208.8,41.76,72,73,40,36,151,29.9,82.66,29.9,6.83,20.51,29.9

45,11:00-11:15,0,0,75,226.5,66,0,271.89,1.29,26.99,12.92,74.55,13.24,12.92,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.62,26.99,1.38,0,14,7.33,6.83,7,140.2,14,66,217.34,43.47,73,78,41,37,154,29.9,86.44,29.9,6.83,20.51,29.9

46,11:15-11:30,0,0,75,261.07,66,0,271.89,1.29,26.99,13.36,74.55,13.69,13.36,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.62,26.99,1.38,0,14,7.33,6.83,7,144.12,14,69,221.3,44.26,77,83,42,38,161,29.9,88.35,29.9,6.83,20.51,29.9

47,11:30-11:45,0,0,75,226.5,66,0,271.89,1.29,26.99,13.79,74.55,14.14,13.79,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0,26.99,1.38,0,14,7.33,6.83,7,147.86,14,72,217.13,43.43,80,86,43,40,168,29.9,88.35,29.9,6.83,20.51,29.9

48,11:45-12:00,0,0,75,261.07,66,0,271.89,1.29,26.99,14.12,86.74,14.48,14.12,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0,26.99,1.38,0,14,7.33,6.83,7,150.96,14,75,221.3,44.26,83,88,44,42,175,29.9,88.35,29.9,6.83,20.51,29.9

49,12:00-12:15,0,0,75,191.01,66,0,271.89,1.29,26.99,14.39,64.06,14.75,14.39,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.62,26.99,1.43,0,14,6.67,6.83,7,153.24,14,78,225.47,45.09,87,88,44,43,182,29.9,88.35,29.9,6.83,20.51,29.9

50,12:15-12:30,0,0,75,191.01,66,0,271.89,1.29,26.99,14.52,64.06,14.88,14.52,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.62,26.99,1.43,0,14,6.67,6.83,7,154.41,14,81,225.47,45.09,90,88,44,45,189,29.9,88.35,29.9,6.83,20.51,29.9

51,12:30-12:45,0,0,75,191.01,70.15,0,271.89,1.29,26.99,14.6,64.06,14.96,14.6,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.62,26.99,1.35,0,14,6.67,6.83,7,154.53,14,81,225.47,45.09,90,88,44,45,189,29.9,88.35,29.9,6.83,20.51,29.9

52,12:45-13:00,0,0,75,191.01,70.15,0,271.89,1.29,26.99,14.54,64.06,14.9,14.54,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.62,26.99,1.35,0,14,6.67,6.83,7,153.74,14,81,225.47,45.09,90,88,44,45,189,29.9,88.35,29.9,6.83,20.51,29.9

53,13:00-13:15,0,0,75,191.01,70.15,0,271.89,1.29,26.99,14.46,64.06,14.82,14.46,23.08,23.08,8.65,23.08,52.89,8.65,0,0.96,0.62,26.99,1.35,0,14,6.67,6.83,7,151.92,14,81,228.72,45.74,87,88,45,43,189,29.9,88.35,29.9,6.83,20.51,29.9

54,13:15-13:30,0,0,75,159.63,70.15,0,271.89,1.29,26.99,14.31,59.46,14.66,14.31,23.08,23.08,8.65,23.08,52.89,8.65,0,0.96,0.62,26.99,1.35,0,14,6.67,6.83,7,149.33,14,81,228.95,45.79,87,88,44,43,189,29.9,88.35,29.9,6.83,20.51,29.9

55,13:30-13:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,14.14,59.46,14.5,14.14,23.08,23.08,8.65,23.08,52.89,8.65,0,0.96,0,26.99,1.35,0,14,6.67,6.83,7,145.74,14,81,231.67,46.33,80,88,43,40,189,29.9,88.35,29.9,6.83,20.51,29.9

56,13:45-14:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,13.86,59.46,14.2,13.86,23.08,23.08,8.65,23.08,52.89,8.65,0,0.96,0,26.99,1.35,0,14,6.67,6.83,7,141.73,14,81,230.83,46.17,78,87,42,39,189,29.9,88.35,29.9,6.83,20.51,29.9

57,14:00-14:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,13.55,59.46,13.9,13.55,23.08,23.08,8.65,23.08,52.89,8.65,0,0.96,0.77,26.99,1.39,0,14,6.67,6.83,7,137.04,14,81,230,46,77,83,41,38,189,29.9,88.35,29.9,6.83,20.51,29.9

58,14:15-14:30,0,0,75,130.78,70.15,0,271.89,1.29,26.99,13.12,59.46,13.45,13.12,23.08,23.08,8.65,23.08,81.74,8.65,0,0.96,0.77,26.99,1.39,0,14,6.67,6.83,7,131.68,14,81,229.17,45.83,73,79,40,37,189,29.9,88.35,29.9,6.83,20.51,29.9

59,14:30-14:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,12.64,59.46,12.96,12.64,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.77,26.99,1.39,0,14,6.67,6.83,7,125.53,14,79,228.79,45.76,73,77,38,37,186,29.9,87.91,29.9,6.83,20.51,29.9

60,14:45-15:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,12.12,59.46,12.42,12.12,23.08,23.08,8.65,23.08,100.18,8.65,0,0.96,0.77,26.99,1.39,0,14,6.67,6.83,7,118.54,14,78,225.92,45.18,68,73,37,34,182,29.9,85.65,29.9,6.83,20.51,29.9

61,15:00-15:15,0,0,75,130.78,70.15,0,271.89,1.29,26.99,11.46,59.46,11.75,11.46,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0.77,26.99,1.39,0,14,6.67,6.83,7,110.57,14,63,215.65,43.13,67,70,35,33,147,29.9,82.02,29.9,6.83,20.51,29.9

62,15:15-15:30,0,0,75,130.78,70.15,0,271.89,1.29,26.99,10.74,59.46,11.01,10.74,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0.77,26.99,1.39,0,14,6.67,6.83,7,101.67,14,58,203.39,40.68,63,65,33,32,137,29.9,77.61,29.9,6.83,20.51,29.9

63,15:30-15:45,0,0,75,130.78,70.15,0,271.89,1.29,26.99,9.93,59.46,10.18,9.93,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0,26.99,1.39,0,14,6.67,6.83,7,91.98,14,52,188.34,37.67,57,57,30,28,123,27,68.79,31.35,6.83,20.51,31.35

64,15:45-16:00,0,0,75,130.78,70.15,0,271.89,1.29,26.99,9.02,59.46,9.25,9.02,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0,26.99,1.39,0,14,6.67,6.83,7.2,81.44,14,46,171.83,34.37,49,53,27,25,109,19,63.38,32.7,6.83,20.51,32.71

65,16:00-16:15,0,0,75,200.84,66,0,271.89,1.29,26.99,8.02,62.19,8.22,8.02,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0.85,26.99,1.39,0,14,6.67,6.83,7.4,70.21,14,40,152.24,30.45,33,46,24,17,95,11,57.15,33,6.83,20.51,33

66,16:15-16:30,0,0,75,229.69,66,0,271.89,1.29,26.99,6.95,59.46,7.13,6.95,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0.85,26.99,1.39,0,14,6.67,6.83,7.4,58.51,14,34,132.39,26.48,27,39,21,13,81,5,50.08,33,6.83,20.51,33

67,16:30-16:45,0,0,75,261.07,66,0,271.89,1.29,26.99,5.77,74.55,5.91,5.77,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0.78,26.99,1.39,0,14,6.67,6.83,9.6,46.44,14,21,112.34,22.47,20,33,17,10,49,1,42.61,33,6.83,20.51,33

68,16:45-17:00,0,0,75,261.07,74.49,0,271.89,1.29,26.99,4.53,86.74,4.64,4.53,23.08,23.08,8.65,23.08,100.18,8.65,0,1,0.78,26.99,1.39,0,14,6.67,6.83,9.4,34.16,14,16,92.07,18.42,15,25,12,7,39,0,34.92,33,6.83,20.51,33

69,17:00-17:15,0,0,75,261.07,82.97,0,271.89,1.29,26.99,3.14,86.74,3.22,3.14,33.66,33.66,8.65,33.66,100.18,8.65,0,1,0.78,26.99,1.35,0,14,6.67,6.83,8.8,22.79,14,12,73.58,14.72,10,17,7,5,28,0,26.31,24.73,6.83,20.51,19.13

70,17:15-17:30,0,0,75,261.07,115.03,0,271.89,1.29,26.99,2.01,86.74,2.06,2.01,33.66,33.66,8.65,33.66,100.18,8.65,0,1,0.78,26.99,1.35,0,14,6.67,6.83,8,13.82,14,9,55.07,11.02,6,12,5,3,21,0,18.64,15.02,6.83,20.51,10.76

71,17:30-17:45,0,0,75,261.07,115.03,0,271.89,1.29,24.67,1.13,86.74,1.16,1.13,33.66,33.66,8.65,33.66,100.18,8.65,0,1,0,24.67,1.35,0,14,6.67,6.83,12.21,7.61,14,4,29.98,6,1,9,3,0,11,0,11.97,7.79,6.83,20.51,0

72,17:45-18:00,0,0,75,261.07,115.03,0,271.89,1.29,32,0.51,86.74,0.52,0.51,33.66,33.66,8.65,33.66,100.18,8.65,0,1,0,13.75,1.35,0,14,6.67,6.83,11.81,2.84,14,3,1.83,0.37,0,8,2,0,7,0,5.32,2.67,6.83,20.51,0

73,18:00-18:15,0,200,75,261.07,115.03,50,271.89,1.29,32,0.12,86.74,0.13,0.12,36.54,36.54,8.65,43.27,100.18,8.65,26.24,1,0.78,0,1.35,0,14,6.67,6.83,11.81,0,14,1,1.83,0.37,0,5,1,0,2,0,1.33,0,6.83,20.51,0

74,18:15-18:30,0,200,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,36.54,36.54,8.65,43.27,100.18,8.65,26.24,1,0.78,0,1.35,0,14,6.67,6.83,11.61,0,14,0,1.83,0.37,0,2,1,0,0,0,0,0,6.83,20.51,0

75,18:30-18:45,50,200,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,36.54,36.54,8.65,43.27,100.18,8.65,26.24,1,0.78,0,1.35,0,14,6.67,6.83,11.61,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

76,18:45-19:00,50,200,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,36.54,36.54,8.65,43.27,100.18,8.65,26.24,1,0.78,0,1.35,0,14,6.67,6.83,11.41,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

77,19:00-19:15,50,200,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,36.54,36.54,8.65,43.27,100.18,8.65,26.24,0.96,0.78,0,1.35,0,14,6.67,6.83,11.41,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

78,19:15-19:30,50,200,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,36.54,36.54,8.65,43.27,100.18,8.65,26.24,0.96,0.78,0,1.35,0,14,6.67,6.83,11.41,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

79,19:30-19:45,50,200,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,36.54,36.54,8.65,43.27,100.18,8.65,26.24,0.96,0,7.97,1.35,0,14,6.67,6.83,11.21,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

80,19:45-20:00,50,200,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,36.54,36.54,8.65,43.27,100.18,8.65,25.73,0.96,0,16.99,1.35,0,14,6.67,6.83,11,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

81,20:00-20:15,50,150,75,261.07,115.03,50,271.89,1.29,32,0,86.74,0,0,34.62,34.62,8.65,34.62,100.18,8.65,25.73,0.96,0.7,25.35,1.3,0,14,6.67,6.83,10.8,0,14,0,0,0,0,0,0,0,0,0,0,0,6.83,20.51,0

