Time,Block,NR/2024/19978/A/23687,NR/2024/20090/A/23256,NR/2024/20141/A/23338,NR/2024/20050/A/23661,NR/2024/20540/A/23108,NR/2024/20142/A/23337,NR/2024/19432/A/23658,NR/2024/19791/A/23688,NR/2024/20554/A/23193,NR/2024/20552/A/23237,NR/2024/19355/A/23611,NR/2024/20597/A/23656,NR/2024/20041/A/23666,NR/2024/19699/A/23655,NR/2024/19640/A/23773,NR/2024/19918/A/23684,NR/2024/21043/C,NR/2024/19760/A/23307,NR/2024/19642/A/23774,NR/2024/20599/A/23303,NR/2024/21018/C,NR/2024/20130/A/23351,NR/2024/20513/A/23341,NR/2024/20777/A/23301,NR/2024/20537/A/23609,NR/2024/19475/A/23603,NR/2024/20048/A/23663,NR/2024/19683/A/23251,NR/2024/20557/A/23649,NR/2024/20558/A/23646,NR/2024/20524/A/23617,NR/2024/20560/A/23645,NR/2024/20037/A/23305,NR/2024/20212/A/23335,NR/2024/19588/A/23317,NR/2024/21007/C,NR/2024/20572/A/23644,NR/2024/19757/A/23653,NR/2024/20211/A/23332,NR/2024/20515/A/23340,NR/2024/19988/A/23306,NR/2024/20553/A/23236,NR/2024/19919/A/23682,NR/2024/20516/A/23339,NR/2024/19779/A/23223,NR/2024/19966/A/23325,NR/2024/20109/A/23610,NR/2024/19637/A/23349,NR/2024/20598/A/23302,NR/2024/21006/C,NR/2024/20144/A/23336,Total
5,01:00-01:15,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,0.000000,48.600000,1.590000,0.880000,96.470000,48.240000,308.700000,0.970000,0.580000,0.000000,241.180000,0.000000,0.000000,0,0.880000,2098.33

6,01:15-01:30,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,0.000000,48.600000,1.590000,0.880000,96.470000,48.240000,308.700000,0.970000,0.580000,0.000000,241.180000,0.000000,0.000000,0,0.880000,2098.33

7,01:30-01:45,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,0.000000,48.600000,1.590000,0.880000,96.470000,48.240000,308.700000,0.970000,0.580000,0.000000,241.180000,0.000000,0.000000,0,0.880000,2098.33

8,01:45-02:00,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,48.240000,28.940000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,19.290000,32.890000,72.350000,0.610000,66.750000,168.580000,0.000000,48.600000,1.590000,0.880000,96.470000,48.240000,308.700000,0.970000,0.580000,0.000000,241.180000,0.000000,0.000000,0,0.880000,2098.33

9,02:00-02:15,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.530000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1986.46

10,02:15-02:30,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.530000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1986.46

11,02:30-02:45,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.530000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1986.46

12,02:45-03:00,84.100000,1.930000,0.350000,108.530000,7.720000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,1.930000,0.480000,0.680000,0.000000,0.000000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.530000,0.000000,241.180000,0.000000,0.000000,0,0.880000,1986.46

13,03:00-03:15,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

14,03:15-03:30,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

15,03:30-03:45,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

16,03:45-04:00,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

17,04:00-04:15,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

18,04:15-04:30,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

19,04:30-04:45,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

20,04:45-05:00,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,308.700000,0.970000,0.480000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1986.39

21,05:00-05:15,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1751.06

22,05:15-05:30,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1751.06

23,05:30-05:45,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1751.06

24,05:45-06:00,84.100000,1.930000,0.350000,108.530000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,13.510000,82.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,36.180000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1751.06

25,06:00-06:15,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1510.84

26,06:15-06:30,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0,0.880000,1510.84

27,06:30-06:45,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0.54,0.880000,1511.38

28,06:45-07:00,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.530000,0.000000,183.290000,0.000000,0.000000,0.96,0.880000,1511.8

29,07:00-07:15,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.680000,0.000000,183.290000,0.000000,0.000000,1.55,0.880000,1512.54

30,07:15-07:30,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.680000,0.000000,183.290000,0.000000,0.000000,1.33,0.880000,1512.32

31,07:30-07:45,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.680000,0.000000,183.290000,0.000000,0.000000,1.68,0.880000,1512.67

32,07:45:08:00,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,48.600000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.680000,0.000000,183.290000,0.000000,0.000000,1.39,0.880000,1512.38

33,08:00-08:15,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.960000,0.000000,183.290000,0.000000,0.000000,3.73,0.880000,1709.27

34,08:15-08:30,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,73.320000,0.970000,0.960000,0.000000,183.290000,0.000000,0.000000,4.22,0.880000,1709.76

35,08:30-08:45,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,0.000000,183.290000,0.000000,0.000000,4.32,0.880000,1758.08

36,08:45:09:00,84.100000,1.930000,0.350000,0.000000,6.750000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,0.000000,48.240000,90.680000,0.000000,0.000000,0.000000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,0.000000,183.290000,0.000000,0.000000,4.39,0.880000,1758.15

37,09:00:09:15,84.100000,1.930000,0.350000,0.000000,9.650000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,0.000000,3.27,0.880000,1919.12

38,09:15-09:30,84.100000,1.930000,0.350000,0.000000,9.650000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,0.000000,1.71,0.880000,1917.56

39,09:30-09:45,84.100000,1.930000,0.350000,0.000000,9.650000,0.520000,24.120000,64.710000,0.000000,0.000000,96.470000,0.000000,48.240000,48.240000,90.680000,0.000000,0.000000,48.240000,11.720000,0.000000,2.890000,0.480000,0.680000,0.000000,57.880000,192.940000,0.000000,1.930000,10.960000,32.890000,0.000000,32.890000,72.350000,0.610000,66.750000,168.580000,32.890000,242.870000,1.590000,0.880000,96.470000,0.000000,121.540000,0.970000,0.960000,38.590000,183.290000,24.120000,0.000000,1.82,0.880000,1917.67

