Column1,Block,NR/2024/22898/A/35775,NR/2024/22899/A/35774,NR/2024/23003/C,NR/2024/22995/C,NR/2024/22839/A/35990,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/4802,GNA/NR/2024/09/01/8090,GNA/NR/2024/09/01/7196,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/6566,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/01/3451,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/9821,GNA/NR/2024/09/01/7908,NR/30092023/31122025/SH-07,NR/2024/22872/A/35762,NR/2024/22874/A/35995,NR/2024/21658/A/35726,NR/2024/22993/C,NR/2024/22888/A/36002,NR/2024/22860/A/36008,NR/2024/22835/A/36035,NR/2024/22996/C,NR/2024/22820/A/35720,NR/2024/22997/C,NR/2024/22832/A/35993,NR/2024/22833/A/35992,NR/2024/22754/A/35963,NR/2024/22848/A/36010,NR/2024/22734/A/35979,NR/2024/22837/A/35991,NR/2024/22816/A/35735,NR/2024/22802/A/35994,NR/2024/22753/A/35962,Total
23,05:30-05:45,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.58,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1597.8116000000002

24,05:45-06:00,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.58,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,59.89,84.38,96.79,37.39,0,0,179.67,1596.8416000000004

25,06:00-06:15,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

26,06:15-06:30,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

27,06:30-06:45,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

28,06:45-07:00,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

29,07:00-07:15,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

30,07:15-07:30,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

31,07:30-07:45,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

32,07:45-08:00,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,7.74,48.4,0.68,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1357.3816000000004

33,08:00-08:15,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.97,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1358.6416000000002

34,08:15-08:30,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.97,241.98,25.17,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1358.6416000000002

35,08:30-08:45,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,8.71,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1358.6216000000002

36,08:45-09:00,0,0,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,14.41,48.4,2.42,0,21.78,26.8708,9.68,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1359.5916000000004

37,09:00-09:15,42.59,10.65,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,26.8708,9.68,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1410.2516000000003

38,09:15-09:30,42.59,10.65,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,26.8708,11.61,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1412.1816000000001

39,09:30-09:45,42.59,10.65,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,26.8708,11.61,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1412.1816000000001

40,09:45-10:00,42.59,10.65,0,0,7.26,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,11.83,48.4,2.42,0,21.78,26.8708,11.61,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1412.1816000000001

41,10:00-10:15,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,11.61,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1412.1816000000001

42,10:15-10:30,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1413.1516000000004

43,10:30-10:45,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1413.1516000000004

44,10:45-11:00,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1413.1516000000004

45,11:00-11:15,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1413.1516000000004

46,11:15-11:30,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1413.1516000000004

47,11:30-11:45,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1413.1516000000004

48,11:45-12:00,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,11.83,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1413.1516000000004

49,12:00-12:15,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

50,12:15-12:30,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

51,12:30-12:45,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

52,12:45-13:00,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

53,13:00-13:15,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

54,13:15-13:30,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

55,13:30-13:45,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

56,13:45-14:00,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,0,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1416.8516000000002

57,14:00-14:15,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1430.4016000000004

58,14:15-14:30,42.59,10.65,0,0,7.26,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1430.4016000000004

59,14:30-14:45,42.59,10.65,0,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.6116000000004

60,14:45-15:00,42.59,10.65,0,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.6116000000004

61,15:00-15:15,28.55,10.65,14.03,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.6016000000002

62,15:15-15:30,32.23,10.65,10.36,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.6116000000004

63,15:30-15:45,36.1,10.65,6.48,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.6016000000002

64,15:45-16:00,40.07,10.65,2.52,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.97,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.6116000000004

65,16:00-16:15,42.59,10.65,0,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.87,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.5116

66,16:15-16:30,41.81,10.65,0.77,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.87,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.5016000000003

67,16:30-16:45,35.62,10.65,6.97,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.87,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1435.5116

68,16:45-17:00,28.65,10.65,8.61,0,12.47,26.8708,0,12.47,48.4,96.79,24.74,24.2,15.53,0,2.42,0,21.78,26.8708,12.58,48.4,0.87,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,48.4,96.79,0,1430.1816000000001

69,17:00-17:15,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,26.8708,12.58,48.4,0.82,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1382.2216000000005

70,17:15-17:30,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,26.8708,12.58,48.4,0.82,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1382.2216000000005

71,17:30-17:45,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,26.8708,12.58,48.4,0.82,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1382.2216000000005

72,17:45-18:00,0,0,0,0,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,26.8708,12.58,48.4,0.82,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1382.2216000000005

73,18:00-18:15,0,0,0,0.34,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,26.8708,11.61,48.4,0.82,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1381.5916000000004

74,18:15-18:30,0,0,0,0.12,12.47,26.8708,96.79,12.47,48.4,96.79,24.74,24.2,15.53,48.4,2.42,0,21.78,26.8708,11.61,48.4,0.82,241.98,25.15,13.55,90.98,28.07,4.84,164.78,37.39,37.39,0,84.38,96.79,37.39,0,0,0,1381.3716000000002

