Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/28864/C,NR/2025/28865/C,NR/2025/28866/C,NR/2025/28868/C,NR/2025/27356/A/80176,NR/2025/28932/C,NR/2025/28922/C,NR/2025/28787/C,NR/2025/28933/C,NR/2025/28902/C,NR/2025/28848/C,NR/2025/28929/C,NR/2025/27622/A/80090,NR/2025/28931/C,NR/2025/28778/C,NR/2025/28928/C,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/9257,GNA/NR/2025/06/01/4973,NR/30092023/31122025/SH-07,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/5280,GNA/NR/2025/06/15/6656,NR/2025/26563/A/80696,NR/2025/27242/A/80295,NR/2025/26952/A/80144,NR/2025/27728/A/80561,NR/2025/26785/A/80600,NR/2025/28953/C,NR/2025/27499/A/80555,NR/2025/28913/C,NR/2025/28139/A/80170,NR/2025/28141/A/80174,NR/2025/26975/A/80577,NR/2025/28914/C,NR/2025/28965/C,NR/2025/28719/A/80476,NR/2025/27088/A/80593,NR/2025/27782/A/80559,NR/2025/27726/A/80562,NR/2025/28916/C,GNA/NR/2025/06/01/7786,NR/2025/26085/A/80115,NR/2025/27168/A/80569,NR/2025/26777/A/80186,NR/2025/26445/A/80599,NR/2025/26889/A/80556,NR/2025/26860/A/80494,NR/2025/28140/A/80172,NR/2025/27162/A/80576,NR/2025/27167/A/80568,NR/2025/27727/A/80560,NR/2025/27281/A/80644,NR/2025/27725/A/80563,NR/2025/26569/A/80694,NR/2025/28911/C,NR/2025/27157/A/80188,NR/2025/26561/A/80697,NR/2025/27462/A/80091,NR/2025/28912/C,NR/2025/28917/C,NR/2025/26564/A/80695,NR/2025/26861/A/80553,NR/2025/26570/A/80693,NR/2025/28138/A/80168,NR/30092023/26122029/SH-06,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/15/8348,GNA/NR/2025/06/01/4444,GNA/NR/2025/06/01/7782,GNA/NR/2025/06/01/7663,Total
3,00:30-00:45,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.54,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.5600000000013

4,00:45-01:00,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.54,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.5600000000013

5,01:00-01:15,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.17,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.1900000000005

6,01:15-01:30,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.17,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.1900000000005

7,01:30-01:45,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.17,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.1900000000005

8,01:45-02:00,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,15.17,29.16,24.16,48.32,32,24.16,11.91,96.63,115.96,48.32,0,24.16,0,48.32,8.7,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,5.8,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,193.26,0,38.65,32,62.81,24.16,96.63,0,11.9,48.32,3013.1900000000005

9,02:00-02:15,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.89,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,48.32,0,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,96.63,193.26,11.9,48.32,2901.7300000000005

10,02:15-02:30,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.89,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,48.32,0,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,96.63,193.26,11.9,48.32,2901.7300000000005

11,02:30-02:45,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.89,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,37.61,0,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,96.63,193.26,11.9,48.32,2891.0200000000004

12,02:45-03:00,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.89,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,39.59,0,0,28.99,135.28,27.06,0,170.07,10.63,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,96.63,193.26,11.9,48.32,2893

13,03:00-03:15,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.61,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2565.0700000000006

14,03:15-03:30,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.61,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2565.0700000000006

15,03:30-03:45,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.61,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2565.0700000000006

16,03:45-04:00,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.61,29.16,24.16,48.32,32,24.16,11.91,0,115.96,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,115.96,0,217.32,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2565.0700000000006

17,04:00-04:15,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.24,29.16,24.16,48.32,32,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2115.4600000000005

18,04:15-04:30,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.24,29.16,24.16,48.32,32,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,38.65,32,62.81,24.16,0,193.26,11.9,48.32,2115.4600000000005

19,04:30-04:45,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.24,29.16,24.16,48.32,14.66,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,38.65,14.66,62.81,24.16,0,193.26,11.9,48.32,2080.7800000000007

20,04:45-05:00,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,14.24,29.16,24.16,48.32,14.66,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,28.99,135.28,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.53,24.16,193.26,96.63,0,106.29,33.82,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,38.65,14.66,62.81,24.16,0,193.26,11.9,48.32,2080.7800000000007

21,05:00-05:15,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.88,29.16,24.16,48.32,14.66,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,14.66,62.81,24.16,0,193.26,11.9,48.32,1843.7800000000004

22,05:15-05:30,0,1.93,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.88,29.16,24.16,48.32,14.66,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,10.63,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,14.66,62.81,24.16,0,193.26,11.9,48.32,1843.7800000000004

23,05:30-05:45,0,2.9,0,0,0,0,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.88,29.16,24.16,48.32,14.66,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,14.66,62.81,24.16,0,193.26,11.9,48.32,1842.8200000000004

24,05:45-06:00,0,2.9,0,0,0,1,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.88,29.16,24.16,48.32,14.66,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.63,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,14.66,62.81,24.16,0,193.26,11.9,48.32,1843.8200000000004

25,06:00-06:15,0.57,2.9,0,0,0,3,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.5,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1855.6600000000003

26,06:15-06:30,3.19,2.9,0,0,0,7,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.5,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1862.2800000000002

27,06:30-06:45,5.54,2.9,0,0,0,11,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.5,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1868.6300000000006

28,06:45-07:00,7.68,1.93,0,0,0,16,98.71,0,0,0,146.88,0,0,0,0,0,28.99,13.5,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.68,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1874.8000000000002

29,07:00-07:15,11.4,1.93,0,0,0,20,98.71,0,0,0,0,0,0,0,0,0,28.99,13.23,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1735.5600000000004

30,07:15-07:30,15.11,1.93,0,0,0,25,98.71,0,0,0,0,0,0,0,0,0,28.99,13.23,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1744.2700000000004

31,07:30-07:45,18.83,0.97,0,0,0,25,98.71,0,0,0,0,0,0,0,0,0,28.99,13.23,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1747.0300000000004

32,07:45-08:00,22.55,0.97,0,0,0,28,98.71,0,0,0,0,0,0,0,0,0,28.99,13.23,29.16,24.16,48.32,19.46,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.87,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,19.46,62.81,24.16,0,193.26,11.9,48.32,1753.7500000000005

33,08:00-08:15,14,0.97,0,0,0,42,54.29,0,0,0,0,0,0,1.86,0,0,28.99,13.23,17.39,24.16,48.32,21.39,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.97,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,21.39,62.81,24.16,0,193.26,11.9,48.32,1708.8300000000004

34,08:15-08:30,14.47,0.97,0,0,0,53,54.29,0,0,0,0,0,0,2.15,0,0,28.99,13.23,17.39,24.16,48.32,21.39,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.97,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,21.39,62.81,24.16,0,193.26,11.9,48.32,1720.5900000000006

35,08:30-08:45,14.94,0.97,0,0,0,53,54.29,0,0,0,96.63,0,0,2.3,0,0,28.99,13.23,17.39,24.16,48.32,21.39,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.97,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,21.39,62.81,24.16,0,193.26,11.9,48.32,1817.8400000000004

36,08:45-09:00,15.41,0.97,0,0,0,56,54.29,0,0,0,96.63,0,0,2.13,0,0,28.99,13.23,17.39,24.16,48.32,21.39,24.16,11.91,0,0,48.32,0,24.16,0,0,0,0,0,0,5.8,0,0,8.7,192.64,8.05,24.16,0,48.32,0.97,24.16,193.26,96.63,0,106.29,0,55.99,24.16,24.16,24.88,8.05,0,0,0,115.96,9.66,0,0,0,0,0,0,21.39,62.81,24.16,0,193.26,11.9,48.32,1821.1400000000006

