Column1,Block,GNA/NR/2025/06/01/2569,GNA/NR/2025/06/12/8022,GNA/NR/2025/06/01/7762,GNA/NR/2025/06/01/9719,GNA/NR/2025/06/12/3458,GNA/NR/2025/06/01/4973,GNA/NR/2025/06/01/2868,GNA/NR/2025/06/01/7786,NR/30092023/31122025/SH-07,GNA/NR/2025/06/12/2531,GNA/NR/2025/06/01/7663,GNARE/NR/2024/12/20/3668,NR/2025/27356/A/79487,NR/2025/27622/A/79384,NR/2025/28753/C,GNA/NR/2025/06/01/4444,NR/30092023/26122029/SH-06,NR/2025/28715/C,NR/2025/28644/C,GNA/NR/2025/06/01/9257,NR/2025/28588/C,NR/2025/28630/C,NR/2025/28589/C,NR/2025/28520/C,NR/2025/28646/C,NR/2025/28470/C,NR/2025/28648/C,NR/2025/28474/C,GNA/NR/2025/06/01/5280,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/06/01/7782,NR/2025/27168/A/79772,NR/2025/28637/C,NR/2025/27727/A/79782,NR/2025/28636/C,NR/2025/28606/C,NR/2025/26975/A/79793,NR/2025/28138/A/79483,NR/2025/28605/C,NR/2025/26952/A/79346,NR/2025/26785/A/79389,NR/2025/26777/A/79438,NR/2025/28595/C,NR/2025/26860/A/79715,NR/2025/28604/C,NR/2025/27462/A/79385,NR/2025/27242/A/79748,NR/2025/28141/A/79486,NR/2025/28540/C,NR/2025/27162/A/79790,NR/2025/26564/A/79729,NR/2025/26085/A/79365,NR/2025/27782/A/79781,NR/2025/27281/A/79874,NR/2025/27157/A/79445,NR/2025/28548/C,NR/2025/28620/C,NR/2025/26861/A/79743,NR/2025/28549/C,NR/2025/28633/C,NR/2025/28587/C,NR/2025/28551/C,NR/2025/27724/A/79450,NR/2025/26561/A/79727,NR/2025/26445/A/79870,NR/2025/28594/C,NR/2025/28616/C,NR/2025/27499/A/79768,NR/2025/26563/A/79728,NR/2025/28139/A/79484,NR/2025/28611/C,NR/2025/28140/A/79485,NR/2025/26889/A/79769,NR/2025/26569/A/79730,NR/2025/27167/A/79767,NR/2025/27728/A/79783,NR/2025/27088/A/79866,NR/2025/26570/A/79731,NR/2025/27726/A/79784,NR/2025/28617/C,NR/2025/27725/A/79786,Total
3,00:30-00:45,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.98,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,24.74,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3096.77

4,00:45-01:00,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.98,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,24.74,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3096.77

5,01:00-01:15,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,16.43,24.16,0,32.85,0,0,19.33,0,0,0,11.91,14.61,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,38.04,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3061.3799999999997

6,01:15-01:30,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.61,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,38.04,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3109.7

7,01:30-01:45,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,16.43,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.61,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,38.04,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3109.7

8,01:45-02:00,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,0,29.5,0,0,24.16,0,32.85,0,0,19.33,0,48.32,0,11.91,14.61,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.68,8.78,24.88,217.32,0,102.36,193.26,0,48.32,0,0,10.63,144.94,63.58,0,0,8.7,144.94,28.99,38.04,33.82,5.8,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3093.27

9,02:00-02:15,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,193.26,29.5,0,0,24.16,0,29.67,0,0,0,0,0,0,11.91,14.24,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.63,8.78,24.88,217.32,0,102.36,0,0,48.32,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3007.5199999999995

10,02:15-02:30,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,193.26,29.5,0,0,24.16,0,29.67,0,0,0,0,0,0,11.91,14.24,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.63,8.78,24.88,217.32,0,102.36,0,0,48.32,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3007.5199999999995

11,02:30-02:45,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,193.26,29.5,0,0,24.16,0,29.67,0,0,0,0,0,0,11.91,14.24,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.63,8.78,24.88,217.32,0,102.36,0,0,48.32,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3007.5199999999995

12,02:45-03:00,62.81,170.07,24.16,24.16,37.69,48.32,29.16,48.32,29.5,60.88,48.32,0,0,0,0,193.26,29.5,0,16.43,24.16,0,29.67,0,0,19.33,0,48.32,0,11.91,14.24,11.9,24.16,94.21,26.35,30.82,0,27.06,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.63,8.78,24.88,217.32,0,102.36,0,0,48.32,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,3091.6

13,03:00-03:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,23.64,0,48.32,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.88,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,217.32,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,2508.7799999999993

14,03:15-03:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,23.64,0,48.32,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.88,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,217.32,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,2508.7799999999993

15,03:30-03:45,62.81,0,24.16,24.16,0,48.32,29.16,16.25,30,0,16.25,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.88,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,217.32,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,2450.9999999999995

16,03:45-04:00,62.81,0,24.16,24.16,0,48.32,29.16,16.25,30,0,16.25,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.88,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,217.32,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,144.94,28.99,38.04,33.82,0,144.94,24.16,26.35,192.64,0,26.35,28.99,8.78,2450.9999999999995

17,04:00-04:15,62.81,0,24.16,24.16,0,48.32,29.16,16.25,30,0,16.25,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.5,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,28.99,38.04,33.82,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1943.4199999999996

18,04:15-04:30,62.81,0,24.16,24.16,0,48.32,29.16,16.25,30,0,16.25,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.5,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,28.99,38.04,33.82,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1943.4199999999996

19,04:30-04:45,62.81,0,24.16,24.16,0,48.32,29.16,16.25,30,0,16.25,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.5,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,28.99,38.04,33.82,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1943.4199999999996

20,04:45-05:00,62.81,0,24.16,24.16,0,48.32,29.16,16.25,30,0,16.25,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.5,11.9,24.16,0,26.35,0,0,5.8,38.65,0,0,0,193.26,0,106.29,0,9.66,48.32,135.28,0,55.99,0,0.53,8.78,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,28.99,38.04,33.82,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1943.4199999999996

21,05:00-05:15,62.81,0,24.16,24.16,0,48.32,29.16,19.73,30,0,19.73,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.63,8.78,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,0,38.04,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1713.4699999999998

22,05:15-05:30,62.81,0,24.16,24.16,0,48.32,29.16,34.05,30,0,34.05,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.63,8.78,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,0,38.04,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1742.1099999999997

23,05:30-05:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,23.64,0,48.32,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.63,8.78,24.88,0,0,102.36,0,0,0,0,0,10.63,144.94,63.58,0,0,0,0,0,38.04,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1764.29

24,05:45-06:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,23.64,0,48.32,0,0,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.63,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,38.04,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1763.3199999999997

25,06:00-06:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,0.3,1,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.68,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,21.18,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1750.6699999999996

26,06:15-06:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,0.3,6,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.68,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,21.18,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1755.6699999999996

27,06:30-06:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,6.35,11,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.68,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,7.16,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1752.6999999999998

28,06:45-07:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,9.36,18,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.23,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.68,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,7.16,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1762.7099999999996

29,07:00-07:15,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,13.25,28,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.04,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.87,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1769.4399999999996

30,07:15-07:30,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,18.18,42,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.04,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.87,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1788.3699999999994

31,07:30-07:45,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,24.66,53,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.04,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.87,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1805.8499999999995

32,07:45-08:00,62.81,0,24.16,24.16,0,48.32,29.16,48.32,26.5,0,48.32,30.84,67,0,0,193.26,30,0,0,24.16,0,0,0,0,0,0,0,0,11.91,13.04,11.9,24.16,0,26.35,0,0,5.8,0,0,0,0,193.26,0,106.29,0,9.66,48.32,0,0,55.99,0,0.87,8.78,24.88,0,0,102.36,0,0,0,0,0,9.66,144.94,63.58,0,0,0,0,0,0,0,0,0,24.16,26.35,192.64,0,26.35,28.99,8.78,1826.0299999999997

