Column1,Block,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/2236,GNA/NR/2025/07/01/1192,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/8154,NR/30092023/26122029/SH-06,NR/2025/30575/C,NR/2025/30543/C,GNA/NR/2025/07/01/2997,NR/30092023/31122025/SH-07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/30541/C,NR/2025/30433/C,NR/2025/30509/C,NR/2025/30542/C,NR/2025/29353/A/85004,NR/2025/30101/A/85360,NR/2025/30563/C,NR/2025/30485/C,NR/2025/27964/A/85442,NR/2025/30564/C,NR/2025/27963/A/85444,NR/2025/30082/A/85353,NR/2025/30543/C/Alternate/1,NR/2025/29915/A/85065,NR/2025/28725/A/85434,NR/2025/30452/C,NR/2025/29440/A/84966,NR/2025/29352/A/85006,NR/2025/30561/C,NR/2025/30511/C,NR/2025/30562/C,NR/2025/30512/C,NR/2025/30547/C,NR/2025/27962/A/85447,NR/2025/30121/A/84910,NR/2025/30513/C,NR/2025/30545/C,NR/2025/30217/A/85337,NR/2025/29167/A/85067,NR/2025/30536/C,NR/2025/29439/A/85021,NR/2025/30105/A/85338,NR/2025/27970/A/85437,NR/2025/30191/A/84908,NR/2025/30067/A/85490,NR/2025/27968/A/85440,NR/2025/30424/C,NR/2025/30565/C,NR/2025/27978/A/85364,NR/2025/29986/A/85296,NR/2025/30086/A/85339,NR/2025/30084/A/85340,GNARE/NR/2024/12/20/3668,NR/2025/26975/A/85350,NR/2025/29910/A/85344,NR/2025/29992/A/85251,NR/2025/29628/A/85347,NR/2025/30083/A/85341,NR/2025/30334/A/85129,NR/2025/29985/A/85294,Total
3,00:30-00:45,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.91,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2469.9900000000007

4,00:45-01:00,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.91,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2469.9900000000007

5,01:00-01:15,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.77,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2469.8500000000004

6,01:15-01:30,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.77,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2469.8500000000004

7,01:30-01:45,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.77,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2469.8500000000004

8,01:45-02:00,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.77,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,25.1,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2469.8500000000004

9,02:00-02:15,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,15.02,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.67,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2446.0400000000004

10,02:15-02:30,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,15.02,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.67,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2446.0400000000004

11,02:30-02:45,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,15.02,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.67,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2446.0400000000004

12,02:45-03:00,43.75,81.81,49.09,225.22,19.25,135.71,20.76,26.7,0,0,15.26,26.7,15.02,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,163.87,21.18,143.41,0,0.67,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,205.01,144.38,0,0,96.25,134.75,26.25,26.25,0,26.47,19.25,44.28,105.88,8.75,0,0,2446.0400000000004

13,03:00-03:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,14.92,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,0,144.38,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,2120.6800000000003

14,03:15-03:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,14.92,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,0,144.38,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,2120.6800000000003

15,03:30-03:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,14.92,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,0,144.38,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,2120.6800000000003

16,03:45-04:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,14.92,0,0,0,27.91,81.81,48.12,0,12.51,0,0,144.38,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,54.14,0,0,15.44,0,48.12,0,144.38,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,2120.6800000000003

17,04:00-04:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,14.74,0,0,0,27.91,81.81,48.12,0,12.51,0,0,0,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,1777.6000000000004

18,04:15-04:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,14.74,0,0,0,27.91,81.81,48.12,0,12.51,0,0,0,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,1777.6000000000004

19,04:30-04:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,0,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,1776.4900000000002

20,04:45-05:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,0,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,134.75,26.25,26.25,0,5.78,19.25,44.28,76.63,8.75,0,0,1776.4900000000002

21,05:00-05:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,99.48,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,0,48.12,64.38,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,0,5.78,16.59,44.28,76.63,8.75,0,0,1639.0700000000002

22,05:15-05:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,12.51,0,0,0,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,0,5.78,16.59,44.28,76.63,8.75,0,0,1639.0800000000004

23,05:30-05:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,0,5.78,16.59,44.28,76.63,8.75,0,0,1638.1200000000003

24,05:45-06:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.63,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,0.18,5.78,16.59,44.28,76.63,8.75,0,1,1639.3000000000002

25,06:00-06:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.82,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,1.08,5.78,16.59,44.28,76.63,8.75,0,3,1642.3899999999999

26,06:15-06:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.82,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,2.44,5.78,16.59,44.28,76.63,8.75,0,7,1647.75

27,06:30-06:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.82,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,4.52,5.78,16.59,44.28,76.63,8.75,0,11,1653.83

28,06:45-07:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.82,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,7.28,5.78,16.59,44.28,76.63,8.75,0,14,1659.5900000000001

29,07:00-07:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.87,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,11.08,5.78,16.59,44.28,76.63,8.75,0,25,1674.44

30,07:15-07:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.87,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,15.1,5.78,16.59,44.28,76.63,8.75,0,32,1685.46

31,07:30-07:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.87,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,21.26,5.78,16.59,44.28,76.63,8.75,0,42,1701.62

32,07:45-08:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,13.63,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.87,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,26.08,5.78,16.59,44.28,76.63,8.75,0,53,1717.44

33,08:00-08:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,17.32,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.96,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,31.15,5.78,16.59,44.28,76.63,8.75,3.62,46,1722.9100000000003

34,08:15-08:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,17.32,0,0,0,27.91,81.81,48.12,0,11.55,0,0,0,48.12,0,0,143.41,0,0.96,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,36.39,5.78,16.59,44.28,76.63,8.75,4.23,60,1742.7600000000002

35,08:30-08:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,17.32,0,0,0,27.91,81.81,48.12,0,13.48,0,0,0,48.12,0,0,143.41,0,0.96,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,41.37,5.78,16.59,44.28,76.63,8.75,4.83,74,1764.27

36,08:45-09:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.7,0,163.87,15.26,26.7,17.32,0,0,0,27.91,81.81,48.12,0,13.48,0,0,0,48.12,0,0,143.41,0,0.96,28.88,0,0,0,0,0,96.25,6.74,0,0,7.7,0,0,0,15.44,0,48.12,0,0,0,0,96.25,0,26.25,26.25,46.17,5.78,16.59,44.28,76.63,8.75,5.39,84,1779.6300000000003

37,09:00-09:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,50.54,5.78,0,0,0,0,5.88,95,1805.9

38,09:15-09:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,54.88,5.78,0,0,0,0,6.29,105,1820.65

39,09:30-09:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,58.69,5.78,0,0,0,0,6.58,137,1856.75

40,09:45-10:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,62.56,5.78,0,0,0,0,6.78,147,1870.82

41,10:00-10:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,65.99,5.78,0,0,0,0,6.8,158,1885.27

42,10:15-10:30,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,69.42,5.78,0,0,0,0,6.28,168,1898.18

43,10:30-10:45,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,72.18,5.78,0,0,0,0,5.26,175,1906.92

44,10:45-11:00,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,74.98,5.78,0,0,0,0,5.25,182,1916.71

45,11:00-11:15,43.75,81.81,0,225.22,19.25,135.71,20.76,26.8,0.96,163.87,15.26,26.8,0,16.59,44.28,96.25,27.91,81.81,0,15.44,13.48,0,37.19,0,0,0,0,0,48.12,0,28.88,14.58,0,43.75,0,48.12,0,0,143.41,96.25,0,0,76.63,0,0,0,0,0,0,48.12,7.7,0,0,0,0,77.3,5.78,0,0,0,0,5.25,189,1926.03

