Time,Block,NR/2024/18331/A/3340,NR/2024/18285/A/3328,NR/2023/18183/A/3341,NR/2024/18370/C,NR/2023/18204/A/3211,WR/2023/20914/A/3332,NR/2024/18367/C,NR/2023/18074/A/3202,WR/2023/20937/A/3339,NR/2024/18371/C,Total
15,03:30-03:45,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

16,03:45-04:00,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

17,04:00-04:15,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

18,04:15-04:30,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

19,04:30-04:45,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

20,04:45-05:00,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.380000,0.000000,0,15.74

21,05:00-05:15,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.430000,0.000000,0,15.79

22,05:15-05:30,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.430000,0.000000,0,15.79

23,05:30-05:45,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.430000,0.000000,0,15.79

24,05:45-06:00,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.430000,0.000000,0,15.79

25,06:00-06:15,0.000000,9.600000,158.480000,0,5.760000,0.000000,0,0.380000,0.000000,0,174.22

26,06:15-06:30,0.000000,9.600000,158.480000,0,5.760000,0.000000,0,0.380000,0.000000,0,174.22

27,06:30-06:45,0.000000,9.600000,158.480000,0,5.760000,0.000000,0,0.380000,0.000000,0,174.22

28,06:45-07:00,0.000000,9.600000,158.480000,0,5.760000,0.000000,0,0.380000,0.000000,0,174.22

29,07:00-07:15,0.000000,9.600000,158.480000,0,5.760000,0.000000,0,0.530000,0.000000,0,174.37

30,07:15-07:30,0.000000,9.600000,158.480000,0,5.760000,0.000000,0.16,0.530000,0.000000,0,174.53

31,07:30-07:45,0.000000,9.600000,158.480000,0,5.760000,0.000000,0.4,0.530000,0.000000,0,174.77

32,07:45:08:00,0.000000,9.600000,158.480000,0,5.760000,0.000000,0.71,0.530000,0.000000,0,175.08

33,08:00-08:15,0.000000,9.600000,158.480000,0,5.760000,0.000000,1.1,0.860000,0.000000,0,175.8

34,08:15-08:30,0.000000,9.600000,158.480000,0,5.760000,0.000000,1.53,0.860000,0.000000,0,176.23

35,08:30-08:45,0.000000,9.600000,158.480000,0,5.760000,0.000000,1.98,0.860000,0.000000,0,176.68

36,08:45:09:00,0.000000,9.600000,158.480000,0,5.760000,0.000000,2.44,0.860000,0.000000,0,177.14

37,09:00:09:15,158.480000,9.600000,0.000000,0,5.760000,0.000000,2.91,0.860000,0.000000,0,177.61

38,09:15-09:30,158.480000,9.600000,0.000000,0,5.760000,0.000000,3.35,0.860000,0.000000,0,178.05

39,09:30-09:45,158.480000,9.600000,0.000000,0,5.760000,0.000000,3.8,0.860000,0.000000,0,178.5

40,09:45-10:00,158.480000,9.600000,0.000000,0,5.760000,0.000000,4.23,0.860000,0.000000,0,178.93

41,10:00-10:15,158.480000,9.600000,0.000000,0,5.760000,0.000000,4.67,0.860000,0.000000,0,179.37

42,10:15-10:30,158.480000,9.600000,0.000000,0,5.760000,0.000000,5.05,0.860000,0.000000,0,179.75

43,10:30-10:45,158.480000,9.600000,0.000000,0,5.760000,0.000000,5.39,0.860000,0.000000,0,180.09

44,10:45-11:00,158.480000,9.600000,0.000000,0,5.760000,0.000000,5.71,0.860000,0.000000,0,180.41

45,11:00-11:15,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,5.81,0.860000,0.000000,5.76,190.11

46,11:15-11:30,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.1,0.860000,0.000000,5.76,190.4

47,11:30-11:45,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.14,0.860000,0.000000,5.76,190.44

48,11:45-12:00,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.25,0.860000,0.000000,5.76,190.55

49,12:00-12:15,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.34,0.860000,0.000000,5.76,190.64

50,12:15-12:30,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.43,0.860000,0.000000,5.76,190.73

51,12:30-12:45,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.58,0.860000,0.000000,5.76,190.88

52,12:45-13:00,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.74,0.860000,0.000000,5.76,191.04

53,13:00-13:15,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,7.3,0.770000,0.000000,5.76,191.51

54,13:15-13:30,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.82,0.770000,0.000000,5.76,191.03

55,13:30-13:45,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.54,0.770000,0.000000,5.76,190.75

56,13:45-14:00,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.29,0.770000,0.000000,5.76,190.5

57,14:00-14:15,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,6.05,0.770000,0.000000,5.76,190.26

58,14:15-14:30,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,5.86,0.770000,0.000000,5.76,190.07

59,14:30-14:45,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,5.53,0.770000,0.000000,5.76,189.74

60,14:45-15:00,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,5.1,0.770000,0.000000,5.76,189.31

61,15:00-15:15,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,4.75,0.670000,0.000000,5.76,188.86

62,15:15-15:30,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,4.26,0.670000,0.000000,5.76,188.37

63,15:30-15:45,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,3.81,0.670000,0.000000,5.76,187.92

64,15:45-16:00,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,3.28,0.670000,0.000000,5.76,187.39

65,16:00-16:15,158.480000,9.600000,0.000000,3.84,5.760000,0.000000,2.79,0.480000,0.000000,5.76,186.71

66,16:15-16:30,158.480000,9.600000,0.000000,0,5.760000,0.000000,2.27,0.480000,0.000000,5.57,182.16

67,16:30-16:45,158.480000,9.600000,0.000000,0,5.760000,0.000000,1.78,0.480000,0.000000,0,176.1

68,16:45-17:00,158.480000,9.600000,0.000000,0,5.760000,0.000000,1.35,0.480000,0.000000,0,175.67

69,17:00-17:15,158.480000,9.600000,0.000000,0,5.760000,0.000000,0.95,0.480000,0.000000,0,175.27

70,17:15-17:30,158.480000,9.600000,0.000000,0,5.760000,0.000000,0.63,0.480000,0.000000,0,174.95

71,17:30-17:45,158.480000,9.600000,0.000000,0,5.760000,0.000000,0.38,0.480000,0.000000,0,174.7

72,17:45-18:00,158.480000,9.600000,0.000000,0,5.760000,0.000000,0.18,0.480000,0.000000,0,174.5

73,18:00-18:15,158.480000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,25.000000,0,254.32

74,18:15-18:30,158.480000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,25.000000,0,254.32

75,18:30-18:45,158.480000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,25.000000,0,254.32

76,18:45-19:00,158.480000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,25.000000,0,254.32

77,19:00-19:15,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

78,19:15-19:30,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

79,19:30-19:45,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

80,19:45-20:00,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

81,20:00-20:15,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

82,20:15-20:30,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

83,20:30-20:45,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

84,20:45-21:00,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

85,21:00-21:15,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

86,21:15-21:30,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

87,21:30-21:45,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

88,21:45-22:00,0.000000,9.600000,158.480000,0,5.760000,55.000000,0,0.580000,25.000000,0,254.42

89,22:00-22:15,0.000000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,0.000000,0,70.84

90,22:15-22:30,0.000000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,0.000000,0,70.84

91,22:30-22:45,0.000000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,0.000000,0,70.84

92,22:45-23:00,0.000000,9.600000,0.000000,0,5.760000,55.000000,0,0.480000,0.000000,0,70.84

93,23:00-23:15,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.480000,0.000000,0,15.84

94,23:15-23:30,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.480000,0.000000,0,15.84

95,23:30-23:45,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.480000,0.000000,0,15.84

96,23:45-24:00,0.000000,9.600000,0.000000,0,5.760000,0.000000,0,0.480000,0.000000,0,15.84

