Time,Block,NR/2023/11203/A,NR/2023/14333/D,NR/2023/14326/D,NR/2023/13858/A,NR/2023/11204/A,NR/2023/11954/A,NR/2023/14354/C,NR/2023/13859/A,NR/2023/13573/A,NR/2023/13704/A,NR/2023/13573/A/II,NR/2023/14120/F,NR/2023/13983/F,NR/2023/13283/A,NR/2023/14119/F,NR/2023/14387/C,NR/2023/14361/C,NR/2023/11521/A,NR/2023/13283/A/II,NR/2023/11697/A,NR/2023/11325/A,NR/2023/14113/F,NR/2023/14117/F,NR/2023/14121/F,NR/2023/14359/C,NR/2023/14397/C,NR/2023/11654/A,NR/2023/14346/C,NR/2023/11458/A,NR/2023/14404/C,NR/2023/14334/D,NR/2023/14400/C,NR/2023/11739/A,NR/2023/11328/A,NR/2023/11524/A,NR/2023/14335/D,NR/2023/11892/A,NR/2023/13704/A/II,NR/2023/14370/C,NR/2023/11469/A,NR/2023/14136/F,NR/2023/14187/F,NR/2023/11264/A,NR/2023/13284/A,NR/2023/14116/F,NR/2023/14330/D,NR/2023/14115/F,NR/2023/13983/F/II,NR/2023/14378/C,NR/2023/14331/D,NR/2023/14364/C,NR/2023/12646/A,NR/2023/11315/A,NR/2023/14114/F,NR/2023/11470/A,NR/2023/14350/C,NR/2023/14118/F,NR/2023/14328/D,NR/2023/11205/A,Total

3,00:30-00:45,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,0.000000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.870000,0.000000,0,91.710000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2084.94

4,00:45-01:00,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,0.000000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.870000,0.000000,0,91.710000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2084.94

5,01:00-01:15,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.680000,0.000000,0,82.060000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2113.72

6,01:15-01:30,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.680000,0.000000,0,62.750000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2094.41

7,01:30-01:45,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.680000,0.000000,0,32.820000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2064.48

8,01:45-02:00,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.680000,0.000000,0,5.790000,23.100000,22.200000,0.520000,21.240000,18.200000,0.870000,147.460000,231.800000,2037.45

9,02:00-02:15,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.580000,0.000000,0,0.000000,23.100000,22.200000,0.520000,21.240000,18.010000,0.870000,147.460000,231.800000,2031.37

10,02:15-02:30,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.580000,0.000000,0,0.000000,23.100000,22.200000,0.520000,21.240000,18.010000,0.870000,147.460000,231.800000,2031.37

11,02:30-02:45,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.580000,0.000000,0,0.000000,23.100000,22.200000,0.520000,21.240000,18.010000,0.870000,147.460000,231.800000,2031.37

12,02:45-03:00,62.990000,18.340000,45.370000,77.230000,83.020000,36.420000,0.000000,141.910000,59.290000,0.380000,3.470000,0.610000,0.000000,22.800000,1.010000,0.000000,0.000000,38.620000,1.330000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,66.520000,6.380000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.580000,0.000000,0,0.000000,23.100000,22.200000,0.520000,21.240000,18.010000,0.870000,147.460000,231.800000,2031.37

13,03:00-03:15,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.260000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.270000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.930000,0.870000,147.460000,231.800000,1870.45

14,03:15-03:30,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.260000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.270000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.930000,0.870000,147.460000,231.800000,1870.45

15,03:30-03:45,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.260000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.270000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.930000,0.870000,147.460000,231.800000,1870.45

16,03:45-04:00,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.260000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.270000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.930000,0.870000,147.460000,231.800000,1870.45

17,04:00-04:15,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.830000,0.870000,147.460000,231.800000,1870.35

18,04:15-04:30,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.830000,0.870000,147.460000,231.800000,1870.35

19,04:30-04:45,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.830000,0.870000,147.460000,231.800000,1870.35

20,04:45-05:00,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,98.470000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.830000,0.870000,147.460000,231.800000,1870.35

21,05:00-05:15,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.740000,0.870000,147.460000,231.800000,1771.79

22,05:15-05:30,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.740000,0.870000,147.460000,231.800000,1771.79

23,05:30-05:45,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.740000,0.870000,147.460000,231.800000,1771.79

24,05:45-06:00,62.990000,18.340000,45.370000,77.230000,48.270000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.530000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,33.310000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,0,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,77.710000,0.870000,0,0.950000,0.000000,0.000000,0,0.000000,0.000000,22.200000,0.520000,21.240000,17.740000,0.870000,147.460000,231.800000,1771.79

25,06:00-06:15,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,0.6,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,0,0.950000,0.000000,0.000000,1.4,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1406.24

26,06:15-06:30,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,2.7,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,0.1,0.950000,0.000000,0.000000,6.3,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1413.34

27,06:30-06:45,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,4.5,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,0.81,0.950000,0.000000,0.000000,10.5,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1420.05

28,06:45-07:00,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,7.5,0.000000,42.470000,48.270000,154.460000,38.620000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,1.35,0.950000,0.000000,0.000000,17.5,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1430.59

29,07:00-07:15,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,10.5,0.000000,42.470000,48.270000,154.460000,0.000000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,1.38,0.950000,0.000000,0.000000,24.5,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1402

30,07:15-07:30,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,10.5,0.000000,42.470000,48.270000,154.460000,0.000000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,1.48,0.950000,0.000000,0.000000,24.5,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1402.1

31,07:30-07:45,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,15,0.000000,42.470000,48.270000,154.460000,0.000000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,1.63,0.950000,0.000000,0.000000,35,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1417.25

32,07:45:08:00,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,0.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.680000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.930000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,21.6,0.000000,42.470000,48.270000,154.460000,0.000000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.870000,1.9,0.950000,0.000000,0.000000,50.4,0.000000,0.000000,22.200000,0.520000,21.240000,17.650000,0.870000,147.460000,15.760000,1439.52

33,08:00-08:15,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,30.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.970000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.980000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,26.4,0.000000,42.470000,48.270000,154.460000,0.000000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.970000,3.45,0.950000,0.000000,0.000000,61.6,0.000000,0.000000,22.200000,0.520000,21.240000,17.560000,0.980000,147.460000,15.760000,1487.53

34,08:15-08:30,62.990000,18.340000,45.370000,77.230000,7.720000,0.000000,30.000000,141.910000,62.750000,0.000000,0.000000,0.610000,0.970000,24.140000,1.010000,0.000000,0.000000,38.620000,0.000000,0.000000,24.140000,0.380000,0.980000,0.610000,0.000000,0.000000,257.760000,4.830000,0.000000,0,30.9,0.000000,42.470000,48.270000,154.460000,0.000000,0.000000,6.760000,0.000000,84.940000,0.000000,9.650000,21.530000,0.000000,0.970000,3.92,0.950000,0.000000,0.000000,72.1,0.000000,0.000000,22.200000,0.520000,21.240000,17.560000,0.980000,147.460000,15.760000,1503

