Block,Time Block,SASAN,RAPPB,RIHAND2,RSTPSU1TO6,SIMHST1,RIHAND1,RSTPSU7,SALAL,SEWA2,RIHAND3,RAPPC,NJPC,NLCIIST2,NAPP,KOTESHWR,KUDGI,NLCEXP,MAPS,NLCIIST1,NLCTS2EXP,NNTPP,NTPL,RAMPUR,PARBATI3,DHAULIGNGA,JHAJJAR,KGSU1AND2,KGSU3AND4,FSTPP I & II,DULHASTI,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,BRBCL,CHAMERA2,CHAMERA1,BSIUL,CHAMERA3,DADRT2,AURY_LF,AURY_RF,DADRI_RF,DADRI_GF,AURY_GF,DADRI_LF,DADRI_CRF,URI2,UNCHAHAR4,URI,UNCHAHAR3,VALLURNTECL,ANTA_LF,AURY_CRF,ANTA_GF,ANTA_CRF,ANTA_RF,TALST2,SINGRAULI_HYDRO,TANAKPUR,SIMHST2,TALA,TelanganaSTPP,SINGRAULI,UNCHAHAR2,TEHRI,UNCHAHAR1,TANDA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
26,06:15-06:30,403.74,0,114.5,0,0,88.7,0,2.25,5.08,119.86,50.53,135.3,0,40.15,19.01,0,0,0,0,0,0,0,0,15.96,35.24,232.63,0,0,14.97,47.66,122.71,0,0,0,0,35.7,19.28,38.09,27.04,18.86,28.02,394.87,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,60.01,14.97,0,0,0,0,0,0

27,06:30-06:45,403.74,0,114.5,0,0,88.7,0,2.25,10.16,119.86,50.53,135.3,0,40.15,19.01,0,0,0,0,0,0,0,0,15.96,35.24,232.63,0,0,14.97,47.66,122.71,0,0,0,0,35.7,19.28,38.09,40.59,18.86,28.02,426.2,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,60.01,14.97,0,0,0,0,0,0

28,06:45-07:00,403.74,0,114.5,0,0,88.7,0,2.25,10.16,119.86,50.53,135.3,0,40.15,19.01,0,0,0,0,0,0,0,0,15.96,35.24,232.63,0,0,14.97,47.66,122.71,0,0,0,0,35.7,19.28,38.09,40.59,18.86,28.02,462.35,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,60.01,14.97,0,0,0,0,0,0

29,07:00-07:15,403.74,0,114.5,0,0,88.7,0,2.25,10.16,119.86,50.53,135.3,0,40.15,19.01,0,0,0,0,0,0,0,0,15.96,35.24,232.63,0,0,14.97,47.66,122.71,0,0,0,0,35.7,19.28,38.09,38.08,18.86,28.02,430.03,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,60.01,14.97,0,0,0,0,0,0

30,07:15-07:30,403.74,0,114.5,0,0,88.7,0,2.25,5.08,119.86,50.53,135.3,0,40.15,19.01,0,0,0,0,0,0,0,0,15.96,35.24,232.63,0,0,14.97,47.66,122.71,0,0,0,0,35.7,19.28,38.09,27.04,18.86,28.02,404.51,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,128.71,15.32,60.01,14.97,0,0,0,0,0,0

31,07:30-07:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,112.75,0,40.15,8.55,0,0,0,0,0,0,0,0,15.96,26.42,232.63,0,0,14.97,31.78,122.71,0,0,0,0,35.7,19.28,3.86,11.42,2.12,18.66,443.07,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,128.71,15.32,44.65,14.97,0,0,0,0,0,0

32,07:45-08:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,90.2,0,40.15,8.55,0,0,0,0,0,0,0,0,3.43,17.61,232.63,0,0,14.97,31.78,122.71,0,0,0,0,35.7,19.28,1.54,0,0,9.33,443.07,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,128.71,15.32,29.76,14.97,0,0,0,0,0,0

33,08:00-08:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,67.65,0,40.15,8.55,0,0,0,0,0,0,0,0,0,8.8,232.63,0,0,14.97,31.78,122.71,0,0,0,0,35.7,19.15,1.54,0,0,9.33,414.15,0,0,0,0,0,0,0,4.41,0,1.28,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,128.71,15.32,14.39,14.97,0,0,0,0,0,0

34,08:15-08:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,38.81,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.97,15.89,122.71,0,0,0,0,35.7,19.28,1.54,0,0,9.33,433.43,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

35,08:30-08:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,22.55,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,17.28,15.89,139.57,0,0,0,0,40.39,19.28,1.54,0,0,9.33,414.15,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

36,08:45-09:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,17.28,15.89,139.57,0,0,0,0,40.39,19.28,1.54,0,0,9.33,385.23,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,128.71,15.32,0,14.97,0,0,0,0,0,0

37,09:00-09:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,17.28,15.89,139.57,0,0,0,0,40.39,19.28,1.54,0,0,0,375.58,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

38,09:15-09:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,17.28,15.89,139.57,0,0,0,0,40.39,19.28,1.54,0,0,0,365.94,0,0,0,0,0,0,0,4.41,0,0.64,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

39,09:30-09:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,15.08,15.89,121.48,0,0,0,0,34.95,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,9.88,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

40,09:45-10:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,15.08,15.89,121.48,0,0,0,0,34.95,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,34.06,19.37,0,0,0,0,0,0,0,0,9.88,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

41,10:00-10:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.78,15.89,121.4,0,0,0,0,35.31,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,10.37,0,3.72,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

42,10:15-10:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.78,15.89,121.4,0,0,0,0,35.31,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,10.37,0,0.85,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

43,10:30-10:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.78,15.89,121.4,0,0,0,0,35.31,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,10.37,0,0.85,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

44,10:45-11:00,403.74,0,114.5,0,0,88.7,0,13.45,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.78,15.89,121.4,0,0,0,0,35.31,18.93,1.54,0,0,0,362.24,0,0,0,0,0,0,0,10.37,0,0.85,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

45,11:00-11:15,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.78,15.89,121.4,0,0,0,0,35.31,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,18.15,0,0.85,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

46,11:15-11:30,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.78,15.89,121.4,0,0,0,0,35.31,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,18.15,0,0.85,19.37,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

47,11:30-11:45,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,121.4,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,10.37,0,6.39,14.94,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

48,11:45-12:00,403.74,0,114.5,0,0,88.7,0,67.22,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,121.4,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,10.37,0,6.39,14.94,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

49,12:00-12:15,403.74,0,114.5,0,0,88.7,0,13.45,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,14.94,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

50,12:15-12:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,14.94,0,0,0,0,0,0,0,0,4.32,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

51,12:30-12:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,14.94,0,0,0,0,0,0,0,0,9.88,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

52,12:45-13:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,14.94,0,0,0,0,0,0,0,0,9.88,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

53,13:00-13:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,14.94,0,0,0,0,0,0,0,0,4.95,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

54,13:15-13:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,14.94,0,0,0,0,0,0,0,0,4.95,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

55,13:30-13:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,6.39,14.94,0,0,0,0,0,0,0,0,4.95,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

56,13:45-14:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,15.89,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,6.39,14.94,0,0,0,0,0,0,0,0,4.95,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

57,14:00-14:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,31.78,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,6.39,14.94,0,0,0,0,0,0,0,0,9.88,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

58,14:15-14:30,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,11.03,31.78,94.81,0,0,0,0,28.17,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,6.39,14.94,0,0,0,0,0,0,0,0,4.95,0,0,0,121.45,11.23,0,11.58,0,0,0,0,0,0

59,14:30-14:45,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.38,31.78,121.4,0,0,0,0,35.31,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,18.32,0,0,0,0,0,0,0,0,4.95,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

60,14:45-15:00,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,231.38,0,0,14.78,31.78,121.4,0,0,0,0,35.31,19.28,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,0.85,19.37,0,0,0,0,0,0,0,0,11.12,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

61,15:00-15:15,403.74,0,114.5,0,0,88.7,0,2.25,0,119.86,50.53,0,0,40.15,8.55,0,0,0,0,0,0,0,0,0,0,232.63,0,0,14.78,31.78,121.4,0,0,0,0,35.31,19.07,1.54,0,0,0,362.24,0,0,0,0,0,0,0,4.41,0,8.51,19.37,0,0,0,0,0,0,0,0,4.95,0,0,0,121.45,15.32,0,14.97,0,0,0,0,0,0

