Time,Block,NR/2023/17227/C,NR/2023/17251/C,NR/2023/17246/C,NR/2023/16191/A,NR/2023/16073/A,NR/2023/17245/C,NR/2023/13253/A,NR/2023/13165/A,NR/2023/17239/C,NR/2023/13254/A,NR/2023/13387/A,NR/2023/13385/A,NR/2023/17225/C,NR/2023/13148/A,NR/2023/17233/C,NR/2023/16993/F,NR/2023/17254/C,NR/2023/16185/A,NR/2023/16291/F,NR/2023/17244/C,NR/2023/16077/A,NR/2023/17257/C,NR/2023/13150/A,NR/2023/13383/A,NR/2023/17226/C,NR/2023/15770/A,NR/2023/17221/D,NR/2023/17248/C,Total
23,05:30-05:45,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.530000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.15

24,05:45-06:00,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.530000,104.470000,0.000000,38.390000,0.580000,0.000000,117.560000,0.000000,62.570000,50.380000,0.000000,62.380000,0,0,791.15

25,06:00-06:15,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.430000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,623.2

26,06:15-06:30,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.430000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,623.2

27,06:30-06:45,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.430000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0.12,0,622.3

28,06:45-07:00,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.430000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0.56,0,622.74

29,07:00-07:15,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.350000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,1.06,0,623.16

30,07:15-07:30,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.350000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,1.65,0,623.75

31,07:30-07:45,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.350000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,1.74,0,623.84

32,07:45:08:00,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.350000,104.470000,0.000000,38.390000,0.670000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,2.24,0,624.34

33,08:00-08:15,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.350000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,3.76,0,626.15

34,08:15-08:30,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,4.030000,0.000000,9.350000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,4.36,0,626.75

35,08:30-08:45,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.350000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,4.75,0,628.16

36,08:45:09:00,0.000000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,5.050000,0.000000,9.350000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,5.34,0,628.75

37,09:00:09:15,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.4,15.84,682.51

38,09:15-09:30,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.03,15.84,683.14

39,09:30-09:45,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,6.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.79,15.84,683.9

40,09:45-10:00,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,7.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.86,15.84,683.97

41,10:00-10:15,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,7.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.72,15.84,683.83

42,10:15-10:30,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,7.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.49,15.84,684.6

43,10:30-10:45,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,7.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.88,15.84,684.99

44,10:45-11:00,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,7.060000,0.000000,9.250000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.9,15.84,685.01

45,11:00-11:15,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.78,15.84,687.84

46,11:15-11:30,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.94,15.84,687

47,11:30-11:45,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.32,15.84,686.38

48,11:45-12:00,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.66,15.84,687.72

49,12:00-12:15,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.07,15.84,687.03

50,12:15-12:30,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.4,15.84,687.36

51,12:30-12:45,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,7.52,15.84,688.48

52,12:45-13:00,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.2,15.84,686.16

53,13:00-13:15,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,7.43,15.84,688.39

54,13:15-13:30,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,6.75,15.84,687.71

55,13:30-13:45,8.160000,0.000000,0.000000,77.740000,23.990000,0.000000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.72,15.84,686.68

56,13:45-14:00,8.160000,0.000000,0.000000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.070000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.46,15.84,700.82

57,14:00-14:15,8.160000,0.000000,31.670000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,5.44,15.84,732.57

58,14:15-14:30,8.160000,0.000000,71.020000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,4.37,15.84,770.85

59,14:30-14:45,8.160000,0.000000,71.020000,77.740000,23.990000,52.780000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,4.01,15.84,808.87

60,14:45-15:00,8.160000,0.000000,71.020000,77.740000,23.990000,43.190000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.170000,104.470000,0.000000,38.390000,0.960000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,3.91,15.84,799.18

61,15:00-15:15,8.160000,0.000000,71.020000,77.740000,23.990000,73.900000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.250000,104.470000,0.000000,38.390000,0.860000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,4.21,15.84,830.17

62,15:15-15:30,8.160000,0.000000,71.020000,77.740000,23.990000,73.900000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.250000,104.470000,0.000000,38.390000,0.860000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,4.17,15.84,830.13

63,15:30-15:45,8.160000,0.000000,184.260000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.250000,104.470000,0.000000,38.390000,0.860000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,3.08,15.84,882.78

64,15:45-16:00,8.160000,0.000000,204.420000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.250000,104.470000,0.000000,38.390000,0.860000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,4.91,15.84,904.77

65,16:00-16:15,8.160000,0.000000,216.890000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.430000,104.470000,0.000000,38.390000,0.820000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,3.96,15.84,916.43

66,16:15-16:30,8.160000,0.000000,241.840000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.430000,104.470000,0.000000,38.390000,0.820000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,2.53,15.84,939.95

67,16:30-16:45,8.160000,0.000000,266.800000,77.740000,23.990000,14.400000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.430000,104.470000,0.000000,38.390000,0.820000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,2,15.84,964.38

68,16:45-17:00,8.160000,0.000000,235.130000,77.740000,23.990000,38.390000,47.980000,22.070000,0.000000,19.470000,99.330000,49.660000,10.090000,0.000000,9.430000,104.470000,0.000000,38.390000,0.820000,0.000000,0.000000,0.000000,62.570000,0.000000,28.790000,62.380000,0.66,15.84,955.36

69,17:00-17:15,0.000000,0.000000,156.430000,77.740000,23.990000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,0.000000,9.620000,104.470000,0.000000,38.390000,0.820000,47.980000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,1.62,0,920.98

70,17:15-17:30,0.000000,0.000000,175.630000,77.740000,23.990000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,0.000000,9.620000,104.470000,0.000000,38.390000,0.820000,47.980000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,1.82,0,940.38

71,17:30-17:45,0.000000,0.000000,200.580000,77.740000,23.990000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,0.000000,9.620000,104.470000,0.000000,38.390000,0.820000,47.980000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0.57,0,964.08

72,17:45-18:00,0.000000,0.000000,205.380000,77.740000,23.990000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,0.000000,9.620000,104.470000,0.000000,38.390000,0.820000,47.980000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0.34,0,968.65

73,18:00-18:15,0.000000,0.000000,169.870000,77.740000,0.000000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0.22,0,1156.56

74,18:15-18:30,0.000000,0.000000,201.540000,77.740000,0.000000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0.1,0,1188.11

75,18:30-18:45,0.000000,0.000000,209.210000,77.740000,0.000000,38.390000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0,0,1195.68

76,18:45-19:00,0.000000,0.000000,230.330000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.800000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0,0,1212

77,19:00-19:15,0.000000,95.970000,231.290000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0,0,1309.02

78,19:15-19:30,0.000000,95.970000,240.880000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0,0,1318.61

79,19:30-19:45,0.000000,95.970000,240.880000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0,0,1318.61

80,19:45-20:00,0.000000,95.970000,225.530000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,0.000000,38.390000,0.820000,191.940000,0.000000,67.180000,62.570000,0.000000,0.000000,62.380000,0,0,1303.26

81,20:00-20:15,0.000000,95.970000,223.610000,77.740000,0.000000,33.590000,47.980000,22.070000,47.980000,19.470000,99.330000,49.660000,10.090000,36.210000,9.890000,104.470000,47.980000,38.390000,0.770000,191.940000,0.000000,0.000000,62.570000,0.000000,0.000000,62.380000,0,0,1282.09

