Column1,Block,NR/2025/26335/A/69445,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/69369,NR/2025/26197/A/69858,NR/2025/26289/A/69813,NR/2025/26557/C,NR/2025/26336/A/69446,NR/2025/26265/A/69814,NR/2025/26153/A/69370,NR/2025/26554/C,NR/2025/26291/A/69812,NR/2025/26202/A/69856,NR/2025/26555/C,NR/2025/26191/A/69272,NR/2025/26519/C,NR/2025/26002/A/69795,NR/2025/25858/A/69800,NR/2025/26520/C,NR/2025/25855/A/69801,NR/2025/26233/A/69815,NR/2025/26521/C,NR/2025/26101/A/69484,NR/2025/26199/A/69854,NR/2025/26523/C,SR/2025/16987/C,NR/2025/26286/A/69417,NR/2025/26518/C,NR/2025/26576/C,NR/2025/26085/A/69371,NR/2025/26577/C,NR/2025/26578/C,NR/2025/26198/A/69857,NR/2025/26312/A/69367,NR/2025/26517/C,NR/2025/26200/A/69852,NR/2025/26201/A/69850,NR/2025/26232/A/69816,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/6957,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/9320,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9252,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/2474,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/7902,Total
3,00:30-00:45,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.8999999999999

4,00:45-01:00,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.77,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.7,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.8999999999999

5,01:00-01:15,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.6,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.7099999999996

6,01:15-01:30,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.6,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.7099999999996

7,01:30-01:45,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.6,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.7099999999996

8,01:45-02:00,0,0,0,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,5.79,0,164.1,26.5,14.48,164.1,26.5,9.6,13.51,0,29.01,14.48,0,67.57,123.08,28.96,28.96,1618.7099999999996

9,02:00-02:15,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.63,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.78

10,02:15-02:30,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.63,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.78

11,02:30-02:45,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.63,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.78

12,02:45-03:00,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.63,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.78

13,03:00-03:15,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.6299999999999

14,03:15-03:30,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.6299999999999

15,03:30-03:45,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.6299999999999

16,03:45-04:00,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,144.8,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.52,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1501.6299999999999

17,04:00-04:15,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.42,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.73

18,04:15-04:30,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.42,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.73

19,04:30-04:45,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.42,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.73

20,04:45-05:00,0,0,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.42,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.73

21,05:00-05:15,0,0.01,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.33,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.6499999999999

22,05:15-05:30,0,0.02,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.33,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.6599999999999

23,05:30-05:45,0,0.21,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.33,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.85

24,05:45-06:00,0,0.22,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,4.83,0,0,0.48,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.33,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.86

25,06:00-06:15,0,1.17,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.58,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.24,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1356.85

26,06:15-06:30,0,2.54,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.58,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.24,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1358.22

27,06:30-06:45,0.97,4.59,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.58,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.24,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1361.24

28,06:45-07:00,3.86,7.48,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.58,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.5,0,164.1,26.5,9.24,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1367.02

29,07:00-07:15,13.51,11.06,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1381.1100000000001

30,07:15-07:30,27.03,15.37,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1398.94

31,07:30-07:45,40.54,20.28,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1417.3600000000001

32,07:45-08:00,54.06,25.86,0,14.62,48.26,0,135.14,0,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.68,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,96.53,29.01,14.48,0,0,123.08,28.96,0,1436.46

33,08:00-08:15,60.81,31.93,7.72,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.97,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1457.2900000000002

34,08:15-08:30,71.43,38.24,7.72,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.97,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1474.22

35,08:30-08:45,84.95,44.56,7.72,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.97,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1494.0600000000002

36,08:45-09:00,98.46,50.73,7.72,14.62,48.26,0,135.14,96.53,62.74,14.48,24.13,96.53,51.13,48.26,0,0,0,0,0,4.83,0,0,43.87,0,0,3.86,0,0,0.97,0,0,43.87,0,0,14.62,37.3,4.83,0,10.62,0,0,164.1,26.93,0,164.1,26.93,9.14,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1513.74

37,09:00-09:15,114.87,61.52,10.62,14.62,0,63.27,135.14,0,62.74,14.48,0,33.26,51.13,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,9.05,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1597.8300000000002

38,09:15-09:30,132.25,67.49,10.62,14.62,0,63.27,135.14,0,62.74,14.48,0,33.26,51.13,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,9.05,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1621.18

39,09:30-09:45,141.9,72.99,10.62,14.62,0,63.27,135.14,0,62.74,14.48,0,33.26,51.13,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,9.05,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1636.33

40,09:45-10:00,152.52,78,10.62,14.62,0,63.27,135.14,0,62.74,14.48,0,33.26,51.13,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,9.05,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1651.9599999999998

41,10:00-10:15,162.17,82.48,12.55,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.96,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1631.28

42,10:15-10:30,172.79,86.43,12.55,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.96,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1645.85

43,10:30-10:45,182.44,89.84,12.55,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.96,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1658.9099999999999

44,10:45-11:00,193.06,92.91,12.55,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.96,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1672.6

45,11:00-11:15,193.06,95.56,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1676.1199999999997

46,11:15-11:30,193.06,97.79,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1678.3499999999997

47,11:30-11:45,193.06,97.39,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1677.9499999999998

48,11:45-12:00,193.06,97.3,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.94,0,164.1,26.94,8.87,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1677.8599999999997

49,12:00-12:15,193.06,96.25,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.77,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1676.7299999999998

50,12:15-12:30,193.06,95.63,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.77,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1676.11

51,12:30-12:45,193.06,95.43,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.77,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1675.9099999999999

52,12:45-13:00,193.06,95.64,13.51,14.62,0,63.27,135.14,0,62.74,28.96,0,33.26,0,48.26,24.13,0,0,4.83,0,0,4.83,0,43.87,53.09,0,4.83,48.26,0,0.97,0,0,43.87,0,96.53,14.62,37.3,0,0,10.62,0,0,164.1,26.95,0,164.1,26.95,8.77,13.51,0,29.01,14.48,0,0,123.08,28.96,0,1676.12

