Column1,Block,NR/2025/32534/A/94594,NR/2025/32599/A/94564,NR/2025/32534/A/94595,NR/2025/32532/A/94592,NR/2025/32535/A/94597,GNARE/NR/2024/12/20/3668,NR/2025/32532/A/94593,NR/2025/32535/A/94685,NR/2025/32653/A/94631,NR/2025/33017/C,NR/2025/32652/A/94633,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6209,GNA/NR/2025/08/01/6475,NR/2025/32929/C,GNA/NR/2025/08/01/4125,GNA/NR/2025/08/01/6187,GNA/NR/2025/08/01/5784,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/08/01/1196,NR/2025/32968/C,GNA/NR/2025/08/01/2414,NR/30092023/31122025/SH-07,GNA/NR/2025/08/01/6452,NR/30092023/26122029/SH-06,NR/2025/32559/A/94704,NR/2025/32598/A/94675,NR/2025/31421/A/94650,NR/2025/32992/C,NR/2025/32973/C,NR/2025/33005/C,NR/2025/32974/C,NR/2025/31046/A/94637,NR/2025/29440/A/94471,NR/2025/32556/A/94705,NR/2025/33006/C,NR/2025/31047/A/94639,NR/2025/32397/A/94153,NR/2025/32455/A/94615,NR/2025/32554/A/94617,NR/2025/32994/C,NR/2025/32004/A/94708,NR/2025/32996/C,NR/2025/33012/C,NR/2025/32610/A/94703,NR/2025/31041/A/94634,NR/2025/32262/A/94211,NR/2025/33012/C/Alternate/1,NR/2025/29992/A/94359,NR/2025/31042/A/94636,NR/2025/32375/A/94647,NR/2025/32987/C,NR/2025/32702/A/94278,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,NR/2025/32857/A/94624,Total
3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,18.65,19.2,0,40.79,26.54,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.86,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1435.6100000000001

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,18.65,19.2,0,40.79,26.54,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.86,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1435.6100000000001

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.54,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1430.7700000000002

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.54,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1430.7700000000002

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.54,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1430.7700000000002

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,0,15.21,33.59,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.54,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,47.99,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1430.7700000000002

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,0,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1431.17

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,0,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1431.17

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,0,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1431.17

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.62,26.17,0,0,8.64,0,163.17,0,105.58,0,0,26.17,95.98,53.99,191.96,44.15,0,47.99,0,12.48,20.4,8.72,0,1431.17

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,95.98,53.99,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1401.92

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,95.98,53.99,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1401.92

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,95.98,53.99,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1401.92

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,95.98,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,95.98,53.99,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1401.92

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1155.97

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1155.97

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1155.97

20,04:45-05:00,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1155.97

21,05:00-05:15,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1155.97

22,05:15-05:30,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,12.48,20.4,8.72,0,1155.97

23,05:30-05:45,0,0,0,0,0,0,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1155.01

24,05:45-06:00,0,0,0,0,0,0.24,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.53,26.17,0,0,8.64,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1155.25

25,06:00-06:15,0.02,2,0,0.07,0.02,1.79,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.82,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1150.56

26,06:15-06:30,0.03,5,0,0.12,0.03,3.49,0,0,0,0,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.82,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1155.3300000000002

27,06:30-06:45,0.13,11,0,0.27,0.07,5.4,0,0,0,0.84,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,25.74,20.4,25.74,26.17,81.58,47.99,0,0,0,0,0,0.82,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1161.9700000000003

28,06:45-07:00,0.12,14,0,0.22,0.06,7.62,0,0,0,1.37,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.82,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1170.0500000000002

29,07:00-07:15,0.07,25,0,0.14,0.07,11.96,0,0,0,1.97,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.86,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1185.91

30,07:15-07:30,0.05,32,0,0.1,0.05,16.57,0,0,0,2.97,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.86,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1198.44

31,07:30-07:45,0.03,46,0.12,0.06,0.03,21.67,0.14,0.09,0,3.85,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.86,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1218.69

32,07:45-08:00,0.03,60,0.22,0.06,0.02,26.67,0.28,0.15,0,5.24,0,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.86,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,0,1239.3700000000001

33,08:00-08:15,0.05,74,0.35,0.09,0.03,30.67,0.44,0.3,0,6.17,1.63,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.96,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,1.15,1261.6800000000003

34,08:15-08:30,0.12,88,0.46,0.18,0.08,34.76,0.6,0.39,0,8.51,1.63,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.96,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,11.52,20.4,8.72,1.15,1282.6800000000003

35,08:30-08:45,0.16,95,0.58,0.27,0.11,40.84,0.74,0.49,0,5.86,1.63,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.96,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,13.44,20.4,8.72,1.15,1295.5500000000004

36,08:45-09:00,0.22,109,0.67,0.36,0.14,46.84,0.96,0.67,0,5.86,1.63,15.21,81.58,20.71,0,8.72,17.31,81.58,14.05,19.2,0,40.79,26.94,20.4,26.94,26.17,81.58,47.99,0,0,0,0,0,0.96,26.17,0,0,0,0,163.17,0,76.42,0,191.96,26.17,0,0,0,44.15,0,47.99,0,13.44,20.4,8.72,1.15,1316.2200000000005

37,09:00-09:15,0.26,130,0.75,0.43,0.17,55.2,0.93,0.65,0,5.86,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1414.3200000000002

38,09:15-09:30,0.28,144,0.74,0.46,0.18,61.04,0.92,0.65,0,6.84,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1435.1800000000003

39,09:30-09:45,0.29,154,0.77,0.48,0.19,66.54,0.96,0.67,0,6.84,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1450.8100000000002

40,09:45-10:00,0.29,165,0.77,0.48,0.19,71.57,0.96,0.67,0,7.81,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1467.8100000000002

41,10:00-10:15,0.29,175,0.77,0.48,0.19,76.07,0.96,0.67,1.44,7.81,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1483.7500000000002

42,10:15-10:30,0.29,182,0.77,0.48,0.19,80.27,0.96,0.67,1.44,7.81,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1494.9500000000003

43,10:30-10:45,0.29,189,0.45,0.48,0.19,94.11,0.63,0.09,1.44,11.51,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1518.2600000000002

44,10:45-11:00,0.29,193,0.45,0.48,0.19,96.54,0.67,0.09,1.44,12.78,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,13.59,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1526.0000000000002

45,11:00-11:15,0.29,203,0.45,0.48,0.19,98.22,0.67,0.09,1.44,14.05,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1536.66

46,11:15-11:30,0.29,203,0.24,0.48,0.19,99.77,0.67,0.05,1.44,15.49,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1539.4

47,11:30-11:45,0.29,203,0.19,0.48,0.19,100,0.67,0.1,1.44,16.86,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1541.0000000000002

48,11:45-12:00,0.29,203,0.19,0.48,0.19,100,0.67,0.1,1.44,18.14,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.95,20.4,26.95,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1542.2800000000002

49,12:00-12:15,0.29,189,0.19,0.48,0.19,100,0.67,0.1,1.44,19.32,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1529.48

50,12:15-12:30,0.29,189,0.19,0.48,0.19,100,0.67,0.1,1.44,19.62,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1529.7800000000002

51,12:30-12:45,0.29,189,0.19,0.48,0.19,100,0.67,0.1,1.44,19.88,1.63,15.21,81.58,20.71,44.15,14.54,28.86,81.58,11.3,19.2,163.17,40.79,26.96,20.4,26.96,0,81.58,0,43.62,0,47.99,0,0,0.96,0,47.99,0,0,0,0,43.62,0,37.09,191.96,0,0,0,0,0,0,0,76.42,13.44,20.4,14.54,1.15,1530.0400000000002

