Column1,Block,NR/2024/24225/A/47334,NR/2024/24554/C,NR/2024/24071/A/47107,NR/2024/24224/A/47332,NR/2024/24227/A/47340,NR/2024/24555/C,GNA/SR/2024/12/01/6968,GNA/NR/2024/12/01/7739,GNA/NR/2024/12/01/1899,GNA/NR/2024/12/01/3428,GNA/NR/2024/12/01/1766,NR/2024/24556/C,NR/2024/24557/C,NR/2024/23952/A/47078,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NER/2024/2770/A/47314,GNA/WR/2024/10/15/7089,NR/2024/24088/A/47102,GNA/WR/2024/11/01/4200,NR/2024/24052/A/47109,NR/2024/24060/A/47321,NR/2024/24051/A/47111,GNA/NR/2024/12/01/2197,NR/30092023/31122025/SH-07,NR/2024/24097/A/47099,WR/2024/25054/A/47320,GNA/NR/2024/12/01/1599,NR/2024/24146/A/47095,GNA/NR/2024/12/01/1475,Total
13,03:00-03:15,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.34,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,464.92999999999995

14,03:15-03:30,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.34,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,464.92999999999995

15,03:30-03:45,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.34,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,464.92999999999995

16,03:45-04:00,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.34,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,464.92999999999995

17,04:00-04:15,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.02

18,04:15-04:30,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.02

19,04:30-04:45,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.02

20,04:45-05:00,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.56,0,0,0.96,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,465.02

21,05:00-05:15,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,507.38

22,05:15-05:30,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,0,22.27,0,7.69,0,142.69,5.76,26.2,507.38

23,05:30-05:45,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,2.88,22.27,0,14.41,0,142.69,5.76,26.2,516.98

24,05:45-06:00,0,0,0,0,0,0,150,47.56,8.73,8.73,22.27,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,2.88,22.27,0,14.41,0,142.69,5.76,26.2,516.98

25,06:00-06:15,0.19,0,0,0.29,0.19,0,150,0,8.73,8.73,24.02,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,2.88,24.02,0,14.41,0,0,5.76,26.2,330.9

26,06:15-06:30,0.19,0,0,0.29,0.19,0,150,0,11.53,11.53,24.02,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,2.88,24.02,0,14.41,0,0,5.76,26.2,336.5

27,06:30-06:45,0.19,0,0,0.29,0.19,0,150,0,11.53,11.53,24.02,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,2.88,24.02,0,14.41,0,0,5.76,26.2,336.5

28,06:45-07:00,0.29,0,0,0.29,0.19,0,150,0,13.45,13.45,24.02,0,0,0.43,0,1.65,38.43,0,4.8,0,2.88,17.29,2.88,24.02,0,14.41,0,0,5.76,33.63,347.87

29,07:00-07:15,0.29,0,0,0.38,0.19,0,150,0,13.45,13.45,24.02,0,0,0.53,0,1.56,38.43,0,4.8,0,2.88,28.82,2.88,24.02,0,14.41,0,0,5.76,33.63,359.5

30,07:15-07:30,0.38,0,0,0.48,0.19,0,150,0,13.45,13.45,24.02,0,0,0.53,0,1.56,38.43,0,4.8,0,2.88,28.82,2.88,24.02,0,14.41,0,0,5.76,33.63,359.69

31,07:30-07:45,0.38,0,0,0.58,0.29,0,150,0,13.45,13.45,28.82,0,0,0.53,0,1.56,38.43,0,4.8,0,2.88,28.82,2.88,28.82,0,14.41,0,0,5.76,33.63,369.49

32,07:45-08:00,0.38,0,0,0.58,0.29,0,150,0,13.45,13.45,28.82,0,0,0.53,0,1.56,38.43,0,4.8,0,2.88,28.82,2.88,28.82,0,14.41,0,0,5.76,33.63,369.49

33,08:00-08:15,0.38,0,0,0.67,0.29,0,150,0,13.45,13.45,33.63,0,0,0.82,0,1.65,38.43,0,4.8,0,2.88,28.82,2.88,33.63,0,14.41,0,0,5.76,33.63,379.58

34,08:15-08:30,0.48,0,0,0.67,0.29,0,150,0,13.45,13.45,33.63,0,0,0.82,0,1.65,38.43,0,4.8,0,2.88,28.82,2.88,33.63,0,14.41,0,0,5.76,33.63,379.67999999999995

35,08:30-08:45,0.48,0,0,0.67,0.29,0,150,0,13.45,13.45,36.51,0,0,0.82,0,1.65,38.43,0,4.8,0,2.88,28.82,0,36.51,0,7.69,0,0,5.76,43.24,385.44999999999993

36,08:45-09:00,0.48,0,0,0.77,0.29,0,150,0,13.45,13.45,36.51,0,0,0.82,0,1.65,38.43,0,4.8,0,2.88,28.82,0,36.51,0,7.69,0,0,5.76,43.24,385.54999999999995

37,09:00-09:15,0.48,0,3.84,0.77,0.38,0,150,0,13.45,13.45,36.51,0,0,0.82,0,1.56,0,0,4.8,0,2.88,28.82,0,36.51,0,7.69,0,0,5.76,43.24,350.96

38,09:15-09:30,0.48,0,3.84,0.77,0.38,0,150,0,13.45,13.45,36.51,0,0,0.82,0,1.56,0,0,4.8,0,2.88,28.82,0,36.51,0,7.69,0,0,5.76,43.24,350.96

39,09:30-09:45,0.48,14.51,3.84,0.77,0.38,0,150,0,13.45,13.45,33.63,7.01,16.81,0.82,0,1.56,0,0,4.8,0,2.88,28.82,0,33.63,0,7.69,0,0,5.76,43.24,383.5299999999999

40,09:45-10:00,0.48,17.01,3.84,0.77,0.38,0,150,0,13.45,13.45,33.63,7.01,16.81,0.82,0,1.56,0,0,4.8,0,2.88,28.82,0,33.63,0,7.69,0,0,5.76,43.24,386.0299999999999

41,10:00-10:15,0.58,14.99,4.8,0.86,0.38,3.75,150,0,13.45,13.45,33.63,7.01,16.81,0.82,0,1.65,0,0,4.8,0,2.88,28.82,0,33.63,0,7.69,0,0,5.76,43.24,388.99999999999994

42,10:15-10:30,0.58,17.29,4.8,0.86,0.38,0.29,150,0,13.45,13.45,33.63,7.01,16.81,0.82,0,1.65,0,0,4.8,0,2.88,28.82,0,33.63,0,7.69,0,0,5.76,43.24,387.8399999999999

43,10:30-10:45,0.58,10.95,4.8,0.86,0.38,11.15,150,0,13.45,13.45,33.63,7.01,16.81,0.82,0,1.65,0,0,4.8,0,2.88,28.82,0,33.63,0,7.69,0,0,5.76,43.24,392.3599999999999

44,10:45-11:00,0.58,13.45,4.8,0.86,0.38,7.78,150,0,13.45,13.45,33.63,7.01,16.81,0.82,0,1.65,0,0,4.8,0,2.88,28.82,0,33.63,0,7.69,0,0,5.76,43.24,391.4899999999999

45,11:00-11:15,0.58,15.76,6.73,0.86,0.38,4.71,150,0,13.45,13.45,28.82,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,28.82,0,7.69,0,0,5.76,43.24,379.1099999999999

46,11:15-11:30,0.58,17.77,6.73,0.86,0.38,2.02,150,0,13.45,13.45,28.82,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,28.82,0,7.69,0,0,5.76,43.24,378.4299999999999

47,11:30-11:45,0.58,29.02,6.73,0.86,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,43.24,378.0599999999999

48,11:45-12:00,0.58,29.02,6.73,0.86,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,43.24,378.0599999999999

49,12:00-12:15,0.58,29.02,6.73,0.86,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,33.63,368.4499999999999

50,12:15-12:30,0.58,29.02,6.73,0.96,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,33.63,368.5499999999999

51,12:30-12:45,0.58,29.02,6.73,0.96,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,363.7399999999999

52,12:45-13:00,0.58,29.02,6.73,0.96,0.48,0,150,0,13.45,13.45,24.02,7.01,16.81,0.82,0,1.56,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,363.83999999999986

53,13:00-13:15,0.58,29.02,5.76,0.96,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,362.80999999999983

54,13:15-13:30,0.58,29.02,5.76,0.96,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,362.80999999999983

55,13:30-13:45,0.58,29.02,5.76,0.96,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,362.80999999999983

56,13:45-14:00,0.58,28.34,5.76,0.96,0.38,0.67,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,362.79999999999984

57,14:00-14:15,0.58,26.23,4.8,0.96,0.38,2.79,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.84999999999985

58,14:15-14:30,0.67,23.92,4.8,0.96,0.38,5.09,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.92999999999984

59,14:30-14:45,0.67,21.43,4.8,0.96,0.38,7.59,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.9399999999998

60,14:45-15:00,0.58,18.74,4.8,0.96,0.38,10.28,150,0,13.45,13.45,24.02,7.01,16.81,0.77,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.84999999999985

61,15:00-15:15,0.67,15.85,4.8,0.96,0.38,13.16,150,0,13.45,13.45,24.02,7.01,16.81,0.62,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.77999999999986

62,15:15-15:30,0.58,12.68,4.8,0.96,0.38,16.33,150,0,13.45,13.45,24.02,7.01,16.81,0.62,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.6899999999999

63,15:30-15:45,0.58,23.83,4.8,0.96,0.38,5.19,150,0,13.45,13.45,24.02,7.01,16.81,0.62,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.6999999999999

64,15:45-16:00,0.67,20.37,4.8,0.96,0.38,8.65,150,0,13.45,13.45,24.02,7.01,16.81,0.62,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,361.7899999999999

65,16:00-16:15,0.77,17.1,2.88,0.96,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.48,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,347.90999999999997

66,16:15-16:30,0.77,13.84,2.88,0.96,0.38,0,150,0,13.45,13.45,24.02,7.01,16.81,0.48,0,1.65,0,0,0,0,3.84,28.82,0,24.02,0,7.69,0,0,5.76,28.82,344.6499999999999

67,16:30-16:45,0.67,0,2.88,0.86,0.38,0,150,0,13.45,13.45,36.51,0,0,0.48,0,1.65,0,0,0,0,3.84,28.82,0,36.51,0,7.69,0,0,5.76,43.24,346.18999999999994

68,16:45-17:00,0.58,0,2.88,0.86,0.38,0,150,0,13.45,13.45,36.51,0,0,0.48,0,1.65,0,0,0,0,3.84,28.82,0,36.51,0,7.69,0,0,5.76,43.24,346.09999999999997

69,17:00-17:15,0.58,0,0.96,0.96,0.38,0,150,0,13.45,13.45,36.51,0,0,0.48,0,1.65,0,0,3.84,0,3.84,28.82,0,36.51,0,7.69,0,0,5.76,43.24,348.11999999999995

70,17:15-17:30,0.58,0,0.96,0.96,0.38,0,150,0,13.45,13.45,36.51,0,0,0.48,0,1.65,0,0,3.84,0,3.84,28.82,0,36.51,0,7.69,0,0,5.76,43.24,348.11999999999995

71,17:30-17:45,0.58,0,0.96,0.96,0.38,0,150,0,13.45,13.45,36.51,0,0,0.48,0,1.65,0,0,3.84,0,3.84,28.82,0,36.51,0,7.69,0,0,5.76,43.24,348.11999999999995

72,17:45-18:00,0.58,0,0.96,0.86,0.38,0,150,0,13.45,13.45,36.51,0,0,0.48,0,1.65,0,0,3.84,0,3.84,28.82,0,36.51,0,7.69,0,0,5.76,43.24,348.02

73,18:00-18:15,0.58,0,0,0.86,0.38,0,150,0,13.45,13.45,36.51,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,36.51,0,7.69,38.43,0,5.76,43.24,623.9699999999999

74,18:15-18:30,0.58,0,0,0.86,0.38,0,150,0,13.45,13.45,28.82,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,28.82,0,7.69,38.43,0,5.76,43.24,608.5899999999999

75,18:30-18:45,0.58,0,0,0.86,0.29,0,150,0,13.45,13.45,28.82,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,28.82,0,7.69,38.43,0,5.76,43.24,608.4999999999999

76,18:45-19:00,0.58,0,0,0.86,0.38,0,150,0,13.45,13.45,28.82,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,28.82,0,7.69,38.43,0,5.76,43.24,608.5899999999999

77,19:00-19:15,0,0,0,0,0,0,150,0,13.45,13.45,28.82,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,28.82,0,7.69,38.43,0,5.76,43.24,606.7699999999999

78,19:15-19:30,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,43.24,601.0099999999999

79,19:30-19:45,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,38.43,596.1999999999998

80,19:45-20:00,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,38.43,150,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,38.43,596.1999999999998

81,20:00-20:15,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,38.43,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,38.43,696.2

82,20:15-20:30,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,38.43,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,38.43,696.2

83,20:30-20:45,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,38.43,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,38.43,696.2

84,20:45-21:00,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,38.43,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,26.2,683.9700000000001

85,21:00-21:15,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,0,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,26.2,645.5400000000001

86,21:15-21:30,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,0,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,26.2,645.5400000000001

87,21:30-21:45,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,0,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,26.2,645.5400000000001

88,21:45-22:00,0,0,0,0,0,0,150,0,13.45,13.45,25.94,0,0,0.53,0,1.65,0,250,3.84,50,3.84,28.82,0,25.94,0,7.69,38.43,0,5.76,26.2,645.5400000000001

89,22:00-22:15,0,0,0,0,0,0,150,47.56,13.45,13.45,25.94,0,0,0.48,0,1.65,0,250,0.96,50,2.88,28.82,0,25.94,0,7.69,38.43,142.69,5.76,26.2,831.9000000000001

90,22:15-22:30,0,0,0,0,0,0,150,47.56,8.73,8.73,24.02,0,0,0.48,0,1.65,0,250,0.96,50,2.88,28.82,0,24.02,0,7.69,38.43,142.69,5.76,26.2,818.6199999999999

91,22:30-22:45,0,0,0,0,0,0,150,47.56,8.73,8.73,24.02,0,0,0.48,0,1.65,0,250,0.96,50,2.88,28.82,0,24.02,0,7.69,38.43,142.69,5.76,26.2,818.6199999999999

92,22:45-23:00,0,0,0,0,0,0,150,47.56,8.73,8.73,24.02,0,0,0.48,0,1.65,0,250,0.96,50,2.88,28.82,0,24.02,0,7.69,38.43,142.69,5.76,26.2,818.6199999999999

93,23:00-23:15,0,0,0,0,0,0,150,47.56,8.73,8.73,24.02,0,0,0.43,0,1.65,0,250,0.96,50,2.88,28.82,0,24.02,0,7.69,38.43,142.69,5.76,26.2,818.5699999999999

94,23:15-23:30,0,0,0,0,0,0,150,47.56,8.73,8.73,24.02,0,0,0.43,0,1.65,0,250,0.96,50,2.88,28.82,0,24.02,0,7.69,38.43,142.69,5.76,26.2,818.5699999999999

95,23:30-23:45,0,0,0,0,0,0,150,47.56,8.73,8.73,24.02,0,0,0.43,0,1.65,0,250,0.96,50,2.88,28.82,0,24.02,0,7.69,38.43,142.69,5.76,26.2,818.5699999999999

96,23:45-24:00,0,0,0,0,0,0,150,47.56,8.73,8.73,24.02,0,0,0.43,0,1.65,0,250,0.96,50,2.88,28.82,0,24.02,0,7.69,38.43,142.69,5.76,26.2,818.5699999999999

