Column1,Time,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61,GNA/WR/2025/01/01/8625,GNA/WR/2025/01/01/9606,GNA/WR/2024/11/01/4200,NR/30092023/26122029/SH-06,GNA/NR/2025/01/01/6528,NR/01102023/22052037/LT-59,GNA/NR/2025/01/01/6775,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/01102023/19072037/LT-05,GNA/NR/2025/01/01/3945,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3514,NR/01102023/05012040/L_NR_2020_02,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2025/01/01/3733,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/02/1250,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/01/01/8738,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,WR/01102023/30052048/L_NR_2022_10,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/L_NR_2019_05,GNARE/NR/2024/12/20/3668,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10
13,03:00-03:15,0,25.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.74,48.04,0,52.84,0,23.67,6.67,23.67,16.67,0,0,0,0,16.67,49.99,0,0,0,0,0,0,0,0

14,03:15-03:30,0,25.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,52.84,0,21,6.67,21,16.33,0,0,0,0,16.33,49.01,0,0,0,0,0,0,0,0

15,03:30-03:45,0,23.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,52.84,0,27.34,6.67,27.33,15.83,0,0,0,0,15.83,47.51,0,0,0,0,0,0,0,0

16,03:45-04:00,0,23.21,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,52.84,0,25.66,6.67,25.67,15,0,0,0,0,15,45,0,0,0,0,0,0,0,0

17,04:00-04:15,0,26.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,52.84,0,21,6.67,21,14.83,0,0,0,0,14.83,44.51,0,0,0,0,0,0,0,0

18,04:15-04:30,0,26.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,52.84,0,20,6.67,20,14.33,0,0,0,0,14.33,43.01,0,0,0,0,0,0,0,0

19,04:30-04:45,0,26.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,52.84,0,19.34,6.67,19.33,13.67,0,0,0,0,13.67,40.99,0,0,0,0,0,0,0,0

20,04:45-05:00,0,26.01,0,0,0,0,8.65,0,25.94,1.74,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,62.45,0,18.34,6.67,18.33,13,0,0,0,0,13,39,0,0,0,0,0,0,0,0

21,05:00-05:15,0,26.01,0,0,0,0,8.65,0,25.94,1.65,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,25.23,48.04,0,65.33,0,31.66,6.67,31.67,13,0,0,0,0,13,39,0,0,0,0,0,0,0,0

22,05:15-05:30,0,26.01,0,0,0,0,8.65,0,25.94,1.65,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,24.73,48.04,0,64.37,0,31.66,6.67,31.67,13,0,0,0,0,13,39,0,0,0,0,0,0,0,0

23,05:30-05:45,0,23.01,0,0,0,0,8.65,0,25.94,1.65,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,74.71,0,24.73,48.04,0,92.24,0,31.66,6.67,31.67,12.83,0,0,0,0,12.83,38.51,0,0,0,0,0,0,0,0

24,05:45-06:00,0,23.01,0,0,0,0,8.65,0,25.94,1.65,70.07,25.94,1.14,25.94,19.22,1.53,59.41,20.18,28.82,48.04,26.9,48.04,65.33,0,96.08,0,24.73,48.04,0,89.35,0,31,6.67,31,13,0,0,0,0,13,39,0,0,0,0,0,0,0,0

25,06:00-06:15,0,21.01,0,0,0,0,8.65,0,28.82,1.74,70.07,28.82,1.14,28.82,19.22,1.53,74.49,20.18,28.82,48.04,26.9,48.04,112.2,0,115.3,0,24.73,48.04,0,100.1,0,30,6.67,30,12.83,0.62,0,0,0,12.83,38.51,0,0,0,0,0,0,0,0

26,06:15-06:30,0,21.01,0,0,0,0,8.65,0,28.82,1.74,70.07,28.82,1.14,28.82,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,0,134.03,0,24.73,48.04,0,100.1,0,26.66,6.67,26.67,12.67,1.16,0.1,0,0,12.67,37.99,0,0,0,0,0,0,0,0

27,06:30-06:45,0,21.21,0,0,0,0,8.65,0,31.71,1.74,65.93,31.71,1.14,31.71,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,0,134.03,0,24.73,48.04,0,100.1,0,23.34,6.67,23.33,12.5,2.63,0.22,0,0,12.5,37.5,0.15,0,0,0,0,0,0,0

28,06:45-07:00,0,21.61,0,0,0,0,8.65,0,31.71,1.74,65.93,31.71,1.14,31.71,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,0,134.03,0,24.22,48.04,0,100.1,0,20,6.67,20,12.17,5.34,0.33,0,0,12.17,36.49,3.27,1,0,0,0,0,0,0

29,07:00-07:15,0.15,21.81,50,0,0,0,14.41,0,31.71,1.74,65.93,31.71,1.14,31.71,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,0.04,134.03,0.04,24.22,48.04,0,100.1,0.04,18.34,6.67,18.33,11.67,12.86,1.14,0,1,11.67,34.99,12.09,3,0,0,0,2,0,0

30,07:15-07:30,0.72,22.01,50,0,0,0,14.41,0,31.71,1.74,65.93,31.71,1.14,31.71,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,0.15,134.03,0.14,24.22,48.04,0,100.1,0.14,19.34,6.67,19.33,10.83,22.21,2.52,1,2,10.83,32.51,22.33,7,0,0,0,3,1,0

31,07:30-07:45,2.17,17.01,50,0,0,0,14.41,0,36.51,1.74,65.93,36.51,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,0.38,134.03,0.37,24.22,48.04,0,100.1,0.37,20,6.67,20,10,31.86,4.44,2,3,10,30,31.86,12,1,0.54,2.71,5,4,1

32,07:45-08:00,4.48,17.21,50,0,0,0,14.41,0,36.51,1.74,65.93,36.51,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,0.87,134.03,0.84,25.23,48.04,0,100.1,0.84,20.34,6.67,20.33,10,29.25,6.79,2,5,10,30,29.25,20,2,1.56,7.8,7,7,3

33,08:00-08:15,7.48,15.21,50,0,0,0,14.41,0,36.51,1.74,65.93,43.24,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,1.84,134.03,1.8,25.23,48.04,0,100.1,1.8,21,6.67,21,10,30.35,10.75,3,7,10,30,30.35,28,3,3.61,18.02,10,11,4

34,08:15-08:30,10.74,15.61,50,0,0,0,14.41,0,36.51,1.74,65.93,43.24,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,2.84,134.03,2.77,25.23,48.04,0,100.1,2.77,20.66,6.67,20.67,9.17,29.9,16.09,5,9,9.17,27.49,29.9,29.9,4,7.61,38.02,12,14,6

35,08:30-08:45,14.3,16.01,50,0,0,0,14.41,0,36.51,1.74,65.93,43.24,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,4.05,134.03,3.94,25.23,48.04,0,100.1,3.94,18.66,6.67,18.67,8.33,30.4,21.43,5,11,8.33,25.01,30.4,30.4,7,12.59,62.97,14,18,7

36,08:45-09:00,62.71,16.61,50,0,0,0,14.41,0,36.51,1.74,65.93,43.24,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,5.47,134.03,5.34,25.23,48.04,0,100.1,5.34,17,6.67,17,7.5,30.8,26.77,6,12,7.5,22.5,30.8,30.8,12,16.86,84.3,17,21,9

37,09:00-09:15,72.32,17.21,0,0,0,0,14.41,0,36.51,1.65,65.93,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,6.46,134.03,6.29,25.23,48.04,0,100.1,6.29,13.34,5.33,13.33,6.67,30.8,32.74,7,13,6.67,19.99,30.8,30.8,18,20.65,103.22,33,21,9

38,09:15-09:30,81.13,18.01,0,0,0,0,14.41,0,36.51,1.65,94.19,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,7.63,134.03,7.44,25.74,48.04,0,100.1,7.44,13.34,5.33,13.33,6.67,30.8,38.72,7,15,6.67,19.99,30.8,30.8,22,24.43,122.15,44,25,10

39,09:30-09:45,89.18,21.01,0,0,0,0,14.41,0,36.51,1.65,114.91,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,8.71,134.03,8.5,26.24,48.04,0,100.1,8.5,13.34,5.33,13.33,6.67,30.8,44.69,10,20,6.67,19.99,30.8,30.8,25,31.02,155.13,46,42,18

40,09:45-10:00,96.53,21.81,0,0,0,0,14.41,0,36.51,1.65,114.91,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,9.69,134.03,9.45,26.24,48.04,0,100.1,9.45,13.34,5.33,13.33,6.67,30.8,50.66,12,23,6.67,19.99,30.8,30.8,29,35.04,175.18,50,49,21

41,10:00-10:15,105.93,17.41,0,0,0,0,14.41,0,36.51,1.74,114.91,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,10.64,134.03,10.38,26.24,48.04,0,100.1,10.38,13.34,5.33,13.33,6.67,30.8,55.14,11,22,6.67,19.99,30.8,30.8,32,37.65,188.25,65,46,19

42,10:15-10:30,118.43,18.01,0,0,0,0,14.41,0,36.51,1.74,114.91,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,11.43,134.03,11.14,26.24,48.04,0,100.1,11.14,13.34,5.33,13.33,6.67,30.8,59.62,13,25,6.67,19.99,30.8,30.8,34,40.88,204.42,72,53,22

43,10:30-10:45,126.56,19.01,0,0,0,0,14.41,0,36.51,1.74,106.43,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,12.24,134.03,11.95,25.23,48.04,0,100.1,11.95,13.34,5.33,13.33,6.67,30.8,71.66,18,37,6.67,19.99,30.8,30.8,36,43.97,219.87,80,77,33

44,10:45-11:00,132.13,20.01,0,0,0,0,14.41,0,36.51,1.74,97.95,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,12.88,134.03,12.57,25.23,48.04,0,100.1,12.57,13.34,5.33,13.33,6.67,30.8,79.33,22,43,6.67,19.99,30.8,30.8,38,46.22,231.09,83,91,39

45,11:00-11:15,136.02,24.01,0,0,0,0,14.41,0,36.51,1.74,89.48,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,13.53,134.03,13.21,25.23,48.04,0,100.1,13.21,13.34,5.33,13.33,6.67,30.8,84.99,27,53,6.67,19.99,30.8,30.8,39,46.22,231.09,90,116,49

46,11:15-11:30,138.78,27.01,0,0,0,0,14.41,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,14.15,134.03,13.81,25.23,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,33,67,6.67,19.99,30.8,30.8,41,46.22,231.09,91,133,57

47,11:30-11:45,140.85,29.61,0,0,0,0,14.41,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,14.15,134.03,13.81,25.23,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,35,70,6.67,19.99,30.8,30.8,42,46.22,231.09,92,140,60

48,11:45-12:00,142.21,31.41,0,0,0,0,14.41,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.48,86.66,20.18,28.82,48.04,26.9,48.04,130.43,14.15,134.03,13.81,25.23,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,37,73,6.67,19.99,30.8,30.8,43,46.22,231.09,93,154,66

49,12:00-12:15,144.65,31.61,0,0,0,0,14.41,0,36.51,1.65,70.07,43.24,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,14.15,134.03,13.81,24.22,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,42,83,6.67,19.99,30.8,30.8,44,46.22,231.09,93,175,75

50,12:15-12:30,145.51,32.01,0,0,0,0,14.41,0,36.51,1.65,70.07,43.24,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,14.15,134.03,13.81,24.22,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,43,87,6.67,19.99,30.8,30.8,44,46.22,231.09,93,186,79

51,12:30-12:45,145.46,23.61,0,0,0,0,14.41,0,36.51,1.65,70.07,43.24,1.14,36.51,19.22,1.53,86.66,20.18,28.82,48.04,26.9,48.04,130.43,14.15,134.03,13.81,24.22,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,45,90,6.67,19.99,30.8,30.8,42,46.22,231.09,86,193,82

52,12:45-13:00,144.49,23.81,0,0,0,0,14.41,0,36.51,1.65,70.07,43.24,1.14,36.51,19.22,1.53,74.49,20.18,28.82,48.04,26.9,48.04,130.43,14.15,134.03,13.81,24.22,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,45,90,6.67,19.99,30.8,30.8,42,46.22,231.09,86,193,82

53,13:00-13:15,142.62,24.01,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.53,64.01,20.18,28.82,48.04,26.9,48.04,130.43,15.57,134.03,15.19,24.22,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,45,90,6.67,19.99,30.8,30.8,42,46.22,231.09,86,193,82

54,13:15-13:30,140.01,24.01,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.53,64.01,20.18,28.82,48.04,26.9,48.04,130.43,15.57,134.03,15.19,23.21,48.04,0,100.1,13.81,13.34,5.33,13.33,6.67,30.8,84.99,45,90,6.67,19.99,30.8,30.8,41,46.22,231.09,86,193,82

55,13:30-13:45,136.96,19.01,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.53,64.01,20.18,28.82,48.04,26.9,48.04,112.2,16.81,134.03,16.4,23.21,48.04,0,100.1,14.91,13.34,5.33,13.33,6.67,30.8,84.99,44,89,6.67,19.99,30.8,30.8,42,46.22,231.09,88,193,82

56,13:45-14:00,132.56,19.21,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.53,76.18,20.18,28.82,48.04,26.9,48.04,113.65,16.81,134.03,16.4,23.21,48.04,0,100.1,14.91,13.34,5.33,13.33,6.67,30.8,84.99,44,89,6.67,19.99,30.8,30.8,41,46.22,231.09,88,186,79

57,14:00-14:15,127.03,14.01,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.57,76.18,20.18,28.82,48.04,26.9,48.04,113.65,14.98,134.03,14.61,23.21,48.04,0,100.1,13.28,13.34,5.33,13.33,6.67,30.8,83.54,44,88,6.67,19.99,30.8,30.8,40,46.22,231.09,91,179,76

58,14:15-14:30,120.51,14.21,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.57,76.18,20.18,28.82,48.04,26.9,48.04,113.65,14.46,134.03,14.11,23.21,48.04,0,100.1,12.83,13.34,5.33,13.33,6.67,30.8,79.36,43,86,6.67,19.99,30.8,30.8,38,46.22,231.09,89,168,72

59,14:30-14:45,113.13,14.81,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.57,76.18,20.18,28.82,48.04,26.9,48.04,113.65,13.86,134.03,13.52,23.21,48.04,0,100.1,12.29,13.34,5.33,13.33,6.67,30.8,74.87,41,82,6.67,19.99,30.8,30.8,35,45.28,226.39,83,158,67

60,14:45-15:00,104.94,15.41,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.14,36.51,19.22,1.57,76.18,20.18,28.82,48.04,26.9,48.04,130.43,13.27,134.03,12.95,23.21,48.04,0,100.1,11.78,13.34,5.33,13.33,6.67,30.8,70.7,40,80,6.67,19.99,30.8,30.8,33,42.3,211.51,78,147,63

61,15:00-15:15,95.91,14.01,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.22,36.51,19.22,1.57,76.18,20.18,28.82,48.04,26.9,48.04,130.43,12.42,134.03,12.11,23.21,48.04,0,100.1,11.01,13.34,5.33,13.33,6.67,31.3,64.57,35,70,6.67,19.99,31.3,31.3,31,40.25,201.28,75,147,63

62,15:15-15:30,85.88,14.81,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.22,36.51,19.22,1.57,76.18,20.18,28.82,48.04,26.9,48.04,130.43,11.24,134.03,10.96,24.22,48.04,0,100.1,9.97,13.34,5.33,13.33,6.67,31.3,58.33,32,63,6.67,19.99,31.3,31.3,28,37.41,187.03,66,133,57

63,15:30-15:45,75,15.21,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.22,36.51,19.22,1.57,74.49,20.18,28.82,48.04,26.9,48.04,112.2,10.15,134.03,9.89,24.22,48.04,0,100.1,9,13.34,5.33,13.33,6.67,32.91,52.11,28,57,6.67,19.99,32.91,25,23,30.94,154.68,55,119,51

64,15:45-16:00,63.52,15.61,0,0,0,0,8.65,0,36.51,1.74,70.07,43.24,1.22,36.51,19.22,1.57,74.49,20.18,28.82,48.04,26.9,48.04,112.2,9.06,134.03,8.84,24.73,48.04,0,100.1,8.04,13.34,5.33,13.33,6.67,32.95,45.85,25,50,6.67,19.99,32.95,18,19,28.8,143.98,48,105,45

65,16:00-16:15,51.44,18.81,0,0,0,0,8.65,0,36.51,1.74,65.93,43.24,1.22,36.51,19.22,1.61,86.66,20.18,28.82,48.04,26.9,48.04,130.43,7.67,134.03,7.48,24.73,48.04,0,100.1,6.8,13.34,5.33,13.33,6.67,33,38.95,22,43,6.67,19.99,33,10,16,24.62,123.08,40,88,37

66,16:15-16:30,38.94,19.01,0,0,0,0,8.65,0,36.51,1.74,65.93,43.24,1.22,36.51,19.22,1.61,86.66,20.18,28.82,48.04,26.9,48.04,130.43,6.38,134.03,6.22,25.23,48.04,0,100.1,5.65,13.34,5.33,13.33,6.67,22.77,32,18,37,6.67,19.99,33,5,12,20.66,103.29,30,70,30

67,16:30-16:45,27.04,19.41,0,0,0,0,14.41,0,36.51,1.74,74.4,43.24,1.22,36.51,19.22,1.61,86.66,20.18,28.82,48.04,26.9,48.04,130.43,4.74,134.03,4.62,25.23,48.04,0,100.1,4.2,13.34,5.33,13.33,6.67,13.03,25.07,14,29,6.67,19.99,21.06,1,7,16.52,82.6,23,53,22

68,16:45-17:00,17.25,19.81,0,0,0,0,14.41,0,36.51,1.74,82.89,43.24,1.22,36.51,19.22,1.61,86.66,20.18,28.82,48.04,26.9,48.04,130.43,3.25,134.03,3.16,25.23,48.04,0,100.1,2.87,13.34,5.33,13.33,6.67,5.44,18.11,10,20,6.67,19.99,8.56,0,5,13.58,67.91,15,32,13

69,17:00-17:15,10.25,20.21,0,0,0,0,14.41,0,36.51,1.74,91.36,43.24,1.3,36.51,19.22,1.61,86.66,20.18,28.82,48.04,26.9,48.04,130.43,2.11,134.03,2.06,26.24,48.04,0,100.1,1.87,13.34,5.33,13.33,6.67,1.32,13.89,7,13,6.67,19.99,3.13,0,2,8.37,41.82,12,18,7

