Column1,Block,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/8036,GNA/NR/2025/03/01/2563,GNA/NR/2025/03/01/5143,GNA/WR/2025/01/01/8625,WR/2025/26499/A/60118,WR/2025/26426/A/59855,NR/2025/25159/A/59761,WR/2025/26427/A/59856,GNA/WR/2025/01/01/9606,WR/2025/26582/A/60116,NR/30092023/31122025/SH-07,GNA/SR/2025/03/01/7500,GNA/NR/2025/03/01/9482,GNA/WR/2025/03/01/6406,GNA/NR/2025/03/01/1906,GNA/NR/2025/03/01/3469,GNA/NR/2025/03/01/6891,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2025/25516/A/59908,NR/2025/25518/A/59922,NR/2025/25517/A/59916,NR/2025/25725/C,GNARE/NR/2024/12/20/3668,NR/2025/25726/C,Total
17,04:00-04:15,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

18,04:15-04:30,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

19,04:30-04:45,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

20,04:45-05:00,8.67,23.41,23.41,237.82,0,0,168.21,0.43,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.99,0,0,0,0,0,0,738.8799999999999

21,05:00-05:15,8.67,23.41,23.41,237.82,0,0,168.21,0.48,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.91,0,0,0,0,0,0,738.8499999999999

22,05:15-05:30,8.67,23.41,23.41,237.82,0,0,168.21,0.48,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.91,0,0,0,0,0,0,738.8499999999999

23,05:30-05:45,8.67,23.41,23.41,237.82,0,0,168.21,0.48,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.91,0,0,0,0,0,0,738.8499999999999

24,05:45-06:00,8.67,23.41,23.41,237.82,0,0,168.21,0.48,24.09,0,24.09,26.99,0,17.35,42,23.41,6.75,79.27,26.99,5.91,0,0,0,0,0,0,738.8499999999999

25,06:00-06:15,8.67,23.41,23.41,0,0,0,168.21,0.53,0,0,0,26.99,0,17.35,42,23.41,6.75,0,26.99,5.91,0,0,0,0,0,0,373.63000000000005

26,06:15-06:30,8.67,23.41,23.41,0,0,0,168.21,0.53,0,0,0,26.99,0,17.35,42,23.41,6.75,0,26.99,5.91,0,0,0,0,0,0,373.63000000000005

27,06:30-06:45,8.67,23.41,23.41,0,0,0,168.21,0.53,0,0,0,32,0,17.35,42,23.41,6.75,0,32,5.91,0,0,0,0,0.04,0,383.6900000000001

28,06:45-07:00,8.67,23.41,23.41,0,0,0,168.21,0.53,0,0,0,32,0,17.35,42,23.41,6.75,0,32,5.91,0,0,0,0,0.08,0,383.7300000000001

29,07:00-07:15,8.67,28.91,28.91,0,0,40.48,168.21,0.58,0,0,0,32,0,17.35,0,28.91,6.75,0,32,5.91,0,0,0,0,0.4,0,399.08000000000004

30,07:15-07:30,8.67,28.91,28.91,0,0,40.48,168.21,0.58,0,0,0,32,0,17.35,0,28.91,6.75,0,32,5.91,0,0,0,0,2.83,0,401.51000000000005

31,07:30-07:45,8.67,28.91,28.91,0,0,40.48,168.21,0.58,0,0,0,32,0,17.35,0,28.91,6.75,0,32,5.91,0,0,0,0,5.83,0,404.51000000000005

32,07:45-08:00,8.67,28.91,28.91,0,0,40.48,168.21,0.58,0,0,0,32,0,17.35,0,28.91,6.75,0,32,5.91,0,0,0,0,13.2,0,411.88000000000005

33,08:00-08:15,8.67,31.8,31.8,0,0,40.48,0,0.96,0,0,0,25.87,0,17.35,0,31.8,6.75,0,32,5.91,0.17,0.1,0.15,0,23.5,0,257.30999999999995

34,08:15-08:30,8.67,31.8,31.8,0,0,40.48,0,0.96,0,0,0,25.87,0,17.35,0,31.8,6.75,0,32,5.91,0.4,0.22,0.35,0,31.77,0,266.13

35,08:30-08:45,8.67,31.8,31.8,0,0,40.48,0,0.96,0,0,0,25.87,0,17.35,0,31.8,6.75,0,26.99,5.91,0.6,0.33,0.53,0,40.54,0,270.38

36,08:45-09:00,8.67,31.8,31.8,0,0,40.48,0,0.96,0,0,0,25.87,0,17.35,0,31.8,6.75,0,26.99,5.91,0.77,0.34,0.68,0,49.05,0,279.22

37,09:00-09:15,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,0.96,0.48,0.77,14.46,57.34,38.55,341.92

38,09:15-09:30,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,0.96,0.48,0.77,14.46,65.15,38.55,349.7300000000001

39,09:30-09:45,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,0.96,0.48,0.87,14.46,76.63,38.55,361.31

40,09:45-10:00,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,0.96,0.48,0.77,14.46,83.26,38.55,367.84000000000003

41,10:00-10:15,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,0.96,0.48,0.67,14.46,89.09,38.55,373.57

42,10:15-10:30,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,1.06,0.48,0.77,14.46,94.56,38.55,379.24000000000007

43,10:30-10:45,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,1.06,0.48,0.77,14.46,100,38.55,384.68

44,10:45-11:00,8.67,31.8,31.8,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,31.8,6.75,0,26.99,5.81,1.06,0.48,0.87,14.46,100,38.55,384.78000000000003

45,11:00-11:15,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.81,1.06,0.48,0.87,14.46,100,38.55,399.24

46,11:15-11:30,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.81,1.06,0.48,0.87,14.46,100,38.55,399.24

47,11:30-11:45,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.81,1.06,0.48,0.87,14.46,100,38.55,399.24

48,11:45-12:00,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.81,1.06,0.48,0.87,14.46,100,38.55,399.24

49,12:00-12:15,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.71,1.16,0.48,0.87,14.46,100,38.55,399.24

50,12:15-12:30,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.71,1.16,0.48,0.87,14.46,100,38.55,399.24

51,12:30-12:45,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.44,1.16,0.48,0.87,14.46,100,38.55,398.96999999999997

52,12:45-13:00,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.44,1.16,0.48,0.87,14.46,100,38.55,398.96999999999997

53,13:00-13:15,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.48,0.87,14.46,100,38.55,398.88

54,13:15-13:30,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.48,0.87,14.46,100,38.55,398.88

55,13:30-13:45,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.48,0.87,14.46,100,38.55,398.88

56,13:45-14:00,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.58,0.87,14.46,100,38.55,398.98

57,14:00-14:15,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.58,0.77,14.46,100,38.55,398.88

58,14:15-14:30,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.58,0.96,14.46,100,38.55,399.07

59,14:30-14:45,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.58,0.96,14.46,100,38.55,399.07

60,14:45-15:00,8.67,36.62,36.62,0,0,40.48,0,0.92,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.35,1.16,0.48,0.96,14.46,100,38.55,398.96999999999997

61,15:00-15:15,8.67,36.62,36.62,0,0,40.48,0,0.67,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,1.16,0.58,0.96,14.46,98.33,38.55,397.06

62,15:15-15:30,8.67,36.62,36.62,0,0,40.48,0,0.67,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,1.16,0.58,0.96,14.46,93.33,38.55,392.06

63,15:30-15:45,8.67,36.62,36.62,0,0,40.48,0,0.67,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,1.16,0.48,0.96,14.46,88.66,38.55,387.29

64,15:45-16:00,8.67,36.62,36.62,0,0,40.48,0,0.67,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,1.16,0.48,0.96,14.46,82.68,38.55,381.31

65,16:00-16:15,8.67,36.62,36.62,0,0,40.48,0,0.53,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,1.16,0.48,0.96,14.46,76.44,38.55,374.93

66,16:15-16:30,8.67,36.62,36.62,0,0,40.48,0,0.53,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,1.16,0.58,0.77,14.46,68,38.55,366.40000000000003

67,16:30-16:45,8.67,36.62,36.62,0,0,40.48,0,0.53,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,1,0.5,0.66,14.46,60.79,38.55,358.84000000000003

68,16:45-17:00,8.67,36.62,36.62,0,0,40.48,0,0.53,0,0,0,26.99,0,17.35,0,36.62,6.75,0,26.99,5.26,0.81,0.4,0.54,14.46,51.87,38.55,349.51

69,17:00-17:15,8.67,36.62,36.62,0,100,40.48,0,0.53,0,0,0,25.2,0,17.35,0,36.62,6.75,0,32,5.26,0.6,0.25,0.4,0,43.41,0,390.76

70,17:15-17:30,8.67,36.62,36.62,0,100,40.48,0,0.53,0,0,0,25.2,0,17.35,0,36.62,6.75,0,32,5.26,0.4,0.13,0.26,0,35.05,0,381.93999999999994

71,17:30-17:45,8.67,36.62,36.62,0,100,40.48,0,0.53,0,0,0,21.4,0,17.35,0,36.62,6.75,0,32,5.26,0.15,0.07,0.13,0,27.67,0,370.32

72,17:45-18:00,8.67,36.62,36.62,0,100,40.48,0,0.53,0,0,0,21.4,0,17.35,0,36.62,6.75,0,32,5.26,0,0,0,0,20.32,0,362.62

73,18:00-18:15,8.67,36.62,36.62,0,100,40.48,0,0.53,0,50,0,1.79,0,17.35,0,36.62,6.75,0,32,5.35,0,0,0,0,13.5,0,386.28000000000003

74,18:15-18:30,8.67,36.62,36.62,0,100,40.48,0,0.53,0,50,0,0,0,17.35,0,36.62,6.75,0,32,5.35,0,0,0,0,8.95,0,379.94

75,18:30-18:45,8.67,36.62,36.62,0,100,40.48,0,0.53,0,50,0,31.41,50,17.35,0,36.62,6.75,0,31.41,5.35,0,0,0,0,3.61,0,455.4200000000001

76,18:45-19:00,8.67,36.62,36.62,0,100,40.48,0,0.53,0,50,0,31,50,17.35,0,36.62,6.75,0,31,5.35,0,0,0,0,0.55,0,451.54

77,19:00-19:15,8.67,36.62,36.62,0,100,40.48,0,0.63,0,50,0,31,50,17.35,0,36.62,6.75,0,31,5.44,0,0,0,0,0.03,0,451.21

78,19:15-19:30,8.67,36.62,36.62,0,100,40.48,0,0.63,0,50,0,31,50,17.35,0,36.62,6.75,0,31,5.44,0,0,0,0,0,0,451.18

79,19:30-19:45,8.67,36.62,36.62,0,100,40.48,0,0.63,0,50,0,31,50,17.35,0,36.62,6.75,0,31,6.18,0,0,0,0,0,0,451.92

80,19:45-20:00,8.67,36.62,36.62,0,100,40.48,0,0.63,0,50,0,31,50,17.35,0,36.62,6.75,0,31,6.18,0,0,0,0,0,0,451.92

81,20:00-20:15,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.36,0,0,0,0,0,0,525.2800000000001

82,20:15-20:30,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.36,0,0,0,0,0,0,525.2800000000001

83,20:30-20:45,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.36,0,0,0,0,0,0,525.2800000000001

84,20:45-21:00,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.36,0,0,0,0,0,0,525.2800000000001

85,21:00-21:15,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.55,0,0,0,0,0,0,525.47

86,21:15-21:30,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.55,0,0,0,0,0,0,525.47

87,21:30-21:45,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.55,0,0,0,0,0,0,525.47

88,21:45-22:00,8.67,36.62,36.62,0,100,40.48,48.18,0.63,0,75,0,31,50,17.35,0,36.62,6.75,0,31,6.55,0,0,0,0,0,0,525.47

89,22:00-22:15,8.67,36.62,36.62,237.82,100,40.48,48.18,0.53,24.09,75,24.09,31,50,17.35,0,36.62,6.75,79.27,31,6.55,0,0,0,0,0,0,890.64

90,22:15-22:30,8.67,36.62,36.62,237.82,100,40.48,48.18,0.53,24.09,75,24.09,31,50,17.35,0,36.62,6.75,79.27,31,6.55,0,0,0,0,0,0,890.64

91,22:30-22:45,8.67,36.62,36.62,237.82,100,40.48,48.18,0.53,24.09,75,24.09,31,50,17.35,0,36.62,6.75,79.27,31,6.55,0,0,0,0,0,0,890.64

92,22:45-23:00,8.67,36.62,36.62,237.82,100,40.48,48.18,0.53,24.09,75,24.09,31.41,50,17.35,0,36.62,6.75,79.27,31.41,6.55,0,0,0,0,0,0,891.4599999999999

93,23:00-23:15,8.67,36.62,36.62,237.82,0,40.48,48.18,0.48,24.09,75,24.09,31.41,50,17.35,0,36.62,6.75,79.27,31.41,6.55,0,0,0,0,0,0,791.41

94,23:15-23:30,8.67,36.62,36.62,237.82,0,40.48,48.18,0.48,24.09,75,24.09,31.41,50,17.35,0,36.62,6.75,79.27,31.41,6.55,0,0,0,0,0,0,791.41

95,23:30-23:45,8.67,36.62,36.62,237.82,0,40.48,48.18,0.48,24.09,75,24.09,31.41,50,17.35,0,36.62,6.75,79.27,31.41,6.55,0,0,0,0,0,0,791.41

96,23:45-24:00,8.67,36.62,36.62,237.82,0,40.48,48.18,0.48,24.09,75,24.09,31.41,50,17.35,0,36.62,6.75,79.27,31.41,6.55,0,0,0,0,0,0,791.41

