Time,Block,NR/2024/19282/C,NR/2024/18855/A/13602,NR/2024/19265/C,NR/2024/19024/A/13758,NR/2024/19043/A/13535,NR/2024/19266/C,NR/2024/18919/A/14013,NR/2024/19275/C,NR/2024/18986/A/13520,NR/2024/18977/A/13476,NR/2024/19280/C,NR/2024/19273/C,NR/2024/19298/C,NR/2024/18934/A/13488,NR/2024/19075/A/13514,NR/2024/18996/A/13978,NR/2024/18978/A/13475,NR/2024/19263/C,SR/2024/12929/C,NR/2024/19172/A/14135,NR/2024/18935/A/13487,NR/2024/19030/A/13540,NR/2024/19288/C,NR/2024/19143/A/13521,NR/2024/19115/A/13565,NR/2024/19289/C,NR/2024/19278/C,NR/2024/19121/A/13600,NR/2024/19274/C,NR/2024/18976/A/13477,NR/2024/18936/A/13486,NR/2024/19248/C,NR/2024/19281/C,Total

3,00:30-00:45,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.530000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,15.580000,563.2

4,00:45-01:00,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.530000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,100.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,14.800000,562.42

5,01:00-01:15,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.480000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,11.710000,459.28

6,01:15-01:30,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.480000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,12.870000,460.44

7,01:30-01:45,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.480000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,12.960000,460.53

8,01:45-02:00,33.860000,66.930000,0,4.840000,0.000000,52.630000,9.670000,3.870000,0.480000,0.000000,5.320000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,4.840000,2.000000,0.000000,0.000000,6.770000,0.000000,24.180000,0.000000,0.000000,0.000000,11.710000,459.28

9,02:00-02:15,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

10,02:15-02:30,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

11,02:30-02:45,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

12,02:45-03:00,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

13,03:00-03:15,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

14,03:15-03:30,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

15,03:30-03:45,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

16,03:45-04:00,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

17,04:00-04:15,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

18,04:15-04:30,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

19,04:30-04:45,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

20,04:45-05:00,0.000000,66.930000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,320.36

21,05:00-05:15,0.000000,0.000000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,318.36

22,05:15-05:30,0.000000,0.000000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,318.36

23,05:30-05:45,0.000000,0.000000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,318.36

24,05:45-06:00,0.000000,0.000000,0,4.840000,0.000000,52.630000,9.670000,0.000000,0.480000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,318.36

25,06:00-06:15,0.000000,0.000000,0,4.840000,0.000000,52.630000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,190.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,498.74

26,06:15-06:30,0.000000,0.000000,0,4.840000,0.000000,52.630000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,190.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,498.74

27,06:30-06:45,0.000000,0.000000,0.25,4.840000,0.000000,52.630000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,275.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,583.99

28,06:45-07:00,0.000000,0.000000,0.72,4.840000,0.000000,52.630000,0.000000,0.000000,0.530000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,295.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,604.46

29,07:00-07:15,0.000000,0.000000,1.13,4.840000,0.000000,52.630000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,305.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,614.97

30,07:15-07:30,0.000000,0.000000,1.63,4.840000,0.000000,52.630000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,310.47

31,07:30-07:45,0.000000,0.000000,2.17,4.840000,0.000000,52.630000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,311.01

32,07:45:08:00,0.000000,0.000000,2.78,4.840000,0.000000,52.630000,0.000000,0.000000,0.630000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,311.62

33,08:00-08:15,0.000000,0.000000,3.35,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,312.53

34,08:15-08:30,0.000000,0.000000,3.94,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,313.12

35,08:30-08:45,0.000000,0.000000,4.53,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,313.71

36,08:45:09:00,0.000000,0.000000,5.1,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,314.28

37,09:00:09:15,0.000000,0.000000,5.56,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,314.74

38,09:15-09:30,0.000000,0.000000,5.98,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,315.16

39,09:30-09:45,0.000000,0.000000,6.43,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,315.61

40,09:45-10:00,0.000000,0.000000,6.86,4.840000,0.000000,52.630000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,67.720000,0.00,116.090000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,66.930000,0.000000,0.000000,0.000000,0.000000,0.000000,316.04

41,10:00-10:15,0.000000,0.000000,7.28,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,66.930000,0.000000,0.000000,6.770000,0.000000,0.000000,424.42

42,10:15-10:30,0.000000,0.000000,7.64,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,66.930000,0.000000,0.000000,6.770000,0.000000,0.000000,424.78

43,10:30-10:45,0.000000,0.000000,7.91,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,66.930000,0.000000,0.000000,6.770000,0.000000,0.000000,425.05

44,10:45-11:00,0.000000,0.000000,8.09,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,66.930000,0.000000,0.000000,6.770000,0.000000,0.000000,425.23

45,11:00-11:15,0.000000,66.930000,8.21,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,0.000000,0.000000,425.35

46,11:15-11:30,0.000000,66.930000,8.34,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,0.000000,0.000000,425.48

47,11:30-11:45,0.000000,66.930000,8.49,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,0.000000,0.000000,425.63

48,11:45-12:00,0.000000,66.930000,8.47,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,0.000000,0.000000,425.61

49,12:00-12:15,0.000000,66.930000,8.49,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,520.43

50,12:15-12:30,0.000000,66.930000,8.53,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,520.47

51,12:30-12:45,0.000000,66.930000,8.55,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,520.49

52,12:45-13:00,0.000000,66.930000,8.63,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,520.57

53,13:00-13:15,0.000000,66.930000,8.48,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,520.42

54,13:15-13:30,0.000000,66.930000,8.24,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,520.18

55,13:30-13:45,0.000000,66.930000,8.16,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,520.1

56,13:45-14:00,0.000000,66.930000,8.01,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,519.95

57,14:00-14:15,0.000000,66.930000,7.68,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,519.62

58,14:15-14:30,0.000000,66.930000,7.44,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,519.38

59,14:30-14:45,0.000000,66.930000,6.97,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,518.91

60,14:45-15:00,0.000000,66.930000,6.74,4.840000,46.440000,0.000000,0.000000,0.000000,0.970000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,518.68

61,15:00-15:15,0.000000,66.930000,6.39,4.840000,46.440000,0.000000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,518.09

62,15:15-15:30,0.000000,66.930000,6.05,4.840000,46.440000,0.000000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,517.75

63,15:30-15:45,0.000000,66.930000,5.57,4.840000,46.440000,0.000000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,517.27

64,15:45-16:00,0.000000,66.930000,5.08,4.840000,46.440000,0.000000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,19.350000,48.370000,14.510000,67.720000,0.00,116.090000,5.800000,19.350000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,39.660000,6.770000,1.930000,0.000000,516.78

65,16:00-16:15,0.000000,66.930000,4.51,4.840000,46.440000,52.630000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,1.930000,0.000000,475.97

66,16:15-16:30,0.000000,66.930000,3.97,4.840000,46.440000,52.630000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,1.930000,0.000000,475.43

67,16:30-16:45,0.000000,66.930000,3.36,4.840000,46.440000,52.630000,0.000000,0.000000,0.730000,0.000000,0.000000,0.000000,0.000000,4.840000,0.000000,48.370000,0.000000,67.720000,0.00,116.090000,5.800000,0.000000,0.000000,0.000000,48.370000,0.000000,0.000000,0.000000,0.000000,0.000000,6.770000,1.930000,0.000000,474.82

