Block,Time Block,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,FSTPP I & II,DHAULIGNGA,DULHASTI,DADRT2,JHAJJAR,KGSU1AND2,KGSU3AND4,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNP,KKNPPU2,KOLDAM,KOTESHWR,KUDGI,MAPS,NLCEXP,NJPC,NLCIIST1,NAPP,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,PARBATI3,PARBATI2,RAPPC,RAPPB,RAMPUR,RIHAND1,RIHAND2,RAPPD,RIHAND3,SASAN,RSTPSU1TO6,RSTPSU7,SALAL,SEWA2,SIMHST1,SINGRAULI_HYDRO,SIMHST2,SINGRAULI,TALA,TALST2,TANAKPUR,TEHRI,TelanganaSTPP,TANDA2,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,UNCHAHAR4,URI2,URI,VALLURNTECL,ANTA_GF,ANTA_CRF,ANTA_LF,ANTA_RF,AURY_RF,AURY_GF,AURY_CRF,AURY_LF,DADRI_CRF,DADRI_RF,DADRI_LF,DADRI_GF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
6,01:15-01:30,12.46,40.72,6.3,31.43,22.54,16.93,21.14,56.7,4.98,105.3,0,0,44.28,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,6.09,0,1.15,0,139.27,13.81,0,3.59,38.15,0,3.05,16.42,21.66,34.9,1.77,36.81,49.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,11.85,40.72,6.3,31.43,22.54,16.93,21.14,56.7,4.98,105.3,0,0,44.06,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,6.09,0,1.15,0,139.27,13.81,0,3.59,38.15,0,3.05,13.65,18.14,29.24,1.77,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,13.29,40.72,6.3,31.43,22.54,16.93,21.14,56.7,4.98,105.3,0,0,44.06,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,5.39,0,1.15,0,139.27,15.23,0,3.59,38.15,0,3.05,13.65,18.14,29.24,1.77,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,13.22,24.42,6.3,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,44.19,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,5.03,0,1.15,0,139.27,15.23,0,3.59,38.15,0,1.59,11.65,14.69,24.36,1.19,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,11.5,24.42,6.3,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,44.19,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,0,0,1.15,0,139.27,15.23,0,3.59,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,11.79,24.42,6.3,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,44.19,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,0,0,1.15,0,139.27,15.23,0,3.59,38.15,0,3.05,10.04,12.65,23.2,1.49,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,13.46,24.42,6.3,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,44.19,5.56,143.27,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,81.38,0,0,1.15,0,139.27,15.23,0,3.59,38.15,0,3.05,10.04,12.65,23.2,1.77,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,15.33,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,33.44,5.56,114.16,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,78.58,0,0,1.15,0,139.27,14.48,0,3.59,38.15,0,2.57,10.04,12.65,23.2,1.41,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,16.15,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,33.44,5.56,114.16,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,27.99,88.99,26.12,85.07,399.97,0,0,78.58,0,0,1.15,0,139.27,14.48,0,3.59,38.15,0,1.72,10.04,12.65,23.2,0.66,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

15,03:30-03:45,17.06,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,33.44,5.56,114.16,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,13.17,63.82,26.12,85.07,399.97,0,0,78.58,0,0,1.15,0,121.88,14.48,0,3.59,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

16,03:45-04:00,17.89,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,33.44,5.56,114.16,0,0,4.63,20.14,0,0,0,156.9,0,0,0,0,0,0,22.24,21.78,66.24,0,6.23,13.17,63.82,26.12,48.42,399.97,0,0,78.58,0,0,1.15,0,121.88,14.48,0,3.59,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

17,04:00-04:15,18.44,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,78.58,0,0,1.15,0,121.88,17.61,0,3.59,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

18,04:15-04:30,17.11,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,78.58,0,0,1.15,0,121.88,17.61,0,3.59,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

19,04:30-04:45,19.11,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,79.14,0,0,1.15,0,121.88,17.32,0,2.97,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

20,04:45-05:00,18.56,24.42,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,79.14,0,0,1.15,0,121.88,17.04,0,2.97,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

21,05:00-05:15,19.32,12.21,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,79.14,0,0,1.15,0,121.88,16.76,0,2.36,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

22,05:15-05:30,19.32,12.21,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,79.14,0,0,1.15,0,121.88,16.61,0,2.36,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

23,05:30-05:45,19.32,12.21,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,79.14,0,0,1.15,0,121.88,17.61,0,2.36,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

24,05:45-06:00,19.32,12.21,12.6,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,13.17,63.82,26.12,48.42,399.97,0,0,79.14,0,0,1.15,0,121.88,17.61,0,2.36,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

25,06:00-06:15,19.32,12.21,6.3,31.43,22.54,10.03,21.14,56.7,81.3,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,91.91,26.12,86.25,399.97,0,0,79.14,0,0,1.15,0,121.88,17.18,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

26,06:15-06:30,19.32,0,6.3,31.43,22.54,10.03,21.14,56.7,11.74,105.3,0,0,27.36,5.56,114.16,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,91.91,26.12,86.25,399.97,0,0,79.14,0,0,1.15,0,121.88,17.04,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

27,06:30-06:45,19.32,0,6.3,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,94.38,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,91.91,26.12,86.25,399.97,0,0,79.14,0,0,1.15,0,121.88,17.18,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

28,06:45-07:00,19.32,0,6.3,31.43,22.54,10.03,21.14,56.7,4.98,105.3,0,0,27.36,5.56,94.38,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,91.91,26.12,86.25,399.97,0,0,79.14,0,0,1.15,0,121.88,17.48,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,51.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

29,07:00-07:15,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,27.36,5.56,94.38,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,91.91,26.12,86.25,399.97,0,0,79.14,0,0,1.15,0,121.85,18.89,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

30,07:15-07:30,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,24.65,5.56,78.8,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,399.97,0,0,79.14,0,0,1.15,0,88.74,19.03,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

31,07:30-07:45,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,24.65,5.56,78.8,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,399.97,0,0,79.14,0,0,1.15,0,88.74,19.03,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

32,07:45-08:00,18.82,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,24.65,5.56,78.8,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,399.97,0,0,79.14,0,0,1.15,0,88.74,19.45,0,4.33,38.15,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

33,08:00-08:15,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,24.65,5.56,99.92,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,399.97,0,0,79.14,0,0,1.15,0,88.74,19.45,0,4.96,17.82,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

34,08:15-08:30,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,24.65,5.56,99.92,0,0,4.63,20.14,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,399.97,0,0,79.14,0,0,1.15,0,88.74,19.45,0,4.96,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

35,08:30-08:45,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,24.65,5.56,99.92,0,0,2.32,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,399.97,0,0,79.14,0,0,1.15,0,88.74,19.45,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

36,08:45-09:00,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,24.65,5.56,99.92,0,0,2.32,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,399.97,0,0,79.14,0,0,1.15,0,88.74,19.45,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

37,09:00-09:15,18.99,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,28.04,8.34,85.44,0,0,2.32,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,372.9,0,0,79.7,0,0,1.15,0,88.74,20.45,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

38,09:15-09:30,18.23,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,28.04,8.34,85.44,0,0,2.32,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,25.82,66.2,26.12,69.49,346.37,0,0,79.7,0,0,1.15,0,79.89,20.45,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

39,09:30-09:45,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,28.04,8.34,85.44,0,0,2.32,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,25.82,66.2,26.12,69.49,296.76,0,0,79.7,0,0,1.15,0,79.89,15.74,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

40,09:45-10:00,19.32,0,6.3,31.43,22.54,10.03,10.58,56.7,4.98,105.3,0,0,28.04,8.34,85.44,0,0,2.32,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,25.82,66.2,26.12,69.49,271.47,0,0,79.7,0,0,1.15,0,79.89,15.74,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

41,10:00-10:15,19.32,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,96.9,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,25.82,66.2,26.12,69.49,273.9,0,0,79.7,0,0,1.15,0,79.89,15.82,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

42,10:15-10:30,19.32,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,96.9,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,25.82,66.2,26.12,69.49,273.9,0,0,79.7,0,0,1.15,0,79.89,15.82,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

43,10:30-10:45,17.74,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,96.9,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,25.82,66.2,26.12,69.49,273.9,0,0,79.7,0,0,1.15,0,79.89,15.82,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

44,10:45-11:00,14.23,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,96.9,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,273.9,0,0,79.7,0,0,1.15,0,88.74,15.82,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

45,11:00-11:15,14.78,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,96.9,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,267.68,0,0,79.7,0,0,1.15,0,88.74,15.82,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

46,11:15-11:30,15.73,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,96.9,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,22.24,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,267.68,0,0,79.7,0,0,1.15,0,88.74,15.82,0,4.33,0,0,1.59,10.04,12.65,23.2,0.59,36.81,49.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

47,11:30-11:45,16.1,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,97.09,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,8.6,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,322.05,0,0,79.7,6.09,0,1.15,0,88.74,15.82,0,4.33,9.07,0,1.59,10.04,12.65,23.2,0.59,36.81,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

48,11:45-12:00,18.04,0,6.3,31.43,22.54,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,97.09,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,8.6,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,322.05,0,0,79.7,12.18,0,1.15,0,88.74,15.82,0,4.33,18.45,0,1.59,10.04,12.65,23.2,0.59,36.81,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

49,12:00-12:15,19.32,0,6.3,31.43,19.27,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,97.09,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,8.6,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,239.12,0,0,79.7,18.26,0,1.15,0,88.74,15.39,0,4.96,28.61,0,1.59,10.04,12.65,23.2,0.59,36.81,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

50,12:15-12:30,19.32,0,6.3,31.43,19.27,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,97.09,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,8.6,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,248.78,0,0,79.7,18.26,0,1.15,0,88.74,15.39,0,4.96,28.61,0,1.59,10.04,12.65,23.2,0.59,36.81,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

51,12:30-12:45,19.32,0,6.3,31.43,19.27,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,97.09,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,8.6,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,258.44,0,0,79.7,18.26,0,1.15,0,88.74,15.39,0,4.33,28.61,0,1.59,10.04,12.65,23.2,0.59,36.81,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

52,12:45-13:00,19.32,0,6.3,31.43,19.27,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,97.09,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,8.6,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,268.1,0,0,79.7,18.26,0,1.15,0,88.74,15.39,0,4.33,28.61,0,1.59,10.04,12.65,23.2,0.59,36.81,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

53,13:00-13:15,19.04,0,6.3,31.43,19.27,10.03,0,56.7,4.98,105.3,0,0,28.04,8.34,97.09,0,0,4.63,10.08,0,0,0,129.85,0,0,0,0,0,0,8.6,21.78,66.24,0,5.15,29.67,78.66,26.12,69.49,259.41,0,0,79.7,18.26,0,1.15,0,88.74,15.39,0,4.33,28.61,0,1.59,10.04,12.65,23.2,0.59,36.81,50.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

